rating,review
4,These have absolutely no depth to the sound at all.  The natural bass of sound is almost completely lacking. If you just want some kind of sound for kids these will work. You can't beat the price.
4,For the price this is a great buy. I needed speakers that wouldn't take up another power outlet in my desk and the fact that these use the USB port in the back of my PC for power really helps. For sound there are better speakers out there I'm sure. But if you need these more for business (I get a lot of voicemail) or just watching YouTube or Rumble videos or playing older video games they work great. No issues with background noise etc. They even have a port for headphones if you still have those with a traditional jack. And again for the price you'll be happy with these.
3,These speakers are pretty low quality in terms of sound and direction. Good examples are if my phone happens to be within 8 inches of either speaker a loud buzzing takes over all audio if you use the headphone jack all you hear is buzzing or super low audio even with the volume cranked at max also the direction is way off; things that happen on the (LEFT) side of my screen come from the (RIGHT) speaker. Mind you I have them set L and R like they should be but audio is swapped so that's annoying. Then we come to the volume issue for some games I don't have to turn it up very high to hear what's going on while others I max it and can't hear much of anything even when turning up the desktop audio. So as they say you get what you pay for be aware of that. PS the blue power light is so bright it actually hurts my eyes if I'm busy working on something so I end up unplugging the speakers and powering them off to use headphone instead more often than not.
4,Speaker are nice but kind of expected them to be louder but they are ok.
5,My old laptop didn't provide good volume so I added this pair of small convenient plug-in speakers as peripherals. Price was affordable. What I wanted and needed!😎
4,There were inexpensive and helped through when my laptop's speakers died. The sound quality is not very good but they work fine for Zoom calls and work activities. Not very pleasant for music but that's to be expected at this price point
4,The speakers work ok the volume works ok. I had to lower the volume on my pc to adjust a little bit better. There is a slight hum noise coming from them when no volume is coming out. I just turn them off until I need them. I do not here the hum while playing any sound-it may just be drowning it out. Overall they do the job easy plug and play.
5,I like everything about the Cyber Acoustics USB Powered 2.0 Desktop Speaker System thus far.  I am especially enjoying the ease of use and sound quality. of the system.  I am using the speakers on my desktop computer.
3,It's practically a miracle a pair of speakers are available for $8 so while there is a lot of static (most noticeable when no sound is playing so I turn them off when not in use - and they have a separate power button which is very nice) the volume control knob is difficult to turn and the sound quality isn't great your audio will still be perfectly understandable which is good enough for generic applications like watching youtube. Good value for money.
3,I used them a couple of times but realized that holding it up close to my ear was not what I had hoped for. I am sorry to say they sound was not good and volume was low...too low to do what I wanted (to have the speakers sit on a lap table so I could watch movies online).
4,The sound quality is okay for a computer. And that's what I bought it for. I have a recording studio I did not expect for them to sound like my monitors because they are not monitors they are little speakers for a computer and they does the job great. Great value little bit of a buzzing noise but you can still hear the music and anything on your computer and for $7 it is a great value.
4,They work great except that if I am on my cell and I put it within about 2' of the speakers they pick up some interference.  Probably not a big deal but annoying at times to have to shut them off so I can talk on the phone.
5,Improves sound on laptop.
3,Ok I know they were low price. I was not looking for audio quality. I just wanted some volume when working in my office. Sound quality is pretty good considering the price but NO VOLUME. I have the speaker all the way up. I have the computer master volume all the way up. I have the sound on the YouTube video all the way up but still can hear much 6 feet away.
