rating,review
5,This is a difficult to find battery and I always go with Durcell because I've come to trust the longevity.
5,Just what I was looking for
5,All went well with receiving the batteries thanks!
5,Couldn't anywhere find these at the price. Use them clocks have lasted quite a while.
5,these fit and my clock works again
5,Lights
5,What can I say.? They’re batteries.  A little pricey but this size is hard to find retail.  And I haven’t used them long enough to judge longevity.
5,Excellent
5,OK
5,Good value
5,Everything excellent
5,these n batteries were bought from pulse fulfillment they were very fresh unlike 364 batteries i bought from another supplier. i did get a refund but who wants to go through hoops and waste time.
5,This seems pointless: What am I supposed to say; it fit in just like its supposed to. It had a full charge so it works (just like its supposed to). Longevity I'll let you know hopefully in a long time from now until then keep buying batteries.
5,So much cheaper then stores. They work.
5,A clock
5,Na
4,Good price. Works. As advertised received two in pack.
5,all fine no "like/dislike"
5,Clock is working again.  Thanks
5,Clock battery
5,Arrived on time and in good shape
4,I don’t know enough about this product to add any more review.
5,specific product I needed and could not find This was great
4,Everything was expected except it took nearly a week to arrive.
5,Was good
5,I was having trouble finding this size battery.  When I finally did they were so old they had no power.  The ones I purchased from Amazon were fresh and lasted over 9 months in my device.
5,I always buy this brand duracell
5,Para una calculadora financiera
5,Excellent
5,Needed this particular battery for a toy and was happy to find a Duracell since i think they are a good brand. Haven’t had it in use long enough to know but expect it to last well. Seller was prompt and packaging was good.
5,I’d never heard of an “N” size battery had been to a battery store and they didn’t have them! Found a cute clock at a yard sale ordered these and it’s ticking away. These last almost a year in the clock. Thanks Amazon!
5,Quality of item was great! Very agreeable packaging. Exceptionally speedy delivery. Would buy from again.
5,I needed a battery for a beautiful clock: it fit and it works
5,Yep. Sure is.
5,I bought these for a clock. It’s been about a month now and the clock is still working. So far so good!
5,My power probe is cordless and it will check for continuity but my batteries went out. Just the fix I needed
5,Used with a Triplet electronic voltage meter from the 1970’s
5,Hard to find battery but guess what? Amazon's got'emWorks great!
5,⏰
5,easy to find and just what was needed
5,great product.use in a small desk clock
5,Prompt shipping of product as described.
5,So far so good
5,I keep my clock running so they're good
4,Good name and value for money. Haven't had long enough to determine longevity.
4,Use for an electronic clock.  Works just fine.
5,I was so glad to find these batteries. I looked at Walmart Walgreens and the grocery story. NO N batteries. This is what I needed and it came right to the door. Thank you.
5,The batteries arrived as promised and were at a great price. I haven't had the batteries long enough to give a true rating on the longevity and battery life but by the Duracell name they should last a long time.
5,I can not find these in any store. It fit my clock perfectly and works great!
5,Swiss Army analog travel alarm perhaps obsolete but a classic. Duracell has shown great longevity no corrosion or leaking years down the road. Many more years before I use the second battery the battery life is so good.
5,These were placed in a dive computer.
5,The media could not be loaded.                                                                                 UPDATE: It is 1/13/21 and all my vintage crystal mantle clocks are still ticking with the batteries!Just got these today for a vintage crystal legends clock that I thrifted.Working just fine. Will update battery efficiency as time passes. Overall satisfied with purchase and item as described. Can’t complain for the price of $0.97!
5,Just purchased this battery as a replacement for a beautiful crystal clock I’ve had 32 years. The N size Duracell battery I’d often difficult to find in store was much easier to order online at Amazon works great!
4,The battery is not for medical use in my case but for a small clock but it fits perfect.  They wear out fast and have a shorter than normal battery life.
4,Good battery so far.
5,Great purchase!  Received exactly what I expected very quickly!  Would definately order from this seller again.
5,Battery is currently in use in a travel alarm clock so I can not yet comment on longevity or battery life.  Item was exactly as advertised and arrived faster than anticipated.  So far I am very pleased.
5,Need N Batterier in  seveeral of mhy clocks and grocery stores don't carry them.  Thanks Amazon.
5,As described. Fast shipping. Cannot answer questions concerning longevity or battery life as I am just now using one of the batteries.
5,Needed an unusual battery for a travel alarm clock.  I finally found the right one.
5,Quick Delivery & Reasonable Price.
5,Hard to find in the store.
5,This product came in a timely matter and is as described.  These are long lasting batteries. 5-year expiration if stored as packaged.  It will last almost that long in use as well.
5,It is what I need
5,Condenser mic needed special size
5,Have a clock that needs this size battery. Had been getting them at Radio Shack. Usually lasts more than a year.
5,Perfect fit. This size was hard to find locally.
5,Good fit works great!
4,Hopefully it will last a long time . A little pricey .
5,Glad to get this battery which is hard to find in stores.
5,It arrived in a timely manner. It was a different battery that I have never used or had before. I only just recently used it so can give no other commit.
5,Nothing special. They are batteries and do what batteries do run things.
5,We use these to run a small "mantle" style analog clock.  The battery lasts for about 18 months.
5,Great battery for my 24 year old Mikasa clock!
5,As soon as I placed the battery in the intended device it started to activate the electrons stored in the batter andthe devive worked again.
5,Muy buen producto... gracias al vendedor
5,Working great for the two clocks that need these small batteries. Thanks! They are hard to find!
5,They worked very well. I love Amazon and the delivery. Will order again without hesitationThank you
4,Parense buenas hay que esperar...por el momento las encontré porque ya no las podia conseguir.
5,I need these for a clock.  Haven't put one in yet and naturally do not know how long they'll last.
4,Batteries work.Appears to authentic Duracell product.2 pack (shakur... lol).
5,Advertising works. These make me 🤔 of the little pink bunny they are batteries. If you order the correct size they will work
5,Works well.  It's a Duracell so you're getting the best.  Delivered on time.  Cheaper than buying at a brick-and-mortar store.
5,Duracell batteries have the best capacity and longest shelf life in my experience and suffer NONE of the quality control problems I've encountered with Energizer and Ray-o-Vac brands.  Both of these batteries test at full voltage and will be "fresh" for the next time the desk clock needs a replacement.I see so many horror stories about batteries sold on Amazon ranging from cellphone batteries that show obvious use (sold as NEW) to loose containers of batteries missing their factory packaging and scuffed up to batteries with only a short shelf life remaining.These Type N batteries are a reason to keep buying them here.  Factory blister pack a use-by date more than four years from now and a good price.Highly recommend the vendor and the product.
5,These were hard to find since the pandemic and I am so happy to find them on your site. Now I have my favorite clock working again!
4,Did what it is supposed to.
5,This battery was hard to find due to the size.  Looked on Amazon next day delivery ordered two pack!
5,good value
5,I don't even have anything that uses these but they are such a great deal I bought two.They went in the battery box where I  have some of just about everything just in case.
5,This battery size is hard to find so I was glad to see it on Amazon and at a very reasonable price.
5,Had to order the battery i needed for my Anki Vector robot's cube. Just what i needed and a reliable battery.
4,Use them for my baby’s bouncer that we accuse leave on sometimes.
5,Does it's job.
5,Good item! Got what I wanted!
5,I needed these for the HP 28C calculator. These have a best before date of 2025 which should be adequate for my purposes.
5,Arrived with long expiration date - four years from now.
5,Quality at a good price.
4,Just as described
5,Can't  answer the questions on battery longevity/life as I just installed it .
5,Battery life is excellent and it came fully charged and ready to go.  This is one of those odd sizes that you don’t normally just have sitting around.
5,A dependable product.
5,The batteries arrived in good condition and work as expected. I use them in a clock and they last about a year. They are a bit pricey but are an odd size I guess.
5,Lasts as long as any other duracell
5,Just what I needed.  Online purchase allowed me to bypass the COVID-19 issues in the stores.  Typical Duracell quality
5,I only buy Duracell batts and this price is the best for N size.
5,Batteries received at the earliest target date. Packaged in original package from Duracell.
5,This battery fits my Danbury Quartz clock.
5,Duracell seems to make a reliable product
5,An unusually battery works great in my mini robot.
5,It’s a battery it powers what I need it to power
5,They were the right size so far so good.
5,Using this in my cube toy for my Vector robot. Works just like it should and haven't had any issues out of it.
5,Two batteries in the order. Nice
5,Great .
5,Just a little battery.  Same size as the old one in some crystal encased clock.  It fit.  The clock runs now.  Hard to say anything bad.  :)
5,Like all Duracell Batteries. Performs well.
5,Great product
5,'short battery life
5,I like this brand name with the longevity.
5,Since Radio Shak isn’t around any more I can’t find this battery size anywhere. Thank goodness for Amazon!
5,Came quickly and works well as expected.
5,What I rate above. Desk clock.
1,I got these less than a month ago when I was ordering some 2032's. I decided to get some N's for an Eotech 511 that I had and wasn't using. I finally threw the N's in a couple days ago when I came across the box the Eotech was in and it seemed OK I tried it with varying levels of brightness then put it down. The next day I tried it with a chintzy ARD a little here and there and left it.Last night I picked it up and it wouldn't go on. I thought it may have been the battery connection in the battery compartment played with that but nothing. Today tried testing the batteries 1 was a littler above 1 volt the other lower around .5. This thing saw maybe a little over an hour's use if that unless I accidentally left it running (not likely) and then they  still didn't last the 250 hour life they are supposed to. Last Energizer batteries worked fine and lasted!
5,Duracell Coppertop batteries are definitely a brand you can count on for long lasting service....
5,I was having difficulty finding these in the stores these days.
5,Long life makes it useful. I don't need to change it often.
5,Ok
5,I needed it for a clock that sits on my desk. Worked fine
5,Right battery right price!
5,Love Duracell
5,good value
5,So far so good...not in use long enough to make a complete assessment.
5,This works in our small clock it great.
5,Hard to find size we'll of course AMAZON found it!
5,Always been a great product.
5,Good
5,Used this battery for a small ornamental clock.
5,This battery is an odd sized one & not very common.  When found on the shelf it is relatively expensive. I chose 5Stars because they have lasted as long as the original Duracell batteries did in my Weather Predicting gauges.  They last one year strangely and I replace every Christmas. These have NOT been batteries that have been left on the shelf & are actually quite old and I would definitely recommend them to a family member.  Also they have not leaked from use inside the Weather Gauges.  Buy them....you'll be happy that you did.
5,highly recommend hard to find and fast delivery
5,Works great
5,These are hard-to-find batteries in the typical drugstore. Ordered them from Amazon and they came in two days. They fit and work perfectly. Full power. No issues. These are the real thing
5,Long shelf life. Steady even power feedout. The go to product.
5,Works great
5,As advertised
3,One of them lasted about a month and when I realized and switched it the second one didn't work
5,Ordered wrong type
5,Good
5,Good product
5,needed it for a robot.
5,Right size for 2.5" clock. Lasts long.
4,Found these on Amazon for an old HP-41 calculator. Original batteries only lasted 20 years - LOL. I'll be dead when these wear out!
5,speedy delivery. I bought these batteries for an antique clock. happy with my purchase.
5,Work as should good quality.
4,My little device only uses the 1.5V N size batteries and I knew I could get a better deal on here than my local drug store which sells one for the price of these two. Wish I could find a pack of four or more in this size battery but two at a time is better than one for a high price.
5,Just what I needed.
5,I read a lot of reviews that claimed the batteries were old and did not work. My order came promptly fit the clock I have and are good for the next 4 years.
5,I received the item ('s) I ordered all is good.
5,Great price on these small batteries.  Hard to find in the stores but lots of selection on line and great pricing
5,I'm using this for a couple of things a remote and something else and it is going strong
5,Fresh batteries. Received what I ordered.
5,They're batteries. They work. Nothing else to say.
5,These N size batteries are no longer easy to find.  Ordering them via Amazon seems to be the fastest / least expensive method of purchasing them.  I've also ordered cordless phone batteries and calculator batteries from Amazon (no more hunting expeditions at Best Buy or CVS).  Thanks Amazon and thanks to the Amazon reseller I bought these from.  The N size batteries arrived within a few days and they were at full strength with an expiration date 3 years out.  Amazing.
5,Clock
5,It works. At much lower price than local drugstore.
5,great little batteries
5,As expected. Came early.
5,Great long lasting battery
5,Love it would buy again
5,Cheapest price and good value.
5,These batteries were bought for a clock works I had given to me. I hadn't been able to locate them locally in any store that I went too.I needed to know if the clock work operated before I went through the trouble to make a case to mount the clock in.I was glad to know that the 35 year old clockworks ran when the battery was installed.
5,Product was new in original packaging.
5,These are 1.5V batteries and they work like every Duracell Coppertop I've ever had. Very satisfactory. How much more can be said?
5,To my surprise product still worked
5,Met my every expectations. Packaged well. New product with Use By Date of 2023. Fit the clock I bought it for.
3,The batteries themselves are fine but these must be old. Only one worked. The other was dead.
2,The shape of the positive end of these batteries are shaped slightly different than the Duracell N type battery that came with item (toy).  Accordingly it didn't fit and I needed to insert metal foil to fill a gap between the positive terminals of the device and the battery.  I note that my original Duracell N battery was made in Belgium and these items were made in China.  I don't know if Duracell has changed the shape of the battery or it's an unofficial Chinese copy.  I also note that the packet is not the same as the one pictured on Amazon (as of 6/28/15).  It is much narrower does not have "medical" written across the top and the background is different - maybe a sign that's it a knockoff.
5,Brought these little batteries for a little crystal clock that I love. It only took one and it's been in the clock a couple of weeks with no problem.  I hope it last as long as the last one that was in there.  So far so good and no complaints.
5,Cool!
5,Want cheap? Buy another brand. Need your med device to work? These or the bunny 's.
4,I’m sure they work great. They were the wrong size.
3,The good news is... the batteries work. They are new in the package just like the photo. Also they were MUCH cheaper than going to Radio Shack or Rite-Aid.  The bad news... they're datest March 2014 which means they're REAL old. Usually batteries such as these should be dated at least 3 years from now - like July 2017.UPDATE - Company offers refund or will send newer batteries.  You can't get any better customer service than that.  A+ and a quality act.
5,Very good
5,They worked perfectly fine for what I needed em for.
5,Product looks and performs as advertised.
5,These worked well.
5,This battery worked as advertised as did the clock. Quite satisfied with results.
5,Quick serviceGreat value.
5,On a previous reivew I saw that someone got this for their personal massager and that the batteries where also exspired in another post. The date on mine says they wont go bad until 2018 and they worked perfectly in my massager so I have to say they have fixed up their stuff from the last time the reviews where posted.
5,Glad I found these!
5,The electronic earmuffs I use at the pistol range use this size battery.  I have had these earmuffs for quite some time and have used a variety of batteries.  It has been my experience that Duracell last the longest of any battery I have tried.  They were at a good price and arrived earlier than I expected.
5,I couldn't find this battery close to home so purchased it from Amazon. It is not something that Amazon carries but the seller processed the order and shipped the item without postage. For a few bucks this was a total surprise and very much appreciated. One of them is now in my clock and as Duracell does it works.
5,at a good price
5,they worked good
4,The item is what it says. The packaging was hilarious!  2 tiny batteries in a box big enough to hold 100 plus of them. Lol
1,Cheap knockoff. Neither battery worked. DO NOT BUY.
5,Great
5,What's not to like?  I could get in my car and drive to the store and buy one of these. Instead I click "Buy Now" and it comes the next day for usually less money than in the store. And I can pick up my novel again. No gasoline no time spent going to the store… Win Win!!!
5,These work perfect in my crystal clock.  I can't believe I paid $8 for 1 battery at my local hardware store out of desperation.
5,Just as expected. Convenient to have it delivered to my home
5,Just what i needed
5,Works as expected. Won't know how long it lasts until I've forgotten when I bought them. Once that happens I'll probably look for another low cost battery and select it. If that happens to be these I'll buy them again. If not I'll buy the low-cost ones.
5,Great batteries.They run a cool little Art Deco clock that sits in our bookcase. We call it the "bird clock" as it has same perched on top.I like the batteries too.
5,I was having a hard time finding the right size batteries at the stores around here.  Amazon to the rescue.  What else can I say they are Duracell batteries good quality and long lasting brand name dependable batteries.
5,Fast shipping cheap...better than going to the store
5,Duracell makes great products
