rating,review
4,I bought the 15 x 70 regular version (there is a Pro version) from Amazon's Used inventory. The first pair that I ordered didn't really arrive -- only the Celestron Box!!! Whether or not they were shipped as an empty box were stolen along the way or slipped out while enroute I will never know. Amazon did refund me promptly. I immediately ordered another pair again used in reported "very good" condition. They look brand new so I'm excited with the potential. Collimation or lack of is a common problem with these binoculars that have superior ratings IF you can get a pair without collimation problems or adjust them yourself.Mine had the notorious double image on both terrestrial objects and on Jupiter. I located the adjustment screw(s). You DO NOT have to damage the grip covering to reach the screws. Just simply carefully pry up the grip enough (see YouTube videos) enough to expose the screws. I just adjusted one of the two screws on one side and got them working excellently for terrestrial objects hundreds of yards away. The moon is fine. Jupiter I'm still working on. Sometimes it is fine but then I get double vision again. When I checked with Celestron I was told that it costs $93 plus shipping (to/fr California) to have them do the Collimation if the binocs are not warrantied (mine are used) or beyond 30 days on a warrantied pair. That is way more than I would pay. I'm going to keep working on Jupiter and probably keep these as the images are fantastic of the moon and terrestrial. I can see Jupiter and three of its 4 usually visible moons. I'm hoping that I can get the collimation set and I will then know that I can maintain it myself which is good to know how to do for any of these model binocs that may go out down the line.
5,Great for stargazing! The binos arrived a few days ago well-packaged and perfectly collimated. It took less than 2 minutes to adjust them to my preference. And then they opened up the stars! They are definitely heavy so if you have no intention of getting a tripod and you aren't unusually strong OR steady-handed you will either want a  tripod (more on that at the end) OR to get a smaller less heavy pair. I wanted that extra bit of power so I'm happy I chose these and I added a tripod and adaptor to my order.In my about-30% light-polluted mostly-rural sky I was able to clearly separate the 2 "fried eggs" of the Orion Nebula pick out the double and triple stars in the Sword and even find an intriguing fourth stick-figure star group right on top of the Sword that nobody online seems to ever mention. The hilt?In fact the Sword and Belt of Orion were so spectacular in these binos that I had trouble taking my eyes off of them. I could NOT separate the double-stars in the Belt nor did I get any hint of the Nebulas that are supposed to be right near the last star in the Belt but I was able to pick out quite a few star clusters. The Pleiades looks wonderful as you can just capture all of them in one shot as with most star clusters. I could easily pick out two planets in the sky (update: the second "planet" turned out to be the star Sirius) but no good detail. I'm not sure if the really bright one was Saturn or Jupiter (update: it was Jupiter) but the Binos helped me pick out a sparkling belt of (moons?) around it and it was stunning. I guess NO Binocular in this weight class is going to give you any detail on the planets nebula or allow you to do much more than get a faint fuzzy glimpse of a galaxy. But if you are happy just knowing you found something even if it's not like the pictures this is a really good option. I did NOT get the moon yet so I don't know how that will look but I suspect it will be amazing.As far as quality it seems pretty good for the money. It comes with easy-on/off caps to protect the front and back ends and as noted above adjusting them is very easy. And they stay adjusted too! That surprised me given how easy they are to adjust in the first place. Optics are about what you'd expect at this price point but I'll say that I was very impressed with how sharp and clear the stars were and how much detail I was able to get out of them. The outside has a rubber coating on it which would provide a little protection if they were banged or dropped (UPDATE: and so they did). They do have some plastic on them but it doesn't really come off as cheaply-made. My set came with a nice little carrying bag (that I will totally use) a cleaning cloth and the aforementioned caps.These will be used regularly even if I end up with an actual telescope. They are strong enough to scan the sky and pick out interesting areas but have a wide-enough field of vision to use for spotting. After my first star party I confirmed that some sky sights are actually better in these binoculars than in a telescope! I had a few telescope owners oohing at the sights from my binos (which I oohed over the extra detail available in their scopes!).Important note: Do NOT buy the Davis Vista tripod suggested by Amazon without doing some research first! The low $25 price if it's the same one they recommended to me also means that it's not actually built to support the weight of these binos - that tripod is not built for astronomy use. It's very hard to get these binos to hold still with the $25 tripod Amazon wants you to buy and trying to look upwards is very difficult. If your budget allows look for a heavier tripod that can support more weight and can be solidly locked even when the binos are on a tilt or tilted back. I think you should look for (if you can afford it):  The TALLEST tripod you can get your hands on. You'd have to be like 5' tall to find 60" acceptable for stargazing.  A tripod that can handle at least 10 pounds of weight with no problem (so you can lock the binos in place).  A tripod with good support - you'll be tilting the binoculars constantly up down and sideways and picking up the tripod frequently and moving it all around so support really matters.  The lightest tripod you can find that meets the above qualities. Again you'll probably be picking it up a LOT and moving it around.I don't unfortunately have any suggestions yet - I will be asking the Astronomy Club I just joined as soon as I can for ideas. However I'm pretty certain that you'll drop at least $75 into an appropriate tripod for these Celestron 15 x 70s so... if your budget is tight the cheaper tripod might be low-cost enough to be worth the irritation as they will nevertheless steady up the binos at least enough to improve your view of the stars.**UPDATE a week later! My beautiful new binoculars FACE-PLANTED from the above-mentioned tripod right onto the concrete at my first star party a fall of about six feet total with time to accelerate. Thunk omg yikes.THEY SURVIVED THE FALL. I picked them up and was able to see fine out of them. It's possible the collimation is now slightly off but I couldn't notice a difference.I can't give the SkyMasters another star as I'm already at 5/5 but I would if I could. All they got was a few scratches. WOW. I don't recommend dropping them on solid concrete as a rule mind you - and I might have just gotten lucky - but it's a huge comfort to know that they CAN survive that sort of thing. I won't always have the luxury of using these on soft ground.(I also found a Ravelli APGL heavy-duty tripod at about $70 that should be able to handle a lot more weight and will discontinue use of this "lightweight" tripod once it arrives. Lesson learned and I'm only out about $25 from it and these wonderful binos lived so it could all be worse.)
4,Very nice binoculars.  I can see a LOT more stars helps with light polluted areas.  And even the stars I can see with the naked eye this brings them much closer.  In my area I can barely see the Little Dipper but in these binoculars they shine like jewels.  They are a little heavy and take a steady hand and/or a tripod.  The tripod mount was easy to use and gives a similar experience to using a telescope.  I really enjoy seeing the night sky with the naked eye and these binoculars can add to that experience.  I will mention something lighter/smaller might be what some people would rather have.  I have tried very small binoculars for night viewing before and I would rather have these 15x70's than a pair of very small binoculars.
4,I just got these and also the 25x70 pair for comparison. These seem to be okay binocs for entry level viewing of the moon and planets. By day they have an odd cloudy ring around the image edge - I assume from the inexpensive optics. By night they seem okay for moon viewing though they were not true to color making the moon more yellow than it is. Eye relief is excellent and makes them a better choice than the 25x70s where eye relief was unacceptably short. I got these on sale at $75 which makes me think I might keep them. They were collimated perfectly unlike the 25x pair. It leaves me wondering though maybe the 20x80 pair would be a perfect balance - a bit better magnification and yet enough eye relief for night viewing. There's a significant price bump for the 20x80s so at $75 these are a decent value and a good pair for kicking around with without too much worry of ruining a high end pair of binocs.
5,gave to my wife as a gift and she was thrilled whith them. we own a celestron Edge HD 9.25 wich is a nice telescope but with this we have the liberty to move around and get some great views otherwise not possible whith the telescope since we live in a suburb and our views are block by trees and houses this are sharp crisp and clear...excellent.
5,First off I have 4 children who are just as fascinated with the stars moon & planets as I am. So it all started with a $29.99   Meade 20218 NG-70SM 70MM Altazimuth Refractor Telescope         in a 'last chance' 1/2 off sale at a 'fancy' chain gadget store. One full moon later and the sudden realization that there aren't enough eyepieces for eyes who want to see changed everything. One beginner 'scope wasn't enough-so I ordered another directly from Meade AZ70-A (identical optics but even lower tech than the 'firesale' purchase). Great addition as it 'had' everything that the original scope didn't but- still too many frustrated viewers and not enough views to go around fast enough!New tactics: Binoculars will work! I ordered up a variety of sizes (and quality) and now I have a pretty good idea of why these Celstron SkyMaster 15x70's are the clear winner for us. Great optics easy to use 'smallest' of SuperGiant binoculars (easy to hold view & can be left around your neck for a little while without chaffing). Also these balance almost perfectly on the included tripod mount-which means that a   Zeikos ZE-TR101A 72-Inch Photo / Video Tripod includes Deluxe Carrying Case for Use with Most Camcorders and Digital cameras.        can easily carry the load without fear of tipping over.So the real answer to 'what is the best?' is what gets the most use. I have a really beautiful fully functional   Meade DS-2114AT-TC Altazimuth Reflector         that works so nice and is a wonder to use but compared to the 15x70's-it's rarely used. Zhummel 20x80's- awesome optics- but in order to 'find' anything you really must use the tripod because of it's small field of view and shakiness after holding them up by hand for a few minutes. (4.4LBS starts to become very noticable when you are holding your arms above your heart for a while!)  Cosmos 15x60 Waterproof Binocular with Premium Carry Case         come in 2nd right behind the SkyMasters because they are slightly heavier and they don't 'look' like stargazing Binocs- blunt fat heavy when near the SkyMasters-although extremely great binoculars- explain that to the kids! The Celstron's 'feel' right they 'look' right they're smooth to focus (another reason the Barska's lose-individual EP focus is required!) can be used briefly before your arms get tired. Just long enough to know if you're going to grab a tripod another pair & maybe the big 'dumb' telescope the   Meade 20218 NG-70SM 70MM Altazimuth Refractor Telescope         which everyone is comfortable using is properly sited with the red dot & has a sweet   Celestron 93230 8 to 24mm 1.25 Zoom Eyepiece         a multicoated 3X Barlow & great manual slow motion controls.The SkyMasters actually reside in the kitchen-on top of the cabinets closest to the door so anyone can use them on really short notice! Deer in the side yard? Blue Angels over at the AFB using our shed again as a meet up point? The neighbors have a real Ferrari (or is it a kit car based on the Pontiac Fiero 2M4) in thier driveway? All other optics live in my master bedroom closet and require permission for use (and on the nicer stuff-adult supervision). But @ $51.00 delivered to my door-nothing comes close in price fit & finish optics/$$'s spent & ease of use.This sounds a little crazy but I'm going to put it out there. These binoculars are also beautiful to the eye they feel properly weighted are rock solid (yes my 7 year old dropped them but 'it was an accident!') and have kept their collimation over time. My only modifications are individual eyepiece covers & a wide orange neoprene neck strap. The soft bag has held up the lens covers are still used and kept in the bag with a lens cleaning towelette. Why Orange for the neck strap? I can yell out the window and gently 'remind' my kids to put it on when they're using the binoculars-orange is really quite visible-even in fading light. FYI I leave the tripod mount attached to one of the quick release plates-and leave it on the tripod all of the time. It;s used so often it gets it's own 'dedicated' $23.99 tripod and nothing gets lost-because it's always mounted.Buy them! Use them with abandon-all day & all night long! Do buy a tripod for stargazing-it's the only way my partner got interested. "Honey check this out" all focused in in the center of the field of view. Yes I had to do it often to get her started but now she's willing to supervise 'ours' their friends & neighborhood kids (at any given time) and doesn't even mind lugging out the variety of inexpensive telescopes & tripods as well as other pairs of binocs when the crowd swells.Update: After multiple months of constant use by adults & children-they slipped out of collimation slightly. Sadly there is very little information contained in the owners manual (napkins would be more helpful!) however a long web search and reading a variety of sources mulpitle times I have 'tried' to adjust the internal prisms ever so slightly-without creating cat's eye exit apetures. I have now created 'conditional alignment' instead of proper collimation but-both my partner & I can use these without developing eyestrain. So they continue to provide constant & reliable service-again at a very moderate price. Also they are still the 1st optics out the door-every time. Easy to use easy to set up quick to break down- 15 minutes is all that is needed for a 'viewing' session & enjoyment. Please note: these are not Fujinons or Swarowski optics- and just provide increased magnification for the majority of the field of view! Don't expect perfection just use & enjoy your 'value priced' binoculars!
5,The SkyMasters arrived carefully packed and collimated.  One negative I noted is the narrow neckstrap included.  It's much too small for a pair of binos this size and I'm sure it would leave a "rope burn" on the back of my neck if I use it.  To correct this I removed the MUCH BEEFIER strap from my old Jason 10 x 50s and attached it to the new SkyMasters.  Problem solved.The other negative is the flimsy nylon carrying case.  I would prefer to have a hard carrying case to help prevent the binos from being bumped out of collimation during storage and transit.  For this reason alone I considered giving the SkyMasters four out of five stars but this issue isn't related to the performance of the product itself.Many reviewers have commented on the weight of the SkyMasters.  Yes they are definitely heavier than my 10 x 50s but I expected them to be much heavier.  They are surprisingly easy to hand-hold.  Those folks who have difficulty with the weight may find it easier to hold the barrels near the objective lens to distribute the weight evenly.My first night using them outside was a real treat as I did a quick star test to determine star color accuracy and brightness.  I looked at three of my favorite stars - Deneb Sadr and Mirfak.  I swing the binos up to the northwest and check out first-magnitude Deneb (1425 light years away) in the constellation Cygnus.  It's a rare A2Ia (white-hot supergiant) star about 108 - 114 times the size of our sun shining with an astounding luminosity of 54400 suns!!!  It marks the top of the Northern Cross in Cygnus.  If Deneb was put in place of our sun right this moment earth would be roasted instantly!!  Through the SkyMasters Deneb appears as a brilliantly-bright sharply-focused white point of light!  Magnificent!Just below Deneb in the same constellation I scan down to mid-second-magnitude Sadr (1830 light years distant) an F8Iab (yellow-white-hot supergiant) star nearly the same color and temperature as our sun but an enormous 183 times larger shining with a fierce luminosity of 60000 suns!!!  The SkyMasters reveal Sadr's beautiful light yellow hue.  Stunning!Now I swing over to the northeast and up to check out second-magnitude Mirfak (590 light years away) the brightest star in the constellation Perseus.  It's an F5Ib (yellow-white-hot supergiant) 62 times the size of our sun and 5000 times brighter.  Mirfak appears similar in brightness and color to the yellowish-white light of a car headlight seen about 1/2 mile in the distance by the unaided eye.  Impressive!Since the bright first-magnitude star Capella is nearby in the constellation Auriga I pan over a short distance to the left.  Actually Capella is a binary star system consisting of a G8III (yellow-orange-hot giant) and G0III (yellow-hot giant) star in very close mutual orbit around each other.  The combined light of both stars is similar in brightness to the yellowish-white light of a car headlight seen about 1/4 mile in the distance by the unaided eye.  Very bright indeed!To really appreciate the light-gathering ability of the Celestrons first look at your favorite stars with your old binos.  Then view them through the SkyMasters.  The star brightness from 50mm to 70mm aperture is substantial and is enhanced by the SkyMaster's BAK-4 prisms.  What I once thought was bright with my Jason 10 x 50s with lower-quality BK-7 prisms now is dim compared to the SkyMasters!The SkyMaster's 4.4-degree field of view can make it a bit challenging to locate a star unless you're familiar with the constellations and know the location of the star and its color.  I found that aiming the SkyMasters in the general direction of the star placing them to your eyes and raising them up a little higher will place the star in the field of view.The center focus dial and right diopter eyepiece rotate smoothly through their full range of motion and are easy to turn even with winter gloves on.  I didn't detect any tightness or looseness in either dial.Because of their weight and higher magnification there is a considerable amount of "star dancing" when viewing a star with the SkyMasters.  This annoyance is much more pronounced than it is with my 10 x 50s.  Previous reviewers have touched upon this as well and have remedied the problem with a tripod.  I'm still trying to find other ways (if there are any) of steadying the SkyMasters short of purchasing a tripod.  I want to maximize the SkyMaster's "ultimate portability" by swinging them from one area of the sky to another rapidly to compare star colors and brightness without having to move and re-station a tripod over and over again.There you have it the biggest advantage of the SkyMasters - ultimate portability!  I've had two telscopes in the past but got rid of them both.  Wasting time setting up the scope fishing around trying to locate a star then seeing a fuzzy "blob" with one eye closed once I did find the star wasn't fun.  Let's not forget having to tear down the scope and store it away!  More time wasted.Now if I want to check out a few of my favorite stars after supper on a winter night - no problem!  Just throw on a parka hat and gloves grab the Skymasters and step out in the back yard for a quick view.  Ahh Wezen sure looks beautiful tonight!
5,Love these binoculars.  They are longer than a standard 10x50 (ofcourse) but I don't find them heavy.  The "strap" it comes with is not as pictured and very thin.  I would not use it.  I used a neoprene camera strap instead.  These were easy to focus and find my IDP.  No glasses needed for presbyopia but the eyecups do accommodate them.  I would recommend the Celestron brand and purchase again.  No eye fatigue just a clear picture!
5,This posting begins with a discussion of some core information about binoculars for astronomical viewing that may help potential purchasers make a more informed purchase decision.If you have other viewing objectives than astronomical objects or are already familiar with binocular specifications you may want to stop here or just read the latter part of this review before going on to other postings; otherwise read-on.There are two models often used in astronomy roof prisms or Porro prisms binoculars. Roof prisms are more modern and have a straight through appearance i.e. the binocular cylinders form straight tubes. Porro prism binoculars (named after Ignazio Porro) have a tell-tale right angle bend. These usually are manufactured with two prism on each side of the binoculars i.e. double Porro prisms. Although considerably larger in size because of their improved optical qualities Porro prism binoculars such as the model reviewed here are usually preferred over roof prism binoculars for astronomical viewing.Another important aspect of binoculars is the size of their exit pupil. Younger folks have pupils that can open dilate to a maximum size of slightly over 7mm. However as one gets older the size of this window into the eye reduces. Over the age of thirty most folks have a reduction in their dark adapted pupil size of approximately 1mm every 20 years. The exit pupils for a pair of binoculars should ideally approximate the entry pupil of the observer's eye. Some suggest an even smaller exit pupil size see below. The size of a binoculars' exit pupil is found by dividing aperture by magnification. For example common 7 x 50 binoculars (7 power by 50mm) have an exit pupil of approximately 7.14mm. In practice this exit pupil size is larger than many adult's dark-adapted pupil size particularly when some extraneous light is also present. In most viewing environments such as in or near a city such extraneous "light pollution" is almost always present. In addition the periphery of the eye's lens exhibits some inherent optical degradation. Thus an exit pupil size around 5mm may be preferred although some experimental evidence suggests an exit pupil even less than 4mm may be most appropriate. These 15 x 70mm binoculars have an exit pupil of approximately 4.7mm resulting in more of the light exiting the lenses entering the eye than might occur with e.g. 7 x 50mm binoculars.Possibly the most important consideration when choosing binoculars is their light gathering ability. Binoculars are essentially "light buckets". As noted the human eye at its widest has about a 7mm entry window. A 70mm objective lenses as here has over 50 times the light gathering area of the human eye. Another factor affecting the light transmitted through binoculars are the materials used in their lenses and prisms and their lens coatings. The least expensive binoculars have uncoated lenses or single coated lenses or may even use plastic lenses. Multi-coated binocular lenses and BaK-4 barium crown glass prisms as in these Celestrons are typically more expensive but improve light transmission resulting in sharper and  brighter images.The best eye relief i.e. the eyes' distance behind the exit pupil to see the full exit image is probably between 15mm and 20mm. These binoculars provide 18mm and additionally come with rubber eye-cups. Thus I've been able to use these both with and without glasses. I use lightly tinted sunglasses when viewing the moon to see more detail.  In that case I leave the eyecups down.  When viewing without glasses I leave the eye-cups up.In use I've found these binoculars' images sharp and with adequate contrast to enjoy star clusters such as the Hyades and Pleiades along with the moon and planetary observations.  Its primary negatives are its size and  weight. This pair is large although slightly smaller at 11 x 9 inches than the 12 x 10 inches described in the listing.Owing both to their size and weight as well as their relatively high magnification they are not comfortable to use hand-held for any but the shortest period of time. For many the best binoculars are ones that can be strung over the neck and easily hand-held.  These are definitely not such a pair. Because of their magnification the slightest shake moves the astronomical object out of the field of view. Fortunately they come with a tripod adapter. However  for many the need to use a tripod runs counter to the desire to have a "portable" pair of hand-held binoculars.  For these observer's a smaller 50mm pair of binoculars is probably more appropriate.However even recognizing these binoculars cannot be hand-held for any extended period they are probably one of the best choices for astronomical observers who need relative portability compared to a probably more cumbersome and expensive telescope. Perhaps surprisingly they are also quite a useful adjunct even when using a telescope.In summary these binoculars allow for considerable additional exploration of astronomical objects compared to the naked eye. However a tripod or support for the arms is required for extended observations. Highly recommended.
5,I purchased the 15x70 Celestron Skymaster Binoculars primarily for casual astronomical viewing. Most of my remarks and observations center around using them for deep sky scans.First the basic stats:Magnification: 15 power (50% greater than 10x50's)Objective size: 70mm (equivalent light gathering power twice that of a 50mm binocular)Field of view is 4.4 degrees or 230 ft. at 1000 yardsA surprising near focus of a mere 43 ft.--exceptional for this type of binocular.Eye Relief: 18mm so one can wear eyeglasses--providing the rubber eyecups are folded downExit pupil is 4.67mm (only .33mm less than 10x50's at 5mm)Other stats: Center focused; BAK-4 prisms Porro design; Multi coated (but not fully multicoated) optics; Tripod adapter included an extra value (3 ½ inch vertical clearance).  Case with strap--the latter the weakest part of the whole package.During daytime we used it for scanning distant wildlife and mountain ridges. Excellent performance. Tripod adapter best used when viewing level or slightly above level angles. I found it too tedious and straining to attempt oblique views with a conventional photographic tripod. A tip on holding it steadier by hand: rather than grasping it the normal way try holding each 70mm objective end with your hands.For amateur astronomers and novices wondering what you can see and its limitations here are some notes in viewing familiar objects: Jupiter is readily resolved as a disc but seems too bright to see its bands. Its four moons can be easily seen (when in view); Saturn was near the sun but I think one may be able to resolve or infer its ring shape; Compared with a traditional 7x50 or 10x50 binocular The Pleiades (M45) the Lagoon Nebula (M8) M35 in Gemini and the Orion Nebula (M42) are all breathtaking. So are the Scorpius open clusters M6 and M7. M13--the great Hercules Globular Cluster--was tantalizingly larger than the fuzzy spot I saw in my 10x50's. If you have a favorable southern horizon the globular cluster M22 in Sagittarius also exhibits size. You can resolve some of the Wild Duck Cluster M11. The shape of the Beehive open cluster (M44) in Cancer can be traced. Given a dark night the Andromeda Galaxy (M31) almost sprawls across the entire field of view with the companion galaxy M32 glimpsed as a fuzzy smudge. Even under urban and suburban skies M31 does show expansive width. Both the North American and Pelican Nebulae near the star Deneb at the top of Cygnus the Swan--the Northern Cross--can be detected on a dark night's viewing--with patience. The colorful double star Albireo (at the opposite end of Cygnus) can just be resolved if you can manage a steady view. Mizar & Alcor in the Big Dipper's handle are easy to separate. I found it difficult to keep the stars in the Pleiades from dancing across the view unless I used a flat surface to lean on or a tripod.In terms of field of view (4.4 degrees): You can see the entire belt of Orion in one field; you can capture the entire sword--including M42--in one field of view; The near parallelogram head of Delphinius the Dolphin fills a field; So do the Coat Hanger and Kemble Cascade asterisms respectively; In Lyra Vega and the stars epsilon and zeta fill a field. The latter two are revealed as double stars. So also is Castor in Gemini. The Perseus Double Cluster and nearby open cluster Stock 2 can fit in one field but in urban or moonlit settings this is more of a challenge. The three delightful open clusters sprawling across Auriga can be seen two at a time: Either M36 and M38 or M37 and M38 respectively. One of the four keystone stars in Hercules eta can be positioned with the globular cluster M13 also in the same scene. As the field of view is less than five degrees one cannot place the pointer stars in the Big Dipper in the same field nor contain the entire of the Hyades in Taurus. The central four stars in Cancer the Crab are just barely outside the field.I also own a pair of Celestron OptiView 10x50's and have found the increased magnification and light gathering power of the Skymaster 15x70 worth the price to upgrade. In a quick comparison the increase in apparent size of Jupiter's disc in the latter is quite noticeable as is that of M13 and M31. There is a pair of stars several degrees west of M13 that appears white in the 10x50's (at least to my eyes) yet are a stunning red with the 15x70 Skymaster. The moon of course can be seen with greater clarity in the Skymaster yet it does not fill the entire field of view. The down sides--and no surprise here--are that I can hold the former much steadier and see more of the sky with the smaller binos. There is also some chromatic aberration with the brighter objects like Jupiter but then again for the price point (about $60) that's part of the game.All in all I find the Skymaster 15x70 an excellent investment for the price. I've already relegated my trusty 10x50's to backup and use the Skymaster to quickly and effectively tour the heavens on nights when I don't want to take the time to set up my 8" SCT. I'd especially recommend it as a portable alternative for those considering purchasing the typical 60mm/2.4 inch department store telescope. The caveat is that one will have greater satisfaction with the use of a tripod or other means of steadying for sustained observing of stellar objects. I suggest acquiring a different tripod adapter such as the all metal Celestron Binocular Tripod Adaptor (#93512-A or equivalent) to alleviate some of the strain of viewing because it extends the height and clearance from the tripod an additional 1 1/8 inch vertical dimension beyond that of the supplied Bakelite tripod adapter.
