rating,review
5,Installed these on our boat and so far they are excellent!
5,outstanding bright sound for under $100!!  Do not listen to negative posts.  I would consider myself an audiophile and these speakers truly exceed my expectations!
5,After browsing outdoor speakers for over a year I took a stab at the Yamaha set. Reading some of the reviews I was really worried they would be lacking in bass. But I just couldn’t find 6” or bigger speakers for under 150.I’m doing this on a light budget and the speakers have to be mounted on my shed so I really couldn’t do a large speaker. Turns out these 5” Yamahas are fairly small so they are the perfect size and don’t look goofy on the shed.I paired them with a Fosi 100*2 BT20AS baby amp and I’m literally blown away how great they sound. For under 200 I have a fantastic backyard sound system. I took an old Echo Dot and fed the audio into the Fosi and I can control the music with Alexa.If you’re a reasonable human you’ll understand these speakers are not going to sound like a night club. But I’ve heard some nicer and much more expensive outdoor speakers and I could not justify spending that kind of money after hearing these.To reach his own I guess.
5,Had these installed on the outdoor patio at the old house. Moved to a new place and had to get another pair for the deck. Great boom for the buck. Would and have purchase again.
5,Are they serious? Don't believe any of the less than 5 star reviews you read on these speakers. For the money alone they're an incredible value. Had these been $150 speakers they'd still easily justify a 5 star review. Add to that the fact that the overall sound is very clean clear & defined. Well balanced. And very adequate output level for what these speakers were intended for.I've been buying high end audio gear for almost 30 years - these speakers sound amazing!! And the fact that they can stay outside 8 months of the year without any worries makes them even more incredible. I live in the northeast - who sits outside on their deck in Nov Dec Jan Feb anyway??? In other words as others have mentioned don't leave these out in the extremes of winter.Here's some tips for better sound -*Have the speakers at least 8 to 10 ft apart preferably against a wall with the speakers aimed slightly inward towards your seating area.*Some have mentioned that these speakers don't have good bass response. If at all possible mount the speakers so the back is facing a wall. This will make a huge difference in sound reinforcement. A cornered wall even better. I didn't mount the speakers at all - I simply have them against the back wall of my house laying directly on the surface of my deck - which also helps the bass. The more direct contact any speaker can have with a floor will greatly enhance the bass sound.*Don't cheap out on your speaker cable!! Anytime you're considering an outdoor speaker arrangement you have to consider pretty long runs of speaker cable. Mine is 100 ft (50 ft per speaker). Anytime you're talking about cable lengths of that kind of magnitude you HAVE to get high quality cable. Otherwise you're probably losing half your power output along the long runs of cable. This is also the reason the speakers are rated at 6 ohms instead of 8 ohms (8 is pretty much the standard for most indoor speakers )  The lower ohms means lower resistance. This means the speakers will "pull" more power from your amp to compensate for the longer cable runs. Very smart on Yamaha's part. Shows they know what they're doing.For the most part you just really need to be realistic about what you're expecting to get from a $60 pair of 3 pound bookshelf sized speakers. Use common sense. These are not built to rattle your walls. These are not PA speakers that are going to cover 2 acres of ground with wall to wall "live concert" level sound. They're for sitting on your deck with a few friends and listening to conversational level music. If someone wants more pounding bass for outside I'm pretty sure someone makes an outdoor subwoofer. I've actually got 1 acre of property behind me and I can hear these quite well at the back end of my propoerty if I crank them up.
5,Great sound for the price point bigger speakers then I expected. Worth the purchase!
4,This speaker is good value.  It won't blow your mind but it's perfectly adequate for outdoor use where utmost audio quality isn't critical.  Mounts fairly easily and blends in to an eave corner pretty well.  I have a pair of the larger versions that are still going strong after about 10 years outside FWIW.  Recommend.
3,These look good very easy to set up and sounded great….while they lasted.  It’s been two Sunmers and one has completely stopped working.  I live in cold weather and even brought them inside during winter months for storing.  Typically I’ve had great luck with Yamaha speakers but a bit disappointed given these only had two summers of use.
5,The media could not be loaded.                                                                                 This product has amazing sound quality! Easy to install
5,Theses produce great sound for there size
