rating,review
5,Its a 50' cat5e cable. so it works.
5,I literally needed all 50 ' of this cable it's the proper gage to maintain my wifi speed
4,Mediabridge Ethernet Cable (50 ft) – Supports Cat6 / Cat5e / Cat5 Standards 550Mhz 10Gbps – RJ45 Computer Networking CordA hero with a shroud... and a beltProsRubberized shroud protects lock leverGood amount of insulationBelt to tie cable for storageConsI wish additional belt was included for tidier storageThere's something exciting about characters enveloped with shrouds and belts. And there's a networking cable that is equipped in a similar way... and really helps: Mediabridge Ethernet Cable.Most of us ended up having to or liking to work or socialize from home recently learned to use computers and internet connecting devices along the way. In the beginning WiFi was enough for my occasional social meetings but when I realized that video conferencing was needed I found that WiFi was...iffy. So after trying WiFi extenders I decided to run a length of 50 ft of Ethernet cable from my router to the computer I setup for video conferencing. After some research I choose the Mediabridge Ethernet Cable.From simple ping tests to video streaming off YouTube it showed me it worked fine with my current provider and router. Based on this my assumption about gaming is that this cable should do fine for the playing set. Networking tech folks possibly have better tools to test it the bit level but for me this solution is wonderful. The insulation used on it is beefier than your usual Ethernet cable run which makes the cable more 'kink-resistant' than the average.Did I mention a shroud? Yes. Each RJ45 connector is shrouded by a rubberized cover that prevents the lock lever to be bent upwards downwards or teared up by accident. Compare it with a 'standard' RJ45 connector on a cable in one of the series of photos (all photos (c) 2021 by reviewer) which has the lever already bent inwards and weakened or the other photo were the lever already broke off.And about that belt while many wire providers sent their cables tied with a one-time use plastic or plastic and tin core tie or just a plastic tie rod Mediabridge provides a reusable black tie to tidy up the cable for storage. Nice.I wish they provided an extra belt to tie the cable at 2 extremes of the cable coil for tidier storage. And of course I hope that the cable will last for a long while: we'll see. But you can count on this one if you need a cabling solution that is easy to continually deploy and store. I grant it 4 of 5 stars.
4,50 long fast and good quality
5,Works as advertised
5,Worked great at a great price!!
4,good for price. works.
5,Works well and is 50ft. Haven't had any issues and does what it needs to.
5,no
5,My room is on the bottom floor and the router is on the second. This cable is long enough to go from my room to the router with no issues highly recommend!
5,I needed a long ethernet cable to reach my computer and this has done the trick. 4x my internet speed because the router was behind a wall and now I have this ethernet cable.
5,I use this cable for my home CCTV system it works great connected it to my Wi-Fi for signal strength go to my camera perfect
5,Simple and neat cardboard packaging along with a velcro strap to tie the coil of ethernet cord with. Would buy again for internet routing needs.
5,Works great for my cam
4,The Wi-Fi part of my laptop busted???? And I bought this and it works. Only use computer on internet couple times a week. Saved me from having to buy new laptop. So far it works but only used one time  I don’t leave plug in when not in use.
5,Works really well and is quite sturdy. I'm a digital nomad and I travel with it everywhere.
5,There is not too much for me to say other than it does exactly what a Cat 6 cable is supposed to do.  No problems to report after using for close to 2 years.  The 50 foot length did transmit signal just as well as all the shorter runs I purchased.
5,So I got this cord to do a run from my basement to my first floor where my main computer is. The previous owners had a tiny hole in the floor where they ran coax and they must've put the terminals/heads on afterwards because the cable wouldn't fit through it with the end on. A bit of widening and one coax cable removed and I'm now ready to install my 50 foot run. Only thing was the head was a wee bit too big and me being stubborn just rammed the cable through.It worked gig speeds and no dropped packets a perfect 5/7 (10/10).UPDATE: 4/24/22: Was putting carpet in my computer room and accidentally sliced through 2-4 wires of this still had full 100mbps (not gigabit) even with the destroyed wires. Went ahead and ordered a new one to replace the old one and had to literally hammer it through a hole that was just a wee bit too small. I smashed the crap out of the shielding right behind the terminator and it is working perfectly regardless. These are durable cables!
5,Works as advertised
5,I like the way the cable is made and the speed it gives for gaming.
5,I've been using Mediabridge products for some time now and they have never disappointed! Their cables/lines are high quality professional products that perform great. I highly recommend Mediabridge products!!
5,Currently using 2 of these cables one for my Xbox in my living room and one in my office for my desktop pc.Long enough to run through my walls to reach my electronics that way they are on a hardwire connection instead of wireless. I can game all day without a single problem unlike before on a wireless connection. Would defiantly buy again!
5,Great quality and half the price of in store
4,Usable
5,When recently receiving a "free" upgraded service to 150 Mbps internet connection I had my doubts. So naturally I navigated to the trusty SpeedTest dot net to confirm that this wasn't just more fake news.After testing I was receiving some 120s to 140 at times over the airwaves - while higher than the 100 Mbps I originally signed up for it wasn't quite 150. Hot and bothered I came up with my own - non technical - theory. I knew my wireless card in my computer was is totally capable of receiving all 150 of them mega babies my router was broadcasting but there had to be an outside force in the air swatting some down.I did what all home owners would do naturally... I had a few local companies quote to re-configure my houses HVAC and add an air purifying system to reduce the crud in my air slowing down the internets. However after realizing how time consuming the project would be I figured maybe I should start with this $9.95 cord-o-blue. (Which came next day)Sure enough I was now blasting past 140 to over 170 Mbps. Attached is an image tested with WiFi and hardwiring after.In the world of WiFi's - sometimes being hardwired is a beautiful thing.Disclaimer: I'm still rocking a late 2013 iMac with 802.11ac Wi-Fi wireless networking;2 IEEE 802.11a/b/g/n compatibility. My Nighthawk router is approximately 10ft (~3 meters) behind me.
4,I purchased this ethernet cable to run from my AT&T modem router to a bedroom on the other side of the house. Running a cable through a low pitched attic crawl space isn’t fun!After running the ethernet cable I connected it to my laptop and ran a speed test. I was only able to get 58 mbps. When I run a speed test on the Wi-Fi signal it’s 115 mbps download upload. I called AT&T support but they did not know why I did not have a stronger signal wired directly from the modem? They did suggest that I log into the Wi-Fi modem and see what Devices may be connected to the Wi-Fi router modem.
5,This is a solid cable with good cable ends and no communication errors i am recieving full bandwidth throughput it is well worth the low cost
5,I love the length of the cable. It works perfectly.
5,this chord makes it good for a computer that is on the other side of the room
5,I needed a long cable for my flat panel installation. This cable was perfect for the task. Wall port to hub then hub to various pieces of equipment. Works great.
4,I've bought many network cables over the years mediabridge makes a quality product.
5,I bought this for reliable connection during virtual meetings.  Well worth it.  Quick shipping; excellent product and value for money.
5,I bought this back in May 2020 when I started working from home. I have my computer hardwired to the router and I have zero complaints with the ethernet cord. My only bummer is it is a lot cheaper then when I bought it! I had tried other cords prior to purchasing this one and the connector would always get snagged and eventually break off. I really like this cord with the little protective covering so it doesn't get snagged. I live in a Hobbit sized house so the length is even longer than what I really needed but I'd rather have more than not enough. I'd purchase this again if needed.
5,I just needed to find the right equipment to set up a new workspace at home. Packaging was good. Cable was in excellent condition. Doing the job it needs to do.
5,able to make better connection to remote tv from main unit
5,Do you want a cable that works? Cool. This one will probably do that for you. Mine sure did.
5,I finally got tired of the lag I get while playing Overwatch and COD: MW on my PS4. I am in the same room as the modem/router and the internet just keeps on dropping to the point that I am losing gun fights I should be winning.Since I have gotten it I have no internet connection problems extremely better download and upload speeds and FPS has also gone up!Little tip for reader: Please measure the distance between your modem/router to your console or PC before you buy. I over estimated how much I need and 50ft is overkill but that is completely on me and not on Mediabridge.
5,This cable is exactly as described.  It's flexible enough to wind behind furniture bookcases filing cabinets and through a wall.  Two things that make it worth the time to write this review.1. GREAT PRICE. You will likely never be able to find this 50 foot ethernet cable locally at anywhere near this price. It was so cheap compared to local stores in fact that I was reluctant to buy it. But am sure glad I did!2. QUALITY. The feature that makes this cable worth buying (even if it were far more expensive) is the solid heavy duty clip that click/locks it into place. I haven't bought a new cable in several years so I don't know if all the new cables have changed.  Older cables often had puny weak clips that would break off and then the cable would fall out easily.  Mine were always breaking. You'd probably have to work at it to break off this one. I used it to hook up my Mac desktop to my modem. Far faster and more secure than wireless.  I didn't test the speed but it already seems faster than the much older cable I replaced. I'm happy with it.
3,It works great until you have to put it away. It twist and tangles more then it should. I ended up just purchasing a flat cat6 cable and it works much better for one that has to disconnect their cord every night.
