rating,review
5,It’s for my printer and it works perfect
5,i like them
5,Great
4,I have an hour printer and this is the appropriate ink to use. It’s expensive though!
5,This is a correction to a feedback I submitted. The rating and comments were erroneous. There were no issues with my product. I though it was another item. Don't know how to make it right. My printer "accepted" it. No issues.
4,Ok standard purchase
4,The product is good. I like getting the combo package. However the color vs black never seem to run out at the same time. I do alternate between this and the 901XL Black when I don't anticipate needing color copies because it lasts longer!
4,Can't comment on anything specific.  Biggest plus was availability.
5,Received my order quickly and in great condition.
5,I've purchased the 2-ink cartridge before.  It's a great price.
5,I bought the black ink July 2021 for a home printer that I don't use very often. Theres a 1 month guarantee. By the end of August 2021  it was printing paragraphs of black smudges. I tried to take a picture to show you but Amazon isn't allowing it right now. Don't waste your money on this product. You will be disappointed.
4,These cartridges worked well for the printer I had.  Recommended for anyone needing the HP 901 ink cartridges.
4,Not sure why name brand (HP in this case) printer ink cartridges are so expensive but it does explain the knock off brands and substitutes
5,Printing pictures which came out great
5,EASY  FAST TRANSACTION SPEEDY DELIVERY ITEM AS DESCRIBED
5,It's great we can find hard to find ink online and get it right away
5,why buy one at the store when you can get 2 for the same price?  I don't print alot but when I do I want my printer to be ready for me.  This is the same thing you would pick up at the local Big Box store and for a whole heck of a lot of less money.
5,This is the size cartridges that come with printers when purchased.  After installing both of these cartridges they produce high quality color and print.  They do not have an expiration date on them as the large capacity cartridges do and contrary to other peoples posts the expiration date does matter.  If you install a cartridge after the expiration date the color will not be what you expect and I learned this the hard way.  Twin packs of large capacity at discount stores are attractively priced however if you don't do a lot of printing the color cartridge will be affected and you will end up buying a new one.  The Black large capacity didn't seem to be affected.  It is my hope that this information helps others who like myself limit the amount of color that I print and got bit by the expiration date on HP cartridges as they are put there for a specific reason.  Always get the longest expiration date as possible.
5,I feel like ink never lasts to justify the cost.
5,The ink I needed when I  needed it at a good price. 👍
5,good HP product
5,This was a steal compared to what Office Depot wanted for these same cartridges! Proud Prime memebr! Shipped very quickly!
5,The 901 ink cartridges were exactly as expected…..good quality!
5,got here quickly
5,I’m grateful that the shipment came very quickly. This ink is always good!
5,Worked very well.
2,No sirvio
4,The way it was shipped is kind of crazy.  One small box in a huge box!  What a waste.
5,I have been using the HP office jet 901 black and color for over 3 years with my Hp Office Jet-J4580 All in one- faxscanner printer . Only had to replace the color once. I think it works very well for my printing requirements.i AM NOT A College student so I'm not using it everyday but i do sell Avon and once a week or more I am printing up 16  or more orders twice each copy one for me an for them.It works great for my requirements.printing up my Christmas lists right now and ran out of Black but pre-ordered from Amazon so neatly sitting here on the shelf waiting to be used...LOVE LOVE LOVE AMAZON ****************makes me smile******cost effective ....delivery effective love Amazon PRIME my whole family have joined.....i tell them the great service i get and now we have about 35 more Gartners using Amazon because we brag....Thank Amazon and YES u may thank us>>>>
2,Cartridges seem to print normally . Made in Malaysia. Wish they were made in the USA providingAmerican jobs.Can't vouch for the longevity aswell I just installed them and started using them.Took about 2 weeks to arrive so not the best on that butthey made it and work fine. Don't know if Iwould purchase from this seller again though.
5,Used for my regular printer. Works well but haven’t had long enough to check longevity. The product came sooner than in the ad. Great!
5,I purchase this ink brand and this ink brand only to use in my printer because every other ink brand is just a knock off to the original brand. I love sticking with the brand that you are suppose to use in electronically items such as printers and phones. I have tried other brands due to a cheaper price but i got exactly what i paid for a cheaper brand that dried out or didn't work at all.I am sticking with HP always for my Hewlett Packard Office Jet 4500 4 in 1 .I will definitely be recommend that everyone stick with Hewlett Packard ink  cartridges for their Hewlett Packard products
3,Got an error msg when installed the two cartidges about the black cartridge being wrong. Cant use the printer
5,These inks work great with my HP Printer The HP Office jet J4580. These are the original inks from HP so you will pay about $40 or so dollars for them unless you can find them on sale. The quality for them is well worth it considering that they will last for quite a while.I find the print quality very good for the price I paid and I'll be buying again when I need more ink.Tip: to keep you inks from drying out print something at least once a month
4,These are the genuine cartridges from HP.  They work great and last a long time. The print quality has been consistently good.  I really like that they don't seem to mind if they're not used for a few weeks.  On another printer I had if you didn't use it almost every day you'd have to go through a cleaning cycle with the cartridge.  Not so with these.  My only complaint is that manufacturers ink cartridges are pretty pricey.  I guess they make a lot of money selling these.
5,It's a cartridge for a computer printer not much to say about it.  It works with no problems.
5,I purchased these on Amazon because it is a better price than my local office supply store.  I am very pleased with the price and quality of the product.  I was concerned it may be older stock that is being sold online but that is not the case at all.  It works great in my printer and last just as long as printer ink purchased at a brick and mortar store.  I intend to continue to purchase this printer ink online.  The quality of this printer ink and price is excellent.
5,Installs well into the printer.  Long lasting.  Everything you'd expect from an HP product.
5,The HP Product is great!  The best thing is I ordered from Amazon Monday and received it (as promised) early Tuesday morning!!!
3,The ink worked well for the printer it was designed for. Both colors printed well and the final print job was good. I was only able to print about 100 pages of the black ink before it ran out which I was very disappointed with. They were 100 pages of a regular typed document with no B&W pictures to eat up the ink. Even though it wasn't an XL ink cartridge I expected better than that. The other issue is that it is extremely overpriced compared to off-brand ink toners. In fact the off-brand ones printed more pages per ink cartridge and the ink color was more defined. I'd suggest saving your money and buying a cheaper option than the brand ink. The off-brand works even better.
1,Did not last any time.  Did not print even 100 pages more like not even 75…crazy!!!
4,Didn't last long
4,Not much product for price
5,For printer when working from home
2,The color cartridge only prints the color yellow. It is defective.
1,This was not a combo pack it was two different cartridges and expired 6 months ago! This is unacceptable.
5,….
4,Fantastically OVERPRICED - But this is usual as HP (and all others that I know of) build printer units using the "FREE RAZOR EXPENSIVE BLADES" concept. Yes they are good cartridges but I dislike their sales tactics - Cheap printer expensive ink.
5,Liked the easy out with the old in with the new.
5,It was  just as ordered  correctly for my printer
4,for my printer
4,It's HP. They don't last very long and it's probably cheaper to buy a new printer
5,Great value!
5,This product is ink used to go into my printer so I can print documents.
5,It works great it lasts for a long time
5,It is clear and lasts a long time
4,Price right didn’t print the color no clear until you print 4 to 5 page to get it the right color
5,Na
5,Got within 48 Hrs and at a good price!
5,I purchased HP  ink cartridges from other sellers and the cartridges didn't fit my printer (NOT authentic) and I wasn't able to return or exchange them. Also other sellers send dried out cartridges when I purchased in large quantities.  I'm greatly pleased with these and the quality of the print is outstanding.
5,Just short and sweet here.... I am a grown girl student...going to school online not only do I write a lot and print it out.But am currently printing my electronic textbooks because I had a boat load of paper and my Kindle fire HD isn't here yet... So my HP Printer gets used a whole lot...and I have found that if you want quality printing and dependable printing go with HP and use genuine HP ink cartridges...I have branched out lately to try a refurbished set of both the color and the B&W don't know if I will like or not but it was worth the price to check em out in meantime I am still using the real deal!!!! ...:)
5,Works great  and fast shipping.
5,I can't shop like I once did & I'm having to order many things I couldn't get to office depot all I had to do was get on my computer......This made ME A HAPPY CAMPER.....THANKS
5,This cartridge is just what my printer needed. My order came quickly and well packaged.
5,N/A
5,Quick shipping and was the product that I need for the money
5,👍
5,I always use HP products
5,Works for my printer and price is ok
5,The results are great  however I thought it would be less expensive but it wasn'tI will always shop Amazon
1,I am very disappointed in the  HP 901 2 pack ink for printer. I bought it a couple of months ago but did not open it up until recently since the expiration date was stamped Sept 2021 (there was a pen mark crossed out under it). I wouldn't be surprised if the date was falsely stamped on by the seller. After I put it in my printer my pages were not printing out clear. I opened the printer up and noticed that there was purple leaking from the color cartridge and the black cartridge was printing blurry black. Shame on the seller since the ink was probably not stored correctly and possibly damaged the cartridges.  I paid $50.00 and could not use the cartridges at all. Poor product quality.Feel free to get in touch with me. Not very happy since I lost $50 and not sure if my printer will ever be the same!!
5,Love that Amazon carries HP 901 XL printer cartridges for my old HB printer and at a good price.  Thank you Amazon
3,Short and sweet...  Not sure but I think some of the folks who are having issues with cartridge longevity might have their print jobs set to high/ultra high quality. Naturally this will use up a cartridge sooner.  I have used the 901 and 901XL.  I am a returning-adult student and write a boat-load of papers not to mention printing off huge articles and school forms etc.  I find that I get very acceptable printing jobs done on fast/economy draft and the cartridges last quite reasonably.  From a cost perspective they are about mid-range.  I shop for them online (Amazon) because they are cheaper than a box store and I have a little more faith that I won't get burned ordering from a reputable company.
5,I needed both ink cartridges to print a lot of important insurance documents. As soon as I received my ink cartridges I installed them lined them up and then proceeded to make over 75 perfect copies. Thank you HP for quality products.
5,It is good quality.
5,I had to order it from here only because I tried to go the cheaper route and order from ebay which I love but I KNOW somethings you have to order from here so I did. They work and I am still using this today for my printer but I know I will be out soon and will have to order more and I will very soon.
5,Good product. Nice to have it delivered to my home instead of making a Long trip to purchase it
5,HP makes a fine product and their ink is no exception. Dark blacks and vibrant colors. I highly recommend. I've dated the time I inserted the inks into the printer to see its lasting time. Understand from certain information that the inks are not fully loaded at the factory. We'll see.
4,They are ink cartridges and they work fine. I used to have a laser printer and was used to not buying ink and now must buy more often. They are easy to install and I normally use draft mode (black ink only) and keep away from color as much as possible.
5,More convenient than having to go to the store and look through all the ink only to find mine wasn't in stock and have to go to another store to look. Great time saver.
5,I do a lot of printing with my HP office jet 4500 printer  number HP 901 I would get my ink in town and I was forever out of ink I ordered black and color ink and in the ad on the computer it said approx. how many pages I would be able to print I am very satisfied with the quality of ink and how fast the order arrivedIt is so neat to be able to order from my office chair and  it will be delivered to my door Thanks Amazon!!!!
4,Seemed to burn through faster than my previous cartridges but the print quality is fine. I wonder if they have changed the volume of ink in the tank.
5,It works! (as long as you don't buy the wrong ink for your printer). It was also cheaper than what I saw at a nearby office supply store.
5,As expected
5,I ordered 2 each of the black and color for the HP 901 printer I have and I received them in fine shape. They were delivered on time and I put the first set in the printer right away as I was out of ink. I have used it almost every day since then and it works very good. I am very happy with my purchase and will continue to order more from Amazon in the future when I need more ink for the printer.
3,I knew I was buyin a combo pack the item title makes it sound like I was buying 2 combo packs. On Amazon it is cheaper to buy the 901 cartridges separate and not get a combo. As it is this is a few dollars cheaper than Office Depot I'm not complaining. It's just not the amazing deal I thought it was at first. Amazon should change the name of the item to combo pack like it says on the single pack it is.
3,These cartridges do not print tri-color copies as indicated on the manufacturer packaging.  The ink runs out fast for the color cartridge.  I recently used the black and color cartridges for a print job of 145 pages which  practically required little color...only purple and black on a small 4 x 6 printed greeting card with mostly white background....and the tri-color cartridge ran out !I must admit I have been buying these cartridges for years and I believe they are now putting less ink in them !
1,Just purchased the 2 pack HP 901 black and tri-color ink cartridges and the black one does not work.  Every time I load the black cartridge it comes up saying "INCAPATIBLE".  Tri-color works but the black one does nothing.  Although the box date is April 20/23 the black one is useless. In troubleshooting  put the old cartridge back in and the printer accepted it without a problem.Tearing up the packaging so disappointed that now and fifty dollars later it's just not working.  No way to ship back as I destroyed the packaging.
5,Great
4,It works well and lasts a reasonable amount of time.
5,Have tried other brands but always co.e back to this no matter the price
5,The HP 901 Retail Combo Pack Ink Cartridges is a great Printer Ink that is a cheaper price here on Amazon than on the HP store. product ships fast came without any damages and is the perfect and correct cartridge product for our printer.The Ink is not old or dried out like some other products that we have bought locally which means these cartridges stalks are rotated properly and are fresh and not just sitting around drying out.
4,not much ink for the price. i was aware of the amount of pages it yielded but didn't think i'd use it up so soon. will have to buy another black ink cartridge.
5,Works great for at home printers. The 2 pack last for a whole year.
4,ontime
5,The order arrived very quickly and they work great. It pays to get the authentic HP cartridges.
5,Sadly enough there is no cheap solutionto HP PRINTERS domain.They sell great printer affordable so they get you on the ink.I learned my lessontrying to use cheap brand refillsthey don't work well.Hp see's them as none Hp so it does not report ink staus correctlyand here we go with the low ink errors.these solved my problems.other than getting a cheap mono laser printer.we are stuck with Hp
1,I am an unhappy customer.  Received the dual pack and the color cartridge was fine but the black cartridge was defective.  Now I have to go to all the trouble to send both cartridges back.  No just replacing the black cartridge.  And it is having to be sent back through the regular mail which means I won't have the money to buy the cartridges I need now while I wait for my refund!  I would never buy from this company again!
4,The combo pack is the only way to order. I caught a good deal on these cartridges.  They are a great match for my new HP printer. I like purchasing the cartridges in pairs to make sure I'm never out of ink. The 901 combo includes one color and one black cartridge.
5,The installation was very easy and they are working pretty well. I received them as promised next day delivery!!!
5,No better or no worse then any other ink that I've gotten at staples. The only difference is the convience of home delivery.
4,The cartridges were as I expected.  The ink just does not go very far.
4,So far ink cartridges are good.  Will see how long they last.
5,The price is very good And I didn’t have to go searching in a store for it.
4,they arrived but have not been used very much yet
5,This is a good product and has really printed a lot of sheets.  Not like the refills where you print a couple of pages and have to go and buy a new cartridge. The print is even and just like it's supposed to be.I consider this a good buy.
5,Way cheaper than the store worked as they should
3,The product was received on time and seemed satisfactory. However after only several uses an error message was received that there was a problem with the color cartridge. The cartridge was removed and cleaned with a Q-tip and the message did not appear. But after 1 print the message appeared again. The cartridge was again removed and cleaned and also the print head area was also cleaned. The error message did not appear and 2 printings were made satisfactorily.  Apparently the color cartridge causes problems with the print head.
4,Item is fine.  Hard to screw up this delivery.  It's ink not an artificial heart.
5,I found the ink I needed for my hp officejet 4500 just as I had found my printer/copier/etc. on Amazon and again I am very happy.  It was exactly what I needed both new in the box (color and black ink) and at a fantastic price way better than all of the stores I had researched. There is no way to beat it even the shipping is great.  Can't go wrong!
5,Used for computer product serviced the purpose.
5,Worked well when I needed it.
5,I buy one of these about every 6 months or so. They are inexpensive and easy to get. I do wish they would last a little longer but they are priced right. I have also learned thru reading reviews that there is an economical setting on my printer. I have now set it to this and will see if it lasts a little longer. Does work flawlessly though.
1,My printer is low ink so I need to buy a new pack. This was weird when I recieved my new order of HP ink from amazon. The packing was not as descripted"retail combo pack". I received the Black color ink is in a foil packaging w/o original HP box and the Color ink is in a original HP box packaging together shipped in a clear plastic bag. Oh I was thinking should be no problem even it is not in combo package in original box and I dont like to return stuff from online so I opened to use it.  Well here u go. The Black ink in the only foil packing like the regular one after u opened from the original HP box. I tried in the printer on both colors Black and Color. The Black it doesnt work and the message"empty" is on the printer status..So I put back my old Black ink to double my printer- That is what upset me since my old ink have much more ink than a new purchased one and ink is not cheap too..I never write review on any purchase but this one make me so!
