rating,review
5,If you’re like me and saw people on Twitch playing guitar hero meme charts then this is the guitar you need to get started. Paired with a USB adapter this guitar seamlessly plugs in to my PC for all of my Clone Hero fun!
4,So I seldom ever review something unless I truly feel it needs it. So when I do it's worth reading.For this guitar with past reviews people complained about how the Wii remote doesn't fit showing pictures of them trying to insert it from the top. This is the incorrect way to do it. There's actually a cover flap on the back that you can remove. That is where you put the wii remote in and connect it. Then you close the flap and the hole in the front gives you access to most of the buttons on the wii but is small enough so that the controller doesn't fall out the front of the guitar.Next this seems a bit smaller than I remember. I could just be remembering wrong but I recall the guitar for the wii being bigger. Again could just be my memory. At only 30 inches it's 2 1/2 feet and for someone like me that's kinda small. Not the seller's fault they properly described it. Just understand it's not the size of a normal adult guitar so you won't be able to hold it right. Best for kids and smaller adult folk not someone who's 6 foot like me. However if you plan to sit and jam then it's ideal because its size will fit in most seats across your lap comfortably.I don't have my wii yet so I haven't been able to test whether or not it works but I'm going to assume it will. If able I'll update my review.For now because of the size I have to give it 4 stars. Again it's nothing against the product or the seller itself just forgot how small 30 inches was.
5,Firstly the guitar works perfectly well.  I have had no problems with it.  This'll work for Clone Hero if you have some manner of Classic Controller to USB adapter (as usual the RaphNet is your best choice as most other generic adapters will not realize the whammy bar even exists).What I wanted to address was reviews saying "a Wiimote doesn't fit" so while I use this with an adapter to play Clone Hero (and thus don't actually use it this way myself) I figured that since I do own a Wii and some Wiimotes I should show that yes a Wiimote does in fact fit in this thing.  Apparently some barbarians believe they're supposed to somehow shove it in through the visible window in the front but that is not how it's supposed to get in there; the front window is deliberately a bit too small so that it can't *fall out* of the front.  There is a hatch in the *back* of the guitar that you open up to stick the Wiimote in.
5,Very responsive nice guitar cheap guitar
4,I’m pretty sure that this isn’t an exact Nintendo wii brand guitar but it still feels good. I’ve played about 5 hours on pc on clone hero and the only complaint is I can’t figure out to to set up the proper calibration on turn on hyper speed because on expert mode sometimes I feel like I miss notes I shouldn’t have. But I don’t think it’s because the guitar the buttons are good the strum bar feels a little bit too flimsy but it’s just something to get used to.
5,I will say at first the fret buttons are kind of tough to push on compared to a standard GH controller but over time they get easier to press. Usually only noticeable for fast tapping and hammer ons. The strum bar is top notch though very easy to feel yourself hitting every note
4,there is an odd squeaking sound over extended use but other than that it works like a charm!
5,The products works just like the original it does feel like it was made of cheaper material but overall works fine. Just keep in mind YOU CANT play rockband 1 with this product. For the price your getting product for you can beat it. Very happy with it.
4,I liked the quality of the item and that there was no significant physical damage. I wish the seller would have cleaned it before shipping to me though it was dirty.
4,I absolutely love this product I’ve been using it for about 6 months now and my only complaint is the whammy bar dose not work but other than that I love it
4,Everything worked great besides the whammy bar. That might have been from user error though.
4,once i got my keys bound it works pretty decent.although i couldn't get the wammy bar to work but i didnt really spend that much time trying.just bound the whammy to the joystick and star power to the select button.i do find the color buttons a little stiff but im sure theyll get better with use or ill just mod it
4,For anybody looking to play Guitar/Clone Hero this controller works very well as long as you get an adapter with it. The only issue I found was the wammy bar not working but that isn't a large necessity for most. Overall not bad.
4,Was a gamble but it paid off. it works great. I've had no issues so far. My only issue is the strum bar. It's very loud and springy sounding. I believe you can purchase a 3d printed strum bar off Etsy for $4 that will fix this issue.Works with Clone Hero. I don't have a Wii to test it out that way but it works well with the adapter so it should work well for a Wii-mote.
5,Couple of things to add:1) This guitar works with Clone Hero just get either a Raphnet Adapter or Emio Adapter so far those are the only 2 that are KNOWN to work.2) For everyone posting pictures saying a Wii remote doesn't fit and showing the remote sitting on top of the guitar I don't know if you're ignorant or what but the controller is inserted through the BIG door on the back. Maybe try RTFM.
5,Need to do some button mapping but works with clone hero seamlessly when paired with the cheap wired elecom wii usb adapter.  Also recommend buying a usb female to male extender if you don't have one.  No need for a wii mote if you go this route.I've read the raphnet adapter may be better but this setup seems as good as an xplorer / les paul
3,Blue button stopped working after a month of every day use. Made with cheap plastic that jitters and clanks when shaken. Sometimes strumming didn't register and the whammy bar didn't register either.
3,Kind of terrible button quality if I am being honest but sadly the only better one is so much harder to get ahold of so this is probably your better option.
5,This is really good and well made . It also works with dolphin ;)
4,I ordered this guitar to play Rockband 2 on my Wii and it showed up fairly quickly. It works for RB2 by the way. Some people are falsely answering questions on here claiming that it doesn't work without even trying it; just doesn't work for Rockband 1. Anyway everything is shiny and new and no technical issues so far. For everyone saying that the controller doesn't fit in the hole have you tried turning the guitar over and opening the back panel? That's where the controller goes lol. The front is the window for the remote; it allows you to press the needed buttons to play. So overall no complaints so far other than there not being enough room for the Wii remote to fit without bending the wire connector that plugs into the remote. Seems like that will break the guitar by speeding up the wear-and-tear process. Also it scuffed up my remote a bit as well.
5,When paired with the Raphnet adapter (look on ebay for that) this is the best guitar for Clone Hero.  It is what Acai uses check him youtube to see what is possible.
5,After having this for a month I can safely say this is perfect for clone hero. However you NEED the raphnet adapter in order for it to work.Straight out of the box its just fine if ur playing casually. the frets are a little stiff to my liking so I modded it (there are plenty of tutorials on YouTube).I dont know if it's the case for all of them but my guitar wasn't blessed with the 1-finger rake sensitivity.  It only overstrums on an upstrum. There is a stupid easy fix for it tho and you dont even need to take it apart. all u need to do is slide a piece of paper into the body down the strumbar hole. tape it down to the faceplate. that's it. I've attached an image of it.Tl;dr great for clone hero. needs raphnet. stiff frets (can be fixed). overstrums on upstrum (yours might vary; can be fixed easily)
4,Item exactly as described.  Brand new in package fully functional clean free of damage and with all components.  Low latency and smooth performance.  The buttons and strum bar are crisp fresh parts and are responsive and steady with a tight actuation.  Sliding on the buttons is tougher than for example an Xplorer as the buttons are slightly less rounded on the edges and feel a tad more raised from the neck (this could just be a result of wear on my Xplorer and this guitar being brand new).  The neck locks into the body fine but there is a little play and it can move back and forth a little bit.  Personally this hasn't affected my gameplay yet as the way I hold/use the controller does not cause the neck to move at all (it shouldn't be a problem).  If you are planning to use this through the Raphnet adapter be warned that MOST third-party wii guitar controllers DO NOT natively work with Clone Hero through this adapter (as the branded ones should).  You will need to use something like JoyToKey (this is free it's what I use for it and it works perfectly) to map the controls for Clone Hero.All-in-all for the price this is quite a solid choice.  Hopefully it lasts a while!
2,I'm not sure if this is a design flaw of all Wii guitars or just this version specially. But the cable that connects the remote is already fatigued and it's not staying connected. It's broken somewhere in the cable I have to kink the cord to get it to work. Kind of disappointed it worked really well for a few days.
4,Guitar works buttons press fine and on time. Only thing is the whammy bar doesn’t work but not the end of the world until the battles lol.. I just switched guitars for that as I bought this one as a second player guitar.
5,If you’re looking for a good guitar and don’t want to spend 80+ dollars on eBay make sure to buy these! Get them new instead of used. Buttons are very responsive and the strum bar is great. Very quality guitar considering it isn’t official. If you’re looking to get into clone hero or just want some old nostalgia gaming on Wii this is your best choice.
4,Functions just as the original. They include a card explaining the whammy bar won't work if it's depressed when you plug in the wiiMote and I had that happen to me but re-plugging it fixed things as described.Docked one star because the neck strap doesn't have the soft leather pad section that the original did and thus is incredibly scratchy/irritating on the back of your neck.
4,I don't have an official Les Paul controller to compare to so I can't speak as to whether or not it's a perfect emulation of one but it's pretty great as is. Definitely get the raphnet adapter with it if you wanna use it for Clone Hero. There's also some fairly easy mods you can do on the buttons to make them click a little better so if you think they're too stiff then look for that. Only downside so far is some overstumming happening when I go to use the whammy but I've experienced that on like 90% of the controllers I've ever used. gud purchase
5,We used it with our Wii remote to play games on our computer and it was just like old times.  Took some figuring out how to get the Wii remote to connect to the computer correctly but the guitar works exactly like it should.
1,PROS:-The guitar worked well for the time that it was working.CONS:-There is a loud audible sound when the strum bar is used but that can be overlooked pretty easily-It completely stopped working with no indicator of why only a couple months after purchaseI bought the same guitar in black in March of 2022 and it lasted until May when it would not take any response from any button on the guitar. I bought a new one in white thinking it was something that I did or a defect. But this guitar also just went bad randomly as well. I did nothing to break it and I did take it apart to see if something snapped but all looked fine. I am no expert but if you spend $60 on a guitar you would hope it would last longer than a couple months.Side note: I'm not good at guitar hero so it definitely was not me pressing the buttons that broke it. I probably will buy a different brand to see if that does the same and if it does I'll edit this review.
