rating,review
5,always liked the battery. excited to get them at this price.
4,Hard to give it 5 stars because they are not LR44 they are A76 which is interchangeable but not the same thing. They work though.
5,Toys and games
4,Good batteries
3,Battery runs down very quickly.
5,I have two nativity sets for my fireplace mantel.  Had them for at least 5 years and lighting went out this year.  Could not find this size battery at the local stores so thankful for Amazon to get them to me.
5,The batteries came blister package and there wasn’t anything to suggest they were fake but I figured I might as well load test them anyway. All 10 passed at 100% capacity.
2,I received ten individual blister packs instead of one pack of 10 batteries.  I wanted an easy to store single sheet of batteries but I now have store them in a box.  The battery type is correct and they expiration date is 1.7 years from the receiving date.
5,Price was great.
5,Good deal and arrived with all batteries in individual package thank you.
5,Battery Life
5,Works perfectly and has lasted throughout the season
3,Batteries are batteries but the packaging is not as represented.  I received 10 individually packaged batteries instead of the batteries being sent on a card as shown.  Makes storage more difficult. Sucks
5,I ordered a pack of 10 it from "my battery supplier". The packaging is a little unorthodox. It was individually packed in small zip lock bags. Something I would expect if I was packing these at home not necessarily a confidence booster.Now it is possible that the seller is buying these in bulk and creating small packages to offer good value which I of course don't mind and actually like. The only thing is that I don't have a way to test the status of the batteries (I don't have a testing instrument yet).I have put these in some toys and books and will have to make a loose judgement based on how long these last. I'll try to come back and update the review if it stands out (too short or too long).Update Nov 16 2012I finally got a voltmeter (multimeter) to check these batteries. I had already used 3. Of the 7 remaining 5 showed me 1.54 volts and 2 showed 1.48.The three that I did use lasted significantly longer (probably 3 times) than the cheaper ones that I used earlier   3 Pack MAXELL AG13 LR44 A76 357 Alkaline Button Cell battery        . If you're curious I used it for the "Hex Bugs".
1,According to the provided information the LR44 replaces the A76 & several others. Maybe it does but I don’t know for sure. Not sure which is the new version & which is the old. The picture in the original product information is of a 10 pack of LR44 batteries. What I got was 10 single packs of A76. Returned the original order & received the same single packs of A76. If this supplier only has an inventory of A76 batteries then that’s what should be pictured in the product description. If feel I’m a victim of a bait & switch mainly because if the LR44 replaces the A76 then this must be from a supply of old A76 inventory meaning the batteries are old & I have no idea how long they might last. Maybe they’re new & will last but I feel played. Tired of the BS so I’ll keep them & find out but I won’t buy product from this supplier again.
4,What can I say? Batteries are a commodity item.Make note of the 'use by' date on the back of the packages when you receive them.It's only a good value if you'll most likely use all 10 before they go flat.The use-by date on the ones they shipped me is 2023.
5,These are batteries what more is there to say.
4,It works fine on my old point and shoot film camera.
4,Needed batteries for my Laser Pointer. We use the pointers to exercises our cats.  Thses batteries fit perfectly and so far seem to last.  Put the in the pointer and the pointer work.  They were a little less expenses on Amazon then elsewhere.
2,The typical shelf life for Energizer LR44 batteries is 8-10 years. The batteries I received have only 2 years remaining. I wouldn’t mind if the seller were clear about selling old stock but I don’t appreciate receiving inventory with 80% of its shelf life already used up.
5,I thought the batteries I was sent were wrong but I learned that they are a replacement fir my brand thank you I love energizer
5,seems need batteries for everything.  i guess that is green living but still have to be made. just want yhings made in the USA
5,I have two small flashlights that I really like but that require these batteries and I find them difficult to locate locally except for a local so-called battery store where the "help" is virtually non-existent and they don't normally carry this size. They say they don't sell enough of them to justify stocking on a regular basis. I suggested that maybe if they stocked them on a regular basis they might sell enough to justify the stocking. I don't think they got it but enough of my problems.These batteries are priced less at Amazon than the local store and they have them in stock and I had them in 2 days with Prime so all ended up well.You will want to be aware that the LR44 replace at least two dozen other battery numbers...same battery just different numbers.A good battery at a fair price with fast shipping.
5,Ten packs of 1 battery . Still 10 batteries so I am pleased considering how many kids toys take these batteries and you cant find them in stores.
5,Used this for granddaughters Christmas tree ornament. Batteries do no last long if left on for more than 8 hrs.
5,The kids' toys use these batteries three at a time.  At the store I think it cost $5 for 2.  At that rate the batteries cost more than the toy.  I love the batteries I bought online.  They are Energizer and not a generic brand.  They are so nicely packaged in little tiny plastic bags instead of that adult proof plastic.  The quality is great.  This is the second time I have ordered them because I didn't realize how many toys the kids had that used them.  I am the grandma and the kids always bring the toy over that won't work and ask me to fix it.  With these batteries I can fix it quick and a lot cheaper.
1,Got them for Fluent Pet buttons and within a day of replacing them they died.
4,Energizer use to make the best batteries.
5,Used these batteries in my wife's Skagen watch...up to now (1 month) the watch is still going...i suggest you get a watch repair kit from Amazon I've saved tens of dollars for wrist band adjustments and batteries changes.
1,Not only am I now reading reviews of dead batteries from everyone but these batteries are advertised as "watch batteries". The batteries are half the size of the watches and there's no markings on the watches as to what size battery to buy.So this is a waste of money two fold at least dead and wrong size batteries.No wonder Besos is touring space.
5,Needed this size battery for a Disney Slinky Dog toy. Looked all over and couldn’t find them anywhere until I checked Amazon. Perfect. And shipped immediately. My growers so happy to have Slinky working again
5,I wish they came in packages of 12.  Every window alarm in the house uses 4 button batteries each. I've used no-name large packages of these batteries but sometimes those packages contain many batteries DOA.  Energizer is a name I trust.  Please keep these away from children and pets both of whom seem to eat everything they can get into their mouths.
4,Not very familiar with the care and feeding of lithium batteries. But it was easy to replace and seems to be working to my satisfaction. The instructions are a bit intimidating.
