rating,review
4,I bought this for my 100’ of 1.5” flat backwash hose. One reviewer said it fit great for 2”. There is no way they are fitting 100’ of any backwash hose on here. I do think this product would work great for it’s intended use.
4,Bought this to hold Fiber HDMI cable --- it works but the small handle makes is odd to wind up.  Overall good buy based on price
4,Nice reel it can hold up a 100 ft. extension cord easily
4,Assembly was very easy with no tools required. After you snap together the two halves of the reel make sure the black plastic nut that holds the halves together is secure.In my case I had two 50’ heavy duty 12AWG extensions connected together - one bright yellow the other bright red. As the picture shows all 100’ fit on the reel barely.A few observations:These extensions are much heavier than 14 or 16 AWG Just one of the cords is pretty easy to handle but with both the reel gets pretty hard to turn and it starts to feel flimsy because the cord weighs more than the reel!Also keep in mind that the connectors are not  small so connected extensions will take up reel capacity that a single cord won’t.I’ll probably use this reel for a single 100’ 16AWG extension which is currently just coiled up.  For the 12AWG extensions I’m going to have a separate reel for each of the 50’ cords.The only reason I bought 12AWG extensions was the fact that I have an electric de-thatcher which pulls up to 13 amps.BOTTOM LINE:  excellent choice for 14/16AWG extensions particularly shorter lengths. Much sturdier than the “all plastic” ones.
4,I usually don’t review products without some “time tested” experience but my only concern in ordering this product was whether or not I could use this reel to manage 100 feet of 12 gauge extension cord that I recently bought for my Greenworks snowblower.  The answer is yes it rolled up within the diameter of the the reel spool by winding it up fairly neatly.  It was hard for me to find a reel on-line that promised to hold 100’ of heavy-duty extension cord without dropping a lot of coin; and I didn’t need a heavy duty reel with 4 outlets on the side since I’ll need the “unwinding end” of the cord to be the female connector; and I didn’t need a reel that was essentially an extendable outlet box.  But I’d read some vague or conflicting info on this site regarding what this reel can hold; and when it arrived I found a hang-tag that says “HOLDS 100 FT OF 14 GAUGE CORD”.  So the Mfr is not recommending 100’ of 12 gauge; but if you’re using it for the occasional light-duty home use like me I think it will be adequate for 100’ of 12/3 cord for relatively light-duty service.  It’s a lightweight construction but I do think it will fit my needs; and one should not expect more at this very affordable price.  My 2 cents.
4,As with others I got 100' of 12/3 cord on the spool with a bit hanging to the side for convenience.The frame being metal seems sturdy enough with the plastic spool being less than desirable for long-term durability.I'd happily pay a bit extra if the entire unit were made of metal but I don't see anything like that on AMZ.
4,Strangely this does not come fully assembled probably for packing purposes. It comes unboxed inside an Amazon box but you must remove two clips which is easy enough but then you must invert and snap two pieces of the reel together. Unless you have amazing arm strength plan on pressing one side to the floor while pressing the other side with your hands.  Then plan on never undoing this because it's a super tight fit. It's worth it because it seems durable free standing with a comfortable handle to carry and move and will finally end the nightmare of a tangled and kinked cord. However if you are starting with a badly kinked cord that has been that way for a long time plan on doing some serious work getting it wound.  Then if continually wound back on the reel after use the kinks should smooth out with time.  If your kinks are so bad that you can barely straighten the cord with your bare hands consider buying a new cord.  After being wound pulling on the cord straight it should come off the reel.  You may need to hold the handle to keep it steady depending on how kinked the cord is.  Also winding the cord back on the reel after each use will still be a bit of a chore but it's the only way to keep it from kinking so it should be worth it. Woods is a famous brand for extension cords so they should be able to make a worthwhile storage solution for such a product and this may just be it.
4,I don't know why people aren't looking at the photos.  The reel is all plastic on the metal frame.The plastic hooks to hold my cord in place was way too tight for a 12 gauge so I had to cut them off.The design isn't the best but it works great for holding my extension cord.  I had to make adjustments so I have 2 feet of cord at the male end.The trick to reel in a long 100ft 12/3  cord is to hold the frame with your foot so one hand can turn the reel and the other to guide the cord to the right spot.
5,I bought one for my 100 ft extension cord and one for my 50 ft.  It's so much easier and neater than trying to roll them up by hand.  I thought I'd struggle to get the 100 ft on and figured it would be falling off the edge once rolled completely up but it's perfect.If I get more extension cords I'll definitely buy another one of these reels.
5,Works
4,It held my 100 extension cord. One cord was a 12 gauge 100' it was a little tight and the second one was a 14 gauge which worked with no problems. you need help guide the wire so it spreads evenly but for the price it works for what I need it to do.
3,My previous Cord Reel was one of the ubiquitous orange plastic type.  Mine has K-100 molded into the plastic.  The handle on it broke when it fell about four feet to a concrete floor.  I was looking for something a little nicer.As many reviewers point out the tubing in the stand for this product is metal (seemingly plenty stiff and sturdy for the easy task) but the reel cord clips and turning handle are all plastic.  While the plastic seems adequate to task by direct comparison the reel side plastic seems slightly more flexible and no sturdier than my orange reel.As to capacity this will vary by brand (not all 14/3 cord has the same exterior dimension).  My cord is 100 feet of Romex brand (yellow jacketed) 14/3.  It fit my orange reel with a little room to spare.  This Woods 22849 has the reel edges a bit farther apart but the reel exterior diameter is a bit less than the orange.  When I wound the Romex on I had about as much spare room as on the orange reel.  Possibly I was a bit sloppier at getting the cord on so if I did better there would be more room.  If you are calibrated to the orange reels I suggest you plan that this one has about the same total capacity just wider and less deep.Unlike others who found the clips unsuitable I thought the one I used to moor the mid-point of my cable did just fine.  I like that there is a second so if I break the first I still have something.For the first time on a cable reel I am following the advice of many reviewers here to double over the cord clip the midpoint into the reel and roll along so you have both ends available unrolling only what you need.  This works.  However the people advocating this method should all warn you:  THIS IS FORBIDDEN BY THE MANUFACTURER.  Both the K-100 orange reel and this Woods 22849 carry sidewall instruction telling you to unreel the full cord length before use.  The reason is safety.  The mechanism is heat.  For ANY extension cord failure to extend it means the heat rise in the conductor coming from the load current interacting with the conductor resistance will make it hotter as the heat has a poorer escape path.  This in turn lowers the maximum safe current.  As I am powering a modest line trimmer which runs intermittently I believe myself to be safe.  If you are running a space heater or other device which consumes a lot of power don't do this.  If in doubt put your hand to the stacked-up cord after your setup has run for a while.  If it has warmed up noticeably beware.
