rating,review
4,When I first bought the product I misread the description and thought adhesive would be backed to the strip. That's my mistake and not affecting the product's 4 star review.It comes in the box coiled which causes the inner coil to keep a slight bend to it. I've been unable to "train" for it out of the bend and because the product falsely claims to not need adhesive it loses a star. That said the remainder of the product uncoiled just fine and was easy to install. The quality is in fact better than I expected and I can tell it's very sturdy. I don't regret buying it. I'll just need to tape a section of it down. The brown color blends well to our floor.
5,The material and construction are just as sturdy as you might wish while remaining flexible and very resistant to damage from impacts or dragging. I have a destruction oriented puppy and am not concerned about these covers. The cover just lays flat on the floor there's no built in adhesion and if I changed one thing it's some added friction to the bottom to help it stay put on a slick floor. Easily fixed with tape or glue though.
4,We're running electrical cords across a room with hardwood floors. It's far too easy to trip over those cords so I ordered this cord cover and it works very well.This is fairly heavy flexible material so it doesn't need to be stuck to the surface beneath it. It holds itself down simply with its own weight.The cover was folded for shipping and - about a month later - it still hasn't fully flattened out. (I've now taped it in place to "train" it to remain flat. So far so good.)The manufacturing quality is excellent. It doesn't look cheap. In fact even though it's not the same color as our floor it seems to blend in nicely.I'd buy this again. It's at least a four-star product and an excellent value for the price.
5,I need to run an Ethernet cable in the room I rent. The landlord didn’t want holes drilled. There is about 3 feet of floor where the cable would run however it’s a high traffic area for other roommates and they will trip. Since putting this in not a single person has tripped. Since it is in a high traffic spot in the house it does get cuffed up but you can see it on the floor in the middle of the night.
4,Very long. Used a little and saving the other part for next time. No adhesion at all. Very sturdy and quite easy to install. I had to buy my own tape though. That's not good to me and quite a waste. Not sure if I'll buy this again anytime soon but we'll see.....far into the future.
5,Perfect to cover cords running across the room.  No on trips on them anymore as no our robot vac doesn’t get tangled. Just bought my second one.
5,I had always used a rug to cover the cords that ran across the traffic pattern in my room but this is way better!  Matches my flooring even so it isn't such an eye sore.
4,Arrived on time and easy to install. Measuring and cutting helps with getting a customized length. It worked for what I needed it for. Thanks so much!My apologies if I already put a review. So much going on. Feel free to remove my comment.
5,I’ve used this on my outdoor step to hide a wire but also for safety concerns to for my landscaping lights I had to run a wire across my step. As far as the adhesive tape that came with this is junk but I also needed something more heavy duty which I purchased to stick to concrete! So far so good waiting for winter months now to see how well it holds up!
5,This was absolutely perfect for hiding my electrical cords!
4,Does the job but could be a bit wider.
5,Works just fine. I would put done
4,I have a 12/3 drop cord for my imersl shop island table.  This won't even close up around it  so it's not made for anything other than smaller wiring. It also doesn't stay on very well  is flimsy and kind of thin  so it bends really easy  letting the cords fall out.  If you plan to use this in an office with smaller wires  and not many wires  then this may work.  But if you need something to stand up to a bit of traffic and retain the wires well  I'd suggest looking at other products like I have to do now.
4,Used to hide extension cord from a floor outlet to under the couch to connect lamps. The choice of colors was lacking as a light tan would match the wooden floor better.The recess for the cord has a thin lip that doesn't quite easily contain the cord while inserting and it took a week or more for the rubber to completely relax from bringing coiled up.
5,Quality and length perfect for my need. The robot vacuum goes right over it no problem. The extra length worked out great as I needed a 6' section and a 6" piece. Used small pieces of alien tape to adhere. Now I don't have to do any preparation for the vacuum to run on a schedule.
5,My wife is on oxygen 24/7 and the hose gets stuck under furniture and other objects and also gets stuck in the wheels of her walker when she tries to cross over it. This product has helped to eliminate those problems
5,it’s very flexible and relaxed after an hour. was easy to install. it would be great if a double stack type take was provided too
5,Unrolled it - NO CURLING. Immediately lay flat 'embraced' the cable smooth fit on the floor - PERFECT!!!
4,Needed to run an extension cord accross the porch for a small water feature. Does the job.
4,Easy to use
5,Easy to use and fits large extension cords
5,Matches my floor perfectly can barely tell there is anything there. Keeps all my cords nicely tucked away
5,My lazyboy chair is plugged in and not against the wall.  This blends in with our dark floor saves us from tripping and also let’s the robovac slide right over.  Very happy.
4,I bought this to cover a phone wire at work between my desk and the wall until the phone can be moved to a new location. The product worked great! I liked that there was no adhesive because I didn’t want to chance damaging the carpet at mg workplace. And it’s heavy enough it’s not needed. However with that said packaging/shipping was garbage. It arrived wrapped in plastic but was half ripped open. There were dented scratches and color stains periodically through about the first two feet of product. However after that everything looked great and worked well for what I needed.
5,Fast and easy to use.Fits smaller extension cords only.Works great!
5,Does what it says: keeps birds in check not all over the floor. As described.
5,Easy to install
5,I needed this to cover a thicker cord for a surge protector. It fit with a little persuasion and the bottom flaps popped back into place. I did not use the side channels.  Since it was a thicker cord the protector does not lie completely flat on the carpet. There is a very minimal gap on each edge but not enough to catch your foot.  It is comfortable to step on with bare feet and does not shift on the carpet. Vacuum cleaners easily glide over it. I cut it to fit with pruning shears with no problem.
5,I have a gazebo in the middle of my patio and I run electric to it with a long extension cord.  I bought this cover to hide the cord and avoid a tripping hazard.  The light gray color blended in well with my pavers and it was super easy to just lay down cut pieces to length if required and insert the cord.  The fit was just right for one medium duty extension cord I do not think it would be able to handle much more but I have not personally tried.  This worked well for my needs looks clean and it has hardly moved on the ground in a few months.
5,Product came quickly and was easy to install. Thanks for a great product.
5,works great but there was not adhesive. taped down on slate floor with duct tape.
5,It’s weight keeps it in place nicely. Exactly what I was looking for.
5,I bought this to hide the cords that go between both of my couches. It does the job!
5,This worked and doesn’t leave any residue or tripping hazards
5,I purchased a new desk with a built-in power strip. Thus allowed me to place the desk in the center of the room and plug in the power strip without creating a tripping hazard.
5,Job is done
5,Used to cover an extension cord on my patio. Did not use the adhesive lays nice and flat on its own.
5,Works as expected.
5,Easy enough to put cords through & no issues. There’s no adhesive on the bottom. It still stays on the floor flat as long as the cords are straightened out. Works for me.
4,Needs double-sided tape to secure to floor.  Otherwise. it works
5,I thought this product was great if you need it to completely stay in place at all times k would ad an adhesive. I didn’t because It doesn’t move enough for me to care haha.
5,… in hiding a heavy-gauged power extension cord on a tiled floor … prevents the cord from looping and potentially create a tripping hazard … perfect … lies flat and unobtrusive…
5,This is made with durable rubber material and feels like it will last quite a few yrs. Was easy to use and decent price. 5 stars
5,Good quality easy to cut and fit to area.  As described received quickly.
4,Good product NOT for thicker courts.
4,This didn't hide as many cables as I'd like but it did hide the two that were the most important.It also slides a little.
4,We've 3 of these for months and we still can't get the ends to lie flat very well. Other than that they have been great.
5,Can get 2 cords covered at once if patient
4,I like that this lays flat and holds the wires. I wish it had a larger slit for the thicker cord of my surge protector but it does have a low profile which it wouldn’t have it held a thicker cable. Unfortunately it doesn’t stay in place when my robo vac runs into it. I’ll have to always watch while that’s running so it doesn’t push everything around and pull the small wires to my power recliners out.
5,I was worried about the color match and how easily the material would “relax”. Color matched our floors pretty well. The item was nearly relaxed after unrolling it from its packaging. With 30 minutes in the sun it was fully relaxed. Easy to to trim with a utility knife. Overall very satisfied with this item.
4,Hides the cords
3,It should do what it needs to but the one I received is definitely NOT 6'. I'm 5'7"ish and it's noticeably shorter than I am. Not annoying enough to return it but still irritating.
5,Using 3 of them inline outdoors to prevent tripping on pool cable across concrete patio. Stays straight on ground doesn't curl. Only consideration was that dampness gets trapped underneath following a rain. This is not anything the manufacturer can prevent unless it were to have a supplemental lower cap placed over the bottom. To address I've duct taped the bottom after the cable is inside to keep water out; worked great.
3,It barely fits one XLR and headphone cable. If you're running anything more look at larger options. It's also a bit *too* floppy and doesn't protect the cables much. Will definitely cause problems with a cable over time if you keep stepping on it. I guess I shouldn't be surprised for the price it works for now.
3,This is just a sturdy piece of rubber-like plastic that lays  on the floor through its own weight (no adhesion).  It has a channel to hide an electric cord and will most likely keep you from tripping over the cord.  A robot vacuum will glide over it as well.  At the end of the day it's a lot of money for a bit of soft plastic.
3,This covered what it needed to but it is on the flimsy side. It "bends" too easily and is very light. Didn't return it because we made some adjustments to it.
5,I love that this unrolls easily and stays flat without any adhesives.  It was easy to cut to length with regular kitchen scissors.  It's soft on your feet and the color blends nicely with my floor tile.  I used it to cover cords from the electric recliner loveseat across an opening to the end table.  Looks a lot better than those two black cords and now maybe the cords will quit getting pulled from the couch. This is the 2nd one I've gotten from DLine.  Made in the USA.  Great products.
5,Great product
5,Lays flat. Cords tuck in so easy
4,These covers look great and work great. The only thing is the space on the bottom of the covers where you place your cords is a little narrow.
5,I wanted to run an extension cord under a baseboard radiator -- I just cut this to the exact length tucked the cord inside and pushed it under the radiator all the way to the wall. Simple to do the cord is protected from the heat and since it is close to the color of the radiator cover and the floor it's pretty inconspicuous.(Really it IS there if you look very closely -- though it's easier to see the cord as it extends around the woodwork than it is to see the cover under the baseboard radiator.Love it.
4,Not tripping over extension cord any more
5,The light tan color shows dirt marks from shoe treads instantly and badly. Returned the tan and got the dark brown and it's perfect. No issues with it curling like people have complained about with other manufacturers.
5,It blends perfectly with our hardwood floors. It eliminated the trip hazard of an extension cord I ran to the couch.
5,After uncoiling one end was up a bit. Laid in the sun for a few minutes took care of that. The height is minimal so as not to be a stumbling hazard. The quality of material is outstanding and when stepped on gives under foot.
5,Very beautiful and sturdy product - the only negative is that it collects dust easily so keep a wipe cloth handy in case you are moving it around.
4,I had hardwood floors installed and needed to run my cable wire across the room.  The previous cable ran under the carpet but hardwood floors are a different animal.  I replaced the cable with a longer one and ran it against the wall.  I had one section in a doorway and this product hid the cable and held it down well.
5,Too cover up internet Cable
4,Works well - using it to run the wires for Holiday lights that are overlapping the front walkway. There was an issue with it curing up (it arrives as a wrapped up package) so that needed extra tamping down but otherwise it keeps the wires safe and trip-proof.After this use I would need and use it for other areas of the house and backyard.
5,I've used this brand for years. It comes rolled up but within a few days of laying on the floor it becomes flat. Plenty of room to stuff & protect multiple power and data cables. In professional use we would gaff tape these to the floor but at my home I just let it lay flat and people just naturally step on or over it. I've never had one break or rot they are a very good quality vinyl. You could put some strong double stick tape on the bottom if you plan to have it in place for a long time and don't want it to move.
5,Works as anticipated. Blends in nice with tan colored indoor/outdoor carpet
5,I had bought another Floor Cord Cover which came with 2-sided adhesive tape but even being taped down it would not lay flat.  This Floor Cord Cover however lays flat and stays put even without taping it down.  I view the fact that it's made in the USA (as opposed to Taiwan) as a bonus.  I suppose some proof that the USA can still make good quality competitive products.
5,Works very well protecting a length of cord. No adhesive you’ll have to add some yourself if desired.
5,These types of products have been around for a long time and still a lot of folks don't seem to understand that tripping over exposed cables and wires is not a good idea. Install these to prevent tripping hazards. Make OSHA and yourself happy at the expense of trauma facilities and orthopedic surgeons.
5,A great solution for our need!
5,I hired a handyman to mount my TV and Sound Bar.  The need for longer power cords caused us to leave the job incomplete for a few days.  I went to Amazon.com and ordered the longer cords and noticed the D-line competing products.  D-line has VIDEOs included in the ad's to show how to use the products.  That was all it took!  I ordered one for the wall under the TV and sound bar wires and one for the floor to cover a cord that crosses a doorway.  Now I'll have to return the inferior product I bought locally.  I highly recommend D-line products!The D-line video included in the ad gave me the confidence to handle the floor cord cover by myself.  I unpackaged the 6 foot length and took it over the the door in question.  I measured how much of the cover would need to be used from a point below the outlet to a point just past the door jam.  Using a sharp pair of shears the cover cut easily and smoothly.  I then tucked in the cord into the center channel flipped over the unit so that the flat side was down and my job was complete.  Thank you D-LIne!  Excellent well thought out products  with common sense and simplicity in mind.
5,Sturdy and easy to install
5,We had 3 cords to hide against the wall it looked so messy.  This cord cover was easy to put up the adhesive works well.  It just looks like a molding along the bottom of the wall.
4,I moved my furniture away from the wall and needed something to hide the lamp cords (and to prevent tripping over them). This worked perfectly!  I would have given 5 stars but I thought it was a bit pricey.
4,I got this to cover some cords at my gallery -- they go across doorways and we don't want anyone to trip. I like that this is heavy duty and actually surrounds the cord instead of just covering it -- the rubber part wraps around the cord to hold it in better. Six feet is enough to do one doorway and the distance from our desk to the wall outlet so one package of this was enough for our needs. I didn't have time to flatten it out before using it so I currently have it taped down on the edges because it still rolls up a bit. After time it should be find on its own but I'll probably still tape down the edges for extra safety. Our floors are concrete and painted linoleum and this lays fairly well on that without slipping but you can never be too safe.So far it works well for what we needed.
5,Works great.  Lay flat and set outside in the in the sun for a couple of hours once opened and it will lay flat also very easy to cut (if needed) when it is warm.
5,Got this to cover Christmas light cords outside to keep them from being a tripping hazard. We've been really impressed by how well it keeps everything down and stays flat against the sidewalk.
5,It was absolutely what I wanted. Easy to install stays In place and durable. The color blends well with our wood floors. We have about 5 feet behind sofa and covers lamp cords perfectly. I would recommend this!!!
5,This was just what I needed. We wanted to bring an electrical outlet to the kitchen island but didn't want to drill on the floor. This cord cover was the perfect solution it is flat enough not to get on the way sturdy enough to retain its shape and the adhesive stays in place. It has been the perfect solution for our kitchen.
5,Unlike other cord holders this one is strong the wires stay in and it lies flat willingly - no need for heat or to weigh it down at first.
5,It was easy to apply.
5,It works. Not damaged.
2,The material is nice but not ridged enough for large gauge extension cords. It’s very frustrating trying to stuff heavy duty cords into a very wimpy and very soft cord cover.For the $75 bucks I’m dissatisfied. If this is for a smaller application I’d also be dissatisfied. The cover is so so so soft that it’s impossible to make a clean and straight cable run which is the entire point of these types of products.
5,This product is very useful for quick setup and is also sturdy! The only thing be mindful is the number of cables that will go into it!Note the gauge of the cable before you purchase the appropriate cable cover
5,The material is heavy duty but compliant enough to lay flat on the floor. Can be easily cut to fit a specific space i.e. doorway. I bought a similar product from a big box office supply store and it would never lay flat causing a trip hazard this one lays flat after a couple days out of the packaging. I highly recommend it to protect/hide your cords.
