rating,review
3,It works.  No cords as pictured
5,I use this every time I have my Algebra homework. It has been since I was in high school with my TI-83 from then. But this calculator works just the same but looks better.
5,Does what needs to do -for college aid son
5,This is a must haves. Can not graduate before you buy one.  College is soon. It will get lots of use
4,I bought this for college and I only need it for one course. I wish it didn't cost so much just to use for 3 months. In my opinion it would have been better to look around for a rental than outright buying it. Despite the high price for this model it was the most reasonably priced.
5,My calculator came in a timely manner and was exactly what I expected/what it was listed as! I had a little trouble locating my package for a couple days and the sellers were great about communicating with me and helping me how they can! Appreciate the service
5,I got this calculator for a statistics class I'm taking and it's great. I was upgraded as a surprise and it was awesome! The buttons are easy to use and the screen is easy to read. Very happy with this calculator so far.
5,Just what my son needed for his Algebra2 class. Easy to use.Good quality good value.
5,Works great and has many features. This calculator is a classic and will serve you well.
5,If you need a graphing calculator for your child then this is the one you want. Don't bother with the alternative. No issues with this product.
4,A more detailed instruction manual would be cool
4,4 stars instead of 5 because the package came completely mangled. It was already open and even though the calculator hadn’t been used It was embarrassing to give to my boyfriend as a gift with it looking like that.
5,I’m majoring in math so it’s really recommended for us to use this calculator and let me tell you best choice ever! I like the color and everything it works just fine and I’ve had it for a while now it came with the batteries and the wire.  Would definitely recommend this product it’s such a great price compared to price that they sell them at my university!
3,Funciona muy bien. Pero el empaque llegó muy dañado y la calculadora parece usada por los rayazos.
5,My daughter uses this calculator for school and it’s easy to navigate
5,Amazing works well no glitch. I would definitely recommend.
5,Came in black with its charger and batteries. It has worked ever since I bought it and it still work for my math class.
5,Doesn’t look much different from the TI-85 I used in algebra/Trig 20 years ago.  I guess if it ain’t broke don’t fix it!  I bought our daughter one of the fancier new color display models that was approved for use at their school that was probably 30% more expensive but apparently not a single other student had one and the teacher didn’t know how to use it either... Lesson learned just buy the cheapest one approved because that’s what everyone else is getting and what the teacher is going to know how to use... 😉 This old venerable unit is that calculator!
