rating,review
5,This thermal paste got my friends PS4 working like new again.
5,Easy to use
5,USED BEFORE AND IS STILL GREAT
5,no more shut downs from heat
5,I've been using Arctic silver 5 for over 12 years now. I've never had a single issue. This stuff is absolutely perfect. Yeah it's a little expensive but it's worth everything. It doesn't have a bunch of gimmick to it. It's got actual silver in it to help be more conductive for heat
5,I have tried other Thermal Interface Materials (TIM) and I went back to Artic Silver 5 thermal compound.  It is simply the best and I have gotten the best results with it for many years.  The product is ideal for CPUs Northbridge Southbridge and GPU components that are heat sinked.  I have used it on desktop computers laptops servers and Xbox 360's.When using the product a little dab will do the trick.  If you use too much it will squeeze out from under the heat sink and make a big mess.  The proper amount is about 1 ½ to 2 times the size of a grain of rice.  If you look on the internet there are several guides on how to use the product including photos.  Sometimes on a large CPU I spread the compound in a very thin and even layer with and old credit card like tool.  On one rough heat sink assembly I had to work a drop of the compound into the surface with a credit card and this filled in the micro abrasions in the surface and improved the temperature drop by 4 degrees C. The key is that you want a thin and even layer of the compound on the entire top surface of the CPU so that all the micro flaws in the surfaces of the CPU and the heat sink are filled with the silver in the product to provide maximum thermal conductance of heat away from the CPU and into the heat sink assembly.  Do not use to much compound people tend to use too much or not enough and the science is to do it just right!Before you apply the compound clean all the surfaces and make sure they have no oil finger prints or dust on them.  Make sure you have removed the old thermal compound from the surfaces.  Some old compounds get rock hard and can be difficult to clean.  I have used Goo Gone and it is by far the best cleaning solution I have ever used.  Don't use too much and clean only the CPU and heat sink.  Then wipe all surfaces dry and wipe again with an alcohol swab and a Q tip if necessary to clean up the old compound.  Then give it a final wipe with ¼ of a coffee filter as they are fiber free paper and you should have a clean surface.  These surfaces must be absolutely clean and even the oil from a fingerprint that you can't see can cause a problem.Mount your heat sink and I like the aftermarket heat sink fan assemblies or water cooled blocks as they install with screws and you can make sure that the heat sink is firm and tight with the CPU.  The factory supplied heat sinks with push pins bother me as I have seen many people swear they are tight and they are not.  You will not get ideal cooling unless you do a professional job of installing these key components and you may damage your CPU.The Artic Silver 5 compound has an aging time of around 200 hours and the temperature will improve by about 2 to 5 degrees after the aging process is done.  To properly age the compound you should use your computer until it heats up (about one or two hours) and then shut it down and let it cool off and use it again.  Do this multiple times.  This heat and cool procedure sets the compound up properly and improves the thermal interface.  Good luck and have fun!
5,I'm pretty much a "noob" and hobbyist when it comes to tinkering with computer hardware ... I stumbled into it after replacing a few laptops ... I had these old laptops sitting around and started futzing around with them just to see if I could figure out how to take them apart and get them running nice again ... to have a few working spares that I could then use as notebooks multi-media players etc. ... basically backups to use in situations where I don't want to have to upgrade old software/peripherals or risk damage to my newer "main" laptop.Anyway my second laptop ever was a Compaq Presario 700 series with an AMD Mobile Duron processor (I know ... Stone Age right?).  My kids used it for awhile after me and they basically thrashed it.  It needed a new hard drive keypad AC jack ... fortunately I was able to find all the parts I needed online cheap enough to justify the repair effort.  The heat transfer plate on the AMD processor is pretty small not even half a postage stamp and it's mated with a fairly large plate-type heat sink assembly that spreads the heat across the plate and discharges it from a fan attached to the assembly at the left side of the laptop.Back when I was using the Compaq more frequently I recall that it ran pretty warm most of the time and I remember that the fan was on a lot when programs were running at 2 or 3 speeds e.g. low medium high.  Well the repairs required that I strip the whole thing down to the motherboard and ... gasp ... remove the heatsink.  Knowing that I would have to put new thermal compound between the CPU and heatsink when I re-assembled it I poked around the 'net and saw all the good reviews on Arctic Silver 5 and ordered a tube.  I carefully cleaned all the old compound off the CPU and heatsink (it took awhile to soften up and remove all the old compound using isopropyl alcohol and cotton swabs ... be patient ... it's worth it) "tinned" the clean heatsink surface with the faintest smudge of Arctic Silver (this helps to fill in microscopic pits and valleys on the mating surface) and then applied a thin even layer of Arctic Silver over the whole heat transfer plate on the CPU re-secured the heat sink to the CPU and then finished the rest of the re-assembly.When I first started running some music and DVD's (they put a continuous load of about 50-60% on this particular CPU) I was waiting for the fan to start blowing as it always did before.  To my surprise it didn't.  It took so long in fact for the fan to come on at all that I started to think I might have broken it or forgot to re-connect it when I put the thing back together.  This is certainly no scientific or exact "before and after" measurement but I'll be darned if the heat sink on this laptop isn't working better now than it EVER did before even when the computer was new.  It's not even getting hot enough to make the fan go on "high" when I'm playing a DVD on the laptop.  The only way I can explain it is that the new thermal compound is doing that much better a job of getting the heat off the CPU and into the heatsink than whatever compound the OEM used.  This stuff is brilliant.  I totally agree with all the rave reviews ... if you properly clean all the old compound off your CPU and heatsink and carefully follow the instructions for applying this stuff you WILL get substantially better results from your computer's "stock" cooling system unless of course your OEM also used Artic Silver!
5,This brought my Ryzen 9 5900x temps down by almost 10 degrees in both idle and at load (Gaming). I use a Corsair H100i AIO. Highly recommended!
5,Product totally works! Below is my experience:Anybody ever go through an issue with their Xbox One X or Playstation 4 Pro sounding like a jet engine that’s about to take off and then all of a sudden crashes on you without warning? I had that issue with my Xbox One X that I got on release day years ago. I’m not sure if my Xbox was a part of a bad batch or not buuttt... It kept dying on me mid game or just right after whenever it started up. Caused me so many headaches had me saying things like “Whiskey Tango Hotel” and “I’M ABOUT TO DESTROY YOU!” This went on for the longest like around mid 2019 and it got worse and worse and WORSE. By the time it became almost unbearable like July 2020 I remembered about the new Xbox coming out. I was like “Alrighty... I’ll wait.” I figured I grin and bear it and play Fortnite (Of all the games that one smh) till Xbox Series X came out cause you know... Halo Infinite was going to be a release title (Then it got delayed and I cried myself to sleep the night I found out; Sad Times) Enough was enough. I had this thermal paste for months and I was going to use it to fix my xbox. After a very tense hour of taking it apart cleaning it applying this bad boy onto the chip and reassembling it I then had to RUN AN ERRAND OUT OF TOWN AND COULDN’T PLAY IT FOR HOURS!!! *Ahem* While I was running said errand I told my brother to play on it and give it a run for it’s money. Then I came home... (At like 8pm) I played Tifanfall 2 Doom Eternal Halo 5 Gears 5 Apex SW BF 2 till something-o’clock in the morning!!! THE XBOX LIVED!!!! THE THERMAL PASTE SAVED IT FROM BECOMING A FATA** PAPER WEIGHT!!!! I was so ecstatic!!! After all the troubles the poor Xbox and I went through this thermal paste brought it back to peak condition and my heart soared once more!!!To sum it all up... This product is great! Five stars for sure! No issues ever since the fix!
5,I decided on this thermal paste after a recommendation from a friend. I used this on my first PC build and it seems to be working as intended in helping to keep my CPU cool. There is also plenty left for future builds if needed. Definitely a great low priced option for thermal paste.
