rating,review
5,We purchased this binocular recently. We have the Nikon Action EX 8 x 40 which we absolutely lovefor birding and nature activities. The minimum focusing distance on this binocular the Acculon A211 is 49.2 feet. It will be used along with a tripod for stargazing and mountain viewing. The weather has not cooperated very much for stargazing but from what we have been able to see the images are sharp the stars are pinpoint and we will update after viewing the moon and planets. We expect to be able to see the moons of Jupiter and possibly some semblance of the rings around Saturn. The view of our moon from our smaller Nikon binocular allows us to see the craters on the leading edge almost as good as a small telescope.  We have higher expectations for this larger pair of binoculars particularly when zoomed in. The binoculars are not particularly heavy the grip is nice and they are water resistant although I think not waterproof. I did want to mention that there is a trick to using the eyepiece cap. TURN DOWN THE RUBBER ON THE EYEPIECES as is instructed if you wear glasses. The single unit eyepiece cap will fit perfectly if you do this. A tripod is a necessity for viewing objects at higher magnification. The daytime views appear to be sharp and there are adjustments for central focus diopter and a 10-22x zoom lever.The Interpupillary Distance is 56-72 mm. The tripod adapter is included with the binocular. Overall this seems to be a decent unit and will update the review in the future.
4,Great binoculars.Reasonably priced accessory case strap and tripod included detailed instructions good optics zoom works well and whole system lightweight.But one small problem.Beware the hidden staple in the top of the plastic bag inside the small box inside the bubble wrap that houses the included TRA-2 tripod adapter.Got used to the ease with which the packaging was coming apart for the tripod adapter so just tried to complete the final step of unwrapping the tripod adapter by tearing the plastic bag surrounding it with one finger.That is when I found the staple.One leg of the staple punctured my finger all the way up to the crown of the staple. Since staple was hard to see in the stretched out plastic bag it took a few seconds to figure out what had happened and it took a few seconds more to figure out how to dis-attach my finger from the bag and the staple.No big deal. Just a tiny wound just barely worthy of a band-aid.However maybe this feedback will keep you from making the same mistake if you decide to buy these great binoculars and decide to unwrap the included tripod mount.Rating would have been five stars without the tiny puncture wound to a finger.
5,Excellent manufacturing  magnification is crisp at highest zoom!Don’t think twice and buy this! This is a quality product!If budget is a problem go for Celestron upclose instead. My Braska became little faulty after few years so cannot really recommend that anymore.If you are still deciding and tempted for a cheap alternative please check my experience/review on another non-branded oddly-named binocular as there is a lot of false advertising on stated magnification on those. you’d what i mean!
5,They are clear and the zoom feature is awesome.
5,We now can see things in our wonderful view.  We zoom out get theeagle in view and then zoom in and can follow him.  On high magnificationthe view is very shaky so we are getting a tripod.  I can only compare withone other binocular but am very happy I got this one.  Easy to focus.Easy to zoom.  A little more difficult to get the left and right the correctdistance apart when my wife has just changed it.
5,great quality and great price point for them.
5,Light weight simple to use
5,Best I’ve ever had! I tried some of the other manufacturers to save a little money. I wasted that money! These Nikon binoculars work every time and I will probably keep them for the rest of my life.
4,These binos are everything I had hoped they would be when purchasing a Nikon product. Easy to use super clear and simple target acquisition. The only reason I didn’t give these five stars is because they’re pretty heavy and take a toll when hanging around your neck all day.
5,The first pair I got were defective. I called the company they apologized requested some information from us paid for return shipping and sent us a new pair. These do have a good quality view and it’s really nice that you can adjust each eyepiece separately as there is a big difference in vision between my eyes.
5,My husband loves it
5,I compared these to the Sky Master 10 x 50 the Celestron 10 - 33 x 50 and the Celestron 10 x 50’s.Incredible high definition flatscreen TV like clarity  at several concert halls in NYC. You can even see craters and crevices on the moon. Blown away by these and even bought a tripod for moon viewing.My 72-year-old mom had a hard time holding them at a concert but I had no problem (I’m 37 female work out regularly).Only downside: Not easy to take photos through these. I bought an iPhone adapter but it didn’t do much good. Will need to keep shopping for one.
4,Rated 4 stars for this reason. Did not say it came with a tripod adapter. A review said it did not come with a tripod adapter and the frequently purchased together items recommended purchasing a tripod adapter so I purchased one. Upon receiving the binoculars wallah It came with it's own tripod adapter. Now I spent money on something I didn't need and have to deal with the hassle of returning the extra tripod adapter. Otherwise they seem to work well. We are surrounded by  mountains and have seen I lot of stuff that was not noticeable with my 8x24 binoculars. Also I can now spy on my nosy neighbor who has been spying on us for the past 4 years HAHA.
3,Not what I expected from Nikon. I know that zoom binocs aren't going to be as good as their fixed-zoom brethren but I at least expected to be able to get a clear sight window. Vignetting and small field of view make these unsuitable for most tasks.
4,Wanted to have a pair of binoculars that I could have my cake and eat it too.  That is to be able to see close up and then be able to reach out for distance. So I decided to go for zooming capability.  The only down side is a bit more weight and size.  For the money these are very good.  I could have gotten a pair for under $100 bucks but after reading lots of reviews I didn't want to risk not being happy for the sake of a few more dollars for something I will have for years to come.  These are clear at minimum and maximum zoom focus smooth and easy.  If you stick with the same object as you zoom in and out you will not have to refocus.  I took these out at night and can clearly see street light lit up areas no problem from 100 yards away.  Only negative as others have said are the lens covers.  The eye piece covers are a joke and seem like they were meant for something else.  Like putting on a bucket hat when you’re wearing a tuxedo.  So I deducted 1 star for that.  I will be looking to replace them with something else.  Besides that the best zooming binoculars for the price.
5,I wanted high powered binoculars to see the wolves in Yellowstone. These were great. Unfortunately due to white out conditions we didn’t see wolves but I saw a pair of bald eagles on the ground with these binoculars. Such a clear picture. Can’t wait to take these on an African safari.
5,This is exactly what I was looking for – large objective lenses for lots of light and Zoom. This is a great combination and a nice price.
5,I love them because they were inexpensive nikons. I wanted them to be something  I wouldn't  worry  about if something  happened like drop or swim. I knew I wasn't  going to get a Nikor lens quality piece. Not for a buck and half. But I knew it had to pass muster to have the nikon name stuck to it. The zoom is a little crunchy not smooth like others ive had at a premium. Field of view is alittle small at 10x compared to the fixed 10 50. not a deal breaker. I wanted the zoom. Tripod adapter comes with it. I use a mini mono pod to stabilize while using it past 14X . Great buy. No disappointment. just like buying a truck the no frills will haul the manure as well as the full monte. If you want more spend more.
3,The picture quality is below average. Bushnell were far better and half the price.
4,I got these thinking with a zoom I could use them for anything - not so much.  But they are great at some things.These have a fairly distant minimum focus point (20 or so feet) so trying to use them for bird watching was just frustrating.  By the time you get a bird at least at the minimum distance and focus all you see is a very shaky view (your hand trying to hold the glasses still).  These are just too powerful for bird watching - at least the kind I do.Now for distant viewing from a tripod or with your hand steadied on something these are GREAT.  The picture quality is out standing and the zoom is easy to use.  I used these for mountain viewing from a room and really appreciated the quality.These are also good for viewing the moon - on a tripod it's almost like having a small telescope.  You are not going to see planets (except as fuzzy dots) but you can see a lot of detail on the moon especially at the light/dark edge where you get a lot of contrast.
5,I had read one very good review where they had stated that they were not binocular experts but went on to say that they had bought several pairs of binoculars over the years that didn't have the clarity that they had expected until they bought these.  Their review compelled me to write my review!!  I agree with them 100% these binoculars are of very good quality you feel it in the weight at a solid but fairly light 33 oz. ( or roughly 2 lbs. 1 oz.) and rubber armored!  I have had several pairs of binoculars myself and when you zoom in and refocus you just can't get them to come in clear unless you back off the zoom a bit then they will become clear. So what good is zoom if they're not going to be clear when zoomed in all the way.  Well good news for the folks that bought these because these are crystal clear while zoomed all the way in!!! Also if you focus these in while zoomed in all the way as you back the zoom off they will stay focused!  Also what is not mentioned is these binoculars come with a neck strap a padded case that has a belt loop so you can ware it on a belt up to 2.5 inches wide and lens covers along with the tripod adapter that is mentioned.I would definitely recommend these to anyone!!
5,Excelent binocular
