rating,review
4,Update #3 Oct 8_______________I've been using the replacement keyboard for a few weeks now and I've modified my rating (to 4...would give it a 4.8 but just not a 5). And yes it's a keeper. All typos are now my own (although 40% of them are from when I've picked my hands up from the keyboard and don't look to see where I'm putting them back down again). I can type normally again. The space bar is fine. (And FWIW for some reason I was stuck on saying it was LEFT but it was the RIGHT one that was so troublesome. I'm quite fond of the mouse. I'm not experiencing latency which I was getting occasionally with the previous keyboard. I'm no longer fumbling with a dependeny on the ENTER key taht was on the keypad. I love using the keypad when I need to use the calculator and having it aside when I don't. I have not thought much about the page up /down/etc positions of keys so they are not getting in my way.I'm not sure why I'm reluctant to give it a "perfect" 5.  Perhaps someday I'll come back and change it.Update#2 Sept 20________________I've decided to give the keyboard another chance. I've ordered a replacement from Amazon to see if I can get one with a working spacebar perhaps the other problems will go away? It's just unusable with the spacebar functioning so poorly.UPDATE #1 Sept 14___________________... 10 days....(captain's log?:) ) ... still no love from the left space bar. THere are things I like about this keyboard.Believe it or not Ilike the numeric keypad being separate. It's like a fancy calculator. I like the ergo shape of the keyboard and the feel of the built in wrist wrest.I haven't gotten used to the FN switch. In fact I tried muting the speaker and kept hitting the F2 key and never realized that it wasn't working because I had to change the FN switch.The space bar is a big problem for me but in addition I feel that my typing has slowed down dramatically which is very bad.The position of the directional keys is also slowing me down still.So now I am contemplating two options. An offer from a friend who upgraded from a fairly new MS Natural 7000 to the sculpt and *loves* the sculpt (I'm a bit envious...I really wanted this to work for me) has offered to send me the 7000. My other option is to set aside my desire to have an ergonomic keyboard and opt for a mechanical keyboard (either das keyboard ..favored by many programmers I know or the new CODE Keyboard).However I think I will stick with ergonomic. Maybe I should look at logitech. I wish I lived somewhere that it was easy to try these out first hand.I will update again when I've made my decision.To be fair I've talked with a number of friends who are also programmers who got this keyboard and absolutely love it. They are not having the issues that I'm having. While i think the spacebar is a defect of this keyboard but the overall slowness for me is just too much and while a working spacebar will be a big improvement I don't think that will be enough.ORIGINAL POSTING_____________________I'll start with the good:it's very cool looking and I love having it on my desk. It makes this geek feel sooooo stylish!I've come from many many years of using the *original* Microsoft Ergonomic Natural Keyboard (precursor to the 4000 which is precursor to the 7000). I loved this keyboard. But after a recent lightning strike that came so close to home it has acted as though it were possessed by the devil. I ordered a 7000 to replace and one day later saw the announcements of this one so was able to cancel the not-yet-shipped 7000 and pre-order this site unseen and with extremely limited press reviews.I am not someone to glom on to new technology. The only other time I did that was after being stuck for 4 hours in Logan airport being brainwashed by the ad for the brand new IPodNano playing over and over again. I bought one within a week! Otherwisewelllet's just say I held on to my Blackberry for a long long time.But I wanted this one.I anticipated a learning curve as I got used to it. I'm still making a lot more typos than normal and it's annoying. I feel that it's slowing me down. BUt I also am confident that I'm still in learning curve mode.The one thing that is really bothersome is that the right spacebar sometimes ignores me. I have to pound on it. For some reason I use my right thumb 100% of the time to hit the spacebar. I don't think I should have to retrain myself because of possibly faulty equipment. Oddly I have read a similar complaint about the 7000 and was really surprised to find this happening in a much newer  model.I'm a little concerned about the bizarre Function key switch. But I've hardly had to use it yet. Same goes for the fact that the FN keys and escape are so small. But none of it has caused me any grief thus far.As a software developer I must confess that I am not a big key/combo user. I know a lot of developers prefer mechanical keyboards and drool over features like being able to map 18 key chords (okay I exaggerate that would take fingers & toes)while they are working. This is far from a mechanical keyboard. The keys are shallow. In fact they are even shallower than the keys on my Thinkpad. I don't know if this is why I have so many typos (in addition to the space bar problem). My instinct is that i really would rather have ergonomic than mechanical. Now ergo mechanical and backlit...there's the ticket! Oh yes I can't believe I acquiesced to yet another *black* keyboard that is not back-lit.The mouse was a bit of a shock at first. I had the Wireless Intellimouse Explorer 2.0 prior to this. I liked it a lot. While that is flatter and longer than the ergo mouse I think that they provide the same feel to my hand and I'm guessing that the overall length is the same once you account for the difference in arc. With the ones your fingers hang/curl more dramatically but it's just as comfy..maybe even more. Time will tell.I had already been using a mousepad with an elevated wrist wrest for years. I think it aligns even better with the new mouse than it did with the other.I also like that the mouse has a battery switch though I have to remember to use it. Oddly my intellimouse raced through batteries while I never changed the keyboard battery for its entire lifetime.So for now (about 5-6 days in with 3 being a holiday weekend where I did not do a lot of typing :) ) I'm a little frustrated with the keyboard and happy with the mouse. I will see if the space bar works itself out. If not I will try to see if Microsoft says it's just faulty and I should exchange it. The jury is still out on the FN key setup. I'd rather give this a 3.5 but I think a 4 would be misleading. I promise to update this review when I've spent more time with these devices.
5,This is my second MS Sculpt Ergonomic keyboard. My first one (5+ yrs) started having issues with typing when connected to newer work and home computer with USB-C ports. I thought it might have been related to USB-A to USB-C or USB3 issues. On top of that I am using a dual monitor KVM that is USB2. As a result of my quirky issues I started shopping for KVM's and ergonomic keyboards.Some other great options for ergonomic keyboards exist but they are generally full size with the number keypad you rarely use at least in my case anyway. Any mini keyboard without number keypad are standard non ergonomic keyboards. So.. before getting a costly KVM lettering was starting to come off the keys on my old keyboard anyway I purchased another Sculpt keyboard and .. I AM GLAD I DID. Solved all my problems with the ergonomic keyboard I love.My only comment I wish it had backlighting. But not a big deal for me would run down the battery faster anyway.I recommend without using a full keyboard with your mouse to the right of that or in some distant location this keyboard with a separate number keypad keeps your hands straight in front of you.
4,This is a great wireless keyboard with one potentially major flaw.I have had this keyboard for over 2 years. I am a storyteller and writer and am working on becoming an author so I type a great deal. Because of this I moved to this ergonomic keyboard/mouse combo. It is very comfortable.The mouse is softish rubber on the side to the touch but is a hard rubbery material. It it hard plastic on top and where the mouse buttons are. I have long fingers but not thick (my elderly father has quite thick hands from being in construction all his life) and it is comfortable to use for me and my dad wouldn't have any problems either with the comfortable spacing of the mouse. It takes AA batteries which are placed under the magnetic base of the mouse. I use the mouse a lot on a normal day (keyboard too) and for me the batteries don't last SUPER long but relatively long for a normal person's use. I personally bought a set of rechargeable batteries from Costco for the set and just rotate batteries charging them as needed. I've used the mouse on a gaming mouse pad (I'm an enthusiast gamer in my spare time) (though this mouse doesn't replace my gaming dedicated mouse) pillows sheets t-shirts towels etc. moving between my home office just laying in bed using my bedroom pc/hdtv. The mouse seems to respond quite well on all of them. Again I wouldn't use it for serious first person shooters when your team needs you to be right on target immediately but for normal use it's awesome. (The dongle is also under the mouse)I don't use the number pad often but when I have it's quick and can keep up with me fine. (I typed words until I had a hand injury at work at 150 wpm and data entry at over 9500 keystrokes per hour) Now it is too thin to take regular batteries and I haven't used it enough to run out of juice so I don't know how it'd do for someone who needs alot of data entry on that numpad.The keyboard is comfortable but coming from a regular straight keyboard took a little getting used to. Once I did however I was able to type a little faster maybe 5 to 10 percent (which when you are working on multiple 100000 word books is a big deal). Like the other items it responds well. The batteries don't last as long as the mouse but they are AAA's so that's part of it (yes you need AA batteries for the mouse but AAA for the keyboard hence the combo pack I bought at Costco). Now I don't know if that's because of typing so much or because if something is left on the keyboard and depresses a key (the keys don't take much to depress which is good for ergonomics and fast typing) the keyboard keeps draining even if the PC is off the keyboard power can drain (mouse too if you for some reason are moving the mouse alot when your computer is off). So I had to learn not to dump stuff on top of it when I was being lazy. But keep this in mind.The biggest problem with this set is that there is a single dongle that plugs into your computer and if this is damaged your out of luck. Not a problem you might think (as I did) that's not a problem I'll simply put the dongle in one of the usb ports in the back of the computer. NOPE! I tried that in every port I had and it majorly messes up the ability of the set to work the keyboard acts like it's drunk when you try to type the mouse is all jittery. Not good. So you have to put it in a front port and it sticks out a bit. Where I have to put my PC (I have a massive full tower HAF 932 Case for my gaming components) It sticks out where my body/legs go. So as much as I've tried to remember to be careful near it I inevitably forget because I'm a spaz sometimes (lol) and bump it. Over 2 years it's now dead as a door nail. It sticks out a bit more than most dongles so I never got used to it. With logitech sets (which I don't believe are as good and I have tried a few) you can get a replacement dongle. But with this microsoft set they won't give you one. They claim they can't which may be true but I doubt it. But you can't get a new dongle you have to buy a whole new set. That's a MAJOR flaw for some people. If you are more careful than I am you might be completely fine.I personally just ordered a second set. I now have a wrist injury and am recovering from surgery so the comfort and ergonomics of this set are very important to me along with the speed it gives me compared to my plug in regular flat keyboard. As an aspiring author I need the best and this is it. (It's also quiet to type on which most people won't care about but for me I have multiple books spinning in my head and so many angles and options that any distraction could make me forget something before I get it out on "paper")I wholeheartedly recommend this set. However because of the dongle flaw and the cost for buying a new set because of it I just can't give it 5 stars. It is the best set I've ever used though and if your careful or need the best GET IT NOW
4,I purchased this keyboard since I have been experience pains in my arms since I work all day long on a computer. I already had a Microsoft Natural Ergonomic Keyboard 4000 with my work computer however I wasn't happy with the spacebar on this keyboard. I also wanted a much better mouse since the standard mouse that I was using on my PC wasn't cutting it. I was getting pains in my wrists and that was pretty unpleasant. So when I heard about this new ergo keyboard that Microsoft announced I became very interested in it for multiple reasons.Installing the keyboard was a cinch unpacking the keyboard wasn't too hard. There were already batteries not only including in the box but already in the devices. The nice thing about how the batteries were included was that there is a small plastic strip that stuck out which prevents the batteries being used while in the box. You just pull that plastic strip out and now your devices have power. The keyboard and mouse has a really nifty cover that uses magnets to keep closed instead of your standard clip that you have to pry open. So you just lift the magnetically closed cover which opens gracefully and you have easy access to change batteries for the future. However the 10 digit keypad will require a small screwdriver to change that battery.The mouse hides the small usb adapter underneath the battery cover and can easily be taken out. I really like how they designed to keep the usb adapter in there very smart design. I just plugged in the USB adapter into my Windows 7 machine and it automatically installed and recognized my devices without any problems. I didn't need to install any drivers or have to do anything to "sync" the devices. The keyboard mouse and 10 digit keypad all worked without any work.I saw that the spacebar has a split design and was very excited about that since on the 4009 model MS keyboard I had before had an issue with sticking or just being difficult to press down. Now with the Sculpt keyboard it is like night and day difference it is super easy to press down the spacebar with either finger since it has a split design to there are actually two separate keys for spacebar one for each thumb.Speaking of the keys on the keyboard it has a much different feel. It has adopted the chiclet style keys which has gained a lot of popularity many laptops these days including something like Apple Macbook. The keys have a very low amount of travel meaning it is very light and easy to press. So much so that at first I had to get used to it because the keys were so shallow and easy to press. After about a week I got a lot more used to it. The buttons for the function keys that run along the top definitely run on the small side and pretty much has no travel like the normal alpha keys do I didn't care for that as much. I also wish that the menu/right click button to the right of the right Alt key on the keyboard could be reconfigured to be another Windows button. I often like to hit the "Windows + L" shortcut to easily lock my computer it would nice to not have to hit the Windows key on the left side.Another aspect of the keyboard that I was excited about was having the 10 digit keypad separate. Being a guy with a smaller frame I don't have super wide shoulders. So by having the 10 digit keypad be separate it allowed me to keep the mouse not so far to the right of the keyboard. Thus allowing me to have a much more natural position of not having my right arm at an angle to the right but more directly straight and in front of me. However when it came time to wanting to use the 10 digit keypad that can be a bit awkward to figure out how to use. I have tried using it above the mouse or to the right of the mouse but neither one felt natural but luckily I don't need to use that too often.I have been pleasantly surprised how much like using the wedge you can put underneath the keyboard to prop the front side of the keyboard up. I felt like it has put less strain on my arm and in more comfortable position to reach all the keys on the keyboard. I also really like how comfortable the pad is on the front of the keyboard.However the thing that I am the most disappointed with on the keyboard is the stability of it. At work my desk is not your standard straight desk edge but is curved and my computer monitors are in the middle of that curve. So putting that keyboard at the edge of the curve makes it tip in the middle. It affects how much I can pull the keyboard towards me while typing. Luckily with putting on the wedge under the keyboard helps out to make it more stable but can still be an issue sometimes.One of the main reasons I was most excited about this set was the mouse I am very pleased with the mouse. After adjusting my desk to the proper height I was able to get used to having my hand more tiled. But I really love it now and the pains that I used to have in my right wrist has gone away now and I am very pleased about that. The mouse does run on the large side of things but I think that is good design to help keep your hand in proper form. I really like the feel of the rubber on the device and the scroll wheel is very smooth to use. The buttons on the side next to the thumb has a very nice and soft click feel to them.Overall it is a fantastic keyboard and mouse set I would highly recommend it to individuals who want a better and more comfortable keyboard and mouse for their PC. I docked it one star because of the occasional stability/tippiness issues with my desk at work.
5,Set up was easy and fast. It took about a week to get used to typing but I was okay with that.  I type all day long for work and my wrists and upper shoulders were in daily pain from using the wrong keyboard. Go ergonomic if you can to help reduce the  pain.
2,*** I wrote a procedure on how to get it to work on Mac. Check the following post: http://www.themtparty.com/archives/6007I usually work on Mac and Linux. But still Microsoft provided a driver for different OS especially Mac. That's what I loved about Natural Ergonomic Desktop 7000. When I first bought 7000 didn't even know Mac compatibility wasn't on the list. But soon I found out Microsoft made it compatible with Mac as well. It has been wonderful 6 years typing on my 7000. I expected the same quality of service with Sculpt Ergonomic Desktop well failed.The keyboard is brilliant and gorgeous. If anyone uses num pad more frequently no need to go back to good-old wired keyboard with this. There aren't many wireless keyboard with numpad and if it is wireless it's not sculpted right. It's incredibly hard to use non-sculpted keyboard and type hours and hours a day. In my case I do need numpad so I believed this set of keyboard will redeem me out of miseries wrong. It didn't. This keyboard does not support mac and if you have read a magazine -like I did- explaining how this keyboard supports both PC and Mac don't believe them. It simply doesn't support Mac.Most of the keys on the keyboard still works fine. Little tweaking can fix Win key and Option(alt) key reversal. But rest of the keys don't even respond properly. f13 to f15 don't work. Obviously none of the function keys (volume controls brightness controls and etc.) will work. Some of the sources I've found said that it will or does support Mac. Again it doesn't support Mac as of now. I am hoping Microsoft will provide the drivers for Mac as well but we will see.Update 1 ------I realized on my previous review it was all about "how MS decided to drop support for Mac and Linux" which would have been useful only to certain groups of people like who had been a big fan of microsoft keyboard for a long time and studied other periperhals. I'm sorry it was just plainly wrong to think it that way.Driver is still not supported. I looked up some of the 3rd party drivers which was up to no avail. But unless you are looking for serious extra features in the keyboard or the mouse it should be just enough. Volume controls and play/stop on the keyboard still works on Mac and rest of the buttons are for Windows 8 specifically: don't expect it to work on Mac. None of the calculator buttons work either. If you are looking for brightness control you can change it under the system preferences under keyboard menu like option-control key reversal.The keyboard itself is just like any other MS keyboard. It rests wonderfully under your palm key clicks like mechanical but the sound it makes is a lot smoother and quieter compared to Desktop 7000. If you are one of those 'mechanical keyboard' fans you might find this as a more practical and cheaper alternative than heavy-duty mechanical keyboard. In my opinion many of the mechanical keyboard brands are overrated; in that sense MS nails it brilliantly every time. All of the battery compartments in all of the devices (except for numpad) are magnetic so don't worry about your nails when you open it. It's a small change but I love it so much. You don't have to link it to the receiver like in the year 2000s it just works out of the box.It's the Num Pad that wins the trophy. The conventional keyboard always have num pad connected to the main keyboard meaning big chuck plastic will be lying around on your desk. Not only it's ridiculous I fairly don't use numpad that often. Even while I'm working I've always wished my numpad could be placed elsewhere for convenience. It's hard to reach out to a mouse when the numpad is sitting there. But not any more! Your numpad is free. Place it anywhere you want take it out when you need it the most.However the mouse is a big disappointment. It's sculpted. Right it's sculpted but that can't be an excuse of having less and less features day by day. Except for 2 button and a wheel none of the extra buttons are in right place. You have to literally relocate your thumb to the button find it and press it. It's not a question of getting used to it. Unless MS really wants us not to use anymore than 2 buttons like Steve Jobs did with 1 button mouse this is total screw-up. Compared to my good-old Logitech Performance MX -For the record it probably costs 10 times more than this mouse so this is an unfair comparison- while the ergonomics of the mouse is superior then Logitech's rest of it is simply non-existent: no revolutionary "click wheels" less buttons locations of the buttons are also weird.As for the USB receiver MS has reduced its size. But not quite enough. Why would I want to store my receiver in my mouse? Why not in the keyboard? It would have been really nice to have a space in the keyboard to put it. Some of designs raise a lot of questions too. How come the keyboard uses 2 AAA batteries while the mouse uses 2 AAs? How come I can't change battery in Numpad without having a screw driver? Why not a small LED to tell us whether caps lock is on or not? What about for num lock?In total if it wasn't for the driver I would have given it 4 stars. It is still one of the best keyboard+mouse combo I've ever used in office. Driver support and poor PR costs another 2 stars. I hope MS starts notifying other blogs and magazines of "how they did not intend to support Mac to begin with."Update 2 ------I found out some relief for mac users if you were a big fan of Ergonomic Desktop (previous model of ergonomic lines). The only difference you will see will be set of missing keys: web search mail calculator (not function due to missing driver) back forward and zoom; which none of them I used on Ergonomic Desktop to begin with. Volume keys and play/pause key work just fine and that were the only key I needed with my old keyboard. Only key I will probably miss would be calculator key which is still on but does not work. For the record of who wonders how about brightness F14 and F15 are mapped to control brightness (OS X default) and you may remap F13 or any other function keys (F1~F15) to associate with your choice of feature with 3rd party drivers like "BetterTouchTools." F13=PrtScn F14=ScrLk F15=Pause. If you need any of the keys that were on older keyboard or supposedly work on current model until MS launches Mac driver 3rd party apps could be some relief. Personally I don't see when or why would MS even develop a Mac driver for this particular model; it's filled with Windows specified keys. Mouse on the other hand is still up to no avail yet.Update 3 ------Num pad does not use neither AA nor AAA batteries. It uses one of the coin-type battery and I have never seen the size of the battery they decided to put in the num pad. I suppose it will last longer than any other coin battery I've seen or used but it bother me that it's not a common type.Update 4 4/23/15 ––I saw my reviews being quotes as "how to use MS keyboard on Mac" and I'd like to summarize what you'd need. Get Karabiner to set Application Key to Option key. As for the Alt and Ctrl you can reverse them in the System Preferences under keyboard Modifier Keys. If your f13 f14 f15 (Print Screen Screen Lock Pause) keys do not work as it should be (usually brightness control) get Better Touch Tool. Set f14 and f15 for brightness down/up respectively.The unit I purchased on 2013 is now broken down entirely. I think it has to do with the plastics they were literally tearing apart. I try to fix them glue them together if possible. At this point I purchased a business version (so it's my second Sculpt Keyboard) which does not include a mice but only wireless keyboard and a wireless keypad. If you are looking only into the keyboard I think that will be a great option as well.Update 5 6/10/15 ------I wrote a procedure on how to get it to work on Mac. Check the following post: http://www.themtparty.com/archives/6007
5,I have never felt so much attracted to an object as I feel with this keyboard. I’m tingly in places that makes me feel weirdly turned on. But honestly? If this keyboard was a person Baby I’d get those digits….. using the Bluetooth 10-key pad that’s included of course! ;) I will say the keyboard is like that one hot mom you met last week on a blind date set up by your nosey friend while the mouse is their weird anti-social son that secretly likes to rip wings off butterflies in the backyard for fun. It’s awkward and frumpy and such a turn off. Does NOT go with my keyboard boyfriend. :( Now I have a weird craving to listen to 80’s Madonna while daydreaming about my keyboard lover.
4,The Sculpt keyboard is a good iteration on Microsoft's long line of split-and-curved style of ergonomic keyboards. I have been using "Naturals" keyboards since the late 90s and this one feels great to type on. Overall the experience with the keyboard and mouse has been very positive. After only about a week of use I am pretty much hooked. Barring early-failure incident I expect I would buy another and/or recommend to friends and family. It loses 1 star for a poor rf-connection that requires a short unobstructed path from dongle to device. Extended review below.Pros: * Keyboard and mouse both have a nice sturdy heft/feel. The keyboard in particular with its literally-split design might appear like it would flex in the middle when you rest your hands on the padded bar at the bottom or if you press the keys firmly. It doesn't. Surprisingly robust. * The keyboard is really pleasant to type on. The key-travel is just about perfect and the roll + yaw of the split keyboard makes for extremely happy wrists even if used for hours on end. The wrist-rest at the base of the keyboard provides a perfect (for me) amount of padding. * My initial impression of the mouse was that it was unnecessarily bulky but after a few days of use I used a desktop pc with a conventional mouse and found myself longing for the Sculpt mouse. * One problem I've always had with this style is that their over-sized space bars had a tendency to degrade over time causing a sticky or overly-firm actuation but this generation cut the space bar into 2 separate buttons mitigating this problem. * The keyboard riser and the battery-covers for keyboard and mouse attach magnetically. While this means they might fall off accidentally I think this is a pro. I had a MS Naturals keyboard that fell to the floor once and the plastic-tab-attached riser bar partially broke off making it unusable. In this version it would just pop off and be easily re-attachable. I suppose if you carried these devices around with you often the battery cover could possibly come off accidentally and get lost. But I like the magnetic rather than plastic-friction attachment apparatus.Cons: * My biggest problem with this keyboard is how close I have to keep the rf-usb dongle to the keyboard and mouse to not drop keystrokes/movements. You can forget about connecting it behind a desktop tower or into a usb-hub on the back of a monitor -- that doesn't work. The only way I've been able to maintain a reliable connection is to attach the dongle into a use hub/extension so that the dongle can lay within a few unobstructed inches of the keyboard/mouse. I once set a plastic water bottle (full of water) between the dongle and the keyboard and noticed a near 100% connectivity loss -- maybe 1 in 15 key presses made it to the computer and the mouse movement was jerky and sporadic. * The devices and their dongle are an unalterably-linked cryptographic pair. There is NO WAY to use any Sculpt device without the usb dongle that it came with. If your mouse or keyboard breaks you cannot simply get a new one and use it with the original pair's dongle. If you lose or break your dongle it CANNOT be replaced. You'll have to buy a whole new set. * The delete/home/insert/etc buttons are crammed together in an atypical layout. I've only been actively using this keyboard for about a week of extensive daily use but I still have to look do to find home and end (keys I hit very frequently when writing software) and frequently hit 'delete' when or backspace when I meant to hit something else. * The Escape and F-keys are very small. This is true on many newer laptop keyboards as well but I would much prefer them to be larger. When editing a text file in VI I find myself hitting ` instead of (or in addition to) escape with annoying frequency. This might not be the best keyboard for someone who spends a lot of time using VI.
4,I'm writing this review on the keyboard as we speak which means that generally speaking I can use it without worrying overmuch about the feel of the keyboard. However the mouse that came with the package could be best described as "a giant hunk of plastic) that periodically falls off the desk onto the concrete floor. Which means that the first star was taken off purely because of the inclusion of a mouse that I never use.Realistically I bought the keyboard because I got tired of using a wired keyboard and dealing with the USB cords to the machine. I work on a desk that's approximately 48" x 27" and is a standing/sitting desk configured to be comfortable for me to stand or sit and type but without an adjustable desk top. However it houses two 27" monitors one 24" monitor a laptop two external hard drives my mobile phone mount a mouse pad two mice (laptop / desktop) a speaker set the occasional curious cat demanding attention charging station for Bluetooth headset etc. etc.I've also been switching over our house usage from throwaway to rechargable batteries with a series of charged-up batteries in waiting plus a charging station for said batteries so no worries on that count either.Moving a wired keyboard around from standing to sitting positions got to be a pain in the butt so I picked up the combo pack. Makes sense right? I thought "Hey I should get this so I could use the mouse with my laptop or if ever I decided to go all portable I could just toss the ergos in my backpack and go."That said I keep finding myself slightly frustrated when I type on the keyboard. My muscle memory was trained for the past ten years to a wired ergonomic keyboard. I should not expect that the new sleek sexy keyboard has the same physical profile as the old keyboard (it sits much lower and flatter to the profile of the desk and does not have flippable stand tabs as the Microsoft Ergonomic Keyboard 4000 - the wired version - does). In addition the extra keys at the top are gone and the zoom in/out and back/forward buttons are gone so I find myself making hand gestures that don't work. In time I'm sure I'll adapt to the new workflow but the differences are there.In addition the DELETE key is in a slightly different space than on the wired version making it possible for me to slip a finger over and go "wait why are you scrolling to the bottom...oh. I hit END not DELETE" at least twice a day. The simple fact is that the DELETE key wouldn't logically go anywhere else in a keyboard layout but the muscle memory shift is slightly confusing.In short you won't be able to instantaneously shift from a Microsoft Ergonomic Desktop 4000 keyboard to this one without making some mistakes and having to adapt your typing stance somewhat. I have in the past month or so learned enough to be comfortable touch-typing with the keyboard but my typos spelling mistakes and other "issues" do seem to crop up more often than if I use the old wired keyboard.It is however a viable and comfortable alternative to a wireless keyboard if you are using it with a laptop. I also like the fact that the keypad is separate from the main board making it easy for me to stash it elsewhere when I'm not using it.I also know that it's ridiculous to expect the full feature list of the Microsoft Ergonomic 4000 to the Sculpt but I do find myself groping for the music pause buttons periodically or the quick buttons I had set to run programs and email.However as a keyboard to go along with your laptop I'd highly recommend it - it's similar enough to most external keyboards to be comfortable to use but also has the small lightweight and portable factor.But that mouse...somehow I expected something small sexy and light like the Microsoft Wedge Mouse and instead got the hulking oversized awkward cousin in the package. But for the time being it works fine in its current role - sitting around as a replacement in the event my beloved Razer 12-button mouse ever craps itself and I need to pick up a replacement. That thing is huge and the only advantage I see with it is that it natively works with a single plug-in to a USB port.All in all it's a nice keyboard with a few missing tweaks. Rather than drop to a 3 star review I'll hold at 4 even though the issues with the format and the mouse take it down 1.25 stars. If I was judging the package solely on the keyboard and not the added mouse it would run a 4.5 star review but the inclusion of the mouse brings it down just a notch.
4,Edit: when I received my replacement sculpt desktop I realized there was a place to dock the dongle.  The dongle can be nested inside the mouse.  New units are packaged with the dongle nested in the mouse. The first keyboard I received evidently had been returned because the dongle was with the manuals.  I would also encourage Microsoft to place something in the packaging stating where the dongle is stored because I started to think the dongle wasn’t included.  In that panic i tried using the mouse on the desktop my wife uses and the dongles are specific to the mouse keypad and keyboard keyboard they ship with.  I also failed to mention that unlike any mouse I have ever seen there is a magnetic closure on the bottom cover.  With the dongle stored there the magnetic closure means there is no worry about breaking off a plastic tab by repeatedly removing and replacing the cover.  I would still buy a second desktop or keep the one you are replacing handy if you travel a lot.  In light of so many unique great features I am surprised that Microsoft settled for the dongle being unique to the keyboard keypad and mouse it is shipped with.I love the mouse I love the keyboard and I can’t live without the numeric keypad. I don’t love the dongle.  First unlike Logitech the dongle is unique to the keyboard and mouse.  Lose the dongle buy a new keyboard/mouse...pack notebook computer in brief case with dongle attached/dongle breaks.  Believe it or not the dongle pictured above quit working (if you notice it is barely bent to the left).  So now I am buying a new Microsoft keyboard.  If I hadn’t already gone through a stack of Logitech keyboards either because all the letters wearing off the keys or broken keyboard supports I would go back to them.  I love their dongles though.  Being able to pair any peripheral with any computer is completely user friendly.Here is the other trick when you start removing the dongle to put in a briefcase - there is no place to dock the dongle in the keyboard so you have to keep up with it and while that should be a big deal it still leaves a possibility of it getting damaged or lost.  Why the dongle cannot flush out with the notebook computer like others I don’t know.While I never drove a Jaguar the joke in the 80’s was you needed to have two because one was always in the shop.  If you buy one of these sets I recommend buying a second - if you travel a lot.  The one on my desktop has been flawless and best of all I have worn no key markings off the keyboard in over a year of working on it.
