rating,review
4,Its good but the lends cover doesnt fit...
5,It isn’t brand name but it works just like one!! Seems very durable. Passes the outdoor test for sure!
4,Showed up on time and is good quality.
5,Fits perfectly good price
5,Good quality and it simple works as it should :)
3,I installed this on my Canon EF-S 55-250mm Lens. No amount of tightening would keep it on it would simply fall off when carrying the camera. The lens is 58mm dia. as are the threads on the hood I don't believe it is made for the telephoto lens. I returned the product.
5,I wanted a lens cover this is it
4,I picked the wrong size. It works on my other len.
5,Used on my canon camera
3,It's an okay product I didn't like it because you could see it in the pictures and that was going to be more work when editing.
4,La pieza es insegura cuando se adapta no tiene un agarre sostenible.La tapa protectora del lente pierde también el agarre en su borde original dado el nuevo borde que no tiene enganche para la tapa.
4,nice product
4,Firstly it arrived on time. I was extremely skeptical about ordering a tulip hood at such a low price but needed one in a pinch for a new project. Don’t let the price fool you….extremely pleased with the product for the value. It easily attaches unattached and does it’s job
5,just got it have not tried it but seems like a great value fast shipping
5,Fantastic product! Shipping was fast and easy as well!Just what I needed for my camera.
4,The installation is inside of the lense sometimes it appear in the picture you have to readapt or correct the location.
4,Lens hood fits snuggly on my Canon telephoto lens. Using it has been no trouble.The only issue is that the hood screws in where the lens cap locks in meaning I can either have the lens hood or cover the lens with the lens cap but doing both isn't really possible at the same time.It's not exactly a deal breaker but something for future users to know.
5,Shipped on time and good quality
4,Quedo muy feliz con el producto
4,Works good! Perfect for the need just fits oddly.
2,This cap screws onto the end of ur lens and IT DOES NOT ALLOW FOR THE LENS COVER TO BE PUT ON. It makes it a big hassle to take on and off get one that is reversible
5,Bueno para el precio
5,It did the job nothing to crazy.PROS: it worksCONS: not reversible
5,Like still finding ways to use
3,wrong size for Canon lens
3,The greatest irritant I have is my lens cover doesn’t want to stay on especially when in the bag. I’m less than thrilled that a $10 part may endanger my uv filter and lens!
4,camera!
5,The hood is a perfect fit for the lens. Worth the money.
5,Fits great on my canon DSLR 77d with a 18-55 range 58ø head size. A little over priced but does the trick. Be sure to measure your lens before purchase!
4,Product will be used for photos taken inside
4,Form fit and function…check !
5,Just started off photography and heard so much about this piece and I absolutely love using it.
5,It's sturdy and fits as described 3d. Works as intended.Great value..
5,Fits perfectly
3,I was assuming this would attach like most hoods do to the outside of the lens but this hood screws into the filter threads so you can't use the hood and a filter at the same time.  Hood works fine but I always have filters on my lenses so it is a no-go for me.
3,There’s no instructions on how to put this thing on. It’s okay for the price.. update The consumer of this product reached out to me to rectify whatever issues I was having. I appreciate the good customer service. Thanks for reaching out and your willingness to help
3,You get what you pay for! Barely screws/stays on can’t put the lens cap on it with this on…pretty much all of the reviews are correct. It’ll work if you’re desperate but that’s about it
2,Doesn't tighten onto lens. Seems to do so  but if bumped or pulled it comes off lens..
4,Loving the new look
5,Like the durability and fits all my camera lenses. Good value for the money.
5,Great hood. Does what it’s supposed to do. Doesn’t get stuck in the threads.
4,This is a great hood for the price. It looks and fits great.For the reviewers who complained about it not aligning right when you tighten it down screw it down as far as you can with it lined up how you want it then rotate the lock ring down against the lens to lock it in place.For those who’s lens caps won’t fit my caps are Canon LC-58 and work great with the hood.My only complaint (and why this just got 4 stars) is that I cannot use a filter with this hood. It would be great if I could.All in all for the price it’s a great hood.
5,Really enjoyed using this. It makes a huge difference.
3,If you’re using this for long distance photos outside and you’re not planning to zoom in this should work just fine.If you’re planning on zooming in be mindful you’ll see the hood in your photos(But I’m also an amateur at taking photos)
4,I’m content with what I got. The lens cap defiantly adds a high dollar look to my camera. I love what the lens does and it has defiantly been super useful especially during outdoor sessions.  The only issue I have is when zooming the lens cap is often seen in my images. Though it minimal it’s still definitely noticeable. Overall I’m really glad that I own the lens cap.Ps. My camera is the canon rebel T6i with a 58mm lens I purchased the 59mm lens cap and it fits perfect.
5,I had an outdoor photo shoot for my photo class and it was supposed to be a real sunny day so I ordered this lens hood. Not only was it a real value for money but also very practical. None of my pictures had any lens flare. Very happy with this purchase.
5,Can't believe I have been into amature photography for this long and have never used one of these.  It does make a world of difference when shooting in the bright sunshine.
4,It works well. I only had it for a month or 2 before someone stole my camera bag. Used it on my Canon DSLR & it does make a difference & cut down on glare
1,First off it is difficult to screw on the hood to the lens second once on any little bump just causes the hood to come off. It didn't work for me on either one of my lenses. If you decide to get it good luck otherwise look for something else
4,When you have your lens zoomed out all the way on the edges you can see some black plastic which is cause by this product.
5,Can't beat the price..
5,Excelente producto
4,When I have the lens at 18mm I can see the edge of the mount.
5,For a telephoto used for nature and  moon pics.
4,It works great but it was hard to thread. The other one I have is easier to use.
5,Queda perfecto
5,This is a review for a black piece of plastic that cuts the glare from the sun. It works and is only 6 bucks. Screws on the front of my short and zoom lens perfectly. Make sure you buy two if you have two lenses as screwing this on as you switch gets tiresome really fast. Worth it.
2,It’s a fine hood but if zoomed out you can see it in the corner of my photos.
4,Love it!
4,Fits my canon T8i nicely
5,Fit my cannon camera nicely.
5,I wasn't sure if this was going to fit my camera for the price I paid but it is a perfect fit. If you are looking at this for your camera and it lines up then get it.
3,Lens hood will not allow for a filter to be attached to it so the filter has to be placed on the lens. As long as to don't need to change the filter this isn't a problem (I guess). I also have the edges of the lens hood on the edges of the closeup pictures. I'm not sure if its the hood or the lens. However I never encountered the problem on the lens hood of my 25-135 lens but I did may more for that lens hood.
2,This product would have worked fine except it screws into the inner threads where my ND Filter would go instead around the outside of the lens like a native lens hood. I did figure out how to attach the hood to the ND filter when I screwed the ND filter in first but since it's a variable ND filter the whole lens hood moved with it when it turned and the tulip bits would show up in my shot. Could work in another instance but didn't fit my needs.
1,This attaches by screwing onto the 58mm threaded end of a camera lens. Despite 45 years using SLR cameras I dismissed the screw-on mount as not being a big deal but it is. The included screw on "spacer" ring helps only a little. Unwary users may foul up their manual focusing ring unless adjusting it with care and getting it adjusted to "level out" and properly align to camera's orientation is an awkward mess that may or may not stay where you put it. Leaving the worst part for last: Due to the poor build quality on the end of this lens hood the usually reliably attached lens cover pops off with the most gentle of bumps. I might use this lens hood but the jury is still out and dropped to 1-star when I realized there is no recess for the lens cap to lock into AND adjusting to orient it on the screw mount is nearly impossible. Simply NOT usable!
5,Sturdy and offers protection fro bumps and scrapes to the front of the lens. The lips rotate to any position to help stop sun flare. This shade works well with ND UL and polarizers filters of the same size.
2,Lens cap will not stay latched into this hood as it should item is so cheap it is not worth returning.
5,I have a canon rebel t7 and this works perfect. Comes on and off easy. I just have to remember which way to turn! Great buy!
5,The Tulip Flower lens was everything I expected! Great price fantastic look on the Lens!
5,I used to use products of another brand but their quality is far from as good as yours. Your products are in line with the high-quality products advertised. I am very glad that I have changed brands， I love this stuff. It's great
4,Very nice purchase with this little guy. I was looking for an inexpensive hood and this one worked out just fine. I am an entry level photographer so I am not taking the greatest photos but I do see the difference this hood creates and it's great. It's a great deal and would absolutely recommend it to anyone looking for a similar product.
5,I have been needing one of these for a while and it was exactly what I needed.  Fit perfectly
5,Great product for the money. Fits my camera very well and I’m very happy with the quality!
3,Hood screws into the inside of the lens or filter not over the lens like many lens hoods
5,Might take a few tries to get the fit right after the camera auto-focuses. You'll know if it's not right because you'll be able to see the edges of the lens hood in your pictures. You'll just have to rotate the lens hood until you no longer see it through the eye glass fully zoomed out.
4,Great price.
3,This lens hood fits my Canon 55-250 mm IS STM lens OK but once the lens hood is installed I can no longer attach the lens cap.  This has NOT been my experience with other lens cap models that I have purchased for my other lenses in the past.
4,Great price
4,Easily screws onto the lens however you cannot leave the lens cap on at the same time that was the only disappointing feature
5,Practico
5,Works good the only thing is when your lens is wide open the two long tips of the hood come in the frame. Overall it does what it is supposed to
5,Worked perfect! Happy and it was cheap!
5,I loved that when I take pictures now that I don’t have a glare from the sun
1,Very disappointed mine came broken.
5,A great accessory! And a great price! Fit my lenses perfectly just like described!
2,For an amateur photographer who does plenty of work with my camera and very little budget to spend on accessories I was counting on this product to help me.  Problem is that because it doesn't really fit my camera well -- even though it was listed as compatible --  it doesn't turn properly when the camera focuses.  Often I get tips of the hood in my pix.  I dealt with it because the nature of my work often calls for cropping so I can remove the unwanted spots.  But I don't use this much anymore because I don't find it worth while.  Too bad 😞
5,Muy buen arriculo
5,Will be great for sunlight contr!
5,I use this and keep this on my camera all the time. It makes for great pictures and keep the harsh light out of pictures. Worth it!
5,It has been more than a year since I used it. A great value for money.
5,well made and strong good foe the price to
5,Awesome works just as good as real canon one!!!
5,Does the job well.
4,Takes a little practice to get it on just right. I have a Canon camera and the hood works well when it is on correctly. If it is screwed on crooked it does show in the pictures. Overall it is a very good product for the price.
5,Fits like a charm.  No issues on my camera.
5,Fits great on my camera
5,58MM Tulip Flower Lens Hood "value for money"and "thickness
5,Absolutely amazing lens! Love it!! Great quality and durability. Well worth the $$!
5,a
3,Doesn’t fir on Canon SlR its better to get original Canon brand
3,It gets the job done but it looks tacky and cheap
1,As others have pointed out this just screws onto the lens via the filter screw. Problem is if you do this it is longer than a standard filter so if you add an actual filter you start getting vignetting at the wide end of the lens. Additionally the whole point of the bayonet mounting for a tulip lens hood like this one is to keep the petals of hood aligned with the framing thereby preventing the petals from being in frame when you take a picture.
5,Does a great job fitting the lens and protecting it. Glad I bought it!
5,Does what I bought it for. For the price it’s great.
5,Fits great and works great.
4,This lens cover screws on not just clicks. You need patient enough to line it up just right to get it on well. When it’s on it works very well!
5,Love this tulip hood and love that it didn’t cost too much ! The material is sturdy and I love having this for my camera it’s my first lens hood and I’ll surely be buying a spare (to be safe) and one in a different style :)
1,These don't work. They won't align properly with the threads so the tulip isn't mounted properly. The tightening ring doesn't tighten because it's cheap plastic and it just jumps it's own threads.Worse is that these don't properly allow the lens cap to fasten properly. A tiny bump and it pops off.Total junk. Returning.
1,Not very effective for my use.  Threads instead of clicking on like some others.  It actually showed up in the corners of some images.
5,Bueno
5,Fit perfect
5,There is some minor vignetting when using it with on wide angle shots.  My purpose is to shoot wide angle views of star constellations that I crop anyway so it works beautifully for that and noticeably shades out a nearby street light.
5,great
5,Great lens hood for those afternoon shots. This eliminates lens flare from the bright sun when taking pictures. Works great and stays attached to the lens and is so easy to put on and take off. No issues in using this lens hood.
4,Great for what I need if for and is the perfect size of you don't want any of your view obstructed. Just note that it is not reversible.
5,Fits well priced right does it's job.
5,Great
5,This lens hood fits my Canon SL3 perfectly. It's well constructed and at a fair price!
5,Product was exactly what it stated it was .
5,Easy installation.
5,Just what I needed at a great price.  It worked perfectly for the outdoor pictures I took.  Although sometimes I forgot to move the hood according to where the sun was.....but that is operator error!  I can't wait to practice more outdoor pictures!  Thank you for a great product!
5,Great product for the price
5,Exactly what my husband needed.  Good product!
