rating,review
5,First off you may have never seen this it's totally worth the watch if you haven't: https://www.youtube.com/watch?v=5qanlirrRWsGreat wheel.  I also have the TX force feedback model.  I can tell you that the TX is in fact really cool but don't despair if you cant afford that one this spider wheel is very very good.  The 'bungee cord" system may sound strange or cheap but it really works great.  Sometimes I don't even want force feedback and in Project Cars if you turn the feedback way down it makes the TX wheel NOT return to center when you let go of the wheel not good.  So sometimes I still use the spider.  Yes it's really fun to nail down good feedback setting in Project Cars with the TX wheel but for less that $100 the spider is very very good.  Do not listen to the low star people I do not know what they are expecting.  In fact as far as weight complaints about the spider as in it "feels like a cheap toy"....is you removed the back of the TX model the heavier "dash" so to speak that houses all the feedback belts etc the TX wheel itself I believe would weigh just the same as the Spider.  As far as Project Cars I mostly use the Aston Martin V12 Vantage G3 in case you ever get the TX wheel here's the settings I use in case it helps.  Be advised that at least with the TX I bought and at least with Project Cars out of the box it felt strange....the factory feedback settings made the cars feel old clunky like the tires were full of rocks or that the steering column was broken so you really need to be patient and get good with all the settings in Project Cars once I dialed in within the the range listed below the TX was way better than originally again I have only tested these settings with the Aston Martin V12 Vantage G3.  When I say "regular options" I am talking about where you press your start button and go to "options & help"...that is the setting area that ISN'T that settings area when your in the pits just that Options and Help area within the start button or the home pages.Steering ratio 15.0:1.Force Feedback: Master Scale 80.All F & M Scales 160.00.All F & M Smoothings 70.0.Force Feedback Calibration in the Regular Options Tire Force 51.Put steering ratio to 25.5:1 IF in regular options the steering assistance is No Driving Assists Allowed All and Yes to Antilock brakes/stability & traction control.NOW if in regular options the steering assistance is YES instead still all assists yes and yes on all the Antilock brakes/stability & traction control then just put all Scales up to 190.00.This is all with the steering sensitivity in Reg Options at 70NEVER CHANGE DEAD ZONE FROM ZERO IT SUCKS.Lastly in regular options taking the steering sensitivity from 70 up to 100 seems to tighten up that slack sensitivity at the wheels center/or deadzone.Also 180 Scales with 60 Smooths is good tooIf you prefer a little more feedback from bumps in the road with any set up above just i DECREASE all four of your All F & M Smoothings.Keep in mind that in my opinion the lower you put the Smoothings the more of what I call a "belt grind" effect happens.  I mean that the belts inside the TX unit will give more feedback in a sense but it can feel  to me more like just a grinding belt/broken steering column effect...not really translating as road bumps so just test it of course. for me 50 or 60 on the Smoothings is the threshold to keep the bumps still feeling like bumps and not just belt grind.UPDATE: Today I will be testing the settings by Stella Stig on YouTube seen here at https://www.youtube.com/watch?v=joDSaUXxZFkI will also test MoneyMan300 settings at https://www.youtube.com/watch?v=z1WAQCF5OB4I will update this post with how those settings compare to what I listed above I am assuming they will be better.Lastly I use the TX with the Playseat Challenge. Google that if your not familiar of course its a really good seat for regular home use. It folds up which is the main point. Its not your top of the line deal but for space I dont think it gets better and its still very very comfortable. For $250 its a very fair price. One issue I had was the straps your elbows rest on were bugging the skin at me elbows...just go to Home Depot plumbing area get either type of one inch pipe insulation...they have a grey type which has a more plastic feel to it and they have a black type that is smoother looks and feels more like rubber...I tried both its personal preference whichever you like. The more rubber type has this tape you can peel off to stick one side to the other and close the factory split...leave this tape on if you get the rubber type foam you'll need to remove the foam from the chair after each use as to allow the chair to fold up again. Cut your foam at about 15" or 17"...whatever works best with what angle you have your seat adjusted to...open the factory split and wrap the foam around the two straps where your arms rest at then seated in the chair. Works great. These are sold in singles at Home Depot you don't have to buy the multi-packs. You can cut your same 1 inch foam longways with the factory split taking it's diameter down as to better fit the pipe diameter where your knees rest get some velcro straps and make knee padding here. See before and after pics below.Here's a review of the Playseat by Inside Sim Racing: https://www.youtube.com/watch?v=1_lxcNdMdmU
4,I bought this Nov 27th 2020 as a gift for my grandson for Christmas.  He loved it however it is no longer working.  Shouldn't these last longer for the price?
4,This Thrustmaster Ferrari 458 Spider wheel works great for the older Forza 5 and Forza Horizon 3.  You will also need buy or build a rig to "attach" the wheel and leave room for the pedals too.  So if you are buying this for X-box One you will need some sort of rack or table to clamp or bolt the steering wheel to.  There is no option to just use the wheel by itself so a 2nd purchase of build out of some mechanism to attach the Thrustmaster Ferrari 458 Spider wheel will be necessary.Thrustmaster Ferrari 458 Spider wheel is outdated for the newer Forza and Forza Horizon games.  I am NOT a sim racer nor do I claim to be.  I have been lucky enough to drive some fancy sims and I know that I am not an expert but I have some know-how to keep the car on the track.  I bought the Thrustmaster Ferrari 458 Spider wheel looking for simcade capability where I want to use a wheel as opposed to just a controller for the xbox1.  But there are setting that will be configurable for the wheel to work well for the older Forza and Forza Horizon games but are just not available in the newer Forzas and newer Horizon games.For example the Degree radius available for the wheel in the newer games is only at 270 degrees instead of the expected 900 degrees and some of the oversteer corrections simcade driver or Simulation are just not available.  There are 2 methods that can be done to fix this in either firmware updates on the wheel itself or if Turn 10/Forza patches their software to be able to accommodate the Thrustmaster Ferrari 458 Spider wheel as it does in Forza 5.Being neither side looks to updating patch or firmware to accomodate the Thrustmaster Ferrari 458 Spider wheel for the newer Forza games and that cooperation being necessary for the periphials to work newer beginning drivers wanting the fun of a wheel to add to great driving games may have to look elsewhere or stick to the controller for their driving fix.  If you have Forza 5 it works great on Forza 5 but the newer Forza engines do not allow for the range of use to just use the wheel (and configure around impossible in game tire-wheel lockups) will leave players unable to use this purchase  and most likely whatever mounting rig you purchased to use the Thrustmaster Ferrari 458 Spider wheel.  I have also tried to mimic and import the same settings from other wheels and the default X-box controller to match the Thrustmaster Ferrari 458 Spider wheel but the Thrustmaster Ferrari 458 Spider wheel just does not have the ranges or settings that the default Xbox controller or other wheels have for the newer Forza games.Will continure to monitor Turn10 Forza and Thrustmasters forums for solutions to the outdated Thrustmaster Ferrari 458 Spider wheel to newer racing games.If you have yet to buy a  racing wheel  you will definitely want to research your comparability among your wheel your gaming system and support for the newer racing games as well.  If the controller cannot support the 900 degrees driving configurations for over-steer and wheel lock keep looking for a wheel that does handle those configurations.  Thrustmaster Ferrari 458 Spider wheel just got left in the dust for newer games but if you are only going to play Forza 5 and Forza Horizon 3 the tuning is there to make Thrustmaster Ferrari 458 Spider wheel a very good entry racing wheel for those older Forza games.
4,its good but like i recommend the logitech steering wheel. its better in my opinion and this ones just not that good compared to the logitech one.
3,The product is fine for what it is but it becomes hard to turn after while. If you're wanting a cheaper option this is it if not I would spend more money on a higher end racing wheel
3,This is a great product for someone like me who wanted to dip their toes in before exploring the more expensive options.  It was easy to set up and worked great.  With that the lifespan of this product is very short.  Because of the plastic design of the pedals and wheel wear and tear will eventually break this product.  For me it was the break pedal (ironically enough) that broke.  The problem is when you are immersed in a racing game you want to press the pedal firmly.  However due to the design this puts strain on the plastic pedal arm which over the period of time (6 months for me) grew strained and broke.  with that if you are thinking of buying your first racing set up this is a great option to use and then decide what features you would prefer.  So for what it is 3 stars.
4,Ok so this review is really just my initial impressions.  I may revise up or down later.First some background:  I have been looking at wheel options for driving games and specifically Forza Horizon 2 for a little while now and I'm definitely intrigued by the much more expensive options.I'm not opposed to spending a lot on a good gaming accessory once I know it's something I'll enjoy.  As a frame of reference after realizing how much more I was drumming in Rock Band as opposed to playing any other instruments (and having replaced the stock drum kit once already) I purchased the ION drum kit.But while interested in a wheel I just wasn't sure I'd really be overly "wowed" by it.  I've always been content driving with the standard controllers.Having said that while $100 certainly isn't trivial it seemed like a good entry-level price point to me for this type of accessory.And going in I knew I wasn't going to get exactly the same level of performance out of the wheel but I felt it would at least let me know whether I cared enough about playing the game with it to justify upgrading at some point.So....Out of the box:Ridiculously easy to set up.  Clamped it to a table plugged it in. The Xbox One and Forza immediately recognized it and I was *almost* good to go.  That *almost* however is my first major gripe about this controller.  I have a passkey set up on my account and it requires the joystick/thumpad to enter.  The steering wheel tries to be clever and disguise the thumbpad as an "engine start" button.  The result makes it difficult to use and next to useless.  I had a number of failed passkey attempts before I had to fire up the normal controller to enter it.I'd honestly prefer to forgo the clever aesthetics for a more user-friendly pad.Playing the game:It definitely does add a cool visceral feeling to the game to be able to press on the gas pedal and control the vehicle with a steering wheel.It also takes much more getting used to.  Where I have trained myself to feather the gas/brake as necessary over years of standard controller-based driving I found it was VERY easy to be too heavy with the gas with this controller. Much spinning out was to be had initially.Other than one gripe with the wheel I found it to be very responsive.  Although that gripe is a bit troublesome.  Almost immediately I found that the wheel has a small but significant "dead" spot at center.  This makes subtle steering corrections extremely difficult.  Trying to avoid an oncoming car to score some "near miss" points?  Good luck. Whereas the thumb controller reacts pretty much instantly with this wheel I often found myself either not moving the car left/right at all or over-steering whenever I wanted to make a minor correction.The best way I can describe it is how some older cars have somewhat mushy steering.It's a quirk I have to get used to and I can't emphasize enough that I didn't really expect perfect performance out of a product that is essentially entry level. I'm assuming the mushy steering is just the nature of the bungee resistance system and I would expect the more expensive motor driven wheels to NOT have this dead spot sensation.At the risk of this review coming off as negative that isn't how I intend it.  The goofy control of the thumbpad and the small dead spot in the steering really are the only two complaints I have so far.  And even so I found the wheel tremendously fun to use and it really does add a new dimension to the game.For a casual fan of driving games or someone who like me isn't sure they'll really get anything out of a steering wheel accessory I think this is  a fantastic product and I'm not disappointed.
3,To preface this review I have been an avid player of racing games for the last 10-15 years as well as racing cars at autocross and track-day events so I would like to think that I have a decent amount of experience when it comes to racing. I recently decided that I wanted a more realistic racing experience than a handheld controller once Project Cars rolled out but did not want to spend many hundreds (or thousands) of dollars on a sim racing rig which is largely what led me to this wheel. Because it was only priced at $90 I knew I wasn't going to get an amazing wheel with add on shifters pedals and force feedback but I was expecting a higher quality wheel than what you'd find in the sale bin at best buy. Here is my take on this wheel after several months of use in both Project Cars and now Forza 6.Once I received this and I was impressed with the quality of the wheel it felt heavy and well put together all of the buttons felt very rugged the paddle shifters feel real and have a very satisfying 'click' when engaged and the resistance that the wheel delivers while turning is a nice touch. The pedals however felt cheap in comparison the base is very lightweight and there is no good way to secure the base to the floor. Due to the base being so light and the pedals having such high resistance you will most likely end up having them slide away from you unless you're using them in a stand that holds them in place. As anyone who plays racing games knows the last thing you want is pedals disappearing when you need to stab the brakes at the end of a long straight. I'm sure I could spend the afternoon making some sort of box/stand out of some wood but it would have been nice for the wheel to have weight added to the base or for another solution to be offered (velcro for carpet suction cups for wood etc..) and not for you to buy or build a stand to use a product right out of the box. An additional limiting factor of this wheel is no vibrations which to me is more of an issue than the pedals moving. One of the largest differences between videogame racing and the real thing is the lack of 'feeling' that you get in a game and when you enjoy racing with assists turned off you rely on vibration feedback to know when the tires are losing grip due to too much throttle running over kerbing locking up the brakes etc.. With a wheel with no vibrations it's very difficult to know what is happening with the tires and thus with the car. I found myself running consistently slower times with the wheel versus a handheld controller either due to having to drive with assists on or driving more cautiously due to the fear of losing control.In summary: It's a well built wheel with cheaper feeling pedals but you are really missing out on a lot without vibrations from the controller to the point where the game becomes more difficult. I'd be happy to pay $20 more for this wheel if the manufacturer was to add in vibration to the wheel and maybe place a lead block in the pedals to keep them still but until then this is most likely going back in the box and I'll be using the normal Xbox controller when I want to be competitive.Pros:- Solid construction of the wheel itself- Adds another element of enjoyment to a game using a wheel vs. thumbsticks.- Priced at a fraction of the 'best' wheelsCons:-Pedals are light weight and slide around-No vibrations from wheel are a major takeaway from the game
5,i didn’t liked the way that T was to cheap and it can do so much things
5,But doesn’t turn a full 360 kinda a bummer especially in drifting and racing.
