rating,review
5,Has came in handy quite a few times. Love the settings I usually use on 2 but all are great depending on the setting or situation you are using for. Not overly loud but personally for me I love the sound of fans so you may think differently!? It is a small fan and def not going to produce a lot of noise anyway. It kicks out Much stronger than one would think. You can feel it across the room (depending on how big of a room lol but still packs a punch) I brought camping and it saved my a$$ lol .. now for the confusion on the whole “there is a light  there is NO light” topic!!! First off anyone saying there is NOT clearly can not read or is just too stupid to want to read! There is not a designated button for the blue lamp to activate. You must be on either 12 or 3 fan setting and you must hold the ‘ON’ button in for Aprox 3 sec! There is also the white light after you hit the 3rd fan option. No you can not have the blue & white going at same time. To achieve the white  cycle through the regular fan cycles past the 3rd and for the blue  simply hold ‘ON’ in for few seconds on either 12 or 3 fan speed setting! Yesss I wrote it twice because I am tired of ignorant people writing reviews when they have no idea what they are talking about! You can run the fan while plugged in which is always a plus and depending on which fan speed you have the rechargeable batt last quite a few hours! Definitely most of the night if not into the morning.  but will die after long conservative use. The Good thing is it charges back up fairly quick or just plug it in while you need it if it is dead. I love the blue light as it is a definite little bonus! For the price it is great.
4,It did it's job perfect size little fan for my desk which i used daily leaving out in the dessert i needed one at all times. It was good until it lasted purchased it on Apr-2021 and just a couple days ago(Aug-2022) it died on me. tried to work with it change battery charging it a full 24-hours before giving up on it but no luck it was good/fun till it lasted :( now i need a new one or i'll melt in my desk lol. if your okay with only last a bit more then a year it's a good product.
4,The fan is what I expected but I thought it had more. I bought a fan very similar to Walmart looks almost the same but was solid black. It had a base that allowed it to swivel up. This looked so similar I thought it did too.  I would recommend buying one with a base that swivels thus if you want to point the fan at your face rather than your hands find something to put it on for elevation or tilt it back against something or put something under the front part of the stand and risk it falling over backward. Oh the batter life is good but wish it was a tad longer (like my Walmart fan)
5,This is the third portable fan I've purchased.  It's the best so far.  Blows a strong breeze.  Has a removable Li battery that charges fast.  Since it's removable it's possible to buy a second battery and extend the usage.  Portable fans are a necessity during summer time blackouts.  It's also bottom heavy so it doesn't tip easily.  The other portable fans I bought were awkward.
4,Mine didn’t work at all unless it’s plugged into the wall period. Given up on trying to charge a device that wouldn’t hold a charge. However works perfectly well while plugged in.
5,I like this portable fan; it does a good job cooling you off and it doesn’t collapse or knock I to my glasses.
5,I bought a pink fan and a black fan for my husband and myself for a trip to Africa. His black one put off so much more air than the pink one. Both looked the same so I’m not sure why.
4,The fan is a good size to take traveling it doesn’t vibrate and not super loud. I like the white noise sound. I use it plugged in all night because the charge doesn’t last all night. So if you want something to use where you don’t have an outlet nearby you may want to look elsewhere. It also doesn’t tilt. A feature I wanted but my fault for not realizing it.
4,Cute little fan pretty powerful.. but it doesn't tilt. That's the only problem I have it.
5,I'm a visiting nurse had one of these in my work bag for about two years getting banged around and generally abused. Use it every day and it's still ticking. Lasts a long time on a charge even on high. Puts out a lot of air for a little guy. Buying another for my small bathroom at home.
