rating,review
5,The security system itself is cool  the concept. Pretty self explanatory on how to hang up the cameras .. connect the wires. Customer service was awesome Hugo Cruz helped me set up my system on my phone. He was very helpful and Knowledable.
5,This Annke product is great for the money. I bought the 8 channel system  but it only had 4 cameras. So bought 4 more cameras and it covers my whole house. Took me a good afternoon to run the wires and place the cameras. I have had the system for a couple of years now and using the app for my phone I can always see what is happening at my house. Just added a high gain pic-up mic so now I have sound. One regret. The 2mp cameras are just that. 2mp. If I every change out this system I will definitely go for 5mp or more. For the money the image is good and the system works good. I installed a pull box and ran the wires in a group along the wall  as it was the most convenient and fastest way to get started.  One more thing. The user interface is really deep. I expected some kind of learning curve but it is a simple and easy system to work. Has great playback and record features. The included program is very customizable. You could do worse spending more for less. On a budget it is well worth it for full video security.
5,Hugo is the BEST super patient and great to work with.
5,This is a great product and great customer service and Hugo was great for helping me.
5,I like it better then my last set up which was a Swann
5,
4,I just received it. It was easy to setup. Tested all cameras there wasn’t any issue. The picture quality is not bad. Night vision is not with good quality. The app is good. Also you have an option for IP cameras. Overall good product for the price.
4,Being that we originally did not use all the connectors we did not realize that there was a few broken. Today we tried to add cameras and realized that 2 out of the 8 didn't work on the box. I would highly suggest that you check all the connectors if u do decide to purchase these cameras
4,After several  attempts to connect My  Annke  DVR to My Internet/Router by Ethernet of course nothing worked . I even tried all the suggestions from you tube .Finally I gave in and made the dreaded phone call to Tech Support. Knowing I was going be on hold forever and  probably get a Support person who would not understand Me.Well' I got so lucky " The call was answered right away and the second thing I got lucky on was I got Tech Help Representative ( Stephani Venegas )  on the phone. She was Articulate Knowledgeable  Patient  and had My DVR connected in Minutes.I like Annke Products  but now  I really like them for Tech Support.
4,I gave it a 4 star. Not a good manual for set up. I used you tube and figured things out on my own. I just got it today and it was very easy to put together and get it recording But setting the clock is where I had to figure out how to. The device came with all the wires for the cameras and a HDMI cable along with a mouse and ethernet cable. My monitor uses a VGA cable and the DVR has the port so that worked great. Very clear picture. The manual is what sucks.... Once I learn to go online I will do a you tube video for the dummy which is me....
4,I had done quite a bit of research to find the right system for me.  I had bought a few IP cameras in the past and found them to be difficult to setup or operate (much of it was the "lost in translation" instructions) and generally not intuitive.  This purchase was my first "system" with DVR and multiple cameras.  I was looking for a system with hard wired cameras because I live in a "Morton house" (basically a metal barn with living quarters) and I worried about wifi signal and range.  I was also looking for a system that had a fairly large storage capacity DVR because living out in the sticks can sometimes present internet issues and I didn't want to rely on internet alone.I got this system in early June (2019) and have found it quite satisfactory.  Setup of the DVR and cameras was pretty easy.  I will say that looking through some of the menus on the DVR (mouse driven drop-down menus on screen [screen not included old computer monitor works Tv etc]) is a little daunting but I find that for the most part everything is mostly defaulted to work fine as is.  The app was easy to install and use as well.  I love being able to not only peak from anywhere (on my phone) but also watch recorded footage on the mobile as well.  Camera quality is adequate.  I have noticed that the quality looks worse on mobile live mode than it actually is when you play it back (recorded footage).  You can snap pictures and capture videos with the app on your cell phone (came in handy a few times already).  It comes with 4 cameras which I thought would be more than enough for my house but I have since added another and may be adding another yet.  Adding more cameras is easy too.  All you will need is another power splitter (comes w/ 4 way I ordered an 8 way so I could expand up to the full amount of cameras if needed).  And descent cameras can be purchased for a $30 or less.  Overall I am quite happy with the system.  I purchased mine for under $200 and feel like it was well worth it.
