rating,review
5,I purchased one of the new magic band plus for disney and read reviews that they didn't always stay fastened. These tiny pieces of plastic did the trick!
5,I used these on mine and my kids' magic bands.  They did a good job if keeping them from falling off.
4,Not quite the right size for the magic band I have
5,Have not gotten to use my Magic Band+ at the parks yet but thought I’d share a picture of the fit on a Magic Band+.  Looks fine to me.
4,These arrive exactly as expected & seem to be good quality. We will use them for Disney trip in a few weeks to secure our magic bands.
5,These were recommended in our Disney travel group. There’s a great mix of colors for everyone I highly recommend. Don’t go to Disney without it.Pro tip: they fit the new ones too that just came out!
5,Goes on great and keeps band on
5,We have used Bitbelts for YEARS now and I swear by them. They are extremely durable...have *never* had one break on us). They do their job 100%...have never had a Bitbelt slip down. We use them for our smart/fitness watches as well as our Magicbands. So many people have told me their woeful stories about lost watches and Magicbands especially in the theme parks or at pools/events/etc and I tell everyone about these because they are the best thing ever made. You won't regret buying them! Just make sure that you get the correct size that you need. =)
5,Bought these for trip to Disney for magic bands.  Worked great bands never fell off with these on and they were super comfortable.Didn’t feel it on the band at all.
5,Used this at disney to secure our magic bands. I nearly lost my magic band because it came un-attached this was the only thing that held it together and on my wrist. Recently a person. Lost there magic band and a person who found the band was able to charge thousands of dollars within a couple hours.
5,THESE WERE ORDERED TO USE WITH OUR DISNEY MAGIC BANDS. THEY WORKED PERFECTLY WITH NO ISSUES.
5,These held our Magic Bands on very well. I kept catching the band on things and it would come loose. The Bitbelt kept the band securely on my wrist. I highly recommend getting them.
4,These were perfect for our Disney magicbands. Both grownup and kids utilized! Deducted a star because if not placed at the right location the bitbelt would not work. However 9/10 times it would. A great purchase for added reassurance.
3,The material stretches. I did ask if it'll fit the apple watch and the response was a yes but not comfortably. It's a lot of pulling and reworking the elastic band to get them on the smaller apple watch and on a magic band slap bracelet. Hopefully it'll hold during the trip. Missing 2 bands. Only received 10/12 and description says 12 pack.
5,This product did exactly what I purchased it to do. It held our magic bands to our arms throughout the week. The one complaint I have is that it could be a little slimmer and the edges a little rounded.
5,Worked perfectly  So many times found my magic ban unhooked and this kept it from falling off
5,This was the absolute perfect fit for our magic bands at Disney. So glad we bought them. It definitely keeps the bands from accidentally falling off.
5,Worked on our Disney magic bands. My 6 and 3 year old didn't lose them! Win
5,Perfect for the magic bands
5,Awesome for securing the magic bands on small wristsSave us numerous times at Disney World
5,After a Walt Disney World visit that saw one MagicBand disappear and another threaten to do so we decided we needed to find something that would help prevent that happening again. These simple little rubber sliders definitely fit the bill. They fit snugly on an adult-sized MagicBand 2 and keep the clasp closed and secure. The bundled colors coordinated with all the MagicBands we had so they'll look like they're part of the magic themselves!
5,Absolute must for magic bands. Saved my band multiple times.
5,The item was lost in mail but the company immediately replaced and received quickly. Happy with product as well. Fit Magic Band perfectly.
5,My grandsons band was too  big even after making it smaller.These worked great on our Disney Magic bands
5,These were great to keep my Magic band from popping off!
5,I was doing homework before our trip to Disney and saw on several blogs to buy these. I did and they are LIFE SAVING! They work perfectly to hold your magic band on and several times my band had come unsnapped and was being held together with the bitbelt. Buy this!! It will give you peace of mind with your magic band!!
5,At first I wasn't going to purchase these but after seeing exactly how the Magic Bands connect together I decided to go ahead and buy a set for my own piece of mind. I am so glad that I did! Our family of four just came back from a week long trip. My son my daughter and myself all ended up using these bit belts. (My husband said he was fine.) I probably didn't really need one my daughter had one just to be on the safe side but for whatever reason no one could get my son's Magic Bands to stay snapped together. We ended up needing to use two belts one at each end of his Band to keep it secure on his arm. Once we were able to get the two belts positioned he didn't have any trouble at all. Without these tiny helpers his Band would have been falling off all the time! I am so glad we had these on hand and will be recommending them to anyone I know who will be visiting Disney.
5,I got these for my family trip to Disney.  These worked great for keeping the magic band from coming off.  They were great for my family!
5,These fit so well. Highly recommend!
4,Works great unless one of them was molded poorly....then started to tear. However 11 of the 12 work great!
5,Work very well at securing bands so they don't come off unexpectedly
5,Kept bands on wrist all day even the littles kept them on.
5,The idea behind these is great but they don't fit my Fitbit Charge.  I love the colors especially the glow in the dark ones.  But I think they may have sent me the junior set because these are so tiny that I cannot use them on my Charge.  I also ordered a set from Digihero and they are perfect.  They go on and off easily and are exactly what I needed.Update 2/5/2016:  The seller contacted me and together we determined that the Bitbelts they originally sent me were the Jr. variety not the regular size ones.  They immediately sent out a new order and also included additional glow in the dark Bitbelts (my favorite ones) to make up for their error.  I am so happy about this because I love the Bitbelt colors (especially glow in the dark) and the quality of these is better than Digihero's.  Also I love the neat "Bitbelt" logo on them!  Bitbelt's customer service is fantastic!!
3,Actually only 2 really glow in the dark. Colors variety is nice.
5,Used this for our extended family trip. It was our first time using magic bands and we wanted to make sure the no one lost their bands. No ones bands fell off! The bands did fall off before we put these on though. I kept pulling my backpack on and off and never lost my band. The kids in the group never lost theirs. And it was easy enough my elderly parents were able to figure out how to put it on. They did get aLittle sweaty but it was August in Florida and everything gets sweaty.
5,Bought these to solve the issue of Magic Bands at Disney World occasionally coming off (or worrying constantly that they will). These little bands work wonders! They slip on and fit the Magic Bands perfectly. They are comfortable (wore them all day for multiple days). The assortment included a color that matched or complimented every Magic Band in our group. Bitbelts stayed in place so we never worried about our Magic Bands falling off.
5,We used these on our Disney trip to help keep our magic bands on and in place. If it weren’t for these we would have lost our magic bands! Highly recommend!
5,I've lost my fitbit a few times (always found it with the help of darling hubby's eye's) and was very nervous wearing it. Always afraid that I would lose it for good. I did a search online and found this product. Bitbelt. It's exactly what I needed to feel more secure. It fits my Fitbit Force securely and I can easily maneuver it on and off as needed. I highly recommend this product if you have ever lost your fitbit or feel like you might because the strap/connector just doesn't give you the warm fuzzy that it's going to stay put on it's own. You need this product. Trust me...trust Bitbelt!Pictures are glow in the dark Bitbelt. 1st image shows where I place it until I strap on my Fitbit and 2nd image shows it clasped over the strap to hold both ends together. It slides up with a tight secure fit.
5,Wore these on our magic bands and they work like a charm. It was nice to have that little bit of security.
5,Initially had an issue with my order but Bitbelt responded quickly and positively.  Fit is great!
5,We got these because a blog suggested them before going to Disney World. We are so thankful that we got them!!! While we were there we saw two different people loose their magic bands and ours never even moved! I would recommend getting these if you are going to Disney World or Disneyland. The park is crazy and you have to worry about a million things and this takes one less thing off your plate to worry about especially with kiddos!!
5,Bit belt held all or magic bands at Disney World on. Even the young kids didn't lose theirs over a four/five day trek around the parks. We definitely put in the miles and belts held wonderfully. Probably would work for kid wristwatches as well.
5,A MUST HAVE ON ALL DISNEY BANDS. This was a great addition to our magic bands we did band checks every few hrs there was 13 of us total and 6 were kids under 11 not a single problems noones bands came loose and we Herd alot of horror stories. I had my credit card liked to mine and so did a few other family members so this was a great security addition to our bands
4,This was our first family trip to Disney World and I was paranoid about my kids losing their MagicBands. These worked great! I took off 1 star because they are REALLY tight...the kids couldn't get them slid on themselves. On the plus side though because they are so tight I really didn't have to worry about them coming off.
5,Love these for Disney magic bands. My kids bands have actually gotten unhooked when they’d bump into something but they stayed in place thanks to the bitbelt. A necessary product for magic bands.
5,These worked great for our Magic Bands. We used these for both adult and kids size band. The kids needed a little bit of help sliding them down due to their ages  not the product. Really liked not feeling like I needed to worry about our Magic Bands not falling off.  Have also used them on our other fitness tracker watches even though they aren't specifically sized for the watches.  The  Bitbelts are flexible enough that they work fine and I didn't have to buy mutiple sizes. Prior to using these on my GearFit it would occasionally get caught and fall off. Now I don't have to worry about it.
5,These safety bands really worked on my Disney Bands.  They did not rip or tear and let me go around the park and use my band without fear of losing it.
5,THE best safety clasp you can get! I've been using them for years and they're better than all the others I've seen my friends using. I show them Bitbelts and they're sold. Higher quality more secure and a great price. I use them for my Disney MagicBands and they're awesome for preventing the band from coming off if they hit up against something of get snagged don't have to pay $20-$30 for a new band and go thru the trouble of canceling the old one etc. They are a tight fit as mentioned by a reviewer that gave 1 star but that's what you want; to protect your investment from coming off! They do last even when stretched out.
5,I wear a Fitbit which has a similar band to lock on the extra length of strap and it works great. I am planning a Disney trip with grandchildren and have read stories where families lost their children's "Magic Bands" when they came off during their park day. The extra hassle of getting those bands replaced would really take away from your fun day at the park. I saw these Bitbelt bands as a perfect and inexpensive way to help secure the grandkids "Magic Bands" and prevent the possible hassle and disappointment that would ensue.They are even a good idea for the adult bands as well. These bands are cheap insurance for your magical vacation.
3,Bought these for our trip to Disney just a few weeks ago. We figured if people can lose their Magic Bands our kids would be the ones. Well I will say they do fit a regular Magic Band (very very tightly) and even a Magic Band that has been converted to the Jr. size (very tightly). Of course on our 3rd day of travels my son manages to lose his Magic Band and Bitbelt. He lost it in playground/play area with slides rope ladders and webs. I'm convinced that he must have lost it by sticking his hand through the ropes as thankfully later that night we recovered said Magic Band and still attached Bitbelt (pushed further up the band) at guest services. He never lost it again on his trip. Clearly the concept of the Bitbelt is to prevent you from losing bands attached to your wrist but just be aware it is still possible to lose your band. We (and subsequently he) watched his wrist more carefully from then on during our trip. The rest of us including my daughter who also played in the same areas he did never once had an issue.
5,Such a simple idea but works very well!  I lost my Fitbit charge outside a very busy store and was lucky to find it. My Fitbit strap was getting a little loose so I went looking for something to keep it secure. The bit belt does the trick! It holds the strap firmly together and doesn't slide around. The 12 pack is nice in case I lose my bit belt - which is unlikely since it stays nicely on the strap. . I keep two belts on my band at all times and slide one or the other into place when I put on my Fitbit. The belts are colorful and I've shared a few with friends. Great product!
5,I had read that Magicbands can come undone quite easily so I bought these for my whole family to use on a trip to Disney as a precaution. I am so glad I did because Magicbands do come undone so so easily. Had we not had these Bitbelts a few of us would definitely would have lost our bands. These work well for the adult sized Magicbands. You could probably use them on the child sized bands if needed but I found them just slightly too big for that.
5,This is a must need for anyone with a fitness band thing.  I have the iFitness band so i wasn't sure how well it would work but it's been a lifesaver. Before  my band kept coming undone and falling off and i was concerned that i might lose it. However  since using it the band has yet to fall off  even though the clasp has come undone.  Plus the ability to choose different colors it's really nice. Either way  investing the $6 is sooo much better than investing way more on a new fitness watch.
5,I’ve bought this product before and thought they worked very well. On a trip to Disney we used them for the magic bands. All ten of us had great success NOT losing our bands so thumbs up!
5,I'd read somewhere that these would be good to use with my Disney Magic Band.  I'd never had a problem with previous trips but got these anyway since I was taking my grandson this time.  I'm so thankful I was wearing mine!  Shortly after entering one of the parks I looked down at my wrist and my band had come unsnapped. The Bitbelt was the only thing that had kept it from falling off.  The 12 pack will take me through several more trips with other family members.  Amazing how such a small thing can give such a benefit.  Thanks!
5,Got more than we needed but that have everybody multiple options. Definitely glad we had these to keep from accidentally losing bracelets. Definitely recommended!
5,I would absolutely recommend getting these for Magic Bands from Disney. While all eight of us wore these from the moment we put on our bands my oldest son did lose his when he was getting ready one day and his band ended up coming off. Luckily we had extras. I think it's hit and miss whether or not the Disney bands come loose but I think it is worth the small price to ensure that your bands are not lost since they allow access to your room any dining plan you may have and any credit account attached to your room. As a plus shipping is super fast if you have Prime.
5,Be mindful though that it will likely fall out every time you take Disney magic band off. It is flimsy/flexible compared to ones that come with fitness watches. With that said it did what it was supposed to and for the price I would get it versus risk losing a Magic Band or a fitness band.
5,These worked perfect on my sons magic band on our trip to disney.  Kept him from playing with end and band from falling off
5,These saved us from loosing our magic bands (after i already lost mine when i wasnt wearing the bitbelt). I purchased these originally for my son to wear because he fidgets with his magic band in disney but I ended up needing one. They helped keep our magic bands secure and in place.
5,They seem like they will be great for our upcoming trip. I have heard good things and will update more after we get back
5,I bought these before our Disney trip for our Magic bands and they were great in keeping our bands on!  The Magic Bands seem to slip off easy without having these belts on them so it gave us extra peace of mind having them on.  I love the variety of colors in the pack and they matched great with our Magic Bands.  Will buy again for future trips!
5,These band keepers worked great.  Wore the whole week we were on vacation very comfortable.  Didn't worry about losing my magicband while swimming or going on the rides.
5,We recently used these for our magic bands at Disney World - they are definitely useful for the littles or parents being pulled at by said littles (definitely almost lost my band more than once the bit belt kept it on my wrist so I could put it back together!)
5,I bought these to use with MagicBands at Disney and they worked perfectly!  I my husband my in-laws and two kids (6 and 9) all used them with no issues.  Throughout the trip my band kept popping open and this thing saved me from losing it several times.  As a bonus the kids enjoyed mixing and matching the colors with their bands.  Such a simple yet useful little item.  Money well spent!
4,I picked these up to use with our MagicBand2s for our trip to Disney World.  We basically used them on our younger kids bands.  They worked pretty well for most of the trip.  You just have to make sure that you make sure it is in the correct spot to secure the bands.  I am sure that they saved us more than once from losing one of them.
5,They keep your Magic Band from coming open and I just love them
