rating,review
5,Absolutely the coolest Halloween decoration. I loved this so much I bought two more atmosfx DVDs. Set up is easy and had a decently long run time.
4,Bought the video to project inside a room for halloween using a screen tacked to the inside of the windows.  The room has two 3x4 windows separated by a 10-inch section of wall.  I didn't buy the gauzy fabric stuff sold by this vendor because it's expensive compared to alternatives.  Just go to Walmart or a discount fabric store and buy something like wedding veil material where the mesh is a bit tighter.  The two yards necessary to cover my windows I bought for $5.  The video is super easy to use and the production value is high enough that it really does produce a nice image.  My only complaint (and why it's 4-star instead of 5) is that many of the snippets begin with the ghost entering the screen from one side then stopping and doing whatever they're going to do.  But they stop in the middle of the screen.  So if you have a set up like mine (two windows separated by a narrow column of wall) you have to aim the projector at either one window or the other because if you center it the "action" from the ghost will be behind the center divider.  It would be nice if the video had the ghost do things across the range of the screen not just (usually) flying in from the edge stopping in the middle doing something ghosty then flying off the edge again.  As a result the ghost will fly off the screen but not appear in the second window which looks kinda strange from the outside so you have to have drapes or blinds closed on that other window so the outside observer thinks the ghost flying by that window is obscured by the drape or blind.  It's still worth it but could be just a bit better if not everything happened center screen.
5,This is such a fun and easy way to decorate for Halloween. This DVD doesn't just give one way of having spooks come visit you during the haunting hour. I love that I can easily switch this over to have a "haunted" TV wall window mist empty body entity or whatever! I used to go all out for Halloween but cut back due to some vandals messing with my stuff  when my entire household would go out and have fun with the neighbors. With this I can still give a very cool FX and have deco without fearing that someone will be messing with my stuff. I kept the projection inside the house and shot it out the window.  If I had a party I can easily put it towards the wall or TV or anywhere else. The pictures are really crisp not to grotesque or scary but enough to give you a startle. It's not just pictures either there is sound. I think this is such a great unique way for people to decorate. and bring your house to "life". I know many people who can no longer decorate due to health but having something like this FX dvd can at least help them participate in the fun of Halloween without having to get too overwhelmed.I definitely want to make a chicken-wire  body/entity and have this project onto it. I would definitely recoommend this and even look forward to seeing any new ones coming out.
4,Would like this better if it was on a USB drive. However the short videos you get are amazing!
5,The media could not be loaded.                                                                                 This was so much fun. Parents of trick or treaters stayed to watch the whole video. This wasn’t even the scariest DVD and some kids were still scared of it. Might have to get the pumpkin DVD next year. We had it in our upstairs bedroom window and it was super clear and realistic. It looks a lot better in person than the video.
5,The media could not be loaded.                                                                                 Lots of options on the DVD for different setups. Effect is very striking!! My screen was only big enough to cover one window vertically but the blinds on the other side add a lot more than I was anticipating. Like the title said I got a text from my neighbor across the street 5 min after starting the video asking where he could get it
4,Always was a huge fan of atmos. Really thought I was getting a great value.  But after receiving the DVD they are written in a format that most DVD players and most computers have trouble reading. All the files are there so its still worth the price. Just don't expect to put it in anything and just hit play. Because of its Format you have to choose only 1 video to play then stop that if you want to change videos
5,The media could not be loaded.                                                                                 Great CD with lots of options.  Wish it was on a USB drive for easier use. Just used a shear curtain and it worked great. (Video doesn't do it justice). I recommend!
5,The media could not be loaded.                                                                                             I purchased the DVD but soon realized my set up/projector was too difficult to use DVD plus DVD had too long of a pause between ghosts.  So this skeleton was a download purchase directly from the AtmosFX site.  I started with making my own video on my computer (Including the floating ghost in this DVD from again a download since I could not download from DVD)...then connected my computer to my projector.  I projected the sound outside via a bose bluetooth speaker. It was a learning curve for sure from someone who is not techy.  Not sure why I had a shadow on the skeleton but overall strongly recommend this company but may be easier just to download their videos then make your own in the order you want.  (The window treatment - I used $.99 yard beige tulle from Walmart...may try white color next year but was $4 yard)  Great quality and fun for the kids.  Definitely recommend this company.
5,This product was received as advertised. Creepy ghastly phantoms to haunt your soul or window via a projector. 10/10
5,I didn't really care for this one . Graphic where great but subject manner not for me
5,Very awesome graphics and works great for my projector and the sound is awesome and I will be looking to get more different ones in the future!!
5,The seller was great.  Thank you
3,What's most important thing is...In order to use with the projector you must have a DVD player that can hook up with an HDMI. Older DVD players will not work except on a TV.
5,Worked great this Halloween 🎃 awesome everyone loved it 😊
