rating,review
5,Works as advertised. Easy to install. High priced but printer owners are at the mercy of Canon. Switching to aftermarket cartridges from hereon-in. .
5,I had a problem with my printer head getting clogged when i tried other off-brand so-called compatible inks so i buy nothing but canon manufacturer ink from now on.  This is the real deal. I always buy the XL (extra large) tanks for better value and you don't have to change the cartridges as often.
5,Less expensive than the manufacturer’s price.
3,This cartridge arrived in a padded mailer.  It was wrapped in a Canon seal but was not in the original Canon box.  I put it in the printer and the printer recognized it as a Canon cartridge.  I'm a little concerned about this situation but will try to print something to see if it actually works.
5,It’s one of the Canon prescribed cartridges for my printer. Works fine!
5,If you have a Canon TS9000 Series Scanner/Photo printer combo then this is the exact black ink cartridge you need. One important thing to note is be careful handling it during installation because it does leak a bit. This is inherent of ink cartridge and not a defect. You're going to get ink on our fingers or worse drip a few on the floor or carpet. I use the printer for photography samples so I'm picky on ink cartridges and only use genuine Canon ink. The color of the images it produces are very accurate.
5,I have a canon printer and I like using genuine cannon tanks so that it is exactly what the manufacturer made the machine for
5,Canon brand inks are great - but expensive. Considering aftermarket ink to save money.
5,I only use Canon ink.  It is more expensive than the off-brands but it is worth it.
5,easy to order and eat to install
5,Fast shipping. Product as described
5,I do wonder sometimes why these printer companies don't just make an "everything pack" that includes ALL the ink a particular printer model might need instead of putting three colors in one box and one black in another and a special black in its own box.  But… that's life with capitalism.  The XL ink tanks are a good way to avoid buying ink too often.  Even with my light printing duties I found myself going through black and certain color inks quickly.  And since it's OEM ink there is no issue with it being rejected by the printer or having bad print quality.
5,I have 6 pairs of different kinds of ear buds and these are by far the best ones! And the bonus is they don't break the bank.
5,I went through two Canon printers in four years when I was using substitute ink cartridges.  I decided to go back to using Canon OEM ink cartridges and I have been using the same printer for four years now (the other two only lasted a couple of years).  I am convinced that using OEM ink is well worth the added price.  I found I didn't save any money when I had to replace my printer every couple of years.
5,just what i ordered.
5,I have a Canon MG7720 printer with 6-cartridges .  It uses CLI-271 for black and colors and a PGI-270.I buy on Amazon.com because I get better prices than a store.
3,Downgraded this purchase as one of the color tanks leaked when opened. The ink actually shot out and onto our carpet. We were able to get the ink out with minimal effort so not a disaster but I expect better from genuine canon products. Otherwise the ink performs as expected.
5,I used to buy Canon ink for our Canon printers wherever I found the best price. But it varied so wildly - when you could actually find the ink. So once I found it on Amazon it's the only place I look. Free shipping helps.
5,I don't use refilled ink tanks in my printers. Those may work fine but this is the genuine article from Canon and I feel better using their own products.
5,I've tried a bunch of the aftermarket inks and they work pretty good most of them.  But not the pigment ink.  So I just eat the price and buy the good stuff for the pigment ink cartridge.  My Canon printer is happy again!  The five other cartridges are aftermarket non-pigment inks.  They do work just fine.
5,This is a really nice ink.While this is our first Canon printer (used to be a loyal HP fan but since they are not loyal to me and no longer care about the quality of their products I have moved on) I can definitely say we get much crisper prints from the Canon.The pigment ink is the main one used for documents.However it also adds a really nice sharpness to photographs as well.All thumbs up!
5,Great product does what it is supposed to do. I have no cons about the product. I only use this in my Canon printer
4,good product
5,Very good value for the money sheerness and was easy to install.
5,Only cartridges to be used
5,Easy to install.
5,Home multifunction color printer.  Ten years old and still perfect. I always order my Canon color cartridges through Amazon. Quick delivery and fresh ink.
5,It was satisfied to my expectation.
5,It is exactly what I wanted no surprises. Just make sure to check the ink cartridge number.
5,Product is as advertised.I stick to name brands even though you can find similar off brand or do it yourself ink wells. I have a canon printer and this product comes from Canon and works like it should true black color and easy installation for my printer.  ...JS
5,I needed printer ink. This was the best price I could find. I ordered it. I received it. I’m happy.
5,Easy to install for use in my Cannon printer
5,Offers way more ink than the standard ink cartridges.
4,Na
5,stick with name brand
5,This worked on my Cannon printer and a quick and easy replacement. I pulled a plastic wrap and tore a plastic tab. Replaced the cartridge and was printing in about 5 minutes from start to finish.
5,The product was made for the printer so no surprise it fit. The ink was readily available once installed and the quality good.
5,The cartridge arrived promptly was easily installed & works promptly.
5,Works great with my Canon
5,Price is BEST on Amazon and its here the next day!
4,So good it's on my Subscribe n Save!!!👌👌👍👍👏👏👏😉
5,Canon inks are always dependable with excellent color quality.
5,Great Product
5,This ink cartridge is for my new printer.  This is my first replacement so far so good.
5,Cartridge is 22 grams empty and 41 grams full.  I'll have to check the non-XL version to see how much savings you get.
4,It’s ink.
5,I use this in my Canon 7720 and it works fine. Like the big size because it lasts longer.
5,The product worked fine.
5,This is the exact ink cartridge I need for my printer so I like everything about it. Best thing is I ordered on Sunday and it was delivered on Tuesday.
5,Always great color and reliable inking when print made.
5,IF YOU HAVE A CANON PRINTER U WANT CANON INK REFILS NO KNOCKOFFS
4,It is black it is ink it cost too much but all ink does. It makes beautiful photos that I frame and hang on the wall.
5,Better than a non-OEM ink.
5,Shipped great easy to install. Can't say how long it lasts over the regular size just yet but I print high volume B/W images and I'll see how it holds up!
5,As advertised
5,Exactly as described
5,Have always used this product for my personal printer.
5,Met my expectations
4,Printer ink
5,How does one rate and review black toner?It was really black!
5,Nothing wrong with the ink cartridge and the ink is working fine thus far.  I am happy with my purchase!
5,Lasts a long time.
5,great product
5,Love it! I like to know there’s plenty of ink for continuous printing.
4,Standard replacement cartridge for Canon MG 5720 printer.  This seems to be a decent value over the big box stores.
5,I learned many years ago... don't use inks that are not the "original" ink that is produced for the printer you have.
