rating,review
5,The whole world is moving to battery operated cars but there is no environmentally sound way to conveniently dispose of them.  This breaks the dependence.  Love it!!
5,The Belker adapter was just what I needed to charge an antique Christmas decoration that required low voltage. Not many adapters have this range of voltage and I was happy that this one worked.
5,Battery charger and audio recorder power supply
5,Got it to replace the "missing" adapter for a music chime box.Has the right power settings and terminals as well as the right polarity. Made Pop very happy that we could get it working as another momento of Mom.Got this "bookmarked for the next"missing" one!
4,I bought this to replace a lost and discontinued power cord.  It offers a wide range of output voltages and connections but it's only good for 1A and I needed 2.
5,I repair and restore "old" electronics and quite often the things that arrive on my workbench these days are cell phones laptops and other small portable devices that are salvaged- pulled from attics garages and oftentimes quite literally from the garbage and as such rarely have compatible power supplies when they reach me. While most modern devices all run on similar voltages and plugs this is not the case for many older devices. This means I used to have to keep many power supplies on hand to handle their specific requirements. For me this meant a good-sized plastic tub full of mismatched adapters and power supplies for all the various devices I might come across. Then I finally had a device cross the bench that I didn't have a power supply for- and that's when I found this thing from Belker.It's a wall wart power supply with an LED to tell you it's running an average-length cable and a construction quality roughly equal to the average cell phone charger- it's nothing special but it's not going to fall apart either. It comes with a whole bag of male connectors for a variety of common size plugs which is handy as you can swap between them pretty easily. Then the thing's big feature- you can change the power output by turning the dial on the bottom of the supply. It comes with a "key" (though any slotted screwdriver will do the job) to physically set the voltage output- it's stiff enough you will need a tool so it can't "change" unless you physically do it which is good. This means I can quickly switch between heads and voltages on one power supply rather than dig for the right one or have to spend a bunch of time wiring something together on the workbench. This thing saves time effort and for me at least eliminates one major source of me getting shocked which is a big deal for me.  This device specifically filled the role of a much more expensive specialty power supply so for me at least the value is considerable that way as well.For me and my needs this thing is a no-brainer tool. Virtually any small electronic device can be powered up with this thing from small electronics holiday decorations toys tools and so on. Reducing a whole bin of odds and ends to one device a bag of it's connector ends- all of which tucks into a drawer is a major improvement to my work space and work flow going forward. The only way I can see this thing falling short is that it's not rated for larger devices and while the male plug set that is included is great it's not exhaustive- this set isn't going to completely replace every niche item nor a good bench power supply for the things this can't do. But as a compliment to the aforementioned bench supply there won't be too much you can't handle from a power perspective.I give this one two big thumbs up!
5,I bought this adapter to  power  my Arlo Home Base unit. (because the original adapter was damaged) It was easy to turn to it to the 12 V setting and it is working great. It was also reasonably priced considering it's versatility.
5,good item. good price
5,I check the voltage ranges with a multi-meter . All with limits they advertise.Good selection of tips.
5,I bought this for a fan and it works awesome. It is a my go to for anything missing a cord now.
5,The multiple options for power and tips made this work when others didn't.
3,https://www.amazon.com/Belker-Converter-Universal-B013UJAZY8-B078LSVVTB/dp/B08K2S1D11This adapter DOES NOT reverse tip polarity (+) tip only no (-) tip polarity without additional $7 cable purchase listed above.Adapters have been made for over 20 years that have this feature built in.  It would have been easy for them to do either: a) add a polarity selector switch on the adapter (like they do for the voltages) or b) have the tip connector be able to be plugged in either direction.Now I have to spend extra money to get it to work with my (-) negative tipped polarity speaker that I bought this for.
4,I bought this unit to replace a failed power supply for a ReliOn Blood Pressure Monitor.  The unit has a selector to choose output voltages between 3 and 12 volts DC which covers the range of almost everyone's needs.  The provided kit contains a selection of various size male connectors and a very small key to move the voltage selector.  The problem is that the selector is extremely stiff and most users will not have enough strength to move the selector with the key.  The solution is to use a flat blade screwdriver instead of the key and exert whatever force is necessary to turn the selector.  I was worried that the required force would break the selector but it eventually turned as it should.  The second thing to know is that the unit's power cord is only about five feet long.  Be sure it will be long enough for your particular application.Overall this unit is good value for its price and it is nice to have such a wide choice of output voltages and sizes of male connectors.  If it weren't for the difficulty in moving the voltage selector this unit would rate a straight five stars.
4,Good replacement universal adapter. However it does not have a polarity reverser built in so you might have to buy one to be able to use it like I have.
4,I love the fact that I can charge so many things! I had purchased a massage gun on Amazon several months back and ( of course ) lost the charger. I’ve been trying to get the manufacturer’s attention/ web site/ customer service basically anyone or anything to help me with no results. Amazon also no results so this is Fantastic!! Love it everything about it.
5,Exactly what I needed and for a great price still working haven't had any problems
4,Bought this to replace my 4.5v battery back that came with my mini LED/RGB Yule Tree at work.The good: It removes the need for batteriesIt makes the lights shine a bit brighter.The bad: So far the only issue i had with is turning the settings dial. It was stuck enough to bend the key that came with it and require me to use a sturdier metal object to turn it. That caused a bit of damage to the dial but it is where it needs to be and i wont have to move it again and glad i didn't need to move it further.So far no shock no melting or overheating others have claimed but with my issue it makes me wonder about QC. Only had it plugged in two days so far with the tree turned on for only 8 hours each day so i will see about longevity.
3,being able to switch polarity would  be nice
5,I have 2 very small tape recorders. The adapter works with one but not the other. They are both 3V. The one it doesn't fit is the recorder I bought it for.
5,I love how it has around 6 different interchangeable plugs to fit into any size whole you need and make it versatile for most things that need a plug without always having to buy a new one cause the old don't fit. I also love it goes from 3v to 12v all you need to do is turn the switch on the back of the plug for the vault tou need and it works great especially for the deal and everything it comes with and the different voltage options. Cant beat it and it works fantastic! And no worries of burning it out cause of wrong vault or anything. Plan to buy another cause I have many Halloween stuff and decorations this would come in hand for.
4,It's a perfectly good product - I like the idea of providing the choice among several different sizes of plug.Unfortunately none of them fit my computer.
5,I have cats that like to chew on wires and cords. They ended up chewing on the power cord to an Xbox One controller recharger station. I was able to buy this adapter to replace the power cord instead of having to spend almost twice as much to replace the whole recharger station! Plus if I can use this power adapter on almost any other electronic device that I need to. And this time I made darn sure that the cats can;t get to the cords!Small side note: while the adapter for the recharger worked it ended up being a slightly higher profile than the original but putting little felt sticky-backed furniture floor savers on the bottom of the charger station solved that problem and even made it better as now the unit doesn't slide around on the entertainment unit.
5,After years of abuse and falling off our nightstand the power adapter on our baby monitor finally broke.  I bought this to replace it and it's been terrific.  For all the people who complain that they can't get their batteries to charge or whatnot wattage is important!  A 40 watt bulb throws a LOT less light than a 100 watt bulb.  A 12 watt adapter allows a lot less power through than a larger wattage one.  Make sure you get the correct wattage for whatever you're trying to power or it's not going to work.  This is a power adapter for small electronics.  It comes with a ton of different connectors they're plenty long enough and they attach to the power cord securely.  We've had no issues with the plug getting warm or choosing the right voltage - the dial to choose voltage is easy to turn but won't move by itself.  Overall this was significantly cheaper than buying a new video monitor and will continue to be useful even after we retire the monitor we're using it for.
5,I needed to replace an a/c adapter that broke but a replacement was not available from the company. While searching the internet I came across this universal adapter. I wasn't sure if this would do the job because the adapter I had did not clearly state it's size and it's manufacturer did not include any documentation. So I just took a leap of faith and purchased this universal adapter with positive results.Pros:- Easy to use just read the voltage from your old a/c adapter and use the key to set it on the universal adapter- Seems to work with most small electronics (for laptops you probably need another adapter with bigger adapters and more wattage)- Has many adapters so hopefully one of them applies to your deviceCons:- So far I don't see any major cons maybe the adapter heads could be a little more compact. I will post any updates if I come across anything.Overall it worked for me but it would be nice if everyone got on board and used a usb type connection so that we can share a/c adapters between devices.
4,This little universal adapter works well comes with plenty of connector sizes and includes a tool for adjusting voltage.Unfortunately it only allows for positive-tip configurations because the connectors are keyed to only connect in one polarization. I guess this was done to prevent people from connecting the microUSB connector in the wrong orientation but they could have rounded out the other connectors so that both configurations were possible. Having said this I almost always need positive tip and so this is not a big deal for me. Still given that my old adapters allow for both (and are designed to do so) I was surprised this one didn't.
5,Works perfect and it a great value for the money. Recommend buying it.
5,I bought this when I blew up my adapter on my sound machine I travel with.  I travel about 40% of the year so I need it.  I  did use it for a while with the batteries but they were a pain to recharge.  This worked as I needed it to.  I gave it 5 stars as I got exactly what I ordered and it works.  I would love to have it where the prongs fold.  Minor but I'd love it.
5,I used this power supply for my store sign and it works great. Make sure the polarity matches before using.Mine matched and the power supply works fine.
4,I purchased this plug as a replacement for a power supply for my stationary bike. It worked perfectly. The only issue I had was that the switch to change the voltage is difficult to turn. You will need a flat head screwdriver to turn the switch. You can't use your fingernail.The plug adapters lock in tight. It was a little hard to snap in but once I snapped it in it held tight. Make sure you check the diagram on the plug you are replacing for the correct polarity. If you don't know what am I am talking about make sure the "+" and "-" diagram on the plug is the same picture. If it is the opposite you could fry your device.
5,The actual voltages on the one I received are 3.29V - 4.60V - 5.10V - 6.25V - 7.56 - 9.23 - 12.44I'm going to use this on the 4.5V setting and it will draw .75AI'll update this review if it quits working.
4,I needed a charger for a lantern works great. Ready to try other things.
3,What I didn’t like about this product popping them in and out was a little bit difficult. Another thing I didn’t like about this it was heavy when it was put into the electronics it didn’t stay put inside. When it did stay in it meant a little. The thing I liked about it the light feature the red light. The thing I didn’t like about the red light and it stayed on. To improve it the red light It needs to go off when electronica is fully charged. That’s a feature they need to put in there  other than that we’re good for my knees if you wanted to stay in one place on the table otherwise do not buy this product only to use when you travel that is the best way to use it because you can plug it in and let it stay in one spot while you’re taking a shower it is quick For me.I would recommend you buy it even with the bad comment I made but it’s not good for long-term use in home only good for like traveling for a long term used bye
4,Happy to be able to use my LED desk lamp after its cord went bad.  I can also use this on a different setting for charging my phone.  You have to switch power settings on the plug depending on what you are using the cord for and the instructions could be more clear about how that works.  I had to use trial and error to find the right setting.
