rating,review
4,First pair sounded terrible ordered replacement only to get the same miserable product. The sound is heavily distorted. So much so as to be unusable. I'm handicapped & was unable to get assistance returning the earbuds so now I've paid twice for worthless earbuds to throw in the bin.
4,I broke a pair from three years ago and needed to replace them since I do not wish to use bluetooth earbuds near my fragile brain.  These work great. very loud.. and sturdy.  These are easy on my tiny ears and don't hurt them like apple ipod do.  Will purchase again as long as I don't let the vacuum cleaner eat them up.
4,I dislike the hassle of blue tooth earbuds so they work just fine once I put ear holders on them.
5,I received these ear buds with my first Samsung phone and have never found any that I like better they fit my ear just right and provide great sound.  I am a nurse and these fit like a stethoscope in the ears that is the best way to describe them.  most buds go straight into the ear these actually fit your ear canal to provide best comfort and sound.
4,They're not OEM as advertised however I didn't expect them to be anyhow. The lowest you can get a single legit pair for is $20 (which I also bought) and they sound pretty similar to these they're not tinny at all and they're pretty much just lacking on the bass side which the Samsung's are known for great bass they also feel pretty much the same which was most important for me. As a backup set these are fantastic not sure how long they'll last but for how cheap they are I'd be happy getting a month out of them if you have the authentic Samsung case from your original pair then storing them in that would be best if you plan to just throw them in a bag as the cord quality isn't very good so that'll help preserve their lifespan though any hard case will do.Side note I got these for about $10 for the 2 pack I wouldn't pay much more than that for these so if the price goes up to like $20 then you'd be better off just getting the legit single pair with over 1000 reviews.Update: It's been about 2 and a half months and the left earbud of the first pair I've been using is starting to go it's not completely broken but less sound comes out of it than the right one. I honestly expected these to last maybe a month each considering the 2 pack its about half the price of a single OEM pair so they're definitely worth the price bumped my review up to 5 stars for how long they've lasted will update again when they're both broken.2nd Update: the 2nd pair had the same left earbud die in less than a week so I dropped my review back down to 4 stars as I may have just gotten lucky with the first pair I've been using the OEM pair for the past few days and they definitely sound much better for music but just watching videos or podcasts there's not a huge difference. I'll be getting them again to see if I just got lucky with the first pair.
3,These headphones worked well initially and were comfy to wear but after 3 months neither side will work. There are no obvious tears cuts or fraying of the wires they just have stopped working.
4,The sound is very clear and the volume also.
3,They work just fine; same in nearly every way as the original that came with my galaxy phone but the quality of the speakers are WAY different. The factory isn't using the same high quality speakers in the earbuds as before so the sound quality is stifled and doesn't have the same amazing audio experience as the 1st generation models.
4,My son usess the item for his school Chromebook and found them to be very useful and quality sound.
5,Lovelove it so nice
5,Good light
2,As expected these are just cheap ripoffs most likely Chinese. These are not the samsung headphones that I have used for years. Just because they have the name stamped on them doesn't make them real.I only got these because they were cheap and I really really love the hook ear grip. Which I have a bunch of extra replacements that fit these headphones. The usual Samsung headheadphones I have been using for years have gone up to $50 from what used to be $20 so F that.That said these are pathetic. The sound quality is atrocious compared to real Samsung headphones which have some of the best sound I have ever heard in headphones. The auxillary jack is super finnicky and gets lots of static and sound volume going in and out so you have to wiggle it to find the right spot. Just all-around bad headphones.Only reason I gave 2 stars is because of cheap price and they at least work to a certain degree. But all-in-all I would bot recommend unless you just want something disposable.
3,Hasn't even been 3 months and getting left earbud has already stopped working out of absolutely nowhere. I guess that's why you get two because they don't last long. It was nice while it lasted though. They could usually block out basic background noise without the music having to be super loud and the ear pieces are comfortable despite having a tendency to slip out.
4,all over cord is a bit shorter than my old ones but that is not a problem; they fit my ears well! I hope the cord softens a bit over time it is rather stiff.
4,Like all Samsung products I've ever bought they worked and sound good
5,Good replacement for headphones and good deal allowing you to have a pair if one breaks or gets lost.
5,Noise cancelation is the best part as I can't hear anything around me with these on and the volume control is great and so is the sound quality. The price was also great because I got them on sale. However I would have paid full price because I like them that much.
5,My one ear piece for right was not working. Unable to return. I like them. 2nd time I have bout them. Would like a replacement for the one pair.
5,They're awesome!They're just like my apple earbuds from my old iPhone 6 but the volume up and down work for my android 😭😭😭😭😭😭It's so beautiful 😭😭😭😭😭 the volume up and down actually work 😭😭😭😭😭It feels like a miracleThey come with silicon but you can take them off and the cord is kinda flattened and thicker than my iphone earbuds these are absolutely the most usable earbuds I've ever had. And a 2 pack for 12 dollars is more than worth it I might buy more to stick up for the future!!!
5,These are my go-to when buying wired earphones. They have been reliable for me and are one of the few that still sell this style of earphone most have switched over to the earbud style that I don't like. These always come in a little plastic pouch with an extra set of the covers. The sound quality is always good even when they get older and the wiring cover starts to break. I have a pair that are about 2 or 3 years old now the wire running to right earpiece has a small split that kind of reveals the inner wire. So it was definitely time to order more sets. And unlike some other brands of earphones I have bought these have never failed producing sound in one of the earpieces on me.
2,I've purchased this item twice.  The first time the package contained one set and the cord was long enough to go on a walk and talk at the same time.  The second time the manufacturer decided to give us two sets instead of one at the expense of shortening the cord by 6.5".  That's a lot.  Now I cannot walk with a full stride without the cord tugging to pull out the earplugs.  I now have two sets but neither works properly.
3,I love the fit of this style earbud so when I broke the ones that came with my Samsung I was hopeful these would be an identical replacement. Here's what I found:- The fit is the same- Overall about 3 inches shorter than the original- The microphone quality seems to be the same. Others I was talking to did not notice a difference.- Audio is a little muffled. It's fine for talking but music is not quite as bright sounding.For the price I'm content but if you're critical of music quality and have some money to spend look elsewhere.
4,Worth it till your dog eats them
3,Like the price. However the sound quality is nothing special. These earbuds sound somewhat flat. I still have the original Samsung earbuds and their sound is spectacular compared to these.
3,Sound quality poor.  Base is poor.  Good for phone calls.
3,I have several pairs of these and they normally stop working in stereo due to my handling. they are not a sturdy as I would like. The slightest pull will cause the stoppage of one ear piece from working but i keep buying because i only use them when i walk and the price is right so i can get a couple months out of them before I have to buy another set.
4,Good for use with phone conversations.  Stay in my ears just fine.
4,Good for a wire
5,Work as she wanted. For reading and listening to her videos
4,The sound quality is good.The first one I ordered came in a hard black plastic case but I was disappointed with the second one I ordered because it just came in a plastic bag. See photos.
4,With all the bad reviews I think I lucked out and got 2 decent sets.  One set does crackle if you turn the plug while it's in the phone so I just don't do that. The other set crackles a little in one ear if the wire is wiggled.  I suspect that one ear will eventually quit working as my original pair did.  I compared them to my original earbuds and they appear identical.  For the price I am happy with what I received.  I use them mainly for phone calls and listening to spoken videos and books on tape.  The ear shape is the most comfortable for me and I was happy to find these inexpensive replacements.
5,Work fine and a good price.  I am very pleased
5,Love these headphones  since they first came out. Normally these are $30 in stores due to packaging and stocking fees. So it's nice to get quality without the price. I used to buy from Groupon  the 3 nundle deal for $22 but they would short circuit every few months. I bought 9 total with Groupon  so Ill see how these last. Will buy again if needed.
3,In my opinion these aren't the greatest for sound quality. But if you have tiny ears like myself these will fit you perfectly.
4,Pro: very comfortable good sound received 2 sets.Con: Rubber covers come off easily.
4,Lo pedí para utilizarlo en la oficina tiene buen sonido se me hace útil.
3,We have purchased a few types of these over the years one in 2017 one in 2019 and two in 2021. They seem to fail after a couple of years with constant use so we cave in and purchase another pair. We purchased this 2-pack in July 2021 and as of writing this review December 2021 one of them died... past the return window ;p[ Well guess it's good we still have the other pair but will expect them to fail in a year and a half ... Fingers Crossed
5,I had previously purchased these earphones and had them what seems like forever and I really liked them.  Then my dog chewed one of the earbuds.  I don't know what happened to the other set (I had two).  I finally ordered this new pair and they work as perfectly as the original ones.  I do medical transcription and they work so well that when my husband talks to me I sometimes don't hear him.  I like the sound quality.  I'm not a perfectionist just want to be able to hear the doctors when they speak and I hear them clearly.  The cord is long enough that I don't have to be right up close to my computer and I have room to relax.  The earbuds themselves are not quite as comfortable as others I have used but I have gotten used to them and they work just fine.
3,El sonido no es tan bueno y en ocasiones cuando se mueve el cable en la parte de entrada hay estática
3,Bought for my samsung phone and they don't fit
4,Works okay it's worth the price.
4,I finally received the replacement item after a long waiting period but I received it. Thank you!
5,Good all around
4,Doesn’t hold up to ruff handling
5,I don't even have words for how much I love these. I've bought probably 600 pairs of them. I am constantly losing or breaking them but because of how affordable they are I know it's never the end of the world. I have used this type of earbud consistently for probably 4 years now. Nothing beats them. I do on occasion use my Galaxy Buds but I am not a fan of having to charge my earbuds. So I use these. And I love them.
4,Good head phones
5,Cactus cactus cactus 🌵
4,These are some of my favorite headphones!! So glad there are 2. One was kinda static sounding but other is perfect!
5,Perfect as described. Sound quality is very good.
5,These worked really well.  And apparently they're water resistant.  One pair got washed with the laundry.  After sitting in a bag of rice they still work great.  No problems.
