rating,review
5,I am very happy with the two pack that I purchased. I enjoy the pretty white color and they seem to be put together nicely.The only negative is that the cords are much shorter than the wire out ones I am replacing.
5,My daughter has more cords that I can count and I usually use insignia for this application but the Amazon products are doing very good.
5,Honestly did not expect 6 feet to be this short. Maybe measure before buying so you know the exact length you need.
5,Works great as advertised
5,Super Affordable. Great Quality. Sturdy and well made.
5,Perfect for the price!
5,This is a great power strip combo for college dorm rooms.
5,good value
4,Love that it came with two. Cord length was enough for what I was looking to do.
5,Great value great price.. better than what walmart has to offer
5,Works as you would expect. It does feel cheap regarding the plastic materials used. And it's super lightweight which makes me concerned about durability. But it was inexpensive and served its purpose.
5,It just was a bit shorter than I wanted but it worked out ok.
4,It’s works as designed but I wish the cord length was a little longer. As long as you aren’t trying to plug something in far away this will work well.
5,Does what it you would except need one say anything more?
5,Adds additional plug capacity without the cord being too long and cumbersome.
5,These strips were well made heavy duty good strips
5,Exactly as described. Arrived quickly.
5,Use in my garage for battery chargers. Work great. Gave more flexibility for the one outlet I have.
4,Great product great price
5,Love the fact it has an ON indicator light.  Just the on/off switch doesn't help during a failure when you're trying to figure out the source of the failure.  Seems inexpensive but working.  Like to have the option of a 2-set.  Love the cord-length option and I had ordered shorter than comfortable but it's still doable.  It was my issue underestimating.
4,The product is very good but the cord could be longer
5,We like the short cord. One was used on a TV the other on a refrigerator.
5,Good
5,It's great!  Does what it's supposed to do.
5,Amazon was the only place I could find a basic two pack for under $10!! I really like them! They are exactly what I was looking for!! Amazon Basics For The WIN
5,I wanted a cheap piwer syrup cane in a 2 pack….perfect for my need. Wifi? No idea why they ask as it’s a basic power strip….
5,What was needed for my system.
5,Get 2 for price of 1
5,We needed a short cord on the surge protector to use behind our TV stand since we had a new TV mounted on the wall.  This did the job.
5,Can't go wrong for 5$ a piece. Great for what I needed.
5,Works great
5,Great product and nice to have brand new fresh ones periodically I highly recommend
5,Nice extension cords for when you have several things close together to plug in.I have a clock lamp noise machine plugged into one of the cords into the wall socket and then a fan plugged into the other wall socket with out having a long cord to hide away. Keeps it neat
4,The outlets work great just be sure you read that the cords are short.
5,They seem fine.  Working so far.
4,Not bad for a cheap splitter
5,Arrived Fast. Great Product. Love it.
5,great
3,they were a nice size but when i opened it it had looked like the power cords had been used. some searches and dirt were already on them. not that big of a deal since they are hidden anyways
4,Auxiliary power outlet that could be turned on/off at my disgression
5,Pretty good for the price considering it's not just a power strip; it's also a surge protector.  A lot of strips at this price point are often just used to distribute power to multiple sockets without actually offering any protection.However with that said keep in mind it only offers about 200 joules of protection.  While it's better than nothing this is a very negligible amount (many 'real' surge protectors START out at almost 1000 joules).  So don't use this to protect your expensive stuff such as your gaming computer or home theatre/TV.  This is more for like extending the distance from a wall outlet from which you can put your table lamp (that sentence was awkward to phrase) or for turning an unprotected wall outlet into a somewhat protected outlet for say your USB charging hub for your phone/mouse/etc.I personally use one of them for my microwave (it's very very old so I don't really care if it gets destroyed - I kind of want it to so that I have an excuse for replacing the almost 20 year old piece of technology); the other I keep with my Wii U for when I bring it to school and connect all my accessories - the wii u the gamepad charger a miniature monitor (runs on USB power) speakers and at times even my projector (instead of the mini-monitor).  I probably should upgrade to a better surge protector for my projector but realistically if there's a thunderstorm I don't go outside (and I generally only use the projector outdoors when I have this surge protector with it) so I guess the likelihood of getting into a situation where my projector gets hit by a huge spike is very very very low.So basically - if you are looking for a cheap way to slightly extend the distance that you can plug something in or because you need to turn a single/double outlet into multiple outlets for relatively cheap devices that you don't losing if your home gets hit by a lightning spike this is the way to go.  It'll improve the odds of your devices surviving a power spike but don't expect TOO much from them (but again some potential protection [no pun intended] is still better than no protection).
4,does the job nothing too special about it
5,Great product.  Works great
4,The protection is apparently created by having enough permanent wiring (30 feet or more) between the main panel and this power strip -- flaky.  The LED is bright enough to roast marshmallows but can be dimmed by two layers of white vinyl tape over the recessed hole where it shines.  It is also possible to disable the light on the switch by opening the strip to de-solder the switch terminal connected to the white wire. but of course that voids any warranty
4,The red power light is SO BRIGHT... there's no way you're going to hide the fact that you're using a power strip with this one
5,Hi there. I recently purchased these for my bedroom. I will sort this review into separate segments to make it easier to read.-PackagingOverall the packaging was great. Every Amazon basics product I purchase is always easy to open. It came in a low profile recyclable jewelry type box. The sticker on the product package showed me what the product was with a brief description. To open it all I had to do was pull the tab across and lift. The power strips were packaged very neatly. I have to say I was very impressed with this packaging.-ShippingThe package was delivered to me in two days with Amazon Prime via UPS 2nd Day Air. It showed up right on my doorstep on time. The package was handled very well and had barely no impacts on it. Great job UPS!-ProductThese power strips are absolutely great. They come with a fairly long AC120V cable and plug. The plug is angled ideal for use horizontally. It has a nice matte finish and low profile design. The outlets are very smooth and easy to plug in although slightly difficult to remove (good if you want a solid connection). I have had no problems so far. I have had a couple power surges that these power strips have protected. An alarm clock that I use now has a damaged LCD because of a surge without a surge protector.-My Personal UsesI personally use this for the two nightstands on the sides of my bed. I used to use outlet extensions because I had 5 or 6 utilities on each nightstand. Now without all the fire hazardous outlet extensions I have protected my electric utilities and my family.-ConclusionIn conclusion these Amazon Basics surge protectors are a great solution for your home. It comes in gorgeous packaging has a low profile design and is very effective. I will and have recommended these surge protectors to homeowners that want to protect their utilities and safety and get the best bang for the buck!
5,We love stocking up on power strips as you can never have enough. Especially with the number of projects we have running around the building here. One of our golden rules though is "skip the strip" and buy a real surge protector no matter how small the job. They are just too affordable to put the risk elsewhere (on other devices that are typically more expensive). One less reason to buy that replacement plan on the many electronic devices you might buy into.Compared to the price of a plain (non-surge protected) power strip this isn't that much more and works great for simple solutions you have running about. I wouldn't plug a powerful computer or entertainment system into it (for that I'd go with something better/bigger and more joules of protection). However for all the basic stuff it's perfect to have these running around.Just pay attention to the cord length. These are only 2ft in length (which was exactly what we needed when we bought more of these). They are available in longer lengths if you need them.**If you have found our review helpful please vote it as helpful below so we know. This helps us to provide quality feedback in the future.
3,I do like that the night light feature can be turned on or off. But the light is very dim compared to another similar product that I purchased recently. While a nightlight doesn't need to illuminate the entire room it should still be brighter than what light this provides. I would not purchase another. But if you're looking for a dimmer night light this would be good.
5,perfect size for my use.
