rating,review
5,[See UPDATE 2016-11-02]Others have written here that the Type Cover for Surface Pro 4 is substantially better than earlier Type Covers and I agree. I'm using it on my Surface Pro 3 and it worked from the moment I attached it with no reboot or other actions necessary. The backlight and key action are both very good. It perfectly protects the Surface’s display as did its predecessors and can act like a partial tablet sleeve but one that isn’t an extra accessory you have to set aside whenever you use the computer. My only wishes are:1. That the keys had a "cup" design like the keys on the IBM Selectric and high-end keyboards but obviously not as deep;2. That the key finish was textured hard plastic. The key finish on this keyboard accumulates fingertip oils to some extent and looks messy after a while though nowhere near as bad as the earlier Type Covers.Wishes aside THIS IS A GREAT KEYBOARD FOR A GREAT COMPUTER.UPDATE 2016-11-02: I broke my SP3 by picking it up with two fingers pinching along the top edge near the front and rear camera lenses. The display cracked at the front microphone and the crack eventually spread all the way across the screen. I think this is a design flaw – you should be able to pick up the tablet at any point the same way you pick up a paper notepad. That said I’ve probably picked it up along the edge that way sometimes in the past without damaging it; don't know why this time was different. The SP3 started acting up after it was damaged with extremely slow boot times and other unacceptable operational issues. Of course the damage occurred exactly six weeks after my Accidental Damage Protection Plan expired. I've read that it's basically impossible to fix a Surface Pro so I scraped up enough $ to replace the SP3 with a new Surface Pro 4 i5/8GB/256GB. Far out! The keyboard predictably works flawlessly with the new SP4. I wish now I’d bought the keyboard with the fingerprint sensor which wasn’t supported by the SP3.OT: Yeah this review is ostensibly about the keyboard but I want to mention the Surface Pro 4. The SP4 with the i5 CPU is a snappy fully-fledged computer. The OS is Windows 10 with which I have a few grievances though not enough to warrant installation of an earlier OS (i.e. Windows 7 IMO Microsoft’s pinnacle OS). That might not be easily possible with this machine anyway. In today’s PC environment I don’t usually change the OS with which a PC is delivered figuring that’s the OS for which the device was most extensively tested.I can *simultaneously* run full Photoshop full Microsoft Office iTunes Chrome with several tabs open and miscellaneous other applications. The SP4 handles this relatively significant workload without much complaint (the fan runs) almost as well as my loaded i7 machines. To reiterate these are full-size Windows programs running in open resizable windows not pathetic impotent buggy serial “apps.”SUMMARY: I hope Microsoft continues to produce the Surface Pro and Type Cover form factors. The Surface Pro’s flat kickstand is a blend of design brilliance and implementation magic that is the best such solution I’ve seen superior to others’ inadequate folding displays docks and disparate little stands. The tablet is nicely flat unlike those tablets that are curved wedged or otherwise not completely flat. When the keyboard is detached you have a real tablet distinct from the convertible tablets that just look like laptops with their keyboards missing. The Type Cover complements the computer and is so easy to attach and remove that it never gets in the way i.e. you don’t have to ditz around lining up the connection points simply hold the cover near the bottom of the display and it magnetically aligns and “grabs” it with a confirmatory click.If someone had described the Surface Pro 4 to me back in 1982 when I thought the Osborne was the ultimate PC I would have laughed. A tiny flat computer with a brilliant integrated color screen? 8GB RAM? Never feasible man! My first "PC" had 64KB (yes K) and its storage was a cassette tape recorder. And a 256GB SSD? What are you talking about? Is that 5.25-inch?I own other faster laptops but the Microsoft Surface Pro 4 with the Type Cover is my go-to computer.
5,This was a replacement. Works as advertised.
4,headline says it all
5,As a Microsoft original product this keyboard is the perfect match for a Surface. It snaps and fits like a glove. Started to work with full featured functionality straight from the get go. Simply perfect! It transforms the tablet into a laptop.
5,Works awesome.
5,I own a Surface Pro 3. I already owned the type cover made for the Pro 3 but then I saw that there was a newer one for the Pro 4 that remains compatible with the Surface Pro 3 model. I have always found the type cover for the Pro 3 okay. It did its job but was nothing to write home about. I figured it was worth a shot to try out the newer type cover to see if it enhanced my experience. I have to say I do not regret this purchase at all. This type cover is a massive improvement over the previous version.The keys are actually spread out on the new version. They also appear to stick up more than the keys on the other type cover. However because the keys all stick together on the old model maybe that is just giving me the allusion that they don't stick up as much. Typing on the newer model is much easier! It allows for a natural keyboard motion whereas with the old model I found myself making typos constantly because the keys were so close to each other. I have to correct my typing far less frequently with the new model. I can also type much faster with the new model. The feel of the keyboard is just fantastic and I honestly think it is preferable to the built-in keyboard on my HP work computer. The type pad is still a bit flimsy but it does feel sturdier to me than the previous model. I think the new type cover does improve the lap sitting experience.Overall visually the new one just looks nicer. Perhaps the back lit keypad gives it a more refined look not sure. The track pad is now improved with a glass surface. It's much easier to use and is also a bit bigger. The look of it just also adds to the keyboard making this one look less cheap. I bought this in the teal color and think it's a great shade. I am not someone who likes bright and flashy colors so this is perfect for those who like some color but not overwhelmingly bright ones.Personally I think this is worth buying. I am not sure how the price compares to other keyboards but for one specifically made for the Surface Pro devices it is a great asset to the Surface Pro. I have been using my Surface Pro 3 more since buying the upgraded keyboard. If you were someone with no type cover you should definitely give this a shot. If you were like me and already had an older model type cover I think this is still worth considering. For myself knowing I plan to keep and continue using my Surface Pro 3 for more years it was worth investing $100 to update the type cover.I have a few cons to point out but nothing major in my opinion. You do notice oils from your fingers on the keyboard. This is somewhat unavoidable as I notice this on most of the keyboards I use. Also it would be nice if the type cover had somewhere to hold your stylus pen. The build quality could continue to be improved upon for future models so it's less flimsy. But the actual keys feel very solid as does the track pad. Also it'd be nice if Microsoft included a type cover with the purchase of a Surface Pro since the majority of owners will want a keyboard. Overall I think this is a 5 star product and worth the money.
5,I'm typing my initial impressions on the Surface Pro 4 Type Cover and am impressed with the subtle changes that have been made to this very necessary accessory. In the first place I want to confirm that this fits the Surface Pro 3 exactly as it should with no discernible difference in fit from the Surface Pro 3 Type Cover that I had previously used. Some of the salient improvements include the different spacing between keys the improved stiffness of the backing and the larger trackpad below the spacebar.At first it hardly seems that the changes made to the keys could make a difference. After all the SP3 Type Cover and the SP4 Type Cover are exactly the same width and height (thus there is no additional space utilized in spacing out the keys). Yet I notice a change in the way the SP4 feels which personally affects how accurately I type and how comfortable it is to do so compared to the SP3 keyboard. One obvious difference is the gapping that is now present between the keys--the keys do not feel bunched together on a single plane as they once did but instead are raised above a lower "floor" in the keyboard (note that this does not add to the thickness of the cover itself).I was particularly looking to see if the SP4 Type Cover "bounces" as much as the SP3. It does not in my opinion. This appears to be an issue that Microsoft took note of and addressed in their latest iteration. The cover still has some flex but it remains very solid under my large hands as I pound on the keys. Overall my impression is that this typing on the Type Cover not as satisfying as typing on the very best laptop keyboards but given some time it may be hard to notice the difference.One last obvious improvement is in both the size and the surface of the trackpad. It is both wider and taller than the trackpad on the SP3 cover. It has a smooth glass-like surface (though I'm fairly certain it is not made of glass) and is very responsive. Sliding your fingers over it feels natural and there is a lot more surface area now to do multitouch functions with ease. Despite its increase in size it does not interfere with or register false clicks as I type. (In regard to its intuitive nature the cursor/arrow moves about halfway down the screen when moving your finger slowly from the top to the bottom of the trackpad. Moving your finger faster moves the cursor all the way to the bottom when covering the same distance across the trackpad.)As a bonus feature this keyboard sports an additional key. On the right side near the bottom just left of the arrow keys is a key with three lines inside a little box. Pressing it brings up the menu that corresponds to the right click of the mouse. You can do this by tapping the trackpad with two fingers simultaneously as well but this key provides another helpful means of opening that menu.The keyboard still lights up as before and though both Type Covers have a "Function Lock" key I never noticed it on the SP3 since it was off to the right. Now it has been moved over to the left next to the "Control" key (as it is on my old laptop) and I found this subtle change to be helpful.All in all this is a great (and necessary) addition to the Surface Pro 4 and there is much evidence to suggest that this is a useful upgrade for those who already have the Surface Pro 3 Type Cover especially if they do a lot of typing.
5,The internet lied to me; they said the Surface 2 Type Cover was compatible with the Surface 4. Well I couldn't get it to work at all! So when payday came I bought the new keyboard. And boy do I Iove it!This keyboard is even better than the Surface 2 Type Cover. I'm someone who types really fast on flat keyboards. And this is about as flat as they come without just becoming non-tactile. It has at least one of each key you need. The keys are illuminated just like the old keyboard. There's a definite difference in texture but I kinda like it. I used to glide my fingers across the keys while typing but there's more friction on this one. Keeps you from hitting the wrong key without noticing. The outside feels pretty much the same as the old keyboard and of course the size fits the laptop as opposed to the old keyboard which was a smaller size. In fact the keyboard helps with that really flimsy feeling that the Surface has; it's got so many hardware features that for it to be as light and thin as it is feels like you're gonna break it by breathing on it. So get this keyboard cover and that'll take away the pain. - The keyboard cover is very susceptible to coffee spills. If you get coffee on your keyboard cover make sure to panic and grab the paper towels immediately and then proceed to apply pressure with an irresponsible amount of towels to the surface of the keyboard until it turns a slightly darker color then place in front of a fan or something until it dries. It'll be fine. - The new keyboard has one of two "height" settings. One is the regular where it's sitting flat on the table and the other is slightly raised up using a magnet. I don't know why anyone would want this but I've found it's very useful when you're sitting on an uneven surface and still have to type like sitting up in bed. - The mouse trackpad is SO much better than the Type Cover 2. It used to be practically unusable. The new one not only works but is bigger and more compatible with modern gestures like two-finger scrolling zooming and hold-for-right-click. Feels nice on the fingers too. - Now you know how you have the F keys up top that double as some other kind of action and how you'd have to hold down the function key to toggle any of the F keys? Well you can still do that but now if you just tap the Fn key you can toggle it to where you can hit the F keys to do F1 thru F12 without having to hold the function key down. It's really useful for people like me who assigned hotkeys to the F keys. - That about sums it up; closing the cover still puts the Surface into sleep mode just like before. I got it in turquoise because I felt I should stop buying stuff in black all the time.
5,I’ve had this for a couple of months now attached to my Surface Pro 4 and I’m happy to say it’s working really well.  Pressing the keys gets an immediate response all keys are working trackpad is fine (although I rarely use it as I prefer the pen) connection to the SP4 itself is strong no fading in the color anywhere (I bought the teal).  In the interest of full disclosure I don’t use my SP4 every day.  Mainly on weekends for several hours occasionally during the week in the evenings and I’ve taken it travelling for a long weekend.  It’s not my “main” laptop due to the screen size but for travel and portability it’s great.  Please keep that level of usage in mind when you read this review.The most important thing for me in terms of usage is typing which feels very smooth very much like a traditional laptop and I have no problems with the size and layout of the keys.  I’ve used the keyboard in my lap and at a table without experiencing any ‘bouncing’ or movement and it seems very sturdy (especially when you consider how thin it is).  Aesthetically I love the color so pretty!  It also feels nice in my hands.  That seems like an odd thing to notice about a keyboard but it really does.  In terms of footprint of the keyboard it’s much slimmer than I expected surprisingly thin actually.  I had already purchased a (rather expensive Kate Spade) laptop pouch that fit the SP4 plus the pen just perfectly in fact it was designed for it and while adding the keyboard has obviously increased the depth of the device I can still use this case.One thing I have been surprised pleasantly about is that when I’m not using the SP4 I fold the keyboard cover over the screen and store in a laptop pouch and not once have I noticed keyboard marks on the screen when I’ve opened it up again.  That’s one thing that used to bug me about my old laptop – in certain light you could clearly see the outline of all the keys on the screen.  Pleased to say this doesn’t seem to be an issue here!The only real concern I might have in the future is about the corners of the keyboard since it is so thin.  Right now they’re fine but with extended use I imagine they’ll look less polished.  This is by virtue of their location of course so there’s not much that can be done about it.  Of course I haven’t knocked a star off for this because it hasn’t actually happened but I thought it was worth mentioning.
5,I bought the cheap blue tooth version and regretted it. Just buy the real deal.
