rating,review
5,Honestly I was just looking for a depth finder for my old boat since I don’t do much fishing I can’t really speak on the fish finder portion of this device .. but the other features are great. The way point gives you a nice piece of mind. It tells you the depth which is very accurate to my tests that I have done. It tells you your speed (which is great on my old boat that only has a tachometer. It tells you battery voltage which is also great to know on an old boat. Also tells you water temp which again is great to know. Has multiple screens split screens. I would recommend!
5,Just wanted to know my depth and speed and for that it’s great!
4,Great for kayak
5,Looks kinda small but it's bright awesome colors make it easy to see!
5,Works perfect and super easy to install
5,Is good one I love it
5,Simple to use accurate and clear readings  great for beginners.
3,Ridiculous!  Unless you install fishfinders / transducers on a regular basis the transducer is going to be more difficult than it could have been. First off the directions are barely there and therefore I didn't put the little black spacer and rubber washer in the transducer since no diagram showed it; so I figured I'll just unscrew the lock nut. No way I couldn't get it out of there using a power tool. I finally used power tool and vice grip holding the threaded interior and it literally broke the end of the long screw stuck in the lock nut. The old humming bird transducer holder was still there so I used that. I had to get a bolt and lock nut from my shed no big deal. The transducer holder is ridiculous. There are these deep holes that make it very difficult to install and waste a lot of your precious fishing time. Why the deep holes I have no idea there is no structural reason I could imagine. I've never seen a dumber design and I've installed 2 hummingbirds on my boats in the past 25 years so it's not like I've never done this before. I chose this product because of it's high ratings. I hope it works better than it's installation. Not happy about losing part of my day because the engineers can't put together a simple transducer holder.
4,Update: upgraded from 3 stars to 4 stars.  Would be 5 stars but I have to keep one star off for having had to go through an exchange. My original unit from Amazon was defective and had power issues.  After a couple of weeks of emails with Garmin and attempts to troubleshoot--including them sending me a new power cable--Garmin did an RMA exchange and sent me a new unit.  I took it out today no power issues whatsoever and it worked flawlessly.  It's nice to know that Garmin does stand behind its product.  See below for the actual review.--- --- --- ---Lots of features in such an affordable package.  I can't imaging boating without it--and I don't even fish.  The GPS is useful and very flexible.  I use the GPS track feature to map the perimeter of the lakes which is super nice to have since these cheap fishfinders don't have charts.  I do a lot of birding photography and this is perfect for mapping my favorite birds.  The sonar also gives me a good idea of where birds might hunt for fish so I mark dense fishing areas on the GPS too. For a while my boat's speedometer was clogged so it's nice to have reliable GPS speed on this unit too.  Other than being useful for discovering potential hunting hotspots used by birds I use the sonar to keep my boat out of trouble in shallow waters.  It is so nice to be able to see what's under the boat and to tell how deep the water is. I probably wouldn't be as concerned if I had an aluminum bottom boat but I have a fiberglass hull--those are not meant to take a pounding so I steer clear of shallows by setting depth alarms.  If I had to do it all over again on the same budget--power issues notwithstanding--I would definitely buy this.  Now that I have had a taste I do wish I sprang a little more cash for a Plus CV unit for the contour mapping feature and for the clear vu radar which looks pretty nice.  And my dream unit is one of those echomap units because they come with charts and have all the features of the striker series but I'm just doing lake boating so I don't really *neeeeeed* charts other than for the satisfaction of knowing I could have them.  Anyway I fully recommend this product for anyone with a powerboat and I am sure I would be just as useful for people who do kayaking too.
5,Easy install. Easy to use. Brilliant display easily visible in sunlight. I have this mounted on my kayak and I love it! Works perfectly.
5,Happy with fact it’s still working since 2020. I’m not to rough on it and always take it inside garage after boating. I like how I am able to turn the ‘fish blurbs’ into actual fish on the settings screen; my nephews love to watch them as they appear like small little goldfish on the puny graph. This doesn’t have a side scan or anything special however for such a low price to receive a color And accurate sounder is definitely a plus. Garmin makes good electronics I have to say. Plus it has a map and tracking that works superb in the San Juan islands this feature is Kind-of worthless in lakes. I rated 4 stars for extra tiny readouts with extra small screen. If it works for a few more years I would rate it 4.7.. still to be determined
4,It is a straightforward machine better depth  sounder than GPS but it does both. I got it foe my tender and it is great for that
5,I have it set up to be portable on my Jon boat or ice fishing and works awesome.  Will pick up a 1:8 oz jig in 25-30 fow
4,Fish finder works great. Easy to navigate and small and compact which works out well.
5,Very happy with it for how I use it (Navigation and depth awareness).  simple and accurate.
