rating,review
5,ProsPackaging and case make it easy to store and transportExtremely easy to set upMultiple sizes for mounting threads and locations for threadsAll metal construction feels sturdy very important considering how many expensive items it will be holdingI don’t know much about prompter glass but the glass hasn’t given me any trouble on cameraIncludes phone mount to film with and phone mount to be tele-prompt with.ConsThese are extremely nit picky and aren’t really a big deal and may not even apply to you but…I wish the gap between the top and bottom level under the camera was slightly larger just so I could mount other gear there. It’s about 2cm to small to fit my audio recorder.The hood that attaches to your camera lens to stop light bleeding in is a great but I wish the cinching mechanism was different because it’s kinda cumbersome on the lensI wish the glass came with a velvet bag or something for when I store it. It came with styrofoam protectors to prevent scratching though
5,This teleprompter was a stretch for me since I am not a videographer. But it is so very fun to have and to be able to look into the camera for filming. I did need to buy a few things: female to male adaptor to fit teleprompter to tripod ($8) iPad mini ($300+) app - took 3 tries of $30 each to settle on one I liked oops. Other than that it was a great purchase and I am seeing uses all over the place (speaker intros kids school projects etc)
5,This is a solid piece of kit at a good price packs down nicely and comes with a good case. I had previously bought a cheaper type which was just plastic and would break on the first transfer to another set. The Glide Gear is well built well packaged and well priced
5,This is so awesome. I am so excited to get this and tried it out. So easy to put together. Now I can make professional videos where I am actually looking into the camera. I am jumping with joy. Thank you for such an awesome product that is sturdy easy to put together and at a low cost which teleprompters go for. Thank you.
5,This made my life so much easier! From unboxing it to setting up my iPad took about 40min but then it saved us a TON of time shooting videos cause I didn’t have to remember a thing.
4,Professional teleprompters can cost a small fortune.  This is perhaps the ideal budget option.  Using any teleprompter app on your tablet or smartphone this will get the job done and at a tiny fraction of the price of professional units.  However there are a couple things to think about before you buy this.First you'll need some extra supplies.  You'll need a good high-quality tripod.  This prompter isn't terribly heavy (fortunately!) so it doesn't need to be the most expensive one in the world but you are going to make your tripod very top-heavy so you'll need a decent one.  You'll also need a tablet with a teleprompter app.  Technically you can use a smartphone but the extra screen space you get from a tablet is really necessary.  Teleprompter apps range from free to fairly expensive but you should be able to find what you need without spending more than a few dollars.  Personally since I'm a solo operation most of the time I also use a Bluetooth "page turner" foot pedal device (as musicians might use) to control the prompter app.  And of course you'll need a good camera.  None of these things are included but you probably already have most of them.The quality of the prompter is good enough.  It works perfectly though it feels cheap in its construction so you'll want to be extra careful not to bend the metal parts or break the glass.  Fortunately the carrying case it comes with is very well padded so I've not had any trouble there.Most importantly it works the way it's supposed to.  The glass is held at the proper angle to reflect the text to your eyes while keeping it invisible to your camera.  Its functionality there justifies the little bit of extra effort it took to get it in working order for my particular circumstances.And it did take a little bit of extra effort to get it to work because there are a couple of design flaws.First the cloth hood you use to shield out the light obscures the bracket you use to mount your camera.  There needs to be a hole in the cloth through which you can screw the camera to the prompter but there was no such hole.  This is a relatively easy fix--just a couple minutes with a pair of scissors or a utility knife will get the job done.  But it should have been done by the manufacturer.Attaching the camera is also fairly difficult.  To attach it you rest the camera on the prompter (inside the hood) and attach a screw from beneath the prompter.  Lining these screws up while your vision is blocked by the hood is a nightmare so you may want to find a way to streamline the process for yourself.In my case (your experience will vary depending on which camera you use) my camera also rests a little too low so the lens is always at the very bottom of my text rather than the center.I solved both of those problems by buying a simple 1.5 inch 1/4-20 tripod extender.  It raises the camera to the correct height solving the second problem and also provides a much easier target for the screw solving the first problem (and decreasing my total setup time for the teleprompter from about fifteen frustrating minutes to about thirty easy seconds).At first I was a little disappointed by this product.  I was still using it because I found it to be the closest to what I needed within my price range but it was always frustrating to use.  However by adding a few extra accessories to it I've elevated it to one of the most useful products in my kit.  In that spirit I DO highly recommend it IF you're willing to spend a little time getting it the way you want it.  I wouldn't consider it ready to go right out of the box.
5,Setup when quick. Rock solid materials. I'm using a Canon R10 camera - I'm ordered a 15mm riser to move the camera lens higher in the light box to better align the lens with the location of my eyes.
5,I recently purchased the Glide Gear TMP100 Adjustable iPad Tablet Smartphone Teleprompter and I am very pleased with it. It was very easy to set up and use. The prompter itself is very lightweight and portable which is great for traveling. It also comes with a remote so you can control it from a distance. The prompter works great with all types of tablets and smartphones.
4,The teleprompter is of good quality overall. The velcro could use a little help to stick down better but you would only notice this if you pack it away a lot.  You will enjoy the teleprompter a lot more if you commit to leaving it out and ready to use as it's a bit of a chore to setup for a quick zoom meeting.One modification I would have personally liked is if the non-adjustable stop that holds your phone/tablet were adjustable. In my case when I setup the tablet I see a bit more of the bottom of the tablet than I'd like although thinking about it now I might be able to just adjust the tilt of the glass slightly to compensate.Also in my case the camera sat a bit low so the effect of "eye contact" wasn't optimal but I can probably fix that with about 50 different ways of lifting the camera up about 2 inches.The overall size of the teleprompter is surprisingly large but this is probably necessary to keep the weight on your tripod from being too far forward where the glass is.One surprising nuisance for teleprompting is how hard it is to get something to horizontal flip the image. If you have good wifi you can use Deskreen which mirrors a screen on your computer to a browser tab. If you full screen this on a tablet it's workable. To reduce wifi traffic I put my laptop on a wire to my router and use wifi for the tablet. This helped the image lag quite a bit. For whatever reason hardware devices which can horizontal flip are pretty expensive. I used a FeelWorld F6 plus which works but at 5.5" is quite small.If it says anything about the teleprompter I bought one then later needed another so I bought the same exact one. I considered making my own but after thinking about how much time/effort it would take and how likely I was to be happy with the outcome I realized it was cheaper for me to just buy it.Happy filming!
4,The TMP 100 is easy to assemble and disassemble. My only issue is the weight. If you plan to mount it on a tripod get a sturdy one; I thought my tripod would break while recording.
