rating,review
5,3rd update Mar 20 2019:Updating my previous original 2-star rating to 5 stars thanks to their support given and a fully functional replacement device in ~2 weeks.--- TL;DR ---My initial experience from Sep 2018 with my DUO was mixed. I didn't contacted support and wrote my first “quick review” on Dec 2018 or Jan 2019. On Feb 2019 I got contacted by a person from support because my review.Since then the support person 'greatly explained' the causes of the issue and guided through the process for getting a warranty device.I'm very placed with the detailed support given by him and new replacement device works great!--- Device ---My issue from Sep 2018 while RX mode was indeed a defect on some units on the Amazon warehouse from that period which occurred in any codec (SBC aptX and aptX LL).The TX “issue” of audio fading/cutting on low volume (e.g. while playing on Nintendo Switch on low noise scenes) is normal. One must turn all the volume up on the audio source so the device can capture it as the chip isn’t an amplifier but just a transmitter.Due the RX issue I was offered replacement device. Decided to try and upgrade to the Trond DUO S. Now I can confirm the intended correct functionality of RX/TX on both devices (DUO and DUO S) and confirmed the RX firmware defect.Additionally I could test pairing a DUO with a DUO S. They work amazing on aptX LL (Low Latency) which is selected automatically as it’s the best codec available on both. You can easily see and hear the difference between the standard SBC and aptX LL the latter feeling instantaneous on audio visual feedbacks.After 5 months of use and having a fully functional unit...Re-viewed PROS:- Compact goodness.- Good battery duration easy charging and can be left connected.- Easy pairing even multiple pairing (after you get the “trick” for pairing).- Lot of adapters included.- Long satisfaction warranty (18 months) and great support service.Re-viewed CONS:- No configurable low-battery audio signal. It can confuse you from phone alerts etc.- No configurable LED.--- Support and warranty ---They are serious on their support area as they followed me up some time latter from my original 2 stars Amazon review on all my emails until I got the issue solved (on my case a warranty applied until I had it on my hands even though it would need a global shipment).They DO respect their “18-MONTH TROND warranty” additionally from the Amazon return period so you can buy with confidence that any defect will be followed quickly and in great detail. This was getting replied the next day and getting detailed explanations of the cause(s) of my issue along with the possible actions to take.Big thumbs up for Trond. They managed to stand up with the pesky support processes of many other bigger companies out there.--- MISC ---My only complaint could be their webpage. Before making my original purchase I looked up their website and it feels empty and outdated like if they didn’t exist nor could give any kind of quality support in case you got into issues. They deserve a newer and better site that shows and highlights their great client support.-------------------------------2nd update Feb 22 2019:Their customer service contacted me regarding the issues I mentioned here trying to help me with them by proposing a replacement thanks the 18-month warranty.I will try keep updating this review accordingly.------------------------1st Original review:Has been some time that I got this (Sep. 2018) and have been postponing a quick review some thoughts on this device.I have used a few times on various scenarios (playing on Nintendo Switch video watching etc. with different headphones as receivers and different controlled sources as high end phones and laptops).Personal cons:- 1 issue as a receiver.The device is identified as apt-X on my phones but the output audio is awful sounds muffled as phone call quality on all devices that I tried.This reaches the point that the Windows 10 "bells sound" sound test gets very pitchy and gets highly distorted and the very end of the last bells. I would like to provide an example of this by recording the output from the Trond when used as receiver.- 1 issue when transmitting.When transmitting the quality is pretty good BUT when having low volume sounds coming from the audio source the Trond seems to "fade" or cut-out the audio.Playing games on the Nintendo Switch is not enjoyable with some games that have some low-volume scenes since those are intermittently faded or cutted-out. There is no noticeable delay at least from what I can tell (but at this point I just stopped using the Trond both as receiver and transmitter).(As I said the quality is great when transmitting but not sure if it's real aptX quality grade my headphones don't have any indicators of what protocol is being used when receiving audio from the Trond when it's transmitting neither Windows helps with this).Pros:- Super compact portable.- Portable power of ~6 hrs or more.- Quicker setup as receiver.- Can be used always connectedNote that I probably got a defective device but.... Anyways I stopped using it since then (Sep. 2018). It has just a couple of days of usage. Recently I got the time use it again but as a background music receiver as the previously mentioned issues are just annoying.The receiver sound quality is the dealbreaker for me.Maybe is normal for the price just the aptX is there for the short delay feature of the protocol.
5,This is a PREAMP not really a headphone amp.  In RX mode it's meant to send it's output into the AUX or other input of a receiver powered speaker etc.If you want to turn your favorite wired headphones into bluetooth headphones (like I do) you SHOULD use this device in RX mode plugged into a portable headphone amp.  It actually will drive 32 ohm headphones but that will limit the battery life and there is no onboard volume control.  The sound quality will be much better with an external amp.I had no trouble getting the pairing process to work with my Samsung tablet and it worked great for hours after that.  The Trond was in RX mode and it's output was piped into my Topping NX1s analog headphone amp.  The combo sounds very good.  I verified that the bluetooth link was in fact aptX using the developer options on Android.The pairing button also double as a Play/Pause button when in bluetooth RX mode which is handy.Overall a good value for a fairly high quality bluetooth receiver.  A higher end codec like LDAC would sound better but this thing sounds much better than SBC which is the standard audio codec many of these adapters connect with.
4,I use this for a portable scanner radio and I'm happy with it. It has good range it was easy to connect and improves my ability to hear the radio when driving.
5,I wanted to be able to use my television with my Earpods Max and so bought this bluetooth transmitter and connected it to my dish satellite receiver and it works great! Pairs every time I take out my headphones.
4,I have an iPhone 11 and am now able to stream music get directions take calls etc using the speakers in my 2016 Nissan Rouge.
4,Easy to connect to my tv.  pairing to headphones easy.  Must mute TV to silence it.  Just an ever so slight delay in audio.
5,This little device is small but works well… pairs easily when used either as transmitter or receiver…allows Bluetooth connectivity to devices without Bluetooth.
4,I works great!
5,I am happy I bought this! I connected it to my tv so I can workout and watch a movie without disturbing anyone. Although the volume control was a little difficult to use on the blue tooth headset I purchased but I think I figured it out.  I am happy with my purchase
4,It took a couple of attempts to get it setup and connected in TX (transmit) mode but it works. My phone had an existing Bluetooth headset that I wanted to use so I put the phone in airplane mode temporarily while I configured TROND. I'm not sure if this was necessary but at least I got the headset connected to TROND.Now I want to try this at the gym for wireless music where I can leave the iPod in my bag and out of sight. I want to see if I have any issues with other people doing a similar thing with their own wireless devices. I mean it just makes sense that if I try to connect to my Bluetooth device at the same time as someone else tries to link to their device we might inadvertently link to each others devices.I also had to set the volume on my iPod to its MAX setting before I could hear the music where just using wired headset only needs a small fraction of the volume.I have been able to walk around my apartment with only a minor breakup when going around a heavy wall or walking outside.I will come back and update this review if I experience any additional problems.--------------------------------------------Updated 7/15:I tried TROND at both the gym and at the beach. Neither environment was suitable for TROND use. Even with my iPod at MAX volume I could not hear the music over the background noise. Also one side is consistently lower volume even when I switch sides -- which is very annoying. The Bluetooth signal is not very strong. Even when I am only 6ft away if I turn my head at certain angles the signal cuts out completely. If I place TROND in a central location in my apartment there are places I cannot go because the signal cuts out.Personally I don't normally need very high volume so when in my home the TROND volume is at the extreme lower range of what I would find acceptable. But for people who like louder volume this TROND (connected to iPod) is simply not going to be satisfactory.I think TROND is only suitable for use in-home where there are no background noises and all you are really trying to do is be able to listen without a wire connection.I reduced my rating from 4 stars to only 1 because TROND does at least work in the home. Too bad I cannot use it anywhere else.I am going to try to contact TROND support to see if there is anything I can do to boost the volume. I will report back anything I find.--------------------------------------------Updated 8/7:I felt the need to update my review once again. My former Bluetooth headset got slightly damp and the battery corroded so I had to buy a new headset. I bought Mpow Jaws and Vava Moov 28. Both headsets work so much better than the LG HBS 760 that croaked on me. The new headsets not only sound better but they each have volume controls that allow me to further increase volume enough to really cut out the background distractions. So my original problem was with my old LG headset not with TROND. I raised my vote to 4 stars.
3,Pairing was mostly simple. Usually my headphones say "bluetooth paired successfully" but that didn't happen so I wasn't sure at first. It also took a while to figure out if they were paired because the volume is so low. I paired this to my over-the-ear headphones that have volume control on the side. I had turned up the tv volume all the way and it was still too quiet but when I'm wearing these headphones I tend to control the volume with the buttons on the headphones so I just tapped them to see what happened and I WAS able to increase the volume more. So apparently I can control the volume with the remote to the tv AND the headphones but separately like the buttons on my headphones don't control the tv volume the way the remote does. I basically just turned up the tv volume almost all the way and then click my headphone buttons for changes. The sound was a little odd. I put on a show I knew so I could hear the difference; there was more ambience when there was dialogue that then disappeared when the dialogue ceased. The sound quality in general was lower than usual like I was watching a bootleg and proper streaming. So the question is more of do I want that or do I wanna run a twenty foot aux cord from my tv to my head?
4,Using headphones to play along with drums is a must but I wanted to hear what my student hears so I can make sure she was on beat they did seem to have a sliiiiight delay between the 2 possibly because I'm using different headphones? But as far as functionality they work awesome if your just using them for your kids and a DVD player they're perfect...I'd recommend.
