rating,review
5,RE: Prosumer's Choice Natural Bamboo Charging Station Rack for Smartphones and Tablets / DARK BROWNI love this thing and I was all ready to send it back if the reviews ended up being correct but this is a great charging station holder.I already have a "Unitek USB Charging Station for Multiple Devices Charger Organizer Stand Dock with Dividers Quick Charge 3.0 Compatible for Smartphone Tablet iPad and Other Electronics" that I put inside this (without the plastic dividers on that --needed a real solution like this wood one since the dividers on the Unitek are cheap crap that can't hold the weight of a tablet for long and constantly BREAK).I also got a few packs of braided USB C (fast) to Lightning Cables (MFi Certified iPhone/iPads) to use with it. ***3ft long ones would be perfect for this*** but I got mainly 6ft ones just in case I wanted to use some elsewhere. The ones I had on the old charging station were 1ft and while they worked with that just barely they definitely don't fly when inside this thing and go up to the device so something to keep in mind.Since I keep this in the kitchen this "dark brown" one goes really well with out dark cherry wood cabinets so it looks like it fits right in. You do notice dust right away so if you don't have dark wood already you might want to get the light colored one.I took another reviewers advice and used a rubber mallet to get the divider in but then I realized I didn't really need it you just have to push down harder than you'd expect but they do fit.I was kind of shocked at how well packed it was so maybe this is a new procedure since they other reviews? I agree though that the "Prosumer" branding should NOT be where it is so visible but I turned it to a side it would be least seen (figure this out before you wedge the dividers in there). Also there are open squares on each end of the base for the power cord to go out but they diagonal from each other so no matter which way you turn the base it never works out so the square hole is in the back if you want the cord going out to the outlet (viewing the unit wide side facing front cord going out your left hand side).If you are going to face it so the short side is toward you instead of using all taller dividers there is one really short one you can put in front so if you want to watch videos or look at a recipe on a tablet you can put the tablet there.  I used that shorter one there even though I use the stand wide side facing front because I put my phone there normally and if I want to do as mentioned previously I can just turn the unit that way while doing that. So I have an extra tall divider that I store inside the base with the charging unit (sold separately). There's also some velcro cord organizers and a couple pieces of flat velcro in there that came with this stand.This is a great stand if you're like us and have several devices a few of which have very heavy cases on them. This is a million times of an improvement from the plastic divider situation but I would be reckless with it because it certainly could break just not as easily as the plastic ones. This is the ONLY option I found like this (that also had the dark wood).
5,This charging station rack has done an excellent job of taming the tangled cord monster in our home.  Plus it looks lovely and simple.I will say that the space inside of the charging station is limited.  We were able to put a small power strip in it but we had to make sure all the cell phone plugs were the kind where the USB sticks out perpendicular from the strip and not parallel to the strip or else we couldn't fit them all inside.So this definitely works best for phones or small electronics.  We were able to fit a single charging cable for a Chromebook in there too but we would not have been able to fit in the charging cables for multiple Chromebooks or laptops.
4,The top is wonderful for organizing my tablets phone and other things. But inside where most people will store some kind of multiple USB connection device to charge your stuff there is only enough room for small thin USB hubs.The photo is of my USB charging hub. When the type A end of a USB cord is plugged in it is too tall and the lid sits on the cable. Doesn't sound too bad but when you add the weight of several devices sitting on the top I believe that those type A-s won't last very long or even cause the main unit to go bad. I tried laying it on its side since that would let all the cables plug in without issue. Nope still won't work it is too tall for the lid to close.There is a scalloped opening on one end to allow your electric cord to come out to plug in and power your charger.  You can easily run your cables through that opening and then out to each of the side scallops for the individual equipment slots but I found it difficult to keep it from turning into a snake pit as the type of equipment changed and required a different type of cable to charge it.All in all  I WOULD RECOMMEND this item especially on a bedside piece of furniture.
5,Does what it’s supposed to do decluttered my kitchen counter of 3 ipads and 3 iphones. It only has holes for 5 chargers but that’s okay. We don’t charge at the same time anyway. I used a Trip-it thin strip inside and really works well.
4,It’s a great little organizer for electronics! The price seems high for what it is but it does it’s job and we are happy with it. Went with this one primarily because I really wanted something that would fit our charger inside instead of instead of the charger built into it.
5,Love how easy it is to charge all of our family devices in one place now. All of my kids know where their tablet goes & the cord is ALWAYS right there so it’s easy to plug in. Our countertop looks so much better with the pretty bamboo charging station than it ever did when it was just a pile of cords plugs and tablets. Guests are constantly asking me where I got it… duh. Amazon.
5,This stand enabled me to consolidate all my devices in one area. I can store all the charging wires in it instead of rummaging thru my house for one. 🙂 It is also good looking sturdy and goes with the rest of my decor! A+++++
5,I really like the aesthetic of this piece. It’s a visually appealing piece and it’s functionality is great. Each slot is big enough for my devices to fit into. With a lot of the device organizers I looked at the slots were too small. I have two kids tablets (with thick cases) that fit with plenty of room to spare. The storage part of the box for all the wires is big enough to hold everything. This also came with zip ties for the wires. Overall a great product.
5,Looks great on my dresser. Keeps the cord mess contained which is the main reason I bought it. Bonus tho - The power strip I use has lights on it which made it impossible to get the room super dark for sleeping...now those lights are inside the box and it is much darker during the night. I like it! Looks and feels higher end not a cheap-o feel.
4,In my busy house someone is always needing to charge a device: our kids their friends visitors or ourselves. We could never find a cable or block when we needed one - it was so frustrating. The Apple cables are so expensive I couldn’t afford to keep replacing them when lost which seemed to be all the time. The daily “you took my charging cable” accusations were putting me over the edge.In 2017 I decided to buy the following items to make a charging station for my house:- 5 Anker charging cables (love Anker cables!)- Sabrent 10-Port [UL Certified] charger https://www.amazon.com/dp/B00OJ79UK6/ref=cm_sw_r_sms_awdb_t1_uhAJDb3MDVF6X- This Bamboo Charging Station RackIt sits on a main table near the entrance and we have one rule: The cables are never to be removed. It is used every single day by many different people and it was the best decision I have ever made.Since then I have added some micro usb cables for speakers/headphones/kindles and even a Chromebook charger to the station. It’s definitely the most used item in my entire house. During sleepovers/hangouts all my kids friends know where they can charge their phones; they don’t ever have to ask or worry about their phone dying. It’s a great spot for phones overnight to keep them out of the bedrooms too. Now we always have a dedicated spot that guarantees us a charging cable for any type of device we own. No more searching for cables all over the house! Yay!Some things I love:- The low profile sleek design. You hardly notice it in a room.- The color & quality of the wood. Looks expensive.- The magnetic top closure is pretty solid- Just the right amount of room in the opening below.- Great slot size & overall design. It holds anything; Laptop Chromebook iPad kindle phones of all types with protective cases and occasionally even my husbands wallet. Ha!A few things I would modify if I was being picky would be:- top slats that snap in or are able to be secured somehow. Since they are fairly loose I had to glue mine to prevent them from occasionally popping out.- slightly smaller cable openings in the front so there is a bit more control of the cable and which way it leans.- longer narrow opening on the side close to the bottom to use for additional cables if needed.- power cable hole in the back so it remains unseen.I have purchased a few different bamboo charging racks over the years and this one is definitely the  best! You will not regret setting this up for your house!
5,I debated between this product or a similar one that already had USB ports. I ultimately decided on this one for a few reasons.•I liked the flexibility of being able to use a long cord on some devices. This let me charge the device while still using it then tuck the cord into the box when I was done.• For some devices I wanted them charging off a USB-C block for faster charging. This product lets me choose whatever block I want to charge off of.• The extra room inside allows me to store spare blocks and cables.The product is sturdy and assembling it was very easy. I’m glad I got it. The area I store all my devices at is finally organized!
4,This is a great home organizer charging station but if you get it I highly recommend getting the Anker 60W 6 Port USB Charging Station (B00P936188) to go inside. It'll provide enough ports & power to charge the devices you may set in this rack.Rack construction is good and I couldn't see any over glue or other issues. I do wish there was a small shroud covering the hole for the larger power plug or a matching bamboo pice that would fit in once the cable was through which would reduce the size or appearance of the opening.
3,It is small barely fits my surge protector but I made it work. However it won't work with certain chargers if the plugs aren't facing the right way like my leapfrog/leap pad charger. One of my dividers didn't fit into the slots which was fine because I used the small one that was included to prop something up while it's in use. Overall I like it but definitely could use some tweaks.
4,Well-loved and well-used this product for over 2 years. (Purchased in Oct 2019 broke this week - Jan 2021.) The make was not as sturdy as I would like. We kept 3 laptops in it at most times and it was very "top-heavy" and easy to knock over. We have an old Mac with one of the fat chargers so the top didn't close - also adding to its instability. We also found that plugs didn't stay plugged in very well - but that probably has more to do with the power strip and us pulling on it than the station itself. This week 2 of the dividers broke. I wish it was heavier so it didn't knock over so easily and was more bottom-heavy. Also would be nice if the top could clip to the bottom or something.
3,This is a very expensive charging station. I purchased it in dark brown in late December of 2021. One of the dividers split at the insert point. I am very upset with the poor quality. I have purchased. I still have the two Mobile Vision Dividers purchased in 2018 that are still in perfect condition.Poor quality and I have no idea how to get a replacement divider.
