rating,review
5,This adapter works great for what I needed it for which was to broadcast my computer screen on a tv without wires. If you're worried about the bad reviews of people saying they can't connect or update it here's the thing:This product does NOT work on Windows 11 right out of the box. This version of the Microsoft Display Adapter was first introduced in 2014. Windows 11 was introduced in 2021. Some of you may luckily get an adapter that has been updated before it was packaged so a few of you might luckily get one that does work well with Windows 11 right out of the box but that's extremely rare. You MUST first connect and update this in a Windows 10 device. Only once you do that update will you be able to use this with Windows 11 devices. The newer 4k version of this adapter is the one that works with Windows 11 right out of the box.
5,I have a HP all in one desktop with an external 32" monitor connected via a HDMI cable. Wanted to add another monitor but no free physical display port. This product allows me to add a 3rd monitor via wireless. At first I was disappointed as the mouse was slow but found if I changed the setting from gaming to work on the adapter and that fixed the problem.  I had tried a device that said it could do another monitor via USB-C to HDMI adapter but it didn't work on my PC.  This solved my problem.  Would recommend. Only thing I wish was the USB cable on the device was a longer but no big deal.
5,This can't get much easier using windows 10 just click on notification bottom right navigate to connect find the labeled wireless display adapter that's  hooked up to the big screen tv and BAM your in business.This device makes life easier instead of seeking longer hdmi cables or standing next to the tv when showing something to friends family or even at work.  Well worth the price buy this now to alleviate connection headaches.
5,Plug it into the HDMI port of TV plug in the USB end to a USB port on the TV(for power).  For Windows10 search 'connect to wireless display' or if using a laptop it most likely has a function key that looks like a monitor for choosing projectors or secondary displays.  Either way there is a 'connect to wireless display' button hit that and wait a few seconds and you'll see your TV show up on the list.  Click on it and another few seconds you'll have a 2nd display that can be used as a clone an extension or as the sole display.I've had no issues with lag drop out audio glitches or anything else negative.  Just a smooth extended monitor.  I have not tested range however as I use mine within 10-15feet of the receiver.
5,I use this for sewing projecting patterns for cutting. Leave it right in the projector and can transmit from with my laptop or desktop.  No wires. This thing is great.
5,I would highly recommend this product for hooking up a flat-screen TV that has HDMI ports to your Windows computer . I use it with my Surface Pro 4 (i7 Processor 16gb RAM & 256gb SSD) under Windows 10 Pro.  Nice out of box experience.  In fact before I got the Wireless Display Adapter V2 my Surface Pro docking station was not able to use more than 2 speakers connected to my Receiver (which has 5 speakers) through the HDMI physical cable).  While my MacBook Pro running Windows 10 Pro was able to use all 5 speakers for TV sound through the HDMI cable.  Even Microsoft's easily accessible phone support was not able to help me utilize all 5 speakers before I got the Wireless Adapter.  But once I got the Wireless Adapter the 3 other speakers (including the woofer) started working like magic!  I installed the Windows 10 1803 update two days ago and I was worried because it seemed like it was taking too long for the flat-screen TV to connect.  I immediately called Microsoft Tech Support (almost no wait time) and the TV started working about one minute before I got hold of the Tech Support Rep. With my approval the Tech Rep took a look -remotely-and it looked fine.  The Tech Rep noticed a problem with one of my docking station's USB ports in Device Manager (a problem unrelated to this Wireless Display Adapter) and after about one minute and a reboot the  USB problem was fixed.  I would highly recommend this product and thank Microsoft for their excellent and easily accessible Tech Support!
5,I got 5 of these for all the TV's in our offices and they work like a charm.
4,I connected the adapter to my laptop and got friezes in use.How I fixed freezes:1. DURING THE CONNECTION to adapter I opened the network settings (Control Panel \ All Control Panel Items \ Network Connections)2. Found a WiFi connection to the adapter and click on Properties.3. You need to leave only "Internet Protocol Version 4 (TCP / IPv4)" and to release all other checkboxes.4. Click "Games" or "Working" at the top of the screen as in the my screenshot.Hope this help someone.
5,After reading some users poor reviews I came upon a positive review of this which had an almost identical use case. I am 15 feet away from the TV I am projecting to from an Android 9/Samsung Galaxy A10. I do not have WiFi. Streaming both Amazon Prime Video HBO and Netflix using mobile data I have no issues whatsoever in lag watching all movies and series on the big screen right out of the box. Setup and configuration could not have been simpler. It worked the first time and continues to work flawlessly. I just got this a few days ago and have already logged 15 hrs of casting without issue using the aforementioned configuration. Very happy.
5,Screen mirroring tools from Android mobile devices run a pretty big gamut but if you're looking for an easy to use reliable device with a quality picture there's not really anywhere else to go but here. Excellent full screen projection high quality reciever and a vivid colorful display. The Microsoft Wireless Display Adapter is exactly what I needed when I wanted to cast my screen. I will be thinking twice about getting any other product in the future.
5,Todo correcto sin novedad
3,I bought the first version a couple years ago and ended up returning it.  It was far too laggy and the audio/picture would not sync properly.  I would always have to pause and unpause so it would re-sync.  While this one is better it still suffers from the same issues.  Just not as much.Setting the picture quality in certain apps to 720p HD on my Galaxy S9 it pretty much works flawlessly while watching media.  Netlfix Hulu YouTube TV DisneyPlus all work really well.  Unfortunately setting the quality to Full HD (1080p) it starts to have problems like the first version.I'm hoping the 4K version is somehow better than these.
5,It just works. Painless and works without hassles. If you have problems with this it would be because you did not read the instructions.
5,I will be ordering more
5,I purchased a lesser brand a few months ago which worked at first but deteriorated - my puter eventually wouldn't stay connected.  Hoping that it was the product I purchased this Microsoft product (previously purchased for my father with no issues connecting to his tablet or laptop).  Problem solved.  It's been over a month and we use it almost every day for streaming (mostly movies).  Still great performance (as II expected).
4,Connecting to it with a phone or laptop was really easy. The sound quality was good too no lag. But the video would stutter here and there but I felt like it got better the longer I used it. Works well for watching videos or just to have something in the background but if you want great picture quality and consistent streaming then use a cable.
5,Simple and full featured using the windows app you can adjust certain settings. Carry one in travel bag for meetings and such. Wish the little plastic piece that hold the HDMI and USB plug together came with a bungie or string. otherwise I would give it 5 star instead of 4.
5,WIRELESS DEEEEEEEEEEXXXXXXX!!!! HAHAAAA!!!! so the Samsung adapter is twice the price and although it's a stable wired connection this microsoft adapter has minimal lag and allows me to freely operate my phone unencumbered by bulky hdmi cords and power supplies while still casting dex to the monitor. chef's kiss 🤌
5,Prior to this device I had purchased a similar one just different brand that claimed it had 4k support and all these neat features. However it was to good to be true type deal. Because of that it had led me to this wonderful product that happens to what I need and does it well. I strongly recommend this product if you are a Windows users. It does work with Android as well however it does not work with Apple.
2,I had the earlier version of this for a couple years without much issue. When it stopped working I bought this one. This one lasted a month! The picture went digital and froze. I turned it off/back on again and now it wont' even pair to the laptop I was using. I'll try again with another one (because it's nice when it works) hoping this was just a lemon...but I don't have much faith in it right now. Such a pain...
5,Exceptional and very easy to use.
5,I use this Monitor Mirror adapter to wirelessly connect my Laptop to to my TV.  It was very easy to install.  I did go on line for help in setting-up my Laptop to connect to the adapter.  I am pleased with its performance.
5,This is exactly what I was looking for to replace my 25ft HDMI cable that I've been using to plug in my laptops into my wall mount TV. Easy to setup and has a reliable connection. Thankful that Windows 10 has the Project to Wireless Display function baked right in.
5,I LOVE this product. It is so nice to be able to use the projector in my classroom from my desk and it doesn't require wifi like a chromecast would. Amazing :)
5,Wow this works with both my windows computer and my Android. I use the adapter send my Zoom meetings to a projector so I can have a 200 inch screen. No cables seamless functionality and best of all the audio is in sync with the video. Great Microsoft product
5,I work on two displays and hate the bulkiness of connecting my laptop to my second display via HDMI. This perfectly solved my problem and works great
3,It’s okay...  I was expecting more stability from a product that’s designed to work with Windows but have been frustrated with it’s lack of stability.  It’s a pain to connect and frequently disconnects while in use.  I’ve spent hours troubleshooting and it’s just easier to plug in an HDMI cable at this point.  I won’t buy another one that’s for sure.  It works but don’t expect a ot from it other than frustration.
3,I purchased this device so I can cast from my Windows 10 work laptop to a wireless screen. I cannot get it to work on my work laptop. It works fine on my personal Surface Pro with great picture/video quality. The only thing I can think of is there is some IT setting that is preventing the casting but I can find nothing to help with the issue.
5,Works excellent. If the user isn't computer proficient setting up the computer to work with this component could be difficult.
5,I need to do presentations on a Windows computer and this is terrific and reliable.  It's completely easy to setup. I have used it on a TV (to test it) and a projector in a large conference room. The signal is good - I've never lost a signal and have used it in a huge conference room for several hours.
3,Couldn't get it to work for the AMD PC I bought it for. So I did some research. Turns out if you don't have the on board intel graphics it won't support the adapter. Used it on my Intel cpu laptop and it works fine
4,Works really well but there needs to be more documentation on the security features for those of us who need to know the specifics. It is not designed for high end gaming or anything latency sensitive. Use it for presentations or throwing content to a flat screen TV at a friends house.
3,Have bought 4 of these for shared tv’s around my office. 1 has already died before 6 months. The others work ok. Have had issues with sporadic freezes. There are other options that will serve the same purpose although most others require 3rd party software.
1,Doesn't work I can wireless display connect to my Roku box but not this Microsoft Product. Also no way to check the firmware unless it is connected but I can't  connect so pretty useless instructions. Don't bother
1,I bought them because the description said that it would make a monitor with a Display Port work with a computer with an HDMI port. It didn’t. They wouldn’t accept my return.
5,Thank you for your fast shipment.  This adapter made a big difference with me working on my Surface from home.
5,Works Flawlessly with Windows 10 ; Some  Win7 users were OK but it was more of a struggle and Apple (ipads)? Fuhgetit! no way.. (Workaround) We were able to do a Skype meeting with an iPad and then the Win10 machine could present and show the connected/shared screen.Simple and Simple.. no other word to describe it. Simple.
5,Surprisingly good! It’s actually possible to watch movies on it! Works so well. If you’re playing a movie it might start out a little laggy but it seems to sort itself out. Fantastic for PowerPoint or images but not too bad for videos - however for normal use you’ll still need an HDMI cable.
5,Very simple to setup and get working.  There were a few artifacts at the beginning of YouTube videos but it quickly caught up and had no further issue.
1,This adapter does not connect for me.  The adapter show it's ready to be connected but my lap top does not see it.  After spending several hours without success.  I exchanged the item with the new one.  The second new adapter has the same identical on my laptop.  I tried on my second computer it recognize the adapter but could not connect.  I tried with both adapters and with all 3 TV's and I could not connect.  I have asked my IT department for help without success.  As an Engineer with over 40 years of experience in Problem Solving I could not get it work.  Save yourself the BIG trouble by not buying this adapter.  I feel bad buy returning both adapters as AMAZON was so wonderful in making the return process so customer friendly.
5,Great display adapter in my opinion I tried action tech version runs hot  no longer supported  . Microsoft product easier to install and displays on you TV or monitor with HDMI input clearly
