rating,review
4,Sept 20 Update:  I still like this speaker but noticed two issues that annoying busy signal (think phones) sound when the charge is running low ... I dont mind a beep or a tone as long as it's every so often (not like every 10 seconds .... not saying this speaker does THAT ) .... but this is a LOUD tone and it has waken me up out of a dead sleep it's so loud ... I rather a low tone and if the battery goes below a certain level ... it JUST shuts off or something.The other issue ...admintting I got mine used-like New is that from time to time it disconnects for no reason it seems and/or a odd ... I dont know how to describe it ... but ... hit your desk with your fist ... not hard but ... if you do you hear the occasional sound it make from time to time ... like a random "thump" in the middle of anything your listenhing to ... again MAYBE that is just mine .. the audio still plays and sounds good ... but I am not sure what is going on with this sound that I ADMIT doesn't always happen but it has happened "enough" to make me know it's not a one time only thing.One other thing I have noticed is that when i move this speaker (not like I move it when it's connected to something often) .... it's like it starts to disconnect even if it's VERY CLOSE to what it's connected TO ... none of my Tribit or my one Oontz speakers do that.  It USUALLY doesn't lose the connection entirely ... but it does cut out a bit when this third issue I just remembered happens-------------Update after a little bit more usage - I have to say mainly using this at night at lower to medium volumes at most and alot for listening to some relaxing genres of music ... the details of the lows mids and highs all get lost at really low but audible volumes but I'd expect that with any speaker.Comparing this to the Tribit XSound Surf and my Oontz Angle 3 Ultra ... there is NO "Boomy" base but sometimes that is not a bad thing ... If i turn the volume up from say low to a low-medium level and then even say to a medium level the details come up more and ... well if you are a "Bass head" you may want to look elsewhere if you listen to alot of bass heavy stuff and need that "extra thump" that something else may offer.  There IS bass dont get me wrong and for the genres I always was planning on listening to this speaker most with ... there is a good balanced sound including bass.Not to get too off topic but it's like a "dish" (food) with your favorite ingredient in it ... even if it IS your favorite there is a "too much" level.  SOME other speakers can even reach that level (ingredient in this metaphor = "bass") where the bass muddies up the mids and highs.  While MAYBE I wish there was a touch more bass by default .. I rather it sounds like it does with a little "too little" and I can try to EQ a little more back in.I am not saying no other speaker sounds this balanced or clear but ... if you get this DOSS Soundbox ... you are getting a clear balanced good sounding speaker.  One more thing ... i said this in my review and i still mean it.  The bass is best when you are at least generally in front of the speaker at while at most at a medium volume level ... I cant say this is the case for full volume but sometimes say if you are in the back of the speaker or the speaker is really low compared to your head ... the bass can sound even lower than if you are more level with the speaker.  I did notice this with the Soundbox Touch but to a point most ... especially "non-360 degree" speakers (typically round with a speaker inside facing in each direction) ... probably have this same "issue"One more thing I forgot to mention (I think) is that late at night while i am glad I do not have one of the Soundbox Touch's with the voice prompts just say tones and whatnot ... I noticed that unlike some other speakers like when it turns on and it makes that sound signifying it's conected .. that is "loud" ... during the day it's no problem but like i said late at night it can seem a little bit loud and it doesn't seem to be tied to what volume level you have set on the speaker (I know i dont have it close to full blast.So right now I'd say my "Cons" with this speaker are the (A) lights not having a time out before the go off (say 20 seconds or something would be fine by me ... I am not picky or anything... I dont care if i even control it ... heck .. if i am listening for awhile 1 "full minute" may seem like a little too long but really even that'd be fine ... they are nice lights I just wish to say save battery and use it late at night that there was an option to turn them off while you dont need to see them... and (B) the prompt noises while better than video revies I have seen of the voice prompts the earlier models may have had ... seem loud all the time ... I'd say at least make them tied to the speaker volume for instance ... if you have your speaker at 25% volume you dont have a "100% volume" audio notification that you are connected.Really these two things CAN be improved but overall (still haven't say fully ran the battery down and recharged it so i cant speak on battery life) I am VERY happy I bought this speaker.  If i really want to be nice to DOSS I can say those two issues are me "nitpicking" .. even if it could use a touch more bass at times I will not even include that in MY "con" list overall now ...The look and feel (say with the touchpad lights) I dont see on other brands and ... I do like the overall look and functionality.  Still glad I purchased this.... if the lights always being on is not an issue for you (it's just bright depending on your use-case ... that's all) ... and if you are not a "bass head" that loves tons of extra bass in EVERYTHING ... I still say so far I'd TOTALLY recommend this speaker.I too have noticed that just like one of the "top reviewers" said ... when the battery gets low the speaker makes a loud buzzing sound similar to a landline phone (non-wireless i mean) busy signal ... it's pretty loud and woke me up out of a dead sleep yesterday ... i dont even mind the sound per-say but the volume was set low (listening to light jazz at night here) and the buzzing was REALLY "loud" when it started.  this is annoying.  nothing that makes me "hate the speaker" but this should at LEAST  be equal to the volume level the speaker is set to ... out of nowhere hearing a loud notification buzz like that is jaring to wake up to.Tip: I knew this already but somehow tricked myself ... I knew due to other reviews ... when charging the red "led" is UNDER the cable .... the LEDs in question are NOT the lights on top... i just went to charge mine and didn't see any light and somehow forget I read about the red led being under the charging port.------------Original review (below):Background: I have a few BT speakers now including a LFS (ASIN: B07BPXJYQY) Item model number 180; a Braven BRV-1 and three speakers new to me which include a DOSS Soundbox Touch a Tribit XSound Surf and an Oontz Angle 3 Ultra.What I value (even knowing this is in the budget range and even just in video reviews I know some higher end speakers say some JBL’s are overall better at this) is sound quality and really balanced sound.  I don’t mind a good thump to the bass of a track when it’s suppose to be there but I am not a fan of headphones/speakers that add an extra thump when it’s not suppose to be there (say Smooth Jazz or Classical music that sounds like it has a subwoofer-like rumble for no reason).-------------------------I also have to note that I have given this speaker a few days and listened to a few different random genres and tracks I’d normally listen to while testing but I have not even had this speaker long term.Without spoiling this review right at the start I will summarize by saying even with “Con” or two…. This speaker was one I saw pop up a great price and I wasn’t initially planning on getting but what I see of the maybe $25.99 to $27.99 “regular price’ on Amazon … IT IS worth even that if you ask me.Pros:- Build Quality – I am not going to act like I opened it up and looked at the circuitry and all of that but this just feels “heavy” (vs sometimes you get a tech product and it feels like there is nothing to it…they could be tricking me somehow but everything on the outside and that little weight it has … I feel like the company DID NOT cheap out on stuff trying to just save $$- Sound Quality – OK I have to admit I am impressed with the sound quality of this speaker though I have to admit anyone considering themselves a “Bass head” may be disappointed.  I have seen some reviews on this and even one video review comparing this to a JBL Charge 3 (a speaker that in every video test/review I have seen the JBL Charge series seems to be the best when put against almost anything in this lower price range…. I mean it was not really a “fair” fight)Bass wise I value balance but at FIRST I thought this speaker lacked bass but not anything terrible … something you could “EQ” back in.  I then used an EQ app and it has an extra (separate from the EQ itself) “Bass Boost” slider that is basically like a half circle.  I got to about 1/3 of the way up before I didn’t like the sound as much… the extra bass I added sort of made the mids and highs not as clear… so then I turned the bass boost off and just used EQ settings I’d use with any other headphones or speakers … and honestly I thought “This IS tuned just right bass-wise already”.IF YOU really need that extra “thump” more than a more balanced sound… than maybe out of the speakers I have I’d say look at the Oontz (even if not the Ultra).Bass wise I also noticed something else…. With the speakers facing forward if my head is not say somewhere near being “in front” of the speaker… say the speaker is on a low coffee table vs where I am sitting … the bass seems lower … if I am SOMEWHAT on the same level as the speaker… the bass  like I said a paragraph or two ago still isn’t what is in some other speakers … but the bass levels in my testing are “just right” at that point …. balanced enough anyway.Mids and Highs I will not say are clearer on the DOSS Soundbox touch than the others but I will say they are balanced and clear .. RIGHT where I like them.  Other than the Oontz Angle 3 Ultra which is not “bad” but does sound like the bass radiator is trying to be too “boomy” sometimes (remember what I said about say Classical and Jazz) which makes the Oontz one of my least favorite that I have for sound quality alone … This DOSS is on par with any of the others but like I said so far I am not saying I can say one of those others is “better” than another.Actually I can also say this not only about the DOSS but the Tribit Xsound Surf and the Oontz too…. I LOVE the sound quality of the LFS Speaker.  It was my first BT speaker really however an issue it has is why I started to look for a replacement/alternative ….especially when connected to Bluetooth my speaker makes a medium volume electrical hum/buzz sound … PERHAPS my LFS is defective but whatever that is not the point.  At lower volumes if I listen closely to say this DOSS Soundbox or the Oontz I can hear a faint “hum”/”Buzz” but I REALLY have to listen close… meaning this is no problem to me in these speakers. (I have least experience with the Tribit so I excluded it there but I am sure it’s the same).If anything like I said the Soundbox could use a TOUCH more bass but in my view … TOTALLY “EQ”-able (Equalizer).- Light (Pro and Con)I really like the lighting and I’d say it’s mostly a PRO… they are bright and clearly easy to read.  The ONE reason I mention “con” is just a suggestion to DOSS and a note to anyone thinking of buying this considering certain use cases.  The lights on the top DO NOT turn off when the unit is on .. now in a dark room this can even perhaps add ambience or something but I would just like to see a timeout.For example have it go out after maybe 15-25 seconds and have sensors (even if not the entire way across the top) where if you have your hand SOMEWHERE near the buttons the lights come on so you can see what you are pressing in the dark.  I cant say how much this may effect the battery life with the lights always on and after looking into it others have asked the same question wanting the lights to go off at some point.Not to get off topic but apparently in I think some earlier releases of the Soundbox Touch there was a voice prompt when doing certain things and I saw some say “I rather not have that” or “I wish I could disable that” .. and on my unit there are more beeps or tones and no voice.  I say all of this to note that I think DOSS takes feedback from people … so in maybe a “next gen” Soundbox Touch there will be a light time out sort of feature.  I do give credit to DOSS for this.- ButtonsSo far I’d say the buttons are all REALLY responsive without being too sensitive.  For example with the volume … I found that if my finger is going clockwise or counterclockwise and “slips off” the blue… the controls still work… I don’t have to lift my finger up and make sure it’s always on the blue…. It’s like “yeah I know you still want to raise or lower the volume .. .no problem”.  Not counting once where I carried the speaker while it was playing having my hand cover the entire time hence where all the touchpad buttons are … I have not had mis-clicks where something happens when I don’t want it to nor have I had issues where I have to hit any buttons repeatedly because it didn’t recognize the press.- TF Card slot – Other than the Braven and the LFS with the buzz/hum issue … The Oontz and the Tribit Xsound Surfs do not have a TF Card (note: old name for a micro SD card that you can buy “everywhere” … that is what TF Cards are I see some users are confused if they are some old propriety  card or something .. nope .. just another name for microsd cards).  This is not a make or break think for me but while I can hook up one of my mp3 players and use it’s battery up too with a 3.5mm to 3.5mm cable to these speakers … the fact I could just put a microsd card with music I have on it already directly into the speaker… I really like that feature.- Bluetooth – I cant say this is the best BT or anything but for me once it’s recognized by any device I tested and paired up it connects fast after that… just turn the device on … speaker on and it’s seen/connects pretty fast in my view .. .no problems there.----------------------Summary – I would note again “bass-heads” should look elsewhere but if you have your expectations set right (aka this is a budget level speaker)…. You want good “bang for your buck” balanced sound and even a speaker that has features and a look (say the lit touchpad controls) that I have not seen in other speakers at this price range… I totally recommend this speaker.  I think even with all of my comments on the bass… overall quality wise … this speaker “punches above it’s price range” even if it cant be on the same level as say a JBL Charge … though I have to note you ARE paying a bit more for the JBL in that case.Again … I totally recommend this speaker even at say $25.99 to $27.99 regular price (more than I paid for mine for the record)----Addition when posting review to Amazon – Sound quality I gave this a 5 out of 5 stars but really I’d say my true rating is a 4 to 4.5 out of 5 (because of that above 4 part I bumped this up to 5)… I say that just to note this is not “the BEST SOUNDING SPEAKER EVER” … don’t get me wrong… I LOVE the sound but some positive reviews I think overstate how good some of these speakers in this price range sound.  They just go a tad overboard to me and that may make some people feel let down when it’s not “perfect” sound when they get their product based on the reviews they read.
5,I love the size if this speaker..The sound quality is amazing & I listen to my music loud..It connects beautifully The first time & automatically every time afterI love the SD card option..Thats an amazing addition to a speaker in this price range..The battery doesnt last as long as Id like but I run my speaker for 7-8 hours at times..Thankfully it works while plugged in & there is no difference in sound quality...Ive had many Bluetooth speakers at a wide range of prices..You do not need to spend hundreds of dollars to get a great sounding speaker..This one does not have a strap or case so I cant say it would be the best for portability like camping etc..I use mine at home and for that its perfect..Ive also taken it with me when I stay in a hotel & its the perfect size & shape for packing & with the sd cardthe music doesnt depend on anyones cell phone!
5,First off the product is great - performs as advertised.  But that's not what I found surprising.  In today's world there is essentially no customer service - long wait times having to hear that "their menu has changed" and employees most often located across the world in a country that barely uses English.  Well not at Doss.  I experienced a minor difficulty and called them but realized their service department didn't open for another hour.  To my shock April a bright and courteous young lady called me back (I didn't request this) to see if I needed help - before they opened!  Solved my issue in two minutes and off I went.  April was outstanding and I will go out of my way to recommend Doss for quality products but mostly for exceptional customer service.
5,Not good!  Here we go again!!  Have this since 2019 and i biught my second one because the same thing happened.  I didn’t return or complain because I just thought it wore out!  I had to write!  The piece wear you charge it seems to wear out! So it cannot be charge! No red or green light! Loose and not connecting.  Insane and not good. I am not buying another and I really feel I should be compensated!!!  Such a shame because it was a very nice sounding product!
4,First of all for the price the sound from this speaker is great. I wanted a speaker that had an SD Card Slot Bluetooth and good battery.The 'plus' is the Aux Input.The 'minus' is it's not waterproof.What I didn't know I wanted (kind of assumed it would have but didn't think of) is shuffle mode. Every time I turned it off and on it would play the same songs...in the same order. That's all well and good for long listening sessions but I use this for outdoor work grilling kitchen cooking...usually no more that 40 minutes at a time.But reading other Amazon reviews they indicated that you can email the company for a firmware update to offer shuffle play. It wasn't on their website and the downloads there didn't install...but reaching out to the company (support@dossav.com) did (with a couple back and forths) get me the info needed (firmware attachment and instructions) and it worked well.All that said BIGGEST CONTINUING GRIPE: So with the firmware update it does play my songs shuffled...but it still always starts with the same 5-6 tracks. It's still recent enough that I haven't figured out the pattern but my hope is that this would play my SD Card tracks shuffled and not revert to the first  track (of the albeit shuffled tracks) every time I restart it...I want to hear my music without having to have a 3 day-straight listening session.Overall with that for the price and with this audio quality it's worth it (if it was an $80 speaker it'd be 3 stars).It would be even better great if:-You could have it default to playing SD card (or bluetooth) as you'd prefer...but now when you turn it on it defaults to bluetooth which is not my preference-It would not repeat songs when turning off and back on...just keep playing (I point to my Anker Soundcore Mini which is fantastic at this and really what I'm going for with this device)-It was waterproof. Yeah that'd cost more but it'd have everything...it's difficult to find a good speaker that plays SD cards and is waterproof.
5,I love this speaker!  First of all great color so pretty but more importantly it's a terrific speaker.  It's easy to use and I have not yet been able to wear out the battery; not that I am trying - I'm just surprised that it lasts so long.  I was painting my bedroom the other day - six hours - and the speaker was on the whole time.  Really really like this little dynamo.
4,Good styling and looks nice. Sounds not so great. This is sufficient for use in the classroom but I wish it had more bass tones. Not a bad purchase for something to keep at school but if I were buying for home I would spend a little more and get something nicer.
5,Nice speaker BUT...it poops out after a year. I don't recommend it. I'm now purchasing from another company 11 months later. It refuses to charge. Useless speaker now. Very disappointed 😞 I'd give it all 1 stars but I did enjoy it random times during the 11 months I was able to use it. Save your $30 and buy cheaper!
5,Well this is my 2nd. Like another review mine went wonky after 3.5 years. It would not turn off or connect. It would just beep. We could not figure out where the sound was coming from since it was inside its case. It just came on my itself. It was a big mystery for a while. Aliens?? Ha!!  There had been no problems before.  Because the sound quality is so absolutely AWESOME!!! I just order another. For 29.99  I just had no choice.  That is pretty cheap for 3 years. Buy it!!! I got  the bright turquoise blue again. Still gorgeous.
4,I bought this unit 3.5 years ago and until four months ago it was fine. Now the device never turns off and constantly tries to connect to Bluetooth devices. Even after I hit “Forget this Device” the DOSS still wants to connect which makes the which makes whatever I’m listening to stop playing . The speakers go so far as to  stop my car’s radio playing as the car decides which device to connect to. Also the speakers do NOT TURN OFF. They will stay on until the power runs out. I hold down the power button which makes the lights blink and it makes the on and off bleeps repeat over and over BUT it never turns off. For 3.5 years the speakers were fine for listening to news and podcasts at home. Alas no longer. This DOSS speaker was fine while it lasted.  Time to get something new.
