rating,review
5,Its mostly put together right out of the box. There's a few pieces that you'll need to attach. I feel this stand is very customizable depending on your playstyle. Its very sturdy and when I'm finish I can just slide it to the side. I have lots of extra screws that I didn't need to use. I just put them in a small bag and put them up for later. The instructions are not the greatest but it only takes a little common sense to figure out what screws to use for what device. Very happy with my purchase and highly recommend this product.
4,I tried other brands before and they were a pain to assemble and very flimsy. This one is super easy and solid. I'm only confused about this additional gear mount. It's literally useless frankly. If you attach it to the bottom of the stand as it should it will basically be in the way of your chair or your leg making is unusable unless you are a child.  The stand itself is just too narrow and anything sticking out from the bottom of it will end up blocking your leg.  If they wanted to do it right it had to go sideways first and then towards the driver. So I ditched it and just used the one that attaches to the side of the wheel stand.
5,I recently got a force feedback wheel and the force and vibration was way too intense to be desk mounted. It would literally shake my monitors and desk a bit so I needed something to get it off the desk. I was looking for something sturdy comfortable and easily movable if I wanted to sit normally and play keyboard style games.This GT Omega wheel stand fits the bill perfectly. It’s built extremely well and has everything needed to mount my G923 wheel and pedals plus all bolt holes line up. It does say foldable but I just slide it out of the way when I need to sit at the desk and slide it back when I’m playing a driving sim game.All in all for the price this is an extremely well built and though out design that will make your sim experience more realistic and fun without spending a crazy amount of money.
5,Fantastic quality for the price. Very adjustable and came with 2 stands for both gear shift and handbrake. The max height is like a computer desk. The pedal mounting plate tilts up and down and so does the steering mount.The instructions are bare minimum but the build is fairly fool proof. All the allen screws have the same thread pitch so it's just a matter of figuring which style goes where. There's a few with lock washers a few longer ones and a bunch of regular ones.All in all I couldn't be happier. It's very apparent that a lot of thought and care went into the design and build quality.
5,This is definitely a quality Sim Racing stand for the price has a lot of different adjustment settings the building part was straight forward BUT the instructions SUCK! they are bare bones if you don’t really have skill in building this might take you a while to build even tho it’s very simple other then that it’s a great product plus later on down the road you can add too this Sim Setup one reason I got this!
5,Absolutely amazing! I also  got the shifter for it!
4,The mount is stable unless you want to raise your wheel so it’s farther out. If you do that it will become shaky. You can extend it a few inches before it gets to a point where you can hardly do anything due to the shakiness. Also the instructions are pretty bad we ended up just resorting to pictures in reviews to put it together.
3,Great wheel stand and its very sturdy but can’t even use it. Make sure you scroll through ALL of the pictures or you’ll be paying $100 for just a wheel stand. Partly my fault for not reading the description. Don’t make the same mistake I did. I honestly don’t see why the first picture can’t just be the whole thing when you buy it. Everything is sold separately now days. Make sure you purchase everything separately or you’ll be looking dumb like I did.
4,Don’t get me wrong this is a great stand for the money.  It’s sturdy tough and fully adjustable.It has many predrilled holes for placement of equipment.  It’s working great!My issues with this unit are; to narrow.  It could have been a bit wider no adjustments in this area and since this is for auto racing I move around a lot hitting my legs on the bars. (I added some padding)They state that it easily folded up not true.  To adjust or “fold” the unit you must loosen two wing nuts then the steering wheel looses all support and drops to the floor.  It did fold up.  But this is the same process for adjustments in the steering wheel causing a weight issue.  Basically any adjustments you want to do with the steering wheel takes two people.Last is the feet.  They provide 4 round discs that thread into the bottom.  They are good for leveling but not for keeping it place on carpet.  I purchased some casters with leveling stands.  That way I can move it when needed but when it’s flat it does not move.  I also needed it elevated about 4 inches to match the height of my chair.  I don’t sit on the floor. Just raising the pedals and wheel doesn’t make it match upI may be pickier than most but I do virtual reality simulation racing and things have to be like they would be without the cost of reality. With some alterations this does great!!
5,Bought this for my son along with steering wheel  pedals and shifter.HEAVY box.  Was easy to set up and adjust.  Instructions have pictures  not many words. I would imagine it would be a little challenging for those that are not mechanically inclined. Only issue I had was changing sides for the shifter stand.Easy to attach the steering wheel shifter and pedal plate to the stand.  Screws for attaching came with the stand and they all fit great. There's several Allen keys 2 small wrenches  a bunch of screws  nuts and washers.  Everything you would need to attach your preferred equipment.Very pleased with this purchase.
4,First things first: I did a considerable amount of research on what would be the best stand for the racing rig I wanted to put together and GTOmega's was the best reviewed and most affordable for my price range.When I got it I found it came almost entirely pre-assembled in the box and simply needed some adjustments to fit my particular measurements and driving style. Having had it for a week of moderate-heavy use now there's been no apparent wear on the fasteners the pedals have remained firmly in place and the steel used shows no sign of bending warping or twisting at all.BUT...if there's ONE issue I have it's that the assembly instructions are rather vague about which bolts/washers/nuts they offer in a rather large bag of them need to be used to make sure the stand is 100% put together. Granted the types of fasteners will vary depending on the wheel you buy and for my Logitech G29 I only needed two bolts for the wheel and two more for the pedal platform.If GTOmega updated their instructions (which is a single page to begin with) to have a diagram of what fasteners you need for the compatible wheels that fit the frame it would answer a lot of questions that first-time racers would have and it would only enhance what is a VERY solid and well-constructed racing platform. That's the only reason I'm not giving it a five-star review.Seriously if you like racing games and are looking to switch over to a wheel-based rig this is worth the price.
5,Big fan of product. More impressed by the quality and how easy the set up was. 10/10
5,Wow! That is what really comes to mind. I used to love going to the arcade as a kid and playing on the driving games. The pedals the steering wheel the shifter all greatness. I was getting really tired of trying to race with the regular controller it just felt like there was something better out there. When Covid hit I really got into racing because my company went 100% virtual (it’s about time) and I went from putting 600+ miles a month on my truck to 50. So MOST of my driving was in front of the TV! I went ahead and bought a steering wheel shifter and pedals to get that “virtual” feeling. I quickly learned how sturdy a card table was. NOT. I tore that thing up in about an hour. I finally bit the bullet and purchased this stand. INCREDIBLE QUALITY!. This thing is a ROCK! It took a few minutes to put it together but after I got all of the stuff on. It and situated it was MAJESTIC. You know I got the “None of the other kids in the neighborhood have this” feeling.Now when I race it’s an event. I usually do 3-4 hour marathons on Forza and my scores have never been higher.I absolutely love this stand!
5,Looks good holds up to the stress of the tru force steering wheel. Adds great stability. Pretty easy to assemble as it arrived mostly pre-assembled.
5,I reviewed all of them on net.  I finally decided on this one but the complaints on lack of directions worried me a little.  All I can say is it comes almost completely put together and if you can figure out the rest well maybe you shouldn't be left by yourself much.  It is adjustable for different leg and arm length and overcomes every complaint I read about others stands.  I can't say enough about it.  Just perfect in my opinion.
4,This thing is really good quality and helps a lot but personally I would say spend a little bit more money and get one with a chair. This thing also takes up a lot of space and does not break down easy. I use the Logitech G923 on it and it fits great but just so big.
5,It is what it says it is. Easy to set up and use. I'm using the PS5 HORI RWA and with the exception of the pedal no way to actually mount them for now the steering wheel mounted perfectly. If you're wanting to stay cost effective but enhance your driving sime experience you can't go wrong with this.
4,It’s a solid lightweight slightly adjustable wheel stand. You have plenty of options for where to put your gear sifter if you have one. There is plenty of mounting points for both the week and pedals. I’d recommend if you need a stand have some space.
