rating,review
4,Born in the 90s don’t 100% remember how to open the adapter plus i think mine had a slight defect because i had to carefully fiddle with it to open it because the mechanisms that is supposed to easily open it malfunctioned. I recommend patience and optimism because things didn’t work the first try but did function properly eventually. You need to be super careful because one tiny broken piece will ruin your investment. One vhc tape got caught inside my vhs player. Was carefully recovered and the damaged was repaired but i don’t blame the adapter it’s the technology in general. Handle delicately best price i found and it comes brand new in original packaging in a timely manner
5,I love being able to watch all my home movies now. could not find my original adaptor.  This one works great . you need to have a battery in it to open the door.
4,Works pretty well. It is kind of heavy but it works.
5,The product is excellent service was very quick and no problems whatsoever.
5,I have a bunch of old VHSC tapes from when my kids were small I am transferring them to DVD and this worked great to play them.
4,This must be an old product because it keeps freezing when placing and removing mini cassettes. It's scary because sometimes it seems as if it might break the film and precious and unrecoverable old memories are on the tapes. When the cassette is finally in place it works well but wish they just made new one of these. It's obviously new but it's been packaged since the technology was invented
5,I love this vhs because i can see my mini videos of my kids when they were little but i wish the people who work for this company pay more attention to what they are doing because i had to go look for my package on another address instead of mine and this is not the first time it has happened to meI don’t know what the distraction is but they should focus on everything they are doing because whatever they’re delivering can be more important than this vhs and then end up in another hands…..just my opinion!
5,It worked perfect for our old home videos thankful to have it!
5,EXCELLENT item price & service. THANK YOU @ Video Camera Center & Amazon. I wasn't sure these were still available & GLAD I found a replacement for my broken adapter.
5,Works great
4,Works as expected
5,Súper
5,Good product. Easy to use
5,What a gift for my family. I had several small children that I would video lots of times. I no longer have the camera but I have the tapes. This little adapter I now have allowed  me to see my children playing. They now have adult children. I thank you so much for quickly getting this to me. My parents are no longer alive and I am a grandfather. We all shed a thousand tears together after 32 years! Thank you so much!  KMLewis
5,I purchased this because I lost the other adapter I had used for my VHS tapes lost it in a move to a new apt.  This one arrived quickly in good shape not damaged or anything.  Works fine.  Have used it for numerous VHS tapes since receiving it.  It requires one AA battery (not included).  Keep in mind with these adapters that if the AA battery you insert is not brand new then the adapter might act or sound slow it works based on how good the battery is so if you notice it acting this way it more than likely is the battery running out of juice.  I placed an older AA battery in it which I had lying around & it's a bit slow so I need to buy a new package of AA batteries this is common with ALL VHS adapters.  Aside from that it was slightly overpriced but I needed it badly as I'm converting all of my VHS to digital.  When I first bought my small JVC camera in the late 80s it came with one of these adapters they cna last a very long time if taken care of properly.  The door for the tape is fragile but yrs ago I was able to still use it even if the small door was broken off.  So far satisfied with this purchase.
5,When it was delivered I inserted battery and put it to work right away without problems
5,Works great and it will save a lot of money recording your own tapes instead of paying someone else. My only gripe was there were no instructions with my product. I figured out that you must put in an "AA" battery to do anything with this case. The instructions are on the product description however so read those before you force anything. The case is plastic but it feels solid. I've recorded 15 tapes so far with no issues and no sign of wear to the unit.
5,This casset does not come with any instructions which makes it a little confusing to figure out at first. You will need one AA battery that will be placed on the left side of the casset. After placing the battery in there is a “button” that you slide to “unlock” the casset and it opens by itself. You place the tape inside and close it and it “locks”. Then toy place in the recorder as usual. Hopes this helps anyone in anyway. I enjoy mine & I have no issues with mine so far!
5,Product was a good value
5,Although there weren't any instructions with it it was pretty easy to use.
