rating,review
5,Buena calidad el producto llego rápido
5,I print hundreds of badges for my job and these worked great and got here quick. Couldn't be happier.
5,I work for a small college and we make student and special event badges all the time.  These are dye-sub ribbons for the badge printer.  We are also looking to put more visual elements on the badges.  The nice thing about these cartridges is that they use the same amount of film regardless of how much stuff is on the badge. Each cartridge is good for 250 cards so it's easy to determine when we will need to have them on the shelf.  If the film is a little loose when you take the cartridge out of the box you will need to tighten it by manually rolling the middle of the take-up reel.
5,Great product and quick delivery
5,Dude these are great! I got tired of getting ripped off by our local security system vendor. Like 5% of the cost seriously ridiculous.
5,Ribbon worked great with the 1250e!
5,I am ordering the FARGO 45000 from Amazon all the time.Cost is great! The product works great! It is always shipped on time!
5,Great product for ID printer.  Make sure you order the correct model.
5,The cartridge is really easy to install.  So far I have had no problems with it.  I would recommend it to anyone.
4,good product
5,Love the easier to install ribbons.
5,We have an ID machine that we use to make I D cards.
5,Price and shipping excellent.  Received in quick fashion.  Thank you
5,Shipping was quick. Product worked with our ID printer.
5,Worked like a charm...  I am re-ordering today.
5,Fast Shipping.  Description had great detail
5,Great
5,Great price fast shipping
5,Exactly what was needed.
1,It's printing pale prints and sometimes totally bank. Called HID and they told me it's defective ribbon. I got set of two and both of them are defective.
