rating,review
4,I am going to give you all of my thoughts on this $850 headset. For some background I am a CFI with roughly 1500 hours flying C172s and PA-44s.  Virtually all of those 1500 hours were flown with my first inexpensive headset: a Pilot USA 1171T with passive noise reduction. A few of my comments on the Lightspeed will be in comparison to my old Pilot USA which should be similar in quality to the basic David Clarks. So here's my review of the Lightspeed Zulu 3 aviation headset:Build Quality:This headset has a solid build quality but it is not necessarily something that is going to blow you away. Yes there is a fare amount of metal but there is also plenty of plastic. However this is expected as an ALL metal headset would undoubtedly add to the weight. Compared to my old headset the weight is similar which is a plus given this headset's added capabilities (such as active noise cancelling). Adjustments are done by simply pulling the earcups down and settling into pre-set notches. This is a little less desirable compared to my old headset which used a tightening knob and sliding rail (no preset notches which allowed perfect precision of your setting).Fit & Comfort:I find this headset very comfortable. The earcups are soft and form nicely around your ears. They create a fairly good seal and maintain a decent seal even with thin framed sunglasses on. Given it's light weight I've worn this for hours on end without fatigue. I am a bit skeptical on the longevity of the ear cups and head cushion as they feel as though they are thinly covered with a fabric like material. I think Lightspeed states they view these as wearable aspects of the headset and recommend replacement every year or so. I certainly hope they last longer than a year. In my opinion anything less than 3+ years is unacceptable. My previous headset's earcups and head cushion are in mint condition after 7+ years and 1500 hours...and those were also very comfortable and good quality. Time will tell.Audio & MicrophoneThe quality of the microphone and audio is...average at best. This is one of the most surprising parts of this headset. When I say this I am referring to my own audible voice as detected by the microphone (and heard in my ears) and the audio quality of others in the cockpit/over the radios (again as heard in my ears). To me this headset does not produce better sounding audio than my $125 old Pilot USA headset. To clarify the ambient nose is greatly reduced in this headset compared to my older passive headset. That is because this headset utilizes Active Noise Reduction (ANR). However ambient noise aside the actual quality of the sound produced by the earcups is just OK. It's more than good enough for what it's needed for but I was disappointed that it was no better (and perhaps slightly worse) than my cheap headset. Perhaps this is not so much an insult to Lightspeed but a massive compliment to Pilot USA. I don't know. Also concerning ANR you should know this headset is terrible the moment ANR is disengaged (via the inline control module). The ambient noise is terrible and the audio quality sounds significantly worse. My old headset was ONLY passive and did excellent in this area. The Zulu 3 is terrible as a passive headset. Of course this is probably due to the fact the headset was designed to utilize active noise cancelation so I suppose the amount of passive sound deadening could be significantly less in this headset than in my old. Nonetheless it's still surprised me that my $125 headset could wipe the floor with this headset the moment the ANR was turned off.Microphone Boom:This is actually my single biggest complaint about this headset. As other reviews have noted the microphone boom is a flexible arm that has no extending ability. It is as long as it is and will not get longer. This makes it difficult for the mic to reach all the way around your head/cheek and be positioned in front of your mouth. The best I seem to achieve is to reach in front of the left third of my mouth. If I'm ok with the mic being pressed firmly to my lips I can just barely make it reach the middle of my mouth but that is far too uncomfortable and makes for poor audio pickup. Make no mistake I do not have a big head...at 5' 7" and 150lb my head is average. But I find myself fiddling with the mic constantly searching for a sweet spot. My previous headset (and MANY headsets) have a microphone boom that can extend to various lengths. I am still slowly becoming accustomed to this headset so perhaps I will find the sweet spot. I have also adjusted the mic gain (under the foam mic piece there is a plastic cap covering the gain adjustment) which seems to help the situation.The Inline Control Module:I feel that the control module is large larger than it needs to be. Not only can this be cumbersome in the cockpit it can be difficult when it comes time to store the headset away after a flight (more on that below with the case). Practically speaking there is no reason the module cannot be designed to be roughly 25% smaller. The volume adjustment bars also move extremely easily making accidental volume adjustments very possible. The module does include additional settings but these are made in the battery compartment with tiny "dip" switches. This isn't as big a deal as these setting are not ones you'll be adjusting all the time. Be sure to check them though as by default one of mine was set to mono audio when the audio panels in the aircraft I fly are stereo.The Case:The included case is simply too small to properly this the headset. This or the control module and the cable protruding from the earcup need to be redesigned. Check the attached pictures and you'll see fitting the module is awkward as any place you put it places stress on the cables on one end or the other. Similar stress is placed on the cable protruding from the left earcup. With pressure on these points a failure is much more likely. The case is very sturdy and otherwise great.So those are my thoughts. Despite its shortcomings I am keeping the headset. I got a good deal on it. However if I had the money I would most certainly spring for the Bose. But with time I suspect I will become fully accustomed to this headset. Overall it's a good headset....I just feel the price should be something closer to $600.
3,Sadly the Zulu3 has turned out to be a big disappointment for me.  When they work they are awesome everything everyone says comfortable excellent sound etc. is accurate.  Unfortunately however they have not held up for me requiring warranty service two times now in 3.5 years.I'm a professional pilot flying 80+ hrs a month.  They worked flawlessly for 2.5 years but one day popping and clicking began in my ears any time I moved my jaw basically talking it was extremely annoying and made it difficult to communicate & concentrate.Contacted Lightspeed to return for Warranty service.Cost of shipment to them is on you and they return the way you shipped IOW if you send Ground they return Ground use 2-day they use 2-day overnight well you get the idea.  They promptly fixed them and as a courtesy replace the ear seals head pad and mic muff unfortunately something I had just done a month prior so that purchase was wasted!When they came back the repair order (RO) indicated they replaced the mic boom and a speaker and something about internal wiring.Well 9 months after getting them back my left ear started popping and clicking the other day.  Remembering the RO notes I started gently pressing the mic boom on the headset cup and issue would come and go and actually get worse where the left ear completely cut out which indirectly was a blessing as it stopped the annoying pop/click!Contacted Lightspeed during one of my stops and they setup a quick turn RO again the issue for me is I don't really care about warranty I care about working!  Last time I sent them ground and used a cheapo backup headset for my 8 day flying cycle not doing that again.  As I only have 6 days off between cycles to get them back in time this time I paid to overnight them which cost $130 so not digging Lightspeed right now!Bottomline I regret not considering where the manufacturer of the product is.  I live in NH Lightspeed is in Oregon.  Ground shipping across country takes a week return another even if they repair promptly you're without a headset for at least half the month nevermind the hassle of packaging and running to a shipper too.Warranty is great and all but a design that is robust and doesn't require warranty service is far more important to me.  Seems there's a weak link in the design of the Lightspeed mic boom.  I consider myself to be one who is easy on my equipment.  I wear it I take it off and place it in the cuby next to my seat during stops nothing unduly harsh.All this said I have a new headset on backorder from a local to me manufacturer (not over hyped over priced Bose) so in the least if I do require warranty service it's going the next state over not across the country!
5,This product is incredibly high quality. The noise cancellation is incredible it’s unbelievably comfortable and the volume controls and Bluetooth features work great! I wouldn’t buy another headset for flying
5,I had a Bose set on order with no delivery date given and I could no longer wait so I ordered these once I learned my instructor had the same set and was happy with them.  The set works well.  My head is a bit small so I have the free larger padding on order to be received this week.  This should prevent the occasional slippage I experience today.  Overall the price for this was less than Bose delivery was next day and I think I ended up with a comparable product.
5,Noise cancelling won't make it completely quiet but you don't really want that.  Its good to hear the engine.  It does a very good job.  I recommend turning it off for takeoffs though.Sound quality for music is very good in my opinion but I haven't used that in flight.  When noise cancelling is on music can sound a little "funny".  Almost like digital garbling but it's minor.  Maybe it's a quirk with my particular headset.My instructors headset gives off wind noise but my headset gives off no wind noise.  I sound really crisp and clear.
5,I have had my pilots license for several years and have about 150hrs of flying time. I have wanted a quality headset for years but never justified the expense. I finally decided to pull the trigger and purchase this Zulu3 headset and I am so glad that I did. I researched and compared this headset with the Bose and decided on this headset simply because of the cheaper price and raving reviews. It has not disappointed. It's comfortable has Bluetooth and has amazing audio quality. If you are debating whether to get this or a cheaper headset don't. The quality of this headset will last you years and it's worth the investment if you will be flying for a long time.
5,I’m a student pilot currently taking three lessons a week. My flight instructor has this same headset and he let me try his one time during a flight. I was sold. Well worth the money. Very comfortable and durable. The noise cancellation is fantastic yet you can still hear the engine / prop at a comfortable background like level. The ability to pair a Bluetooth device is a nice plus.
4,This is an excellent headset and in terms of noise cancellation performance in the steady state I cannot tell it apart from the Bose A20. Some reviewers have complained about the length of the mic boom but that was not a problem for me. I wear glasses (Oakley steel plate) and those didn't pose a problem either. The seal around the ear was just as intact with glasses as without with no perceptible difference in noise.Unfortunately the one thing that didn't work was bad enough to force me to return it. Turning my head to look over my shoulder was causing the seal to open ever so slightly and increasing the noise level significantly. Even a 45 degree turn of the head did it. As a student pilot I don't need any additional distractions.I understand there might be anatomical factors specific to me that cause this so YMMV.There is one other minor issue -- the volume control is too plasticky and the slider has a bit of lateral play which doesn't feel like a premium product.
5,Serious upgrade from my David Clarks.  I don't use the Bluetooth so I can't comment on that  but the noise canceling is awesome they are light and comfortable and they amplify the radio audio a bit. Stereo is great with Garmin  3D audio and they auto shut off after 5 minutes of silence so if you forget to turn them off it won't kill the battery.
5,The Zulu 3 are a great headset. I’m a student pilot with around 40 hours and the Zulu 3 have made a tremendous difference in my radio comms. I know it’s just packaging but the unboxing is a great experience in itself. The semi hard shell case offers great protection from repeated trips in and out my flight bag/backpack. Of I ever swap to another set these will make a great headset for the right seat.
