rating,review
4,I have to say that I am happy to buy it at this price even if it is a renew product.But after I used it for a few days it started to disconnect frequently.Maybe just my product problem.I hope everyone will still support the cause of environmental protection.
5,Fantastic product! I love using it. Works perfect! I love that it’s the same charger as my iPhone.
5,The keyboard arrived in great condition and is working perfectly so far.
5,Really like this. Easy to connect to the iPad.  Perfect size keyboard to get work done.
5,I have switched from a mechanical keyboard to magic keyboard. I LOVE ITTT. It feels so relaxing while typing. The quality of the keyboard is worth the money. Definitely I will buy more from this seller.
5,This is an amazing renewed product. Performs like new. No visible wear and tear. I've had it for a month and battery is at 80%!
5,Great keyboard for pairing up with MacBook Air
5,I was hesitant about ordering a refurb but I'm very happy with my purchase.
3,2 out of the 3 I ordered worked perfectly. The third one is giving me issues with connectivity long lags with key presses and sometimes I'll press a key and it will fire many times as if I'd held that key down for a few seconds. It's past the return window so I don't think I can do anything about it.
5,This keyboard is the best Apple keyboard out there for me. Recently there’s been an updated version out with Touch ID but I found that newer keyboard to be less ergonomic and less comfortable than this one after testing side-by-side in the Apple store. Here are some things I noticed:Actuation:The newer keyboard’s key travel is “clickier” than this slightly older version which likens itself more to the very unpopular unreliable and provenly-worse butterfly keys on the 2017 MacBooks. On this keyboard the actuation force actually feels more evenly balanced: not mushy with the perfect amount of tactile feedback.Keycap material:On this keyboard the key caps are made out of a nice smooth plastic allowing fingers to glide easily over the keys as you type. The new version has a grippier plastic that forces you to lift your fingers up higher off the keyboard since it’s harder for slide your fingers around. This combined with the tiny key travel makes for an uncomfortable typing experience on the newer keyboard as compared to this older one.Warning:The transition to M1 in the last 2 years has caused some incompatibilities!!! Please beware that not all Apple Bluetooth keyboards work with all Apple devices (this is at least what the Apple employee told me so take it with a grain of salt). Before buying an Apple keyboard double check compatibility with your device.Unboxing experience:Keyboard came in a discrete looking cardboard box - not original packaging but product was like-new.TLDR:Dear Apple: if it ain’t broke don’t fix it. The newer version is worse!Dear customer: I recommend this keyboard over the newer one. It’s cheaper and better. Make sure to check the keyboard is compatible with your Mac.
5,I had the same Apple keyboard for a few years and for some reason the numbers wouldn't type. I tried everything nervous that it was my 2017 Mac getting tired. I connected this new keyboard with ease and everything works great. For the price you can't go wrong. Highly recommend.
5,I seriously forget this thing isn’t self sufficient it’s battery last stupid long. When it needs to be charged I’m like “oh yeah you have to plug it in every once and a while”. Auto connecting is fast as well.
5,I thought I was ordering a wireless keyboard. This one has a small coed but I like it better. Sits a little flatter and I don't have to feed it batteries. Hopefully I won't feed this one a cup of coffee like the other... Can't tell the difference between new and refurbished.
5,Before I begin this review I need every reader to know that not all renewed products are guaranteed to be in the same state as mine was but do not be afraid of it! Almost all of the time these products do end up in GREAT shape! The keyboard is ridiculously amazing to have I love the built-in Magic Keyboard on my Macbook Air and wanted to have the same experience when I'm on my iMac which was also refurbished and did not come with a Magic Keyboard unfortunately. But the packaging was SOLID it definitely protected the product itself the keyboard connected AS SOON as I plugged it into my iMac. It is guaranteed to be reliable and you could also use it as a wired keyboard with other computers including windows ALL WHILE still having it paired to the device you initially connected it to the connection will automatically restore to the primary device that was paired. I have honestly no other words to say the battery seems to be reliable as well... For $60 I think this was a really good purchase! Go for it!
5,Good value!
5,Cosmetically the top of the keyboard looks like new and the bottom has a few minor scratches. In just a few minutes of typing and testing my WPM has already improved compared to typing using my mechanical keyboard. This keyboard is silent and very comfortable (for me) to type on.
5,The second generation of the excellent magic keyboard solved the problem of using batteries. The recharge lasts for many days being much more economical and practical for not having to change the batteries.
5,Own a desktop Mac and needed a replacement magic keyboard asap for kids online courses. This renewed wireless keyboard worked right out of the box without a hitch. Fast shipping and good communication from this family owned business. Would definitely recommend. Thank you
4,I’ve been using this refurbished magic keyboard for a week now. It is working great.
4,Refurbishment:  It's in mint condition.  Some minor scratches on the bottom from normal use.  Key caps and body are very clean.  Under the keys appears to be squeaky clean as well.  This unit was never used much or the refurb process is top notch.The Product:  As I've come to expect from apple products the build quality is great.  Design is visually pleasing and 'just works'.Usability:  For context I'm a long time mechanical keyboard user and pretty new to the Mac world.  Overall it's a usable keyboard but when you compare it to all the other keyboards on the market it really falls somewhere around 'above average for a laptop keyboard'.  So if you need a Mac layout and like the laptop style keyboards and demand solid build quality then this or it's big brother really seem to be the only options.'Reasonable' changes that I would make:* The function key...  I REALLY HATE the placement of this key.  The best place I think would be on the right side of the spacebar after cmd and opt or at least to move it after the control key.* The F key row is uniform and hard to navigate accurately without looking. I would widen the board a 1/4" and put some extra space between f4-f5 f8-f9 or hey who has a disc drive anymore?  get rid of that key instead.If you've decided this is the style of keyboard you want to get and are trying to decide between this and the cheaper clones.  I highly suggest getting the real deal.  Those cheap ones are flimsy and well... cheap...  Save a bit and get the refurb.
5,I was pleasantly surprised on how excellent condition this keyboard is. No complaints works great. Will definitely order another one!
5,It was great! I don't see any difference between the one on my hand and a brand new one.Glad to have it in such a low price!
5,I had gone to Apple to get this keyboard. It didnt work well. Shortcuts didnt work etc. I bought this one. And it is gorgeous!!! Everthing works well. It identified by my macbookpro. And It is not like used stuff. Clean like new. Well packaged. Half of the price.  Awesome
5,Came on time clean and works great for me.
4,Shipment was quick has a little dent on the side but works ok so far been charging it .
5,Bought this so that I can use my 2014 macbook pro as a desktop. It works really well and typing feeling is smoother than 1st gen apple keyboard. I like also because no need for AA battery anymore.I didn’t want to pay for 100 dollars for apple keyboard so I got Amazon Renewed Product and it looked like brand new and functioning normally.
5,Great keyboard…. It connected immediately! I am amazed how good it for being renewed! Thanks Amazon! Highly recommended!!
5,nice package like new condition good price. I use it with all my iPads and iPhones
4,Overall the product is great. I can’t say the same for the charger and the box but the keyboard on it’s own is in perfect condition. No scratches dents dirt or basically any other signs of use. It looks brand new minus the whole unboxing experience.The cable I just tossed it it looks sketchy AF. And who ties their cable like that? 😂The box well it’s a piece of c***! So just don’t expect anything.I also expected an authenticity card but nada.
5,I want to begin by noting that my keyboard came with an Amazon Basics lightning cable. While there seem to have been quite a few people post reviews lamenting the fact that theirs did not I chose to purchase this keyboard because I found that trend had been decreasing.As far as the keyboard is concerned I love it. My typing speed has increased to about 115WPM from around 85WPM on my other external keyboard. The response of the keys is phenomenal. It requires very little touch pressure to depress the keys. Furthermore due to the narrow nature of the keyboard--its dimensions are nearly identical to that of my 2015 15" MBP--overall finger movement is minimal.The keyboard like all Apple products looks great but I am impressed with its ability to remain in a fixed position even when aggressively typing. The keyboard is very light and only has four small rubber feet (although the bottom of the keyboard is also somewhat "sticky") but it stays in position far better than my previous keyboard.The only con that I have is that it isn't backlit. I am not quite sure why Apple has avoided doing this but then again the response of these keys is definitely superior to my MBP so perhaps a loss of key quality would be a result of having it be backlit.Regardless I am happy to save a few bucks while buying a quality keyboard. I don't care to have an unboxing experience I just want it to work and this keyboard works great and came with the only accessory that I needed in the lightning cable.
4,I love Apple but their accessories are a rip off. I couldn’t bring myself to spend $100 on a keyboard. Instead I took a chance on refurbished. Still more expensive than others but seems to be working well and supports the cmd key combinations you can’t do on a Windows keyboard
5,Does what it's supposed to do and well.Recommended
4,So unfortunately the Keyboard is not in Spanish; none the less if your mac is set in Spanish the keyboard will work in that language. Other than that great product!
5,I’m so pleased with this product that I can’t contain myself. The fact that it’s a very lite item and easy to work with makes a world of difference. The battery life is what I expected.I was very pleased with the great customer service of Amazon Seller - iBlueberry. I would recommend this company to my family and friends for their great service and products.Happy Customer Ramon Padilla.Thank You
5,Have not found any reason not to give it full rating. Other keyboards pail in comparison.
3,Connects quickly and worked perfectly ....
4,This wireless bluetooth official mac keyboard works flawlessly.  I didn't know it was refurbished so it surprised when it came in a plain box and had a non-apple connection cord.  But it is in great shape and the cable seems even better quality than the apple cables.
5,I recently upgraded my laptop to the newest MacBook Pro. And instead of selling my older MacBook Pro from around 2015 I decided to turn it into a replacement desktop computer. I wanted the Apple Magic Keyboard 2 but didn’t want to spend $99.00 for a new one. I was initially hesitant to buy a “refurbished” keyboard because at least to me it meant “used.” But I decided to go ahead with the purchase because I could always return the item whether through help from the retailer or Amazon.The item arrived as promised and packaged well. It came with a seemingly new lightening cable for charging; yes this keyboard has rechargeable batteries and looked barely used (see pictures below). There were light scratches on the bottom but I didn’t mind because it was a reflective plastic surface that would’ve gotten scuffed eventually. I haven’t turned it off for about four or five days and the battery level is still at 98%.I’m glad that I purchased a “refurbished” keyboard because it saved me a lot of money and allowed me to buy a “refurbished” Magic Mouse 2. I would therefore highly recommend this keyboard to anyone looking for an affordable alternative to the in-store price.
4,This keyboard is the lightest one I have ever had which makes it perfect for travel purposes. As light as it is it feels solid and I do not have any hesitation tossing this into my padded business backpack for a flight. Pairing the keyboard is a piece of cake. Plug the included USB cable into the laptop (MacBook Pro in my case) connect the Lightning connection in the keyboard and turn the keyboard on. Bluetooth pairs the device in a matter of seconds.The keyboard is a little cramped which is taking some time to get used to. Surprisingly the keyboard on the MacBook Pro is a bit more spacious than this Magic Wireless Keyboard. I wanted portability and quality so something has to be sacrificed. The keys feel okay. If you like the tactile response of Apple laptop keyboards this one is pretty much the same.Finally as with any Apple product the cost is stupid. Even the refurbished model was more than I would like to spend but I have not found a third party alternative that meets my needs. If my company were not standardized on Apple products I would not be writing this review. :)
