rating,review
5,This cable gave us the length we needed to relocate our entertainment center to the other side of the room.
5,I'm using it indoors. It doesn't rain or snow in my house.
5,It works as it is supposed to work.
5,It's coaxial cable It works. End of review!
5,Used for cable box not much else to say. Works great matches wall color.
5,good value ... like the white color
5,High quality cable with extra shielding. Perfect for my internet cable modem.
5,This cable made my picture better than any cable I tried! I bought & returned 4 different cables & 3 were more expensive than this 1! I love what difference it made on my tv!
5,Looked great
5,Delivered next day exactly what I needed works great
