rating,review
4,This worked on a Gateway NV 79 with Windows 7 and the same Gateway with Linux MX-21 on a different SSD.The same Windows 7 SSD  in a Dell Latitude would not work.  This Dell would work with a separate VGA to VGA cable and a separate audio cable.The Intel graphics driver is up to date.  Probably user error
5,If you're like me and just want one video capture device for everything this worked perfect for converting my Windows 98 PC's VGA source to HDMI to plug into an EVGA XR1 Lite. Does 4:3 & 16:9 resolutions perfectly. Sound quality is excellent from the 3.5mm.
5,I had tried different VGA/HDMI connectors but they did not work. After I Goolged the issue I was having the reviewer put a link to this product on his article. And it works! I have a KVM switch and was unable to get any signal from my 2nd PC requiring that I switch the inputs on my monitor whenever I needed to switch from my personal PC to my work PC. With this connector (not an adaptor) I'm able to make the change on the KVM switch and leave the monitor input alone.
5,I used it to connect a second monitor.My computer had only one HDMI port so could not connect a second monitor. This one did the job perfectly. Just connected the VGA connector from my computer to my HDMI monitor. Set up took about 3 minutes (just connect the VGA and the USB that comes with it to make it work) and in a minute I had my second screen working perfect!! I definitely recommend it! Don't get mix with the reviews this is all you need to make your extended monitor work!
5,This a great solution to getting my old HP optiplex 7020 desktop to output vga to my Vizio hdmi tv. The image and sound are both excellent. I had been using a graphics card to do this for a while but it quit working. This is a much better solution.
5,3 parts later and this is the one to meet my needs.
5,Hooking up a desktop computer to a 42" tv screen. Works beautifully.
5,worked right out the box
5,Connected an older ELMO to a new large flat screen TV.  Works beautifully!
5,Easy to install
5,I had a HDMI cable that I couldn't use without an adapter. This one was inexpensive and did the job it was supposed to do. Now I can use my TV as a second screen when I need to.
5,I had to use a pair of needle nose pliers to tighten the screws (no big deal).
4,The product works well. I'd buy another one.
4,Simple and straight forward. It plugs into your vga  card it has a cable included to power it via usb. It comes with a second cable to add sound but in my case I use an external sound  device not the monitor. Please note: this is to adapt your vga output to an HDMI input for viewing and using your computer. Setup was plug and play. You will have to finger tighten it onto the socket but a suggestion would be if this device is ever redesigned include two pass through holes so you can access the screws with a small standard  screwdriver from the back.. The hdmi cable socket actually blocks that option in its current configuration. It is off to one side vs. being in the middle. I understand not wanting it to be larger. Just layout could have been a plus vs a very good. I installed the device powered up the computer with all cables attached and  the computer adjusted the resolution to the monitor  pretty much immediately. So no real user complaints on the working part of this device. I am pleased. You might be too.
4,It was needed for a purpose
4,this finally got our older desktop computer to show up on a new monitor so we could get our old files to a USB and transfer to our new computer. However despite plugging the audio jack into everything that remotely looked like audio we could not get sound to our monitor speakers from the old desktop. Not a huge deal but it was odd as it claims to transfer the audio as well.
5,Every time I get a browser update I have to unplug and replug in the cable.
5,If you like myself and others have a laptop with one HDMI and one VGA port but only have monitors/TVs with HDMI ports and are looking to EXTEND your desktop (VS MIRRORING THE SCREENS) then this is the perfect adapter at a affordable price. This micro USB type-B powered adapter offers great picture quality (for VGA anyway) and has the ability to have audio routed to the device as well via 3.5mm AUX cord. It is durable and does the job quite well however there is one (potential) design flaw. For some computers such as my ROG Asus the VGA port is sandwiched between the native HDMI port and the charging cord. Luckily for me my power cord was small enough to wedge it in there without cause too much pull strain but for others it may not be the case and could render the product useless. Please provide a version featuring the 3.5mm port be facing to the side with the HDMI adapter port facing outwards. This would ensure the device useable by more users who have computer models similar to as described above. Plus having the visuals with no audio would render the device useless might as well have it designed to where the audio would be sacrificed not the visuals aka switch the port locations. Great product 10/10 so far. Keep it up.
3,It works great while it works. USB had to be constantly reset to bring monitor online again near the end. Don't know if it is eligible for a warranty replacement. Maybe the seller can make it right...think there is a 2 year warranty on it.
5,Was able to hook up my  laptop to my 50" 4k tv. Works great. The cord isn't  as long as I would like but it works
5,great quality
4,Returning
5,Converts smoothly from laptop to hdmi tv so I can dual monitor from the couch. The adapter gets a little warm after prolonged use but I’ve left it plugged in for over 6 hours and no issues yet!
5,Adapter worked perfectly.
4,Mixed reviews in amazon to some it worked perfectly while others didn't so basically your mileage may vary.  Please keep this in mind when purchasing this product.While the adapter has worked my screen would disconnect and reconnect every 2-3 minutes I tried resolving it myself by:1. Giving the adapter it's own power source (2 amp usb charging block for cell phone) I thought it might be a faulty usb port on my pc or some odd power-saving feature. Tried swapping power cables too2. Connecting it differently from their suggested installation of installing the adapter w/ power while the PC is off. I tried a 'hot swap' (plugging it in while my PC was on) both with having the vga adapter supplied with and without power before fixing it on the vga port.  I tried having my pc off then attaching power after the PC has booted.3. Swapping HDMI cables mind you I only had 6 foot cables at hand at that time but cables seem fine tested them with a TV and another monitor.The only thing that varied was the disconnect interval increased from 2-3 minutes to 3-4.  I've also tried to  change power settings monitor sleep settings monitor refresh rates etc with no luck in any of those also.I've contacted customer support about it and they've tried resolving the problem by sending me an instruction video on how to install their product something I've already found before contacting them.  They ended up sending me another unit which unfortunately gave me the same results.  It might be my set up/monitor/temperamental hardware  (evil spirits I dunno some other malignant factor) but I thought they were sincere about giving me the customer satisfaction I wanted.  This is why I've given this review 4 stars.  I don't think their product was faulty I think it's my set up.I guess what I haven't done (because I didn't have enough time to do so) was try using the adapter with a different PC/monitor combination.  I've decided to keep the adapter in case I might need it for another time in a different setup maybe it will work next time.  To CS if you want me to return the other adapter please let me know.
