rating,review
5,I wish I had gotten this camera and plate with the radio I bought! This is perfect! And the picture is so clear and even at night I get a great picture on the radio! This was so easy to plug and play as I took out the other camera and installed this one! The quality is good and all I had to do was put a dab of RainX on the lens to help it be clear in the rainy weather. I would recommend this to anyone!
4,I love the idea of integrating the camera into a sturdy license plate frame.  Having said that I had to make some modifications to install it on my Ford Mustang.  The holes for the license plate mounting screws are deep and hexagonal shaped.  I had to file the heads of my license plate screws to accommodate the holes.  Also there was no notch in the frame to route the camera cable so I had to file a notch.  I'm replacing an existing camera so I did not need the long cable to route through the car.  The camera angle is easily adjustable.  I have a high degree of confidence in the durability of the camera.  Image quality looks good.
5,Replaced my old camera that never really worked well.  This one is high quality.  Hope it lasts.
5,Very easy to install very happy with
5,Awesome
4,I purchased the same one on August 2019 and couple of weeks ago on July 2022 stopped working. The reason I ordered the same one I didn’t want to rewire everything so disconnected only the old one and contact the new camera.
5,The video is clear
4,It works and you can see well but the picture quality isn't great.
4,I really like the pictures quality and backup
5,Installed it on my 4RUNNER very easy.Pic quality is impressive night or day . Like the parking guide lines and the way it fits over vehicle license plate (sleek and slim). Don’t worry about  knocking the camera off or out of adjustment.
5,This camera works as well as I would expect it to for use on my 2011 dodge nitro. Picture is clear.
3,Gave 1 star. Had issue with video signal. Worked on it for a whole day and still couldn’t get it to have a signal not enough wiring to go from front to back to be able to tuck everything underneath. I really need a backup camera and this wasted my time and money
4,No complaints picture is decent parking guidelines are helpful.
5,This is the second one I’ve installed on different trucks. The camera has a nice view and clear picture the night vision is great. The only con I can find is the installation instructions are very poorly written. It took a bit of trial and error but once I figured it out I  happy with the final product.
4,The I stall and quality is superb however not even 3 days later the right LED light next to the camera just stopped working. It is still functional but I wish is still worked.Only reason I gave 4/5 stars
4,Camera quality is really clear in the daytime but just a little grainy at night. It's perfect for my really big 2010 Toyota Tundra double cab and the RCA was long enough to come fome my stereo to under my 2010 Toyota Tundra double cab all the way back to the license plate camera. Night time lights are white seem to give off plenty of light. I noticed in the rain water will get on the lense and I thought the camera was shot on the second day it definitely distorted the picture but upon wiping the rain off the lense camera was fine. Very happy with purchase. I hooks up the black and red wires to my reverse lights and made sure to attach the red wire from the yellow RCA cable to the same power wire going to my reverse lights it serves as the remote cable at the other end of the yellow RCA when it gets to your stereo you connect the yellow RCA to camera in on the back of the stereo and attach that red wire to the reverse wire on back of the stereo so the screen turns on when you put it in reverse.. One thing that made it easier is to run the yellow RCA with red wire attached from your stereo first down to the floor board out through rubber grommet under passenger seat. cover wire with plastic heat shield once under thevehicle to protect from heat and any debris. Pictures show how I put both power wires together for camera power and remotely have the stereo automatically go into reverse
5,I thought I'd try this before going name brand and spending more money but I got to say this camera is better quality than factory bought.Definitely a happy customer!Buy it!
5,Facil de instalar y se ve muy bien ahhh y quisiera trabajar en amazon
4,When I hooked it all up it looks good quality wise but the picture was backwards maybe a fluke on my part. Also the first couple rains there is  water damage and I can barely see out of it now. And the picture is backwards but that also could be because of my lack of knowledge of wiring. Otherwise it’s solid metal design.
4,This camera works great and installing it or rather wiring it is pretty straight-forward.  However I have one huge complaint and that is that in order to get the camera and power connectors into your car’s chassis you’re going to have to drill a rather large hole.  That’s because the end of those wires come with non-removable ends.  One is a ¼ inch power-plug and the other is an RCA video connector.  So instead of just having to drill a small hole to get a 16 or 18 gauge wire into the car’s body you have to drill a much larger opening to get those two plugs through.  I wasn’t willing to compromise on that one so I cut the wires and re-attached them once behind the license plate panel.  I also used a small rubber grommet where I drilled the hole.  That serves two purposes… 1) reduces the amount of water that can get in and 2) prevents the wires from getting damaged by the sharp sheet-metal.Function-wise it great.  The most attractive feature is the ability to change the angle of the camera.  I would suggest you find the angle that works best for you and then decide if you’re going to mount it with the camera on top or on the bottom.  I was able to hook it up to an existing rear-view mirror screen on my wife’s car and since the connections were already there I had no extra wiring to do for the monitor.  However I do want to point something out.  The description on this camera clearly states the resolution as 795*596 which is what you would expect from an RCA cable which is technology designed in the 50s.  However at one point the description says that it has HD night vision so please don’t confuse that with HD resolution which would be much higher.  For the price and its simplicity this is a really good backup-camera option.
5,Loves these cameras!They are super clear and the LED light is so bright! This is my second time purchasing and I'll be purchasing again in the future.
4,I replaced my car stereo with one that had the option for a backup camera. I purchased this one and it works as advertised. Is was an easy install. Fits perfect as a license plate holder and is very unintrusive. No one will ever notice that the license plate holder is also a backup camera. The only thing that I would have preferred are the lines are not quite as nicely laid out and the factory backup camera on my wife's new vehicle. Not sure if this is the fault of the camera or the car stereo. In any case I have no complaints and would feel ok recommending it to anyone.
4,The backup lights are so bright you can see clearly if there is a chrome hitch in your vehicle or are backing up the a white object
4,It hooks up pretty easily and works as intended so far haven't had really any issues with it. My only complaint keeping it from 5 stars is the video is pretty grainy at times and sometimes when you put the car in reverse too quickly the camera freezes my head unit and I gotta restart it. But other than that it's perfectly fine. That problem I hardly ever have.
3,El tiempo que no duró la cámara no me gustó
5,I had different camera during my history of vehicles. This was my first license plate cover camera and I must say .. it was impressive. The first camera I installed was crap and burned out. The picture quality on my monitor was fuzzy so I took a chance on this one. And it was actually clear... im truly impressed by this.
4,I was looking to upgrade the stereo in a 2007 Kia Sportage so I purchased a touchscreen aftermarket stereo and installed it.  While I was at it I also purchased this back-up camera to add to the system.  The camera fits over the rear license plate which centers it in the back of the car.  The camera itself pivots up and down so that you can align the view to your preference.  Plug and play design.  I did have to drill a hole in the tailgate for the camera wire but I positioned the hole behind the license plate so it is not noticeable.  The only draw back was that the included camera wire was about 2 feet too short for my vehicle (you have to run the wire from the camera all the way to the front and plug it into the back of your stereo).  I was able to order a longer cord from Amazon for about $8.  Overall a great way to upgrade your car's safety system with minimal $ and effort.
5,I had previously wired in a backup camera that ended up being defective.  As this used the same connectors installation was very easy as I had already run the wiring so it only come on when in reverse.  The thin black frame looks good & does not block any parts of my plate that would be an issue with law enforcement.This provides a good wide field of view.  You can adjust the camera angle up & down & then set it in place (my previous one would move on it's own).  I have this angled so it just barely shows my bumper on an 04 GMC Yukon (I have an aftermarket stereo that this is connected to the Video IN port). I can also see my hitch when in place so I could use this as a guide for that.The LED's work ok at night by providing visible light not IR as some do.  Not as much light as the reverse lights but good enough for what is right behind you.  The built in green/yellow/red guides work well when backing.  As this is not integrated as an OEM one would be the guides won't turn with your steering wheel.
3,Easy to set up but horrible picture quality.
5,It was easy to install and works great
4,Love these units however they do have 2 downsides1.  There must be only one company in the world making the wiring harnesses for this item however there too short I got lucky this time but the other I've been stalled this on 3 different vehicles and I almost always have to splice new wires into it in with the RCA Jack I have to buy a female the female adapter to hook 2 of them together2.  They always leak water into the lens and you end up looking through a fog doesn't matter if you had silicone to the back so he do get this by a second one it will fog up at some point in the next year I always keep a extra of these at home have to on my drag 1 front 1 bag 1 of my Mustang in one of my wife escape I love under the best type seen this nice heavy frame I think you'll enjoy it
4,Overall the picture and ease of installation is very good. I starting to notice the exterior is starting to fade.
5,The frame is metal and quality. If you don’t want it running 24/7 I’d suggest spicing the red wire (with black to ground) to the reverse light wire. Keep in mind this is 12v. I ran the video cable underneath everything and under my middle console and hooked it into the head unit. Make sure to also connect the red wire attached to the reverse wire on the back of the unit so it automatically turns on when you put your car in reverse (a lot of times Purple and grey wire). Now at the camera end you can attach the red wire into the other red wire that you hooked up to your reverse light.
5,Now I can hook up my trailer without any help
5,The media could not be loaded.                                                                                 The product works with my 2006 Toyota 4runner.Installed on my Kenwood DDX770.I had to just replace the old camera that my rear window and cut. Luckily it cut the Video and power cable side of the camera. I would have been more annoyed having to re-run a new cable in the panels and trunk rubber hose.Product works and looks as my old $25 camera I bought years ago.Shipping was extremely fast!
5,Great quality for the price!
4,Construction feels very solid! Picture quality is definitely not the best pretty blurry (black "blob" in 3rd pic is a chicken). I have checked all my connections and they are nice and tight so I know that's not the the reason for picture quality. I did add a little bling to the frame and am overall fairly happy with this backup camera.
3,The picture quality is excellent.  The Distance Scale Lines appear to show my car width well but they do NOT show distance at all for my car.  I have a bike rack on the back and the Distance Scale line's furthest out indication is just to my bike rack and tilted way upwards.  Actually less distance than that.  If I lower the camera at all the view is mostly the road not objects behind me.  The Distance Scale lines are the main reason that I bought this Backup camera.
5,Replaced a camera that was of a low quality .(came with a backup camera kit) Replaced it with this license plate frame and I was very impressed. Picture is brighter clearer and has a lot more resolution.
3,Comes with enough wire but you will need about 4ft more for the trigger wire to reach the tail lights the picture personally for me I don't care for. It's not clear enough on bright days in darker areas it seems to be fine the install is extremely easy the frame it's self is really nice! Heavy and feels well built but does not come with hardware to mount it over all its fine but  Would just want better camera resolution
4,Camera fogs up in humid and cold conditions.
5,Works well the integrated LED lights give plenty of light at night for the camera to provide a good video.
2,Camera works great.. quality is very good.. only issue was I had to cut out a notch in the center of the license plate to fit the camera in place. The design on the license plate frame needs to modified so the camera can mounted on top of the license plate.
5,Very nice and easy to install.
5,Easy to install ..... Love the fact you can angle to your liking (have a 4" lift) and the fact that this is solid metal piece ..... No complaints 😉
5,So far so good...
4,old camera broke after 9 month. This camera works for a year now so it is better in this respect. The picture quality is not the same but it is back-up camera and I do not need to see wrinkles on your face with it.YES i would buy it again.
4,The camera picture is extremely clear the night vision lights work very well too the only thing I wish it did is the parking lines don’t move so you just have to turn to get them lined up straight but that is a small thing overall I would recommend this product and give it 4 out of 5 stars
4,Cons: Flimsy and easily breakable wire not so strong to fish through the vehicle was lucky enough to splice again. Make sure to get a wire extension if using for a truck.Pros: License plate itself is very hefty strong and durable. LEDS are bright enough to light up a good area.
