rating,review
5,Hey it works when u trying to complete the rainbow! Every chick new pic!!!
5,The paper fits perfectly and the color is good comes in multiple packs so theres a lot of paper in there. Worth the money in my opinion glad I got it!
5,Product came early and as described. Thank you
5,A little pricey for only 50 tiny sheets of paper.
4,the first picture i got buy the wrong one the second picture i have to buy when i am going to buy the write one
5,Great price and great quality
4,Very good camera for my 7 year old! Good quality prints pictures are decent quality they’re better with bright lighting.
5,The Picture comes out amazing. It is really good quality & is worth the price. The app is very easy to use and is easy to select & print out a bunch of pictures.
4,Not needed  returning camera.  But Very small picture.  Not impressed
5,A great value for the amount of photo paper in this set.And the packs separated inside the box help keep everything organized.
5,For on the go printing
5,Pics are amazing  super cute easy to reload
5,My nephew loves this things
5,Really great product
4,After a week of research between the different brands models within each brand and cost for films. This one was the perfect choice! I am spending $0.50 per photo for one. Which is great compared to the well popular Instant Print Cameras out that would cost a $1.00 per print. The multiple features this camera contains was the seal on the deal. You are not forced to snap and print each photos like other and you can print photos that were never taken with the camera. You have to check it out!
4,The papers kept getting stuck in the printer
5,I’m using it for pictures for a scrapbooks
4,i got the wrong ones for mine. but my friend said that they were good
4,I didn’t know I had to use the blue paper that came with it because the print starting looking weird and I thought my printer messed up bad… but you put the blue paper upside down so it cleans the printer… but besides that it looks great
3,I bought this paper to use with the Kodak Step Camera.  I used the paper that came with the camera and I used part of one of these packs of paper that I bought separately.  And all images I took were awful!  All inside with super bright lighting. Color Black & White or Sepia Tone all images were terrible.  Because I used 2 packs from 2 different sources I believe the paper is probably fine but the camera not good. So I gave the paper a medium review because I never actually saw a good image come from that camera.
5,This comes with so much stuff and I love it!  My husband bought me the Kodak Smile camera for Valentine's Day last year and this year I wanted to get some accessories for it.  We just had a baby so the little photo album will be perfect for putting photos of her in it!  The case for the camera is a little snug but still works.  I also love all of the different frames for the photos!  Only downside with the frames is they don't stick well to the photo paper itself but that would be a problem of the manufacturer for the frames not this place.  If you have one of these cameras I highly recommend getting this kit!
5,PHOTO SCRAP BOOK
5,just make sure your camera meets the measurements and requirements needed for this particular kit. Other than that it worked. Perfect!
3,Pictures always have a red look to them
