rating,review
5,SEE EDIT AT BOTTOM:We love this BUT only after you figure it out the finer details.  My wife wants to scan all of our old photos pre-digital so I got her this to help with that mission (we have MANY photos).  I have 3 scanners or all in ones in my house and I will say the Doxie Plus is the ONLY way to go for mass scanning images that are 8x10 or smaller.  That is all you need to know on the positive and now I will address the issues I had.  I am a techi so I assume this can be used without any reading but that is not he case.I did glance over documentation and see that it has built in memory but you can add more via the SD slot.  So I grabbed a spare 64gb card and stuck it in there.  It would not power on and stop blinking like it was supposed to.  After digging I find out that it ONLY supports special SD cards (really!!!!)  That is absolutely ridiculous but there is actually plenty of built in memory.So I removed the SD card and it powers up fine.  In the process of trying to figure out the bootup problem (having standard SD card in slot) I tried to locate a "Calibration PDF" on their website.  This is the sheet you run through the scanner to calibrate it.  Can you believe they make you buy that if you lose it! Another blunder in my opinion.  My wife had the calibration page but I am letting you know so if you buy a used one you better make sure the calibration card is in there or your will have to buy another one if the calibration is ever needed again (not sure why you would but just letting you know).Once the scanner is turned on the light is green (300 dpi scan).  If you press the button again it goes to Orange which is 600dpi.  They should have a simple sticker above the power button telling you this but they don't and they should allow you to set a default setting which they don't.We are doing photos so we did the scans at 600 dpi which still went plenty fast enough.  300dpi is REALLY fast (ie for documents).After you scan all of your photos you have to open the software to import the scanned photos.  BUT when you click on the "Import" button in top right corner it has not completed the import process.  After you select all the images on the screen you have to click on the SAVE button down below actually save them to your local drive.  Why they do not allow you to just click the import and have the save process as part of that I do not know.  It is just one extra step you have to do to save the photos.But even with these problem I still give this thing 5 stars.  My wife is having to use our Epson 7510 for the larger pictures and ones already in the scrap book.  The speed and ease of using the Doxie Plus is outstanding.  I am sure this product is like everything.  The folks who design it and package it and write the manuals etc never actually use it so they have no idea on the simple and stupid mistakes they make.Bottom line buy one you will be glad you did :)-----------------------------------------------EDIT 05-19-20151) The Doxie does allow the use of SD cards up to 32GB.  And it should be formatted in FAT32.  They are considering putting a sticker or some other means of letting customers know that 32GB is the max.  In my opinion it might be easier and more effective to update the firmware to allow for much larger SD cards since these are the norm not the exception in 2015.2) After doing some extensive scanning of not only photos but documents (ie medical records) it is evident that the saving process designed by Doxie is most ideal.  We scanned many photos and documents and the documents we saved as PDF's where the photos were saved as JPG's.  Also the photos were separated by child and year.  So I found my original thought on this to be a little misguided.3) Doxie has stated that the calibration card has to be the original printed card.  It is a heavier card stock and printing on a 8x11 sheet of paper would not work.  You can contact them about getting a Calibration card if yours is missing.I take pride in offering detailed and accurate reviews so I wanted to clarify these issues.  But nothing changes on the fact that this device is an awesome little scanner and I am sure you will be happy with it.
5,March 8 2017I always thought that Amazon customer service is the best in the world. Well there is a new kid on the block that even Amazons CS can learn something from  - Apparent!I left a 3 star review (can read below). I did not think it was a bad review. But Dan from Apparent thought that anything less than 5 stars is fail. He contacted me and suggested that maybe I had a lemon and suggested he ships me another one.  Well I live in Israel and most vendors on Amazon refuse to ship one item and here is a guy who will ship me also a replacement? But that was not all! A week before I managed to drop the scanner on its head and while it continues working the power socket broke and the electrician who fixed it could not find a proper replacement so he hard wired a cable in place. Never mind said Dan and nevertheless shipped a new scanner (and no need to ship back the broken one back). But even that is not all! One of the items I was complaining about is that the scanner will not take very old photographs that are printed on a very thick cardboard. So Dan from Apparent suggested that maybe the scanner that is more right for me is the Doxie flip. And shipped both.  I must be dreaming…So this is a revised review for the Doxie Go Plus and later on there will be a review of Doxie Flip.The battery – I complained that after 100 scans the battery was out of power. To tell the truth I did fully charge the battery but that was a few weeks before and while I thought that some power will leak out I believed that it is mostly charged. The new scanner I received scanned 360 pages and the battery was still going strong (but I was out of power….)The charger –  I complained of a need to haul a charger as it is the old kind of charger like old cell phone. However there is no need to haul it around. The USB 2 cable that is supplied with the scanner can charge the scanner just as well. It takes longer (about 4 hours) but the most important thing is no need to haul around multiple of chargers (if one has more than 360 scans to do) but only one with the ability to switch cables.The feeder – I complained that it will not feed a page that is not strait as an arrow and will try to twist it around. But even for that there is a solution: adjust the rails to the size of the page and the twisting around of the page is minimized. But there is even a better solution: Apparent shipped me a sleeve for large pages and VOILA – twisting disappeared completely!I complained that the scanner was finishing the job before the end of the page – I guess the old scanner was really a sick puppy. The new one did not have these problems at allVery old photographs on thick card board – well they still won't go thru but sometimes the supplied sleeve will help even with those.All in all an excellent scanner and an outstanding customer serviceJanuary 11 2017I really wanted to like this product but I cannot. The nice features first: it is compact and very nice looking. The scanned images can be stored in the scanner memory or on USB thumb drive or SD card. The box (that you buy separately) fits very snug and together it looks like a product that a lot of thought went into it HOWEVER1) The battery is good and you can scan a good number of scans but after about 100 scans the battery needed recharging and sure as hell the charger was left at home (why I did not have the charger with me? because the snug nice box does not have a room for it)2) The charger is the kind that has an EHX socket (like the old phones laptops and earphones do) So it is another charger that one has to haul around. Why in the world when manufacturers are moving to micro-USB (so all you need is one charger and one cable for different appliances) did they put this EHX socket.3) The feeder will not feed a page that is not strait as an arrow. If the page you are trying to scan has a little rip or was earmarked the scanner will twist it around and the scan will come unusable4) Many times the scanner decided to end the scan before the end of the page (some pages have few lines on the top and few on the bottom the scanner will scan the top and then decide the page ended and will stop the scan before it reached the bottom so I had to input the page twice: ones from the top and once from the bottom)5) If you are not hauling a computer (or device that can check the scans: tablet or phone with OTG cable) you arrive home to find that at least 20 percent of the scans are not good - would have been really nice to include a little screen on which one could see if the scan was good.6) Some old pictures (very old pictures were printed on thick paper) will not go thru properly and the scanner will twist them
5,I would highly recommend!!!I let the device sit for a year and half before finally getting around to use it. It wasn't getting any power. I contacted doxie and they quickly sent me a new battery. The battery didn't work so they quickly sent me a new device. The new device works amazingly. I've scanned a couple thousand photos so far and ha e been very impressed with how quickly I can just feed them through. Customer service were great and easy to deal with. I honestly thought they wouldn't help me since it had been so long since I bought it. They also sent labels to send the defective product back.
5,Doxie Go SE scanner makes scanning fun!  It is truly portable and does not need to be connected to a laptop to operate.  The SD card which came with the scanner stores all the data and can be read later either on a phone or a computer as long as you have a card reader.  It's fast and so easy to use.  It beats the big HP printer/scanner that I used to use.  Just love it.  It makes scanning old family photographs plus receipts/documents quick and easy.  Great value as well.
5,The Doxie line of scanners and other products are top shelf in my opinion. I absolutely love my Doxie Go SE Wi-Fi scanner & the sheets for your recite is great also. And I  recently received there scanner case and it protects it just like you would think it should. The only bad thing on the case is that it is a little bulky but thats expected to help protect the product.  The customer service is truly the best ive ever seen. They actually go out of there way to check on you and to see if there's anything that theybcan help you with. And no other company has EVER check on me like they have. I will be buying all my scanner products from them from here in for sure. And when I decide to buy a new or better one they will be my 1st and only choice so long as they have an upgrade available for me.
5,When I bought this in 2018 I never realized how useful it would be. I keep it near my desktop and use it for receipts invoices old or new photos e-file copies of letters I'm mailing or receiving e-copies of important documents family tree info and countless other items. Simple to use great software and works like a charm. Continuously saves a mega amounts of time instead of using a copier or a printer and having to deal with hard copies. HIGHLY RECOMMENDED!
5,Very surprised and pleased with this product! It was not easy to set up and we had issues with the charger but it scanned old family photos efficiently and with very good resolution for what we needed. Love how portable it is— I flew with it neatly tucked in my backpack across the county and it took up less space than my travel umbrella. Easy wifi interface etc once you figure it out.
5,After my GiiNii scanner quit I was looking for a replacement. Wasn't real sure about the Doxie scanner but it was small portable and it came with an SD card. Decided to convert all my photo albums to digital. Have now done over 1000. I was hesitant over the old Polaroids as they were not in good shape (loose ends). Went better than expected. Did the photos a year at a time. Only complaint is that some photos come out with a yellow space on the side. Easily fixed by cropping before transferring the photos to a separate thumb drive.
5,I was expecting a little challenge like confusing instructions poor user interface or crappy scans. Had none of that! Instructions were clear and easy to follow. I was able to scan perfectly from the first try! And the user interface was straight forward and intuitive. No guesswork needed. And I was surprised I received an email from the manufacturer OFFERING to help if I had any questions -- not the other way around where I have to scour the fine print looking for someone anyone to call for support. Even if the product wasn't great that made a huge difference to me and gave me confidence in what I purchased!
5,Instructions were clear and set up was easy.  The size of the scanner makes it easy to take with me for use with or without my computer. It was really nice that a 16 GB SD Card was included. It works great and I really like the Doxie app that allows me to sort the different scans so I can save them to my computer in the appropriate files.
