rating,review
4,My network has multiple switches and I tried 10G (NBASE-T) switches from different vendors.  This was the one that I settled on after trying the other consumer-priced 10G switches.  I am now using two of them on different floors.  They're completely plug-and-play no user interface to have to mess with.  Take out a gig-E switch and put in this one bam.  (This upgrades the connection among the computers on your local network like between your desktop and your file server.  It won't speed up your connection to the global Internet.  On any machine where you want faster-than-1G speed you will also have to upgrade its network interface card.  On existing 1G machines they just continue to work.)I took off one star because one of the two I am using is noisy -- either the fan needed replacing from Day 1 or something else is making rattly noise inside it.  The second one is completely silent even under load.
5,Full 10Gb between my NAS and Main computer. I uplinked the switch with gigabit back to the router (the faster a RT-AX88U will connect at). Hopefully around the time WIFI 7 is released more routers will have multigig ports at a more reasonable price and assuming at that time I get MultiGig internet I will upgrade the routers and have more ports open for other computers to connect with. I am using a used Server Intel X540-T1 network card and it worked right out of the box no problems with this switch. I am using a 6x8TB RAIDZ1 setup up for my NAS and coming straight off of the Hard Drives it bounced around 5-7 GBs The screen shot is a filed loaded into RAM and transferred not really what I am going to get in real world performance. The OpenSpeedTest server running on my NAS shows the speed just below 10Gb however I don't think the program is really optimized for that speed.It would be nice if the switch was about $300 less.It wont make you internet faster if the ISP is giving you less then 1GIG.
4,I purchased two of these to expand my network and get my 2Gbps internet to my gaming PC with a 10gbps port. These switches work great required no setup other than plugging in the cords and speeds are as advertised on the ports. Very happy with these devices!
3,As much as this is the only choice at this price range that gives the option for 2.5G5G & 10G in the same router there is no other router from any other brand that gives this flexibility in a single router.However the tech is so outdated IMO that it was not able to provide full 1G connection on it's 1G ports for a cable that is not even longer than 30M. I had another router and it was able to connect perfectly fine.Same thing happened when I tried connecting 2 2.5G ports from my NAS where it failed to provide connectivity to both the ports and was connecting to only one of them with Cat 8 cables. It worked with 1 cat8 and 2nd cat6 cable which I have no idea why but it couldn't connect to both the ports when using cat 8 cables which were not even more than 2 feet long as my NAS was sitting right under it. Connecting the NAS to the 5G ports worked perfectly fine and so was that ~30m 1G cable from the gateway when connected to the 2.5G port.After exchanging multiple emails and pictures going through iperf testing I got frustrated and decided to return and purchased another router.It might work for others but was a no go for me.
4,Pros: Works as advertised. Plus comes with a lifetime warranty.Cons: Gets very hot. This is the hottest switch I've ever owned. I have a 5 port 2.5Gbe Unmanaged switch which stays much cooler than this one. The side with the 10Gbe ports gets very hot. I actually have a small case fan pointed at the switch. It's under a desk so I was able to do that. I don't know if it's fine and all within normal operating spec.
5,Does as advertised who could ask for more?
5,Super fast switch.  I have my Aurora R13 with a OWC 10Gnic connected to this switch.  From there the switch connects to my Asus AXE16000 Router via 10G on both ends.  Then from there currently out the other 10Gbps port on the AXE160000 to a 2.5Gbps port on my Motorola MB8611 Docsis 3.1 Cable Modem.Fidium Fiber is in the process of being installed on my street now and from what other people in my town have said they install a Fiber ONT with a 10G out port.  Those that have 10G all the way from their ONT to PC have 4.5Gbps or better down and 1Gbps up on the 1Gbps Up/Down plan since Fidium  way over provisions the service.  Looking forward to getting Fiber once I am able to.  I am now ready thanks to this new Netgear XS508M Switch!
5,I needed a heavy duty very fast (200mbps+) switch in my garage to run high end video cameras this does the job with enough PoE power to run them all. I also put a smaller version in my office to run scanners and printers. Netgear makes the best high end (affordable high end) switches. I'm fixin to purchase their point to point system so I can send internet to my shop 80' away. I trust netgear stuff; both my routers are netgear and ALL my switches and extenders are also. Their tech support is wonderful.
5,Good network switch easy to setup and manage.
5,Since it has two multi-Gig ports I have it connected between my old Netgear xs716t 10Gb switch which does not support Multi-Gig and my new AT&T gateway which only support 1 2.5 and 5Gb this is much cheaper than replacing a 16Port 10Gb switch.
5,I’m lucky enough to have over-provisioned gigabit cable internet. In order to get my setup working to have multiple LAN devices access to use that bandwidth if necessary wasn’t able easy task.For a modem I needed a device that supported NBase-T on WAN but ALSO higher than 1Gbe on LAN. This left me 2 choices the ASUS RT AX89X or a really terrible QNAP option. Literally those 2.So ASUS was the choice. It has a 10G NBase-T Multigig RJ45 port as well as a 10G 10Base-T SFP+ port. Either can be used for LAN or WAN. Well since my Arris SB33 has a 2.5Gbe connection that was taken care of.Now I needed to find a switch that not only has a 10G SFP+ port but also has multiple NBase-T Multigig ports for my varying devices some have 10Gbe only cards some have 2.5Gbe only etc.Well this switch is honestly one of the best if not the best options available.Hooked up my router to the SFP+ with some twinax DACs I had as well as fiber OM3 and it worked perfectly with all of them (sticking with the fiber cause the DACs I had were too short but it worked perfectly with all of them). Had to do some extra setup to get it into my rack… all hardware is included for rack mounting just have to take the time to screw in 8 screws so it wasn’t bad at all. Speed wise I could not be happier. I have my devices connecting at 10Gbe 5Gbe or 2.5Gbe depending on the device no issues or questions asked. I have it inside a rack and honestly I have no idea if the fan has even turned on as it’s not loud enough to be heard over anything else I have.If anyone else were in a similar situation to me I would 100% recommend the XS508M any day of the week.Connectivity is great.Speeds are great.Easy installation.Haven’t had issues with any 10GTek modules or off-brand “any device” passive or active twinax DACs.All around happy camper.
3,I should have given up on POE++ and chosen something simpler.The Insite software wasn't good enough for my purpose and the manual user interface is overly complicated.
5,Work from home for a media company.  Main storage server is 144TB array.Needed to upgrade from plain gigabit  (too slow for the tasks needed)This is a really nice clear concise switch with some good VLAN capabilities.It's performance is 480 Gbps which is fully non-blocking FDX if all 24 ports were fully active.All main compute and storage machines (13 in total) are fully 10GbE nowHouse WiFi 2.5G.4x 1GbE downlink (trunked) for slower devices .Everything works without an issue now.Main storage array provides trunked 2x 10GbE to serve all compute nodes.If I need to expand  this is what I'll get as the 2nd switch.
4,So far so good with this switch. I did read the other reviews discussing the heat coming off the unit but I thought maybe they were exaggerating. Well not so much you could definitely cook bacon on this thing when the 10Gb ports are being utilized. But that's the trade-off for a silent switch with passive cooling. I did however buy a little fan to push air across the switch and that's helped considerably. I'd rather play it safe and potentially extend the life of the components inside.
3,maybe just bad luck got item and it had trouble connotating with internet. finally got it working not plug and play would work for about a day before losing signal. did this for 3 days then finally wouldnt connect at all. support said bad switch so sending it back. amazon doesnt have an exchange policy its only for refund so if you buy and get a faulty unit dont expect to get a new one fast
4,I've been a fan of Netgear products and I own a lot of their products over the course of years.  However this product is quite a bit of disappointment as it runs really hot.  So hot that it may burn your fingers if you touch the top of the case particularly right above the 2x 10G ports.  Everything else about this switch has been good.  So today I took matters into my own hands and opened up the switch.  To my big surprise the entire back side vents are blocked with a plastic inside the switch that has heat dissipation stuff on the top.  I opened up the switch and simply cut out only those few inches of plastic that were blocking the vents on the back and now the switch is still running pretty hot but not close to what it was.  This is a major oversight on Netgear's behalf!  The should've not blocked those vents and (at a minimum) should've more vents on the back.  Also I really think the switch needs a small fan with that much heat being generated inside.  I would appreciate if Netgear's support/customer service should offer me some help.
2,even to save small kittens this unit would not do a static installation for my initial install.  This is a latent firmware issue.  I finally got the unit working using the switch's DHCP (it is itself NOT a DHCP server) with moderate success.  The bad is it reassigned my network to strange all new IP address's.  It also assigned the switch internal web page to an equally strange address.  I had to search for this address.  Just seems clumsy for a semi professional product.NetGear tech support and they suggested it was my fault... NOT.  I question how stable the unit's firmware is for more advanced settings?  But for the very basic settings the switch is up and running.  The first day of operation the switch was kinda unstable.Netgear does NOT seem to have a matching fire wall box and i wonder if they will pass to pfSense?  There are a lot of fire wall / switch combo products out there.
5,I purchased this as a replacement for my connected home not business. It is a bit noisy but nothing to be concerned with just comparing it to my last unit which was silent.I purchased this to power my new wax630e APs and couldn't be happier. Set up was a breeze and intuitive. Probably easier than my connected home setup that was made by ruckus.
5,It works great. I always use Netgear. This is trusted brand and I am happy with all the products I have
2,I have a SFP 1GBaseT tranceiver.  When connected to the SFP port the switch hangs hard and refuses to do anything at all.  Now sure maybe that's a bad tranceiver.  But a NETWORK SWITCH needs to continue working no matter what garbage is connected.  The 4 twisted pair ports work fine and I won't be returning it but I'd never recommend this device to anyone else based on that experience.
