rating,review
5,When the pandemic hit I bought a cheaper version. It made a lot of noise when I moved it and couldn’t hold up my mic. This one is very sturdy and makes no noise when I move it. I use it with a Yeti X mic. The clamp that holds it on the desk is very strong too.
5,I originally purchased the Rode PSA1 Swivel Mount Studio Microphone Boom Arm in 2012 and used it with my Blue Yeti microphone. It was very reliable. Earlier this year I was looking for a new boom arm and saw this and decided to try it out. Here is my comparison of both products.  I am using the Blue shock mount and a pop filter in addition to my Blue Yeti microphone.InstallationInstallation for both products is very easy and quick in that you just clamp it to the edge of your desk. Between the two I would judge the base of the Blue boom arm to sturdier than the Rode. You screw in the shock mount on end of the boom arm screw in the Blue Yeti into the shock mount and the clamp the pop filter to edge of the shock mount and twist it until it is in front of the microphone.  I was able to attach the Rode boom arm to the back side of my desk so it will be out of the way when not in use. I was not able to do that with the Blue boom arm because I just could not get it to adjust to being in the right position when recording so I had to attach it to the side of my desk. This means it will get in my way when not in use as I move things around on my desk.Overall for installation Rode wins because it is not in the way when not in use.Adjusting PlacementFor Rode you just grab it and move it where you need to have the mic placed for recording. Once you get it placed you have to let go and hope that it does not automatically start to retract due to the weight. Sometimes I have to position it wait for it to rise reposition it and wait for it to rise and reposition it until eventually it stays in place. For Blue boom arm it has three joints that you can rotate to move the mic into position. They all have a knob that you twist to loosen for it to move and when you have mic positioned then you twist it to lock it in place. Adjusting these knobs can be a challenge. But once you have the mic in place it will not move. I do 4 hours of podcast recording every Sunday and it stays in place the whole time.Overall for quickly positioning the Rode wins but you have to fidget with it. If you want the positioning to be permanent and stay there then the Blue wins by a wide margin.Cable OrganizationThe Rode boom arm comes with some velcro straps that you can use to gather cables and then put the velcro strap over the boom arm. You get two straps to attach the cable on both halves of the boom arm. Blue on the other hand includes a slot built into the boom itself for the cables. Since it is built into the boom itself the cables are completely hidden from view. If you are on air when recording this is an extremely nice feature because the cables do not distract from your image on the screen. For Rode the cables are very visible on the screen.Overall Blue wins this hands downOverall User ExperienceI had my original Rode boom arm for 5 years. Eventually it got to the point where it sagged from the weight and I had to purchase a second one in 2017. I have had the Blue arm for less than half a year. I was satisfied with the Rode arm so much that when I needed to replace it I purchased it again and didn't even bother comparing any other product. When I started a new podcast as well as recording training videos I decided to get a new setup so it was consistent in color. (My original Blue yeti mic was silver and shockmount was black). I got a new black Yeti mic black shock mount and realized they made a boom stand. After reading the reviews I decided to invest in it. I have been beyond pleased with this setup compared to the Rode. Knowing everything that I know now if I had to start over again I would purchase the Blue boom arm over the Rode hands down.
5,When I originally purchased this I had the Blue Yeti already on a desk stand or pedestal and it picked up a lot of vibration and typing sounds so I wanted to get a arm instead. Right off the bat I could not mount the arm to my desk. The overhang on my desk is only about an inch (3rd photo) so not enough material for the base clamp (2nd and 4th photo). Mounting it to a secure level surface is essential. I picked up a table where I could clamp the stand too. I had used a nearby plant stand but it was unstable and the microphone would swerve 180 degrees. So that being solved you must attach your mic first and loosen all of the joints as well as a screw plate at the end of the arm that you insert in the base. There are videos on this and I recommend you watch them. Once you get the mic and arm mounted following the videos got me in the right place.  My biggest issue is the tightening mechanism of the actual clamp. See 2nd photo. I don’t know what they call this but when you turn that to tighten it can hit up against what you are fastening the clamp to. It doesn’t have adjustable sliding bar that you can grab onto and turn it in a tight spot. You would want that for a desk mount. If I had another inch of overhang I would have tried to mount it on my desk but even then the tightening knob is fixed so you can’t tighten it in a small area where if the handle you hold were adjustable it would. You need about 3” of overhang to get the base on securely and it has to be level. Once I got over that hurdle and watched the videos I am very happy with the mount. I can move the mic where I need it and it stays put. I like the sleekness of the arm and the ability to hide the cord. I bought a longer cord than what came with the Blue Yeti. I loosened the two joints on the arm. I loosened the screw at the base of the arm (not the base it self) before I inserted it and then I moved the mic into position and then tightened the two joint turns.  If you have a table type of desk this should work fine. My desk didn’t provide enough grab space therefore requiring me to get another table. That being said the weight of the stand started to tip over that table so I added some counterweight. If you have a desk like mine you might want to have a bookshelf nearby or a printer stand something suitable for you to affix the clamp provided.
5,The boom arm is very stable and stays in position.  The biggest concern I had when considering the purchase was the mounting system -- how it attaches to the desktop.  My desktop is glass with a metal support frame. But I took the gamble bought the thing and discovered to my relief that the mounting bracket cleared my frame and was easy to secure.  I'm very happy with it.  The overall quality of the boom-arm easily justifies the price point.  The ease of use now makes it an essential tool for more professional sound quality.  Highly recommend.
3,Nice product design but this is designed exclusively for1. overhead mic use2. Boom arm Attachment from 3+ feet away from mic position.The arm is minimally adjustable. If you have a small table do. Not. Buy. This.Every time I try to adjust it on my medium size table for the boom arm to come from the side instead of the top the arm tighteners literally cannot be tightened enough to keep it in place. It's extremely frustrating.Additionally the mic arm has very limited range of motion backwards/outwards it has a hard stop at about 70degrees from the table.All other mic arms I've had I've used at a 45 degree and kicked back so I can fix the arm on the table on the same side as where I sit.If you like your mic overhead go for it. Any other mic configuration look elsewhere.
3,Now I'm  not a boom arm expert but I will compare the Blue Compass boom arm to the PSA1 Rode boom arm so you can understand my reason for the rating.Refer to bottom for quick pros/cons of each boom armsFirstly I like how simple and clean it looks for a 100 dollar boom arm.  This boom arm has housing that covers up the wires and cords. The desk clamp is small sleek  and easy to attach to any desk. This boom arm just fits comfortably on it. It even comes with an adapter theading for different size mics.What I hated about is what everyone else hates about the Blue Compass; it does not accurately stay in place.  If you bend the first joint diagonally and then bend the next joint more than 90s degrees the arm will jolt back and not stay no matter what.  Even untightening the tension screw and adjusting the joint knobs it will not stay in place accurately. For example you cannot position the last joint( where you can angle the mic horizontally) how you want because it will spring out of position.  (Refer to pictures) I'm  literally holding it from springing up even with the tension screw adjusted and joints tightened. You are limited on the angles you can place your mic on the Blue Compass because when you move the arm the arm does not have a mechanism to retain the mic angle like PSA1 Rode does. You are subject to the way the angle of the mic is screwed in on sometimes. It might be facing up when you want it towards you. How I wanted my mic was to be horizontal but low near my mouth so that I can be heard and see my computer screen. This is not possible. It is with the PSA1 Rode!Compared to PSA1 Rode the Rode stays in place no matter where you place your mic. (Pic added for reference)It has one screw on the top joint that controls all the tension. You dont even have to adjust the other joints. Even the angle of that your mic was in will stay the same with the PSA1 Rode because its got two arms that keep the mic angle regardless if the boom arm position. With the Rode you just have to tighten on the top joint screw and it will stay. I can even adjust the angle the mic is in the boom arm to be horizontally. Comes with an thread adapter too. The only drawback is the there is no housing for the cables and desk clamp is a bit wider but other than that I prefer the PSA1 Rode over the Blue Compass. I can live with thr slightly  wider clamp and I can easily buy boom arm cable sleeves or cable sleeves to address the housing issue. Also it does come with 3 velcro strips to hold the cables.Blue CompassPros-Housing Hides wires(looks clean)-small strong desk clamp-thread adapter-Has Tension screw-joints can be tightenedCons-Does not stay in place( jolts back alot)-Limited angles-Does not retain mic angle when arm is reposition-Tension screw mechanism not the best-Joints need to be adjusted even after tension screwPSA1 RodePros-Can retain mic angle regardless of arm position-Has thread Adapter-Has Tension screw (on highest joint)-Joints don't need be tighten if tension screw adjustedCons-slightly bigger desk clamp (not much difference though-no cable/wire housing( can be fixed with cable sleeves
3,UPDATE: Amazon shipped a replacement.  The second boom did not have the tension issue that I saw with the first.  2 full turns of the bottom tension screw made a noticeable difference in the stiffness of the arm.  The middle joint locking mechanism is also able to hold the arm in place instead of floating back up to vertical.  I would say that this second arm is working perfectly.  Given my first experience and those of many reviewers here there appears to be a quality issue with the product.  If you experience it a replacement may just do the trick.ORIGINAL REVIEW----------------------I have really liked my Blue microphone.  Came to a point where I decided to put it on a boom instead of a stand and figured Blue would be there for me with the same quality as the mic.  I was wrong.  Very wrong.TENSION SCREWMy problem with the arm began with the tension adjustment screw at the bottom.  This arm has way too much tension even for a heavy mic.  I loosened it up about a half turn at a time to check the tension and honestly 4 full turns later it felt no different.  Even loosened significantly it feels more like a workout device than a boom to hold a mic.CLAMP ISSUESI mounted the clamp (be aware that the plastic key for the clamp sticks out further than the diameter of the socket.  In my case that meant I couldn't mount it where I wanted to because the lip of my desk is 2" deep.  That's perfect for the top of the clamp but the key is 2.25" so I can't turn it as it hits the desk.  If you are looking at this bracket be sure that you have at least 2.25" clearance so that you can tighten it.MID-BOOM JOINTI moved the arm to a less ideal spot to try it out.  In this new spot I needed the second joint to bend.  Again I had problems with the joint being so strong that the mic and isolation mount would just float right back up until the boom was practically straight.  Tightening the joint at the base had done a good job of keeping that joint where I wanted so I proceeded to do the same to the second joint.  That didn't go so well as the joint was so strong that I tightened it past the limit of the plastic cover and it still was so strong that it would go straight with everything on it!When I say I tightened it past the limit take a look at the photo to see what I mean.  Essentially the plastic cap is a socket head for a bolt that runs through the joint.  As you turn the cap you are driving the bolt deeper into the joint.  Since the plastic cap isn't traveling down the bolt gets low enough to pop out of the plastic cap and you're done.  There's no way to reverse the bolt because the socket inside the cap is too shallow.This is a poor design for 2 reasons:  1) The socket inside the cap is plastic despite the fact that it's job is to turn a metal bolt with significant force and 2) The bolt can be irreversibly driven by the cap to a point where it is too deep to remove.  There should be a limiter.CHANNEL COVERSI really do like the channel but wow those channel covers are finger nail busters!CONCLUSIONMy mic is back on the stand it came with.  I have a $99 boom that's garbage and a shock mount I can't use until I get an arm that works.  Perhaps I got a bum one but from the other reviews here I am thinking that either it's just poorly designed or there is a bad run of these. I figure an Amazon replacement is going to be from the same lot.
5,Love this boom arm. 10x more adjustable and sturdy than the last 2 microphone arms I have bought. You can mount a microphone to be held above the mounting point rather than the only option of letting the mic hang from below. Great cable management routing and clips.With a Shure SM7B you will have to keep the mic on an angle or the XLR cable will hit the pivot point restricting movement. Not a huge deal unless you want the arm extending from directly in front of you.
5,Dear BlueI bought this arm for my Blue Yeti microphone in navy blue that I use for work. I work from home permanently and I am on zoom/teams calls almost every day so I needed a headset or a microphone. I choose microphone because my wireless headset needs to be plugged in for charging every day and some days I forget to. With the Blue Yeti mic it is always connected and ready to go.I was using the original stand that it came with but I would have to move it out the way of my second monitor when it’s not in use. Getting this boom arm allows me to move it close to my mouth without being in the middle of the camera. It was easy to install and it is perfect for holding my mic. This boom arm seems to be made of thick metal material and has an inner channel for you to put your usb cable in as cable management.I had to buy the Blue model shock mount to mount my mic to the arm. Again install was easy and although I have yet to test if it works you can tell from the photo that it will work and it should work with no problems.Thanks.
4,Great boom quality is good material is sturdy. only issue is the tension issues these things have commonly. Pulling down on the mic will not stay in place it tends to ride back up even after all the adjustments to the tension points on the arm and the bottom of the base. works fine but wont go super low because tension is too much.
