rating,review
4,I like almost everything about the radio.  The only major mistake that was made was the fact that the incorrect color arrived.  I ordered the red/black combination that was featured; I received violet.  Luckily it was a color I could work with in my office.
4,I needed a small inexpensive CD player to practice some dance steps and this worked well.It was easy to use and could be plugged in if you didn’t want to use batteries.Not phenomenal sound obviously but it serves its purpose well.
4,Great
4,No comment
4,For the price this is a great product.  Sound is good and setting up the Bluetooth is easy to connect your phone.As other comments mention it is very sensitive to movement when you are playing a CD so even the slightest bump to the table will make it skip. But using it for the radio or the Bluetooth for my phone works great.You can only have one device "saved" to the Bluetooth but its super easy to connect back and forth between multiple devices.For the price and for the portability/weight/ease of being able to carry room to room or take outside it works great!I haven't used it on batteries - I'm only using it plugged in as I'm using it for extended times.  I wish the cord was a little longer but it's not that short.
4,We are returning the boombox because there are no easy-to-understand instructions for programming the radio.  We really like the color but if my husband can't program it we can't use it.
4,Complacida por la compra.
5,Ordered this for our grandson who loves playing cds.  He loved it and uses it constantly. Also the bluetooth feature is a plus.
4,
4,Appliance works well if you can find the "ON" switch which is very small square black sliding switch on rear of machine. When on a table every little movement causes CD to skip. Otherwise works consistently. Would not remommend for carrying around when playing CDs. Attracting styling. Need longer cord.
4,The product was great in my opinion but I purchased it for my uncle which I rarely use this for any other person and as he described there is no antenna and that's not TRUE at all its an internal antenna and works for basic radio stations and is a cd player as well but he is older and I wasted my time and others as he had no idea what new technology is out ! But it's all good my mother ordered him a older model for more money as he wants a very precise fm tuner but this model is perfectly acceptable for general purposes!
4,As wife is recovering bed rest she like to listen to recorded books on CD. Delivered June 9 started skipping June 28th. Used cleaner disk blew out dust numerous times and still skips even with disk that have never skipped before. Tried different disk from local library and still have same problem. Have old CD player and the disk that skip play fine on that one. Problem is unit will not fit area required in.
5,I really like this radio!
4,Love it very much! Except you have no indicator to know what radio station ur on. Took a long time to find my fave.
5,rock and roll
3,Bought it for camping and for if we lose power.  Sound quality is fair.  I don't like that there is no digital read out for radio stations.
4,Thank you
4,I still like to play CDs so i got this boom box. The quality seems very good. You can either plug it in or use 6 D-cell batteries. Ok battery power I was able to play CDs or listen to the radio. You can connect your cell to it via Bluetooth and play music from your cell. Everything in it works great. I have two complaints that keep me from giving it 5 stars. For one it does Not have an output for headphones. That really stinks. By having that I could have bought a Bluetooth transmitter and played music on a larger speaker system. Also the radio tuner is analog so you get a slight static every so often and you can't exactly tell what station you're on. The sound is just ok but that's reasonable for the price
5,It's an okay CD player not what they used to be.  Skips badly during car rides.  But if you are looking for decent CD player this one is a good choice if on a budget.  Wish the sound was better.
4,The best thing it plays my old C d's And non copyright
3,Incredibly somebody in design came up with the idea of putting the on/off/fm/am/cd switch on the back of the unit with very small same color print...........I mean how dumb can one be to make the on/off switch practically unusable....
3,Loved the Color and how it was made . Couldn’t get the cover back on after trying install the batteries !
5,Recommend.
3,Worth the price this was a nice boom box to take to lake of beach for music 🎶.  Sound quality is not that great if you turn up too loud but this will work great for some music outside at my pool and I love that it was easy to connect to my Bluetooth and use the speakers to play music from my phone plus can play my cd’s!!
4,Sometimes hard to get reception on the radio. CD player work great easy to use
4,Sound quality is fine - I've had better ones in the past but this was right in line with my expectations for the price - and I needed to get something to play all of the CDs that I still own and don't want to get rid of.  I'm listening to it within a few minutes of receiving it .Setup was quite simple:  It was simply a matter of removing the packaging plugging it in and switching it to the proper mode.  Note that while it can run on C batteries I haven't tried that yet (nor do I intend to) so I cannot comment on battery longevity in this device.
5,The sound quality is good and very easy to use.
3,The price was definitely great - all I needed this for was for NPR and maybe occasional music however important controls were very small at the back - had to keep picking it up and turning it around to make changes.
