rating,review
5,I bought these so i could plug in the plug in coolers i got for my car inside the house. These work well I've used these for plugging in the coolers and even for the usb chargers that are car jack set up. This is great. I'd reccomend these to anyone who has car plug things and wants to plug them inside
5,The title gives it all away. No complaints here. Good product. Would buy again!
4,This will fit my needs well but is very heavy.  The attachments are secure but hard to push in initially.  I thought it was defective at first but my husband pushed the connecter in harder and all works.  If you have weak wrists like me watch out for this.  Cord legnth is great.
4,I bought this because I was tired of using my big tank compressor - and needed a DC/AC converter for my portable compressor. Well I have 2 portable compressors and tried each one with this converter. One would work fine the other would turn off as soon as it tried to push air into the car's tire (but it would stay on if it was just turned on but not connected to the tire). Well it seems like cigarette lights use a 15amp plug and one of the compressors needed that 15amp. The other compressor was fine with the 10amp. I ordered a different converter that said 15amp and that one worked fine with the 15amp compressor.... It was than that I noticed that this product description did say 10amp.... so just be aware of the amp rating that you are ordering.
5,The converter outputs 12.2 VDC which leads me to believe that the output is regulated. The unit is powering an ICECO cooler and it works perfectly.  The cords are very high quality and plenty long.  The blue LED power indicator is a welcome addition.  I highly recommend this product!
5,Good product little pricey
5,got this for my hot logic lunch box to use in house or break room at work. its awesome! just plug car 12 volt into 12 volt socket and plug in wall....cant live without...while traveling plug stays in trunk and i plug lunch box into cigarette lighter 12v socket.
5,My OEM battery pack I received with my GMG Daniel Boone kicked the can in 2 years.  Now don’t get me wrong I used it almost every other weekend (if not every 3rd weekend) for almost 2 years for 10-16 hour cooks.  I checked out a new one from GMG and it ran about 80 bucks.  I tossed a couple brews back found this and figured I’d give it a shot.  Everything on the OEM battery pack matched up with this battery pack.  Oddly enough even the OEM battery pack states it’s for indoor use only - I don’t know too many people that smoke meats indoors but to each their own.  Anyways for the price it’s spot on.  Will keep up with a post if it fails “too soon” but I have high hopes.
4,ok product took three tries to get it to work right. Used this on an air compressor to inflate tires. Turns out it was easier to plug the inflator into the car than use this plug into the wall in the garage.
5,Been using this full time for a while now and no issues at all.
4,I bought this to replace a converter than quit working. This is better than the one I replaced thanks mainly to it being a higher wattage.  I use it for 2 purposes to blow up pool floater and to power my 12v portable cooler. I would have given it a 5 star but I'm stingy with the stars.
5,Make sure you the power cord is fully connected in the converter box. It's a little snug. Used to power charge my jackery power bank since I lost the power cord and had the cig lighter cord left only
4,Works as stated
2,Lo compré para usar dentro de casa la aspiradora del auto y aunque dice que entrega la misma corriente que necesito no es así. La aspiradora intenta arrancar pero no recibe suficiente energía cuando se conecta a este convertidor.
5,Does not work when using to convertNo power
5,Great product
5,Great inverter works well with Colman 12v cooler
5,Do not waste your money! I purchased this to power a 12 V thermal cooler to keep drinks and snacks cool when not in my vehicle and the very first time I took this device out of the box plugged into the wall and hooked up the cooler it fried the device. Now mind you the thermal cooler is nothing but a fan that draws air across aluminum fence to cool the condensation inside the cooler. It is by no stretch of the imagination a big power troll. It would not power up or even show an indicator light. I tried several other outlets and it still did not work.  I unplugged it for 20 minutes plugged it back up still no power. Unfortunately I was outside the return policy so it went straight into the trashcan. Buyer beware of this cheap Chinese made piece of garbage.
2,Product seemed good but unfortunately it did not work on the air compressors we have to inflate our paddle boards. I was able to return. Item seemed well made and would work for other applications I’m sure.
5,Hard to contact and is easy to disconnect when I do not want it to disconnect
5,Cover my needs!
4,Be very careful if you use this P/S for extended periods of time (> 30 minutes) at more than a couple amps.  The brick will get very hot.  Otherwise it seems to be a good P/S for the money.
2,I bought this to power my 9 amp pump for my inflatable paddleboard. I got this because it claims 10 amps. When I plugged it in the pump indicated 12.1 volts. When I activated the pump voltage dropped to 10v in about a second and then it shut off. The description claims this will work for a refrigerator (which is also just a pump) but I am skeptical.
5,Worked like it should work.
5,This does the job for a fish finder I needed for 12 volts. The price was reasonable and quality looks great. Received it quickly throug h shipping.
5,In mid May 2019 the seller sent me a replacement converter with revised firmware. It works very well with the "Tire Inflator Arteck Portable 12V DC Tire Air Compressor Pump 150 PSI". The pump can run continuously without the converter getting warm. I suspect that the original firmware set the amperage limit based on resistive load but the pump is a reactive load. The change made by the seller works. The converter runs cool even without a cooling fan.Before I posted the negative feedback I tried contact the seller (ALITOVE Customer Service) through Amazon who never forwarded my message. The seller contacted me after they saw my negative feedback. It is the kind of customer service I expect and appreciate.Below is my original 1-star comment which is no longer applicable to a replacement unit I received:I purchased this power adaptor for the "Tire Inflator Arteck Portable 12V DC Tire Air Compressor Pump 150 PSI" which has a 10A power requirement. The tire pump will run only a few seconds with this ALITOVE AC to DC Converter but runs perfectly when plug into the car cigarette lighter outlet. A clear sign that this is not a 10 ampere converter.
5,Al tener varios accesorios para el auto que necesitan 12v estos no los podía usar a estar sin el auto. Esto me ahorró tener que comprar otros accesorios para 110 a 220 v.
5,I used this to power my GMRS radio base station. It doesn't take up space it performs the job and hasn't had any issues with any of the needs it is rated for. Good product.
3,Pretty sharp cuts in and out of power there isn't a way to have a constant smooth power from this converter
5,I bought 3 of these.  2 are working fine but 1 of them did not work upon arrival: blue light did not come on and no voltage on the terminal. No visible external damage. Alitove -from Chine- immediately proposed to replace the item or give me a refund.  No hassle at all.  This is what I call attention to customer satisfaction.Yes sometimes it happens that an item arrives defective but if the supplier solves it that swiftly it deserves a 5-star rating.  Especially since the other items work great !!
5,Very powerful.  Works great.
5,Needed a new converter for our electric cooler. This was just what we needed. Works great.
4,I just plug it in (my cooler for camping) a couple of hours before I go camping and I'm good to go no over heating NO problems!
5,ease of use fast ship and works
4,Great item and price
1,I purchased the converter to power an old car air compressor/pump.  I used the 110 outlet in my truck and the compressor would start stop start stop.  The compressor's actions was like a sine wave.  I tried plugging the unit into a standard wall outlet and had the same issue.  Using the air compressor/pump directly out of the vehicle's cigarette lighter outlet works fine.  So with all the good reviews I'm thinking this was just a faulty unit out of the box.  I am not going to try to exchange.
5,After several seasons (including outdoor storage) the 12 volt adapter on my Green Mountain Grill smoker died. The smoker works fine on a battery but it is so much easier to plug it in.  This adapter had the necessary connector (cigaret lighter hate them but that's what the smoker uses) and current (10A nameplate rating).  Other reviews have stated that's not a 'true' 10 A rating but the smoker only uses ~6.7A to light and only ~2A to run.  In any case it works great in this application.  (And yes I'll store it inside over winter!)
3,Because it's only 10amp it won't run a 12v tire pump you need 15amp minimum
3,I'm sure it's great to plug cigarette lighters and radar detectors into while sitting in your garage but it doesn't have the capacity to run a tire inflator which is why I bought it. I was able to steal the connector off of it and hook it up to a real power supply though.
5,EXELENTE inversion
5,Works great.
5,Just as advertised. Seems heavy duty
2,Goo
5,Thought it didn’t work at first when I pressed the A button just give it a couple seconds and also you have to press A twice for continuous run  . Pumps fast and I really like it .
5,My husband uses this for his aerating minnow cooler and he absolutely loves that he keeps his minnows alive for so long!
5,Buen producto
5,I used it on my portable cooler and coffee maker.
2,My cord came in. I ran a fridge off it for about 4 hours then it stopped providing power. After messing with it a bit I determined the car adapter socket on the power cord was flaky (moving the socket would *sometimes* cause power to flow again.I took a Dremel to the socket and sure enough the wires are barely soldered to the socket. The two wires have the smallest of solder joints one at the rear of the pin and the other on the barrel. The whole thing is incased in rubber making is unservicable to any resonable adult. Good thing I'm not reasonable. Once I have the rubber removed using my Dremel and some pliers I scratched up the metal contact points on the socket and applied a generous amount of solder. I next cut and stripped the wiring again tinted them and resoldered them. I sealed it all up with hot glue (an epoxy or something more clever could be used to insulate the now exposed socket) and now the cord is working again.tl;dr: It's a cheap cord with crap quality. You get what you pay for. If it doesn't work fix it rather than give someone more of your money.
5,Overall I'm very happy with the purchase. I use this converter to power an air pump for my motorcycle. It saves me a ton a trouble from trying to plug the pump up to another vehicle. So far it doesn't overheat and the pump performs just as well as it did when plugged into a vehicle outlet.
5,It works good if ya don't move or touch it ..Acts like it has a short at times very touchy and you have to adjust it and don't move it it works fine...Will look for another brand next time not so touchy ....Update in my review ..the company reached out to me to help with the situation of it not working properly ... I'm happy to say after plugging it in and out several times it is working without a problemng now ..I guess it was so stiff I had a problem pushing it into the brick hard enough to make a better connection ... Thank you and yes I would buy another one ..especially  from a company that backs up its products !
3,The power plug is crisp. Used 1 from an old laptop and now works great
2,I bought this to run an air pump for a stand up paddleboard.  My pump runs fine when I plug it into my car 12 volt outlet but it will not run with this.  The pump display indicates low voltage as soon as I turn the pump on and the blue light on this unit goes out.  I'm returning it for something a little beefier.
1,Bought this to power a DC pump well within specs for which this is rated.  The maximum draw on the pump is 10A (at 12v).  But this couldn't even get stage 1 going - couldn't even get to the compressor stage where there would be a greater power draw.  It'd spin the pump up for one second then die.
5,Has a higher output rating than the original converter that came with my electric Colman cooler. (Which did burn out.) So less likely to overheat and burn out. Ran cooler with this converter for 7 days non-stop with no problems. Seems to be solid construction.
5,I bought those because I sought on a popular Youtubers channel. It’s great because it has a 12 V cigarette lighter socket so you can use your mobile radio indoors easily. Cord  is nice and long and it puts out plenty of current.
5,looks and works just like the orignal.
5,This converter was used for 10 consecutive 24 hour days. The cooler stayed cold and saved much in ice and geeting rid of the water.
3,We ordered our adapter to install upon a 12v water pump to feed water to our tankless water heater which in turn heats out inflatable spa.  The unit arrived on time as expected. After checking continuity we installed to our pump. Unit works great has near a ten amp output we use 5amps off of it. After about 45 minutes we let the pump rest as we are aware we are not using the power supply nor the pump in the manner for which they were created.  Works great perfect for small projects and replacement power supply.
5,The unit get hot
5,I bought this adapter to bring my Wagan cooler indoors overnight while driving 4 days round-trip between NY and FL. The adapter fits the Wagan cooler’s car plug perfectly.  It has a long cord which is convenient especially when traveling since you don’t know where outlets will be. And even after being plugged in all night the plug was just mildly warm. Although I would have preferred it if Wagan had included the adapter with the cooler I am very happy with this purchase!
4,The fan is a bit noisy but not really intrusive.The unit doesn't easily lend itself to being restrained in a car using the car seat belt. The belt slips off the shape and smoothness of the casing.A pity the power adaptor does not allow usage on 240v AC power source (which we have at home) so we had to purchase another brand power source to do the job for when we take it home with us after our trip to the US & Canada.It works well though and we are happy with it.
4,This adapter works really well; as when I want to clean my car with a portable car vacuum and don't want to plug it directly to the car it works just as well as plugging into a wall outlet. My only gripe is that I wish the cord length was a bit longer. But overall a good product.
5,I have a vehicle vacuum that my sister got me for Christmas but I intended to use it for house use mainly to clean the dust off all the computers and this adapter allows me to do exactly that. Supply's enough power to have the vacuum work at its full potential.
5,good
5,I bought this thing so I can run my 12 volt inflator in the house. I have a hand truck with a tire that leaks and I'm too lazy to buy a new tire. The cigarette lighter adapter fits perfectly not too tight that you tear up your shoulder pulling it back out. Works fine doesn't get particularly hot.
1,If I could give it zero stars I would as I'm that much disappointed. Bought it to use specifically with a car vac for jobs outside the car and it didn't work at all. Waste of money as I cannot return it.
5,I purchased to use with a 12v car cooler/freezer.  It works just fine although I wish that the 12v receptacle was a bit deeper to engage the male plug better.  It works as is but being a EE I would design a more robust receptacle😳
5,Works really well with my pellet grill after my factory power supply died.
5,I was sorry the wires get too hot sometimes and cause a damage but so far so good working great.
4,Works very well and does not create too much heat.  However it does have a very shallow connection socket and I had to use wide electrical tape to keep the connection solid when josselled a little.
3,happy it work with my dash cam charger
4,A very useful item a must have in every garage but the AC power cord has a cheap plastic body and snapped open at the female end with two uses exposing the wiring inside. Power output was also intermittent before that. I had a spare cord  so will keep the power supply for now.
5,I needed to purchase this for my portable refrigerator / Freezer that we travel with. I forgot to pack the 12v converter that came with the unit. Got this one as it had more power output than the original. Well made and the length of the wall chord and well as the output chord are plenty long. This is a big plus that makes it easy to plug into a wall outlet and reach the refrigerator easily.I highly recommend this unit.
4,Recently purchased with other items which qualified for free 2 day shipping-Received as described. Purchased for use with a Coleman Power Chill 12volt cooler whose previous 5 amp converter quit after 2 yr. Hoping this 10 amp will have longer life. I tested out of the box for 24 hours works well. Be sure the AC cord is FIRMLY plugged into the converter side so the the indicator light is lit.
5,Edited: Excellent customer service. All issues were resolved. Would order from this manufacturer again.Previous: Plastic at connector broke and a wire shorted with less than seven days of use. Would not recommend AT ALL.
5,great deal.
5,I am using this product to power a mobile cb radio that I placed on my desk to use as a base station.  It is working great and I have no issues.  I simply plugged the cb radio's cigarette lighter style plug into this product and powered it up.
2,I got this to run a blower that draws 10A at 12v (120w).  This wouldn't even start it. Either this is underpowered for the advertised wattage rating or my blower has a higher startup amperage than the listed 10A.  It didn't work but might be fine for lower amperage needs.
4,used for car vacum
5,Value for money easy to use
5,Working good
2,This may be a good adapter for 12V devices that require a 12V automotive plug but disappointed that the 120W power adapter can't handle a 106W automotive vacuum. The vacuum starts up and then almost immediately stops. The issue may be due to the in-rush current required by the vacuum and the inability of the adapter to handle it so it is worthwhile to be aware of this issue before buying.If you have a 12V device with a motor that you want to power off of this 120W adapter double check the wattage of the device to make sure it is well below 120W to be able to handle the in-rush current. If you need more wattage look at the higher wattage adapters.
5,Bought a portable fridge and my power station has only 1 12V DC plug.  This adapter comes into play when plugging in more than 1 12V DC plug into the power station.  I've also used this to pre-cool the fridge prior to heading out to go camping.  Does the job.
5,Works great for the car.
5,I have bought many replacement power packs here and this one is one that finally works. And powers the object I bought it for. It measures 10amps and powers a car vacuum wonderfully from in the house. Thanks you.
5,The 8 year old Coleman AC adapter for my thermoelectric gave out recently. I bought this to replace it and it seems to do the job nicely! It doesn't run too hot and I've run it for several days and it seems to be fine.
1,Ordered this unit as I was looking for a decent priced low power unit that would be here quickly. This one had high star rating and for an extra $3 I could have same day. Literally within five minutes of delivery I tried  to use it and it would not turn on. Now its too late to order something else to get today.
5,I can now use this with the car vaccum I ordered from Amazon
5,I use the ac/dc adapter to get my electric cooler cold before I head out for trips in my truck.
5,It works great for times with electricity. Good for getting cooler ready for trips using in a motel and reheating foods.
5,I ruined the powerpoint and fuse block in my last vehicle using a portable tire pump.Now I plug my tire pump into this AC/DC converter and I don't have to worry about damaging automotive components.
5,Bought to operate a fantastic fan that I put in a cargo trailer. Been using for 2 months with no problems
5,Works Great with the tire inflator.  My thought was it would be to weak for a 15 amp Tire Compressor. but I tried my Emergency inflator first with a 10 amp fuse and it worked fine. So I ordered the Convertor and when it arrived; it worked A OK.
3,I don't like that it heats up. Works well.
2,It works but if you plan to use any motorized devices like a tire pressure pump don't get this.  Get the 20a version instead.  Inrush current from motorized devices when they start up generally exceeds steady state current many times over.  This adapter will not likely be able to handle it and will shut down due on overcurrent when the motor starts.
5,Many devices operate from an car lighter socket and cannot easily be operated from inside a building. This compact and sufficient power source overcomes that limitation by providing a wall operated supply that has a lighter socket DC output like that of an automobile. It supplies enough current to operate many automotive devices from a source which is an AC wall outlet power supply. This expands your options and provides a great advantage. I bought a second one because the first one worked so well.
1,The connecting power cord doesn't connect well. It sparks on outlets (tried different one and even a different house same results). Didn't last long.
5,Works very well. Great to have.
5,A bit higher than other brands but absolutely worth it.
4,Unit fail with two times of use ??? 👎
5,We use these units to power 12 inch 12 Volt DC cooling fans.  One fan draws about 80 Watts.  We use one power supply  per fan.  So far these power supplies have been rock solid 100% reliable.The blue LED power indicator is also very useful in case we need to do any power delivery or fan motor troubleshooting.Both AC and DC cords could use another foot in length.
5,Purchased this to charge my son’s Traxxas batteries in the house. We have 12v chargers. Just making it easier than leaving them in my pickup truck to charge. Will also be able to use it for my wife’s portable breast pump when/if we travel.
1,I purchased this to be used with my green mountain grill.  My original one from green mountain was left out in the rain and I found it in about 3 inches of rain so I understood why it failed so I found this replacement online. We were having a large 4th of July bbq and that's when this one decided to go faulty after 2 months of use.  Terrible timing on something to malfunction.
1,Useless. The male / female parts fail to make a solid connection because it doesn't 'click' to engage just stays loose.Additionally it has insufficient power to run a 106-watt handheld auto vacuum. The vacuum spluttered (weakly) but never actually powered-up.Total time-wasters. I should send them an invoice for a wasted journey to & from the pick-up locker. It's infuriating.
5,This is a must have if you use the Igloo Thermogenic cooler.  It works great for many items where you want the ability to convert 12V into a standard electrical outlet.
5,I bought this to help power a Cooluli Classic Electric Mini Fridge Cooler and Warmer with a 12V power input. The pack in AC adapter was 110V-only and I needed a 240V AC adapter. I have been using this power adapter daily with the mini-fridge 24 x 7 and there have been no issues. Would recommend for those who need to trade out a power supply with a 12V output that requires a different power input. It supports 110V or 240V power.
5,Used for power supply for all my boat gps/fish finder to load sll my information in the house
5,I bought this to use with a Skywatcher EQ6-R pro telescope mount. It's been used for several hours at a time on many nights without any issues. Oh yeah. And it's 1/3 the price of Skywatcher DC converter.
1,This item would not power my 8A air mattress air pump.  When I would plug this into the wall socket and into the air pump the pump would just pulsate on and off with no air coming out.  Return this for full refund from Amazon. Thank you Amazon.
4,Works well!
1,I bought this for my Setpower TC20 12 volt fridge based off the reviews and the fact that it was a couple of dollars cheaper than the Setpower version. I shouldn't have. The DC input is not well made. It doesn't maintain a connection with the DC plug.  If I jiggle the DC plug the refrigerator may turn on for a second but I couldn't find any way to maintain the connection. Looking inside the DC input part there's a gap around the base and the inside has a yellowish tint so maybe that has something to do with it not working (see picture). I'm returning it to Amazon and buying the Setpower one. Hopefully my next one will work.
3,I bought this so that I could use my portable auto vacuum in the house but it turns out the the lighter plug for this doesn't securely hold the plug getting the vacuum in place I constantly have to push them together to get it to work.
1,El equipo vino defectuoso no sale voltaje de salida 12v. Ya lo bote
5,Great Product
1,This did not work for me. Waste of my money
2,No funciona con dispositivos con compresores portátil para automóviles de inflar llantas o gomas
5,I use this to power my vehicle's 12V air compressor for other items around the house such as bicycle tires and air mattresses. I had a converter from a 12V camping cooler I thought would work but it was only 2 amp output. The 10 amp output from this converter runs the air compressor without issues. It has provided a consistent power supply. Does't get too hot. Feel like a solid build. I would buy another if needed. It's a nice product. Well worth the money I spent.Very much recommend this.
5,This product is exactly what I need. Works very well with my tire inflator. No longer do I have to open car windows and plug into the car power supply to check and inflate tires. This actually allows the pump to work better as there is no battery loss from the motor running.It has provided a consistent power. Does't get too hot. Feels like a solid build. Well worth the money I spent.  Could not be happier.I recommend this 100%.
2,Air inflator that runs fine on my car's 10A cigarette lighter (and is specified as requiring 12V 10A) doesn't work when plugged into this. It runs for half a second then stops.
2,Would rate it 5 star for performance & versatility....inflating grandkids pool toys in back yard....BUT....I purchased 11/02/19. Transformer was garage kept & when I went to use a few weeks ago I could not get power to Bell tire inflator because of rust in receptacle...see photos. I tried steel wool sandpaper knife edge even light coat of naval jelly all to no avail. So i tried to email Alitove @ 2 email addresses they list for solution or replacement  see they're listed garuantee (sp) but email goes to cyberspace.  so beware of limited life or rub Vaseline in receptacle os something ???
5,This converter makes our Coleman 12V cooler into a 120V unit.  We can take it on trips keeping food and drinks cool while driving then plug it in at our destination to serve a a mini-frig.  Exactly what we wanted.
1,Bought this to use for a electric pump for a paddle board.  Seemed like it should work fine but didn’t work at all
1,I bought this to run a air compressor used to simply add air to my tires and it didn't work. Here's my air compressor's model and it doesn't work with this item. https://www.amazon.com/Slime-40051-Digital-Tire-Inflator/dp/B074XHFN6Y/ref=sr_1_2?c=ts&keywords=Wheel+%26+Tire+Air+Compressors+%26+Inflators&qid=1658982503&refinements=p_89%3ASlime&s=automotive&sr=1-2&ts_id=155346011
5,is as advertised other than a short lighter socket on the end of the cord I have no issues the male 12 volt plug in cords that are from a few years back are just slightly longer and want to work out causing what you have plugged into it to stop working other than that no issues
5,Works as intended
5,I like the size of the converter compared to the old style converters this one is a keeper. I don't have to worry about moisture interfering with using the converter outside. Works excellent with our cooler it's up for the job!
5,Polecam
1,Utter garbage.  It failed literally after less than 5 minutes.  Sending it back.
5,My oem ac adapter on my davy crockett went belly up and I saw this one.  Great price and works really well.  I have had for a month and working flawlessly.
5,Purchased to use with a portable air compressor that recommends 120W AC to DC power.  The compressor had no issues getting the needed power to inflate 4 tires.  The cords seem to give about 7-8 feet of length from socket to socket.  No issues with the build quality of the power brick.
5,Works as expected
5,I can not complain abput this at allI hard wired this into my boat. To run my 12 volt. Acc... And so far i can not complain.. This can power 3 led flood lights  one police led spot light . and 12 led lights i have on my boat all at the same time.
5,Bought this for my husband after our son was admitting into the hospital 2.5 hours away from us in the middle of a snow storm. The husband’s cochlear implant batteries died and he only had the car charger with us now he keeps this in the truck to allow for indoor charging as well.
5,Purchased for a x-country drive last summer.  Massachusetts to Montana with stops at 4 National Parks and 2 National Monuments.  It kept my supplies cool overnight in my plug in cooler (12 V) in motel rooms.
4,Perhaps more power than I need thus I paid more than I should have.  There was nothing on the product description that helped me determine the right accessory power cord for my small travel cooler.
5,Works perfectly.
4,bought as a 110 power source for a portable 12 volt cooler. I was surprised when unit (no load) sparks at the plug when plugged in. Now using with a switched fused power strip.
5,I purchased this AC to DC converter based on the reviews and I’m happy I did. It worked flawlessly and performed as expected. I’d surely recommend this product to anyone looking for a solid AC to DC converter.
4,works as advertised.  When plugging in the transformer cord it has a very tight fit and it took a couple of tries to get the cord into the transformaer so that it operats properly.
5,My old power supply to my green mountain green stapled working. I ordered this one as a replacement and it worked perfectly.
