rating,review
5,Excellent sound best Bluetooth speaker I've ever owned.Reordering a new one already since I had everything outside and got a heavy downpour for half hour and destroyed it. I assumed the downpour destroyed it but in fact it still works which is amazing!
4,Great sound easy to use.
3,I did not like it such low in base so small however but there other types available that have better output . Am returning
4,Great product and good battery life
4,I work as an unloader at UPS & this speaker can hook into the snake holes or safety strap bracketing in the truck.  Of course I manage to keep it clear of falling walls but I do move it from panel to panel as I get deeper in the truck because you won't hear the sound to well keeping it hooked at the entrance of the truck. However the sound quality does suffice if you move it from panel to panel at your discretion. For such a small speaker it has great sound & suffices for the work day. Make sure you charge it nightly. I hook it up to a computer or laptop to charge & if you'redesperate you can charge in the car with an android charger head but I just bring the charger line it comes with with me in the car incase I forget to charge it at home. It usually last a couple hours with minimal quick car charging.
3,This product is very small; and the sound quality was very low no bass boost at all as advertised. You have to inspect the product thoroughly in order to find the charging ports and power buttons they are cleverly hidden and there are no instructions inside of the packaging.Respectfully
4,Bluetooth is okay although could be a bit louder. It should've out volume my phone by far but it doesn't. The radio disappoints me the most for this was why I bought the item. Very few stations with frying sounds even USB connected.
5,I bought this for when we go to the pool and beach this summer. It is the perfect size because it’s small enough not to take up too much space but it gives a lot of sound! It even has a clip so I can hang it from my bag if I need to.  The best part is it waterproof so I don’t have to be worried with it around my kids while they are splashing each other. The battery also holds a charge for a long time which is a huge plus. Great buy!
5,The speakers are small but do not let the size be a deterrent to get them! It is loud!! It is honestly great!!! And the price is not bad at all!Edit to add: took it to the beach today and it was awesome!! It still has battery left in it after a few hours!!
5,This little speaker is loud for its size. Perfect for my electric bicycle.
5,Just what I expected. Works good.I bought it for running around on my bicycle cause I don't like earphones it's loud enough to hear  in traffic also has more bass than my phone (bigger speaker). A nice plus is a small carabine enclosed so you can hang it anywhere
3,The speaker is super quiet
4,Sound at 40' full volume good sound. Mid drops out a little bass more than a little. Vocals pretty good. Close to 15'volume half nice balance of sound. Really could use a bass boost but it is what it is. Have a tzumi aquaboost so I know what I was expecting and am really satisfied with purchase. Will be used poolside smoking/grilling beach. Like the demention's as it fits my backpacks better than my aquaboost. Also more adaptable for different media.
5,I got this to use outside for my work. I work at a preschool. This it perfect to put on one side of the playground to play music for everyone! And in this heat it worked well during water play! Highly recommend especially for the price!
5,We got this for our beach days and it’s been great! Small enough to not add extra bill or weight to our beach bag but loud enough to keep us grooving. Good little speaker!
3,Es mucho más pequeña de lo que esta en la foto que decepción
4,Is good product for a good price
