rating,review
4,Overall a great device and once you get it working things go smoothly. It's just that little thing about getting the device to setup that isn't clear. Ooma clearly has a long way to go with smoothing out their documentation and setup process.First off the advertised setup app on Android does NOT connect to the Ooma and it is not at all clear what version of Bluetooth they are running. Technical specifications could NOT be located for this device which is very surprising. Ooma should make this a high priority in addition to their setup process needing overhaul.Overall here are the issues I encountered in setting up the device:1. The Bluetooth setup process via the mobile app did not work for me because my recent vintage Bluetooth phone was incompatible which is very surprising.2. The alternate procedure using the https://setup.ooma.com ALSO did not work with the laptop connected via ethernet port due to the fact that they insist on using a self-signed certificate which most browers trap and refuse to connect with these days. Shame on you Ooma! You should KNOW this!3. The instructions are disjointed and written by a marketing team and not real world people who are more likely than not to run into real-world issues. I consider the instructional guide for the Ooma to be practically worthless.4. The only REALLY useful documentation is the shortcuts guide which is very well done.  Two copies are provided and I plan to make copies just to keep with all my phones.5. There are no technical specifications which is utterly mystifying to me. This should be standard with all devices especially a VOIP device.Continuing on with my setup experience: What DID work as to access the default http://172.27.35.1/ address. The reason the SSL connection via the https://setup.ooma.com doesn't work is because most browsers intercept and deny connection to self-signed SSL certificates. It is a catch-22 I've seen on a lot of wireless devices. Ooma NEEDS to change these confusing aspects of it's setup process to something more streamlined and easy for people to understand. I'm an experienced (now retired) professional webmaster and it took me 45 minutes to sort through getting this thing hooked up.Wireless does work. The setup menu in the built in webserver does work and extremely basic. I have a Google Voice device which is MUCH more comprehensive but this gets the job done for the bare basics with the Telos. What isn't clear is the order of precedence and prioritization for multiple wireless connections. Again a mystery sauce and I have yet to understand their system for handling this. Once again the Ooma documentation isn't much help but I will keep working to find out how it works and will update when I learn more.It is also not clear as to the Telos boot process and how long it takes. This isn't covered at all in the guide and needs attention. It took a couple of minutes for the Ooma Telos to reach a ready state.  This should be clearly discussed in the manual.The Bluetooth issues were also notable. The system absolutely refused to speak with a Samsung cell phone that is only a few years old and Ooma should state the Bluetooth version minimums clearly on their device and literature. As it sits now I cannot direction access the Ooma setup without their included ethernet cable. At least I had a way to press forward but if the Bluetooth is this picky why not carry a line of Bluetooth adapters that plug into the USB port and give you options for multiple specifications of Bluetooth other than this paltry and non-working version bundled into the system?My take is that the Ooma is a really nice piece of gear. It's main issue seems to be the poor documentation and a Bluetooth issue that seems to be a deep dark secret for those of us wanting to know more. I have yet to work with the Ooma team to port my old landline number but will update here about the experience when I get that all done. I did like the security features to block spam callers with "unknown" and a wide variety of other settings on the web app for the application. Time will tell how well this works.  The other great feature is the addition of a forwarding number you can use when the Internet is down which can be to a wireless device for continued coverage.On to the positive: I'm glad I got this. Price is right for the basic service and I'm considering the premier plan. It is FAR FAR cheaper than what we are getting from a certain ancient carrier whose prices are completely out of line with reality. Goodbye Landline Hello VOIP and Ooma.
3,I needed a landline replacement for a family member and figured this would be the easiest solution. In setting up and then eventually canceling service for this device I found that Ooma is too shady for my liking.First issue: To make sure the device worked I set it up with my info since the previous Ooma device I ordered was DOA. Only this caused major frustration because after setting it up and checking everything I come to find that the outgoing caller-ID is automatically set to the billing name and is not configurable. Okay I’ll call them and have it corrected. I call them and it’s a $20 fee to change caller ID. Seriously? No thanks.Second issue you’re not allowed to remove your credit/debit card details unless you replace them with different credentials. The only way to remove your credit card info is to call their support number and cancel your service and have your entire account deleted in the process. You cannot cancel service anywhere online and must call them to do this.Now what if you delete your account and want to use the Ooma service at a later date with the hardware you bought? You must pay a reactivation fee.A suggestion to anyone turned off by the credit/debit card lack of deletion: look into a virtual credit/debit card. Many banks offer these and there are services around for them as well. They allow you to mask your payment details with virtual numbers that can have customized payment limits and uses. Great for shady companies that hold your card info hostage.Third issue: Ooma makes canceling your service painful and drawn out but I’ll tell you what to say to get it done without their BS. When you call to cancel service they will question you over and over why you’d want to cancel. Then once they accept you don’t need the phone service they will try to offer you a security service that will work with the Ooma device. I had to explain that I don’t need it and just want my account cancelled. They finally agree and transfer me to cancellations. The cancellation department agent asked me all of the exact same questions and then tried again to sign me up with their security service trying to get me to buy security hardware from them. I repeatedly decline and then the agent tells me “it’s probably too late to return your Ooma though” as if to say I’m stuck with the hardware and should just use it. I let her know that I returned the unit already and she immediately cancels my service without fuss. Now I hadn’t returned it yet but just needed to drop it off. So the key to canceling service without fuss: say you returned your Ooma or sold it to get them to shut up. It took me about 25 minutes of back and forth to accomplish this.For background on the last straw on why I returned my Ooma. Everything was ticking me off but the wireless on my unit never ended up working. I needed to have the wireless feature and could ignore the caller ID issue if the unit just worked right. But after the customer service fiasco I am thankful I was able to realize that Ooma isn’t a company I want to associate with.They do everything they can to nickel-and-dime you. Reactivation fee if you cancel and come back or give your unit away/sell it 40 dollar porting fee 20 dollar caller ID fee auto sign you up for a trial of their premium service and charge you for it if you don’t go into your account and change your plan force your to keep credit card info on your account force you to deal with customer service for rudimentary settings that should be available over their web portal and then charge you for it and all of their support is outsourced.I went ahead and purchased a used obitalk 202 device and set it up with Google voice and once Google voice goes I’ll use another voip service with it. It’s a great alternative to Ooma if you can find one.
5,Easy to set up with a seemless number porting process this is a sleek device. At $119 the Ooma premium call plan is heavily feature rich. Aside from the premium plan the cost in taxes and telecon fees (typical for any phone plan) is not even $6/month. This a far cry from $840/year on standard landline. Between cutting the cord in exchange for free/low cost streaming taking on Verizon plug-n-play internet and dumping the landline for Ooma I've been able to save my mom more than $300. A MONTH. I used our current landlne phones and the sound us crystal clear. No complaints here.
4,Got this for my 87 year old dad who was paying too much for cable and phone. Works fine and he hasn’t complained yet. Much cheaper alternative to cable phone service.
4,Was easy to register & hookup through their app luckily has a strong Wi-Fi connection to the network. Strangely when on the device/phone if another party is calling in they do NOT get a busy signal that you are on the line. Other than than it works fairly well - so far…
4,I have known about Ooma for a number of years and seemed like a great idea. and a real bargain.Recently my parents moved into assisted living but Century Link will take a month to move the phoneSo I got the Ooma (I like saying Ooma!) lol and set it up using the wifi at the assisted living place.of course it's a new phone number but we can call and check up on them they can call their friendsThe set up took a little bit pretty straight forward but it still took a little while and then it took about 30 mins for updatesOnce all done the system works great calls are crystal clear.
5,Highly recommended if you're looking for a low-cost landline replacement with advanced calling features.  I've been using a wired Ooma at my house since 2016 and just purchased this wireless one for my Mom.  We're using cordless Panasonic DECT phones with the Ooma at both locations ... the setup works great.Service cost is ~$5/month without Ooma Premier service and ~$15/month with Premier.  Get the Premier which gives you a second line caller ID spam blocking call forwarding conference calling free calling to Canada and Mexico etc. etc.  Previously I was paying ATT ~$35/mo for basic local service and another $10/month to a budget long-distance service.  With Ooma I'm paying about 1/3 of that for a service with many more features.Pros:- Simple installation- With Ooma Premier all the features mentioned above and more.  Spam blocking is particularly great and almost completely eliminates nuisance calls- Fax compatible prepend *99 to outgoing fax numbers- You can keep your existing landline number.  Ooma will "port" it for you and give you a temporary number in the meantime.  Porting takes 1-4 weeks.  I've done trouble-free ports of Pacific Bell (CA) and CenturyLink (CO) numbers- Sends standard voicemail waiting signals to connected phones -- just like phone company voicemail -- so that you can be notified of and pick up Ooma voicemails on connected phones that support this signaling- Reverse powers wired jacks in your house if you want multiple phones or fax machines connected (disconnect your house from the phone company's lines to do this safely and *don't* try this if you have DSL Internet ... it'll likely disable your Internet connection)- Smartphone app allows you to send/receive calls from your Ooma number pick up Ooma voicemail and monitor incoming/outgoing calls from anywhere; the app isn't amazing but it works.- Informative browser/web interface for monitoring and configuration of the service.- Sends address information to public safety when calling 911.  Be sure to configure your address correctly during setupCons and things to be aware of:- Requires a reliable Internet connection with a few 100 kbps of bandwidth for the Ooma.  You can set up Ooma to automatically forward calls to another number if your home Internet goes out.  Otherwise your Ooma voicemail will record incoming calls which can be retrieved after your Internet comes back (or from the app or the browser interface).- Sound quality of voicemails recorded by the Ooma is muddy.  If your home phone has a built-in answering machine try using that instead (just set the phone answering machine to pick up after a smaller number of rings than the Ooma).- If you wire the Telo in your house rather than connecting via WiFi note that you have the options of (a) installing it between your Internet modem and router or (b) behind your router on your home network.  While Ooma recommends (a) for wired Telos note that the Telo will limit throughput to your home network to 100 Mbps in this configuration slower than many of today's Internet plans.  My $0.02: connect a wired Telo behind your home router.- The "flower" light on top of the Telo is very bright by default.  It's brightness can be adjusted by logging in to the Telo (not your Ooma dashboard) or with the Telo rewind button (see https://support.ooma.com/home/ooma-telo-basic-functions-and-faq/)
4,We are moving away from a land line and were looking for options.  Our cell provider would give us a single VoIP phone for $20/month but we currently have three extensions we use.  I ran across the Ooma product and it appeared I could connect it to my home 5G network use my current phones (wireless with a base station) and do that for about $85 for the Ooma device.  The Ooma installed and was working we requested Ooma port our home phone number over and for $60 or so they got it done and our land line now connects via the Ooma.  Our monthly land line charges were <$50  (with Ooma it's <$6) so Ooma will pay for itself in 2-3 months.  Other than the Ooma updating firmware a couple of times (5-15 minutes each time) there were no surprises.  Call quality seems fine after having made 5-6 calls so I call this a win.
3,I have been using a Telo for many years at a second home  and for the most part you cannot beat the overall experience.  Upon arriving back after 6 months the OOMA was not connecting to my wifi. I had to use the wifi dongle as there was no built in wifi at that time and my router was on the other side of the apartment. After calling tech support and being escalated to the 3rd level no one seemed to know why I was not connecting as on setup I was getting a message that I was either using the wrong password or was too far. Neither was the case. I could never really talk to anyone knowledgeable as they would pass my issue up and the same person would call back to repeat whatever they were told. I am no networking expert but I am not a novice either. So also having a second Telo early version I tried the exact same things and immediately it connected but then I was getting the purple light that meant that a firmware update was needed. I had not had this unit plugged in in a couple years ( and to move my story ahead- I cancelled that service today ) and it kept updating for almost 24 hours. I finally was frustrated and just ordered the Telo Air 2. Upon arrival I knew not to try to set it up as I wanted to transfer my telephone number to the new Telo. I called customer service who told me to give them the activation number she immediately knew that I had bought it from Amazon and she said I would receive an email that it was activated in 30 minutes. 2 hours later not having gotten an email I called got a different person who looked up the account and said it was activated and an email just went out. Still have not received it and it is not in spam folder either. I asked about how to set up wifi and she told me to call back. When I got back home I connected it to my router plugged it in and immediately it needed a firmware update which the woman on the phone told me. The instructions say that it should take 5 minutes but could take 30 minutes. 4 hours later it was still showing it was updating similar to my older one that I was not going to use. So I called and got support who had me unplug the unit something I was afraid to do since it was supposedly updating. Then I got connected by lan but needed to be connected by wifi. So he tells me to go to a web site where my units is viewed and has me go thru the same thing that I had done on the older units. And each time I had the same experience as my earlier units. I do not know how their phone system works but they cannot stay on the phone with you for more than a certain time and they tell you they have to call you back before getting disconnected. So he called me back and as we kept trying again the same thing kept happening. I asked a question and the next thing I know I get disconnected. I thought maybe it was my cel phone but after calling back and finding out that they were closed ( after 8pm Eastern ) I realized it was time to go home and he accidentally must have disconnected me since he never called back. So I kept putzing around and finally saw that there was an iPhone setup app. I downloaded it went into it and told it to change the wifi connection. As soon as I did about 3 minutes later I was connected by wifi. I moved the unit waited for it to connect to wifi and I am back working after having much frustration ( spent almost 8 hours on the old units ) all on the part of OOMA tech support. As I have been an OOMA user for many years I can recommend the product but while it should be easy to set up their support stinks. I would never consider buying any of their other products because of this. My setup is with an Apple Airport Extreme and an Airport Express to extend the network. They wanted to blame it on the fact that they use the 2.4ghz band and the Apple broadcasts both the 5ghz and the 2.4 at the same time and the product is to pick up the best choice. Since the OOMA does not work on the 5ghz I really do not know why there was a problem. And I think since using the App to fix everything their online computer system is the real issue. If I could I would give it 5 stars for the product and 1 for their support.
4,Since the cost for a conventional land line has reached a ridiculous price and without even including caller ID and the massive long distance fees to actually call anyone out of the immediate area decided it was time to try a voip service. Setup was fairly straight forward using the downloaded app on a Samsung phone with the exception that others have noted regarding setting up the wifi connection. Had to connect an ethernet cable to a laptop to do this. Ooma really should fix this since many complain about it.  Porting our landline phone number took less than a week. So far haven't encountered any real problems. Call quality is as good as before.A couple of complaints to note. First Ooma gives you a couple months of their premium service package for free however you have to opt out or you'll start getting billed for the additional $10 bucks per month. Secondly the porting fee is supposedly $40 which seems excessive. On our account they also are not showing the actual amount they've billed for the port which is why I said "supposedly". Another small complaint is the device takes more than 5 minutes to come online after cycling power. Seems a little slow slow. One reason to cycle power is the device tends to operate fairly warm. There's enough heat generated that anytime we're on a trip it's unplugged. Not taking any chances on it starting a fire.
