rating,review
5,I specifically purchased this outlet to accommodate multiple devices with large plugs. I could only accommodate 2 devices with 2" plugs using a standard strip. Due to the layout of the receptacles on the strip I was able to power many more devices with large plugs. The only flaw is the lack of a power indicator light on the strip itself.
5,I use this for my fish tank and all the extras that have to be plugged in with it. The flat plug is a great addition to this.
5,This is a 15 foot braided cord six-outlet surge-protected grounded extension cord. It does what it advertises.
5,It was fine
5,This protector has a good amount of joules and there's no light (so you don't have to cover it).  I have several of these and never had a problem.
5,I bought 2 of these and am pleased with my purchase. I like the 2 ft cord since I don't have all the unwanted cord length to wrap up.Some reviews said they were poor quality. They seem sturdy to me. Heavy duty cord and plug solid plastic casing.Some reviews complained about the reset switch. It doesn't indicate On or Off but it's pretty obvious if you plug it in and your device doesn't work that it's Off. Just flip the switch and get on with your life. LOL
5,Great product
5,Important to protect against overload of electrical outlets at home or office very important tool.
5,Great for multiple items to be plugged in and work.
5,The cord length was perfect and the flat plus worked really well in a tight space.
5,No need for an extended cord. Sits nicely behind my sleep number bed without extra bulk.
5,Good
4,Worked perfectly for my application.
5,Fit my plugs perfectly. Does not cover the reset button and doesn't get in the way of the other outlet.
5,It works
5,Just what I needed working good.\
5,This worked prefectly to get the tv/gaming cords up and out of reach. The plug is flat making it difficult for baby to pull on or dislodge as opposed to one jutting out of the wall that you can grip and pull.
4,No light indicator for on or off amd ot jus feels really light and cheap fragile etc.. but it worked after i plugged it in so..
4,Works just fine. No issues. I’m just glad it’s hidden behind a dresser and no one will see it. It came all scratched up probably from poor packaging on Amazon’s part. Wish they had boxed it instead of bagging it.
5,Excellent. Arrived on time. No issues. Great product. Recommend it
5,We needed a simple surge-protecting power strip to consolidate all the power cords on our outdoor TV.  This one was the perfect choice for a great price.
3,Works as intended. Only issue is the cord is stiff and dosent sit flat but on its side.
5,Very resistant
5,I wanted a short cord right angle plug and power switch on a cheap power strip. This one fit the bill. The braided cord looks nice though the rest is just the usual cheap plastic so the braiding is kind of overkill. The rest fit what I was looking for and I figure if it's a GE-branded unit it probably really did go through the safety testing that the box claimed.
5,The cord is delightfully long and well insulated. The surge protector feels dang solid too; like it’s going to last. The protection rating is obnoxiously high and can protect like 3 TVs from a lower surge but please don’t stress your outlets like that that would be silly.There is an off/on switch on the side that the pictures here on Amazon don’t show. Good buy works for what I needed it for if I need another one for something I’ll probably buy this again.
5,The cord needs to be longer
3,Bueno  básico y economico
4,See the title. Nothing special. 4 stars is good. 5 would be spectacular. No complaints. I do like that the switch is on the side so those big warts don’t turn it off.
