rating,review
5,I installed on this on my Stick Up Cam outside on the side of my house.  I decided to not use the included mount but instead use the siding clips that hook into the siding and leaving the panel flat on the side of the house.I must say this solar panel is super sensitive to light that the Camera status charges in the morning and dusk.  The panel does not need direct sunlight to charge the camera.  My camera maintains 99-100% battery life with above average motion recording in my driveway. I must mention that I use the 14minute snapshot feature plus 60seconds of record time on motion and Frequently read motion without down time.  Generally these features will ruin your battery life. But this this panel it's been a trooper.  To a point that I've considered to purchase another one for my other camera. I just need a spot to put it without making my house look too ridiculous.
5,remember the days of solar power calculators?  I bought the security camera then later the solar panel to discover a better performance than just the battery.Simply find the sunny side of the house screw in the mount to the wall setup the solar panel and connect to the Ring security camera.Worry free and strong considering another one for a later project.
5,Easy to install and I don't have to climb a ladder as often if ever.
5,We are using these with Ring stick up cams and they always keep the battery at 100%. Would definitely buy again.
5,Bought this instead of the ring solar panel to save few dollars and its works perfect.
5,Great product. No complss as internet at all.
4,No battery worries  easy install Get one and don’t worry about unexpected guests
5,This camera is okay but not as good as the normal outdoor wired cameras. I don’t think I would order another one like this one. I love my other out door ring camera’s.
5,I connected it to the ring battery cam. The battery is always at 100% because of the sun.
5,I have this hooked up to my ring spotlight cam. Keeps it charged up so I don’t have to worry about swapping batteries in and out
5,Hard to find things that work with the ring camera that aren’t made by ring. These work perfectly. Ordered 3. All 3 perform as expected. Have had them almost a year and no complaints so far. Held up to various kinds of weather.
5,Easy installation and works as I had hoped-no longer need to get on a ladder to do battery recharges. This is east facing
5,Works great easy to install
5,My battery "Ring" camera now always shows 100%.  I have three Ring Solar panels they also provide me the same result.  That is a twenty dollars different with the same result you need the only I don't know which one can last longer. But for now I am happy with the performance.
5,So far been keeping ring outdoor camera battery charged.Paired it up with gutter clamp attachment for no screw install.
5,I don’t have to bother my son or grandson to come over and charge the battery anymore.
5,This solar panel looks good and seems solid. It's cheaper than the 'Ring' branded solar panel. The panel seems of good quality it plugged into my Ring stickup cam no problem and has been keeping it charged. I like this actually better than the one offered by ring because the angle of the panel has more adjustment capabilities than theirs.
5,Product looks identical to the ring panel. Works great and brought my battery to 100% in a few hours. Great product. Easy to install and well designed.
5,Performs as advertised.
