rating,review
5,Got this so I could hear TV over fans without turning TV up so high. While it doesn't have noise canceling it works great!! My "cheep" TV was bought for picture quality. Now I have excellent sound too.Paired it with my phone and NICE!! So I bought a second one for mom to hear her phone and TV better. Maybe now I won't hear her phone/TV when I'm outside.😁Not quite plug and play but my 60+ brain handled it.It doesn't come with charging adaptor but I have plenty of those.
4,Only a very slight delay better than many others. The buttons are all too close to one another. Very easy to press the wrong button when adjusting volume and powering off and on. The material used for ear covers is not durable but they are comfortable.
5,I’m 83 years old with severe hearing loss. I spend a lot of time watching tv but even with my hearing aids I miss a lot of what’s being said. I had stopped watching movies because I miss most of what is said.I was able to set this up in less than 5 minutes with the head set pairing immediately. The lip sync is perfect with no delay.I am now able to hear and understand ever word. Originally I thought the volume control on the head set wasn’t working but eventually found that it necessary to press the volume control multiple time to change the volume.I’m very happy with this purchase. The only down sides is I was hoping to connect to my BT hearing aids but that doesn’t happen also I can’t hear my wife calling me when wearing the headphones.
1,UPDATED REVIEW 1/5 Stars (4/13/21)In addition to all the other problems with this they are super annoying in trying to both turn on and turn off.  You have to hold them for 5-8 seconds if while you are holding the button in the center it shifts to either the left or the right you have to start all over again.  They are poorly designed for shutting down or starting up.  On start up you get blasted twice with the BOT.  Once to say Welcome then a pause and it says connected.  The volume of the BOT is much louder than the volume of the Headset for listening to the audio on the television.  I would NEVER recommend this nor will I ever purchase this brand or anything from this maker again!UPDATED REVIEW 2/5 starsOMG this is the worst ever!!! There is ABSOLUTELY NO warning until the battery is dead and then the warning is SOOOOO L.O.U.D!!!! Talk about ear damage.  You have the level safe for listening to your program and then the BOT comes on and says "LOW BATTERY" while she Y.E.L.L.S!!! at you and then she does it again 30 seconds later.  That's it two 30 second warnings and then it is D.E.A.D. NO sound!!! There is literately NO timely warning -- (as in an appropriated 30 minutes to let you at least finish what you are doing? Nope!)  Low battery should be stated when you turn it on if there is 30 minutes or less left of battery life not while you're in the middle of using it and then to give you no time to finish what you are doing?? That's terrible!  This is MOST ESPECIALLY true since this pathetic headphones do not have the ability to change out batteries so you can be charging an additional pair in between.  Because of the headset is SEALED and one battery for the life of the product you can't just have a spare pair of batteries waiting to change out as needed.  Environmentally irresponsible to not have batteries that change.  Health Irresponsible to raise the volume level to tell you the battery is low. And seamless viewing is obliterated without the ability to have an additional pair of batteries in the waiting.These are NOT consumer friendly!!!ORIGINAL REVIEW was 4/5 starsOverall this is a good headset that does provide the 40 hours it states... actually I was able to get 40 hours and 22 minutes so I definitely can't complain about the length of time.  (No I didn't do all 40 at one sitting but I did keep track so I could see if it gave the 40 hours it claimed) that said there are some things I think could use an improvement.I am replacing a previous pair of wireless headphones for TV.  I always had one set of batteries in the charger and one set in the headphones when the set in the headphones died I could immediately replace and not miss a beat of music or an action of movie.  Unfortunately for this headset the battery is integrated into an enclosed sealed non-replaceable location.  That means to charge the battery you must stop what you are doing and charge the battery back-up to speed.  ... too bad for you if it's in the middle of the best part of the song or an action intense part of a movie...cause there is no way around the lost connection when you cannot have a spare battery waiting and ready.I wonder -- Have headphones in general changed or is it just this particular headset? No idea but for me that is a bad replacement for continuous use.  The other flaw with this is that batteries don't tend to last as long as the product which means on my old system I just bought new batteries and it kept going (I didn't replace the headphones because they don't work but because the new TV won't work with an RCA jack and I needed to switch to an Optical set-up)  This means that when the batteries on this set eventually do die I will be throwing away a LOT more product than what might actually need replaced.  Very wasteful and harmful to the environment.In addition to the lack continuous battery ability the ear pieces themselves take a bit to get used to. ... no wait...I'm still not all that comfortable with them but tolerate them.  I have ear piercings the headphone padding presses the earnings into my head; my original pair did not do this.  The padding was big enough on the previous pair to fit around the outside of my ears and not sit directly on top of them pressing them to my head.  The padding was also comfortable enough I could wear them for longer periods of time than I can wear this pair.  This pair the padding is very stiff and small squashing my ear (and I am a small person female and only 5'1" I can't imagine how they would fit a man).Next they claim to have 100 foot ability eh I don't know that I entirely agree with that.  My original headphones had the same range and I could travel farther in my home without disruption of the signal cutting in and out or static on the line.  I waled from my office 12 feet to the restroom to wash my hands and they cut out! Twelve FEET that's not 100.  Granted it was from a room to a room but still TWELVE FEET!  My original pair I could go down stairs and start a load of laundry between while the advertisements were on hear what was going on and be back to watch as the show resumed without missing a beat all while my husband was on a conference call so I wouldn't interrupt his work or while he's sleeping and I'm doing tasks but not with this I need to stay in the same room.The transmitter is nice and small so it doesn't have a big footprint taking up space so that's a nice feature though it may also be why they don't reach the distance my original headphones could reach.So in conclusion they do most of what they claim even if they aren't nearly as comfortable as I would like and I do miss the seamless transition when the battery needs charged. For me lack of comfort and the fact I will need to throw away the entire headset just because the battery finally dies and will not further charge making it a waste to the environment means... I will be in the future looking for a different set up and not getting this item again.
5,Bought for tv in bed so spouse wouldn't wake. They are amazing! Not only noise cancelling and great sound quality but it's easy to pair with anything. We're now using this single headset with a smart tv android phone and Oculus!
5,My husband is hard of hearing. These work really well and he is able to leave his hearing aids in. Best he has had. Very happy with them!
4,Pros: Easy to install transmitter and easy to pair  Good quality constructionCons: Not made for a large man's head....cups do not completely cover the ears  On/Off ....I found out you have to hold the on/off switch until you hear the prompt which is in  about 5 seconds .  It's not instanteous  The sound seems to be a little "echo-ey"...not really crispy clear.Otherwise i will keep them they seem to work with my Samsung TV pretty well.
4,Product is fine. Warranty registration is rediculous. You are penalized for buying through Amazonas you have to jump through many hoops to get the 2 year warranty that you would automaticallyget by buying direct from Avantree.
4,These are pretty good.  Easy to hook up.
5,Bought these for my husband and they work great. He sits in the same room I work from and can watch TV without any interruption to my work day. Easy to install and works with our older TV sets too!!
5,Easy hookup. Sound great. Long battery life.Can't ask for more!
5,Our kitchen and living room are the same space.  These make it so someone can watch TV and others can socialize in the kitchen.  No more arguments about the TV being too loud.
4,Sound is not as it should be but I am able to hear better.
5,Very nice quality headphones
5,Exactly what we needed for my mom to hear the tv
5,I am enjoying the use of this purchase.
5,The audio quality is incredible when the transmitter is connected to the optical audio output from the TV set. I have not tried other connections. Understanding what is being said on TV is a challenge for me as the TV audio is not very good and I have typical age related hearing loss. Even with hearing aids understanding every spoken word is a challenge. With these headphones however I can understand every word and do not need to use hearing aids.
4,Easy to set up. Last about a week using approx 3 hrs per day before needing charging .Good sound and able to adjust for optimal hearing the TV.  I'm a senior with hearing loss and these really help with not having to blast the volume on TV. My only complaint is they are hard to turn off. I press and hold down the button and it takes quite awhile for them to power off. They come on In a couple seconds but takes much longer to go off.
4,Headphones work really well and are very comfortable
5,Great sound volume control could be a little easier bit really Nota problem
4,overall headphones seem to be doing the job of letting me hear the volume at high level without disturbing the rest of the household.
4,It's only been a month but the unit is working well. Better sound blocking then our previous headphones. Our dogs go into barking fits at least once a day for no reason at all. I can pop these on and continue to watch my program. We also use them when one of us is sleeping and the other is up watching TV.
5,Very happy all around with the headphones. However installation may prove a little more challenging than others on the market. Made in China instructions might prove a little head scratching. The good news they have a very good customer service dept. They can clear up any questions.
