rating,review
5,I had to learn the hard way from a previous magnet that it works best on the outside of the case. I didn't want to have something sticking out on the outside cause I was afraid it would feel weird or the adhesive would pick up all manner of dust. This product however does not have this issue. It has stayed on the magnet real firm while driving. Does not have adhesive on the sides so it's not picking up debris. And it does not feel any different on the case than without it. Like sure I notice it but it does not interfere in such a way that it impedes my phone holding experience. The best part is there is no logo on it!
5,We used the rectangular magnets for the backs of our phones. The adhesive held well and the magnets' strength are powerful when we use them in our vehicles. These magnets are great quality!
5,Thank you for providing these matter of plates. They were fantastic for what I needed and for the value would recommend it if you just need the plates and nothing else five stars for sure.
4,Good for price.  I use these in my clear phone case to attach to my magnet phone holder while driving so I can see the screen without having to hold my phone.  They work well.
5,I use these as back up plates to stick my phone to a magnetic mount in my car. They stick very well. Actually too well if you love your phone then stick it to the outside of a phone case instead of the actual phone.
5,I personally don't use the adhesion I just put it between my phone and phone case and it works perfect.
5,La calidad es la mejor
5,Soporta el celular bien
5,Super strong and useful. Perfect size if you need a magnet for your phone to attach to a base in your car.
5,Exactly as described!
5,Just perfect
5,Works on it just needs a little more adhesion
5,I have it stocked on the back of my phone case so I can just use it for my car magnetic stand and it works GREATT my phone doesn’t fall and it stays in place. Through out the whole ride. I feel like the magnet is very strong especially for the price. It’s great. JUST GET IT.
5,No he tenido ningún problema
5,These are so had to find.  Perfect magnets
5,There are so many magnets that you can put one on every phone case you have (if you are like my best friend and have a case for every holiday or season). Very good for the money.
5,I use this on the back of my cell phone as well as the back of my Garmin to mount on magnet mounts in the car.  Works great and a good value since you get a good selection of sizes in the package.
3,Did not work for me.  I got a new phone so I bought these to replace the metal plate that I couldn't pull off my old phone.  I tried putting these new metal plates on the inside of my case didn't hold onto car vent magnet.  Then I tried putting it on the outside of my case as ugly as that is still doesn't hold to car vent magnet.  I used to have a very strong hold with the original metal plate that came with my car vent magnet so I guess I have to replace the whole thing.
5,Always switching phones or cases and this assorted pack is great to have on standby if needed.
5,It works for what I need it to. Sticks on fairly easy and hasn’t fallen off yet.
5,Come in handy and lasts awhile
4,Good size strong easy to use
5,Me encanto el producto se adhiere súper fuerte. Lo recomiendo al 100% y lo compraría mil veces más excelente producto
5,Works great!
5,I changed my phone in case I needed a metal plate replacement. All the other options available at the time seamed too pricey. It has worked very well for a few months now.
5,I’ve bought various magnetic disk for my iPhone over the years.  These were by far the best for adhesion and durability.  Plus you get extras if you change cases or phones
5,I wrote a scathing review thinking this was a magnet. I found out later it's just metal for your magnetic cell phone holder. I edited my review after finding out. Great product after all.
5,loved it
5,Thin enough to put under the hard back case of my phone and still use the cover for my popsockets. Strong enough to keep my phone where is supposed to be.
4,I like it
5,I bought it last year but still it works perfectly.I'll get again if I have to change my phone case.
5,Best value I have found
5,These are totally awesome and i legit think they may be better than the original ones that came with my magnetic fone holder.
4,Good product
4,Worth the money if you need them not bad
5,N/A
5,My son who almost has his drivers license HAD to get this... I have a magnet on my dash for my phone but I can't use it in the summer heat. NOT only are they as described BUT I have to say I'm impressed! My phone stays put in the heat there's a variety of sizes & easy to cut if you need to trim. A+
5,Great product. Recommend it.
3,These did not stick well to the mount but wouldn't come off of your phone. I didn't really like this product
5,Excelente Material
5,No complaints works very well
5,works great
5,Works great
5,Title says it all.
5,New phone required new case.Needed a magnetic replacement disc for my car.Got 8 pack for $5.Great deal
4,The adhesion doesn't work.Had to super glue it to the phone caseThe good thing about it it doesn't scratch easily and it's durable
5,I wanted something to put on the inside of my phone case not the outside or directly on my phone. I did had to put two on the same spot so it could be strong enough to attach to my phone holder and it did the trick.I also want to note that even though I had two metal stack together in the inside of my case my case doesn’t feel bulky and still fit my phone perfectlyIt came with four Square and four circle which is a lot for the price. I will totally buy this again if I needed too.
5,I just wanted to let you know I love these they last a long time and adhere well back of phone  phone case .  I used for an older tablet too!! Delivery was smooth and fast enough!  Thank you for your service!! And I will buy again if you still make them.
4,Adhesive good only thing is that the metal used for this material isn't too good for the magnet vent clip I'm using. It's a pretty strong magnet perhaps it's the thickness of my case but great product for price
5,It was all said in the title these are a money saver vs having to buy the entire holder again
5,Item came as promised packed OK and was simple to install.
4,I had to use to metal plates one inside case and one outside to get it to stay on car mount. Some reviews stated used one for their hard case but that wasn't so for me.
5,Works as advertised.
5,It was easy to use and was nice and strong.
5,Easy to install
5,Worked well as a replacement for car mount
5,Nice
5,Adheres well.  Works with my magnetic mounts.
5,When I got a new phone and phone cover the metal plate I needed to use my phone holder in my car needed to be replaced.  This was exactly what I needed so I didn’t have to buy a whole new phone holder for the car.  And having several extra discs means if I change cases or if something happens to the disc I won’t need to buy again anytime soon.  The disc adheres easily and seems to be a solid grip and the price was right.
5,I love these inwill day they work better on the case than the actual phone itself. The magnets work so well that on one phone it didnhave a hard time sticking to the actual phone but after buying a case which I have tonhave one or I'll break the phone anyways. It jas worked great!! I love these and would recommend them for any phone
5,Seems to do what it's supposed to. I live in a very hot climate and still stuck to my phone and it gets real hot on the dash of my car.
5,It is exactly what it's supposed to be. It does what it's supposed to do. Good buy
3,I originally bought these when I switched phone cases and my old metal plates could not be removed from my old phone case.  However as others have said these are just way to thin to be of any use.  It simply could not stand up to the weight of my phone.  Since I had several left over and I lost my left eye in an unfortunate accident during a game of chess several years ago I decided to try these out to replace my eye patch.  To my surprise they worked pretty well.  I just had to put another hole in them which wasn't hard since the metal is so thin.  They are a little uncomfortable after a few hours but for a night out on the town they're pretty great!
4,Wish the platform was bigger so it could hold my phone more stable
5,These are just like the ones that came with my magnetic phone holder.
5,They do what they're supposed to do. It'd be harder to mess this up than do it right.
5,Great
4,Nothing to dislike really like how they come in big small round & square.
