rating,review
5,TL;DR: I was burned by being a cheapskate buying a compatible off-brand now I will only buy Brother ink.Although brother ink is already priced low I was being cheap and bought an off-brand that was supposed to be compatible with my printer. After originally detecting the off-brand my printer stopped detecting it while it was still a full cartridge. So lesson learned don’t be a cheapskate and buy only original brother ink. Unless you wanna take that chance and end up with almost full color and black cartridges that are unusable (unless you’re willing to siphon the ink out of the unusable cartridge -not an easy feat but doable- and put the ink into an empty cartridge)
5,EASY TO REPLACE... GREAT  QUALITY
4,The ink cartridge is never completely used up.
5,OEM ink cartridge. Does what it’s supposed to do
5,It seems that the printer always wants more ink. I swear if I didn’t know better I’d say my neighbor was stealing it when I sleep. No wonder printers are cheap. Besides gasoline I also complain about the price of ink.
5,Good printer. Bad ink! Not factory. Never again.
3,Very easy to install but after printing the first page it was very light in color. I preformed a ink head cleaning and then it worked great. But now my ink level is half way gone. Not worth the money to buy this brand named item
5,I always use this brand because it's a good brand and color.
5,Like it
4,The ink was a little faded during print jobs.
4,print any documents I need.
5,This printer cartridge is very easy to install.
5,The ink arrived on time. The price was okay. It worked as expected. I will purchase again in the future.
4,I'm not sure if it's the amount of ink in these cartridges or my printer but the ink gets out of the cartridges very quickly even though I never print anything other than black and white copies. Even the black ink disappears too fast. I print less than 5 pages per month and most of them are much less than full pages. The red blue and yellow are neve used but the inks goes out of the about every 3 to 4 months. I think this is excessive.
5,Not sure if they really last as they claim.
5,very easy to install Just wish they would last longer
5,It works
5,These are the perfect size for my use and the price is just right
5,Very good items
4,this is a great product overall however it does not live up to the 400-page quantity of available print usages. that number is much less. not sure what it actually is but its not 400 pages.
5,My sons use product for their college work
5,I will reorder this product again.
5,Easy to use
5,The media could not be loaded.                                                                                 I love it
5,excellent print quality
2,My cyan ink cartridge came empty & there is no way to get help. The 800# is a joke I don't have 30+ minutes to toy around with the stupid auto prompts & everything for a $9 cartridge.
4,It's ink. I have to have it so I buy it. There's not much to review. I don't know what sheerness is in terms of ink. The print quality is good and the price is what it is.Made the mistake one time of buying a generic brand ink and was warned when I put it in the printer that it might damage the print head which the generic brand ink did so I now always buy the brand of ink sold by the printer manufacturer.
5,verry good
3,I think it's too expensive for these ink cartridges. What you pay for one ink cartridge if you wait for a sale you can buy a brand-new printer with cartridges? The product worked fine.
5,I don't know if it's a good value but I know that I'm not happy that Brother ink dissipates quickly when not used for periods of time.  It's a function of the printer not the cartridge I believe.  Never experienced that with other brands of printer.
3,There is no way you get 200 pages per this cartridge. I have printed maybe 35 pages and its already low on ink. I get spotted lines (yes I cleaned nozzles) and still get the same crap print quality. Sometimes I get lucky and it prints great. But I can guarantee I wont get 200 pages. I cant return it because the "close" date has already passed.
5,I ran out of black ink as I was working on something  so I ordered  this and got it next day. I was able to complete my work on time.This is a great printer and these ink cartridges are very easy to replace.
2,I've gotten the more expensive brother ink from Amazon and I'd say this isn't the real deal. Cheap ink. Il use it up but definitely won't be getting the cheaper ones anymore. Stick the the real ones. That's why they cost more.
5,Good deal
