rating,review
5,Short and to the point wrap up : Great little dash cam.  Not complicated at all to set up or use.  Video quality is great night or day.  Records audio and easy to mute.  Also easy to adjust the angle with a twist.  Sucktion cup as a good tight hold I will update if I ever have a problem with it but I don't feel I will.  Long cable should I want to hide it along the windshield and door floor etc to make it very "stealth". Full Review : I've been on the fence about getting a dash cam for years now. While I live in a state that does not have any crazy insurance problems or discounts for owning a dash camera I still wanted one.  You see more and more videos online about accidents or someone witness something with a dash cam and I can't help but feel if I was in a situation like that I'd like one too.  Call it peace of mind or just the fact I can say "It wasn't my fault!" and have actual proof! That for me was the biggest pro for getting a dash cam proof.  Dash cams are becoming more and more common and there are more and more on the  market every month it seems.  Eventually I decieded I should dip my toes in and finally test one out.  This device is one of those set it and forget it ones.  You set it up check the footage after a drive and don't have to fuss with it again.  I'd recommond getting day and night in there before you check the video. Now for the actual product which has been great.  It comes in a nice little box with some foam padding around the camera to ensure any shipping bumps drops and crushes don't damage the camera.  The intrustions are simple and clear and come seperate from the full manuel to help get you started faster.  I was actually surprised it came with two cables.  One for the car with the old "cigarette lighter" plug port and a shorter one for plugging the camera into a PC should you want to grab video straight from the camera itself and not have to remove the microSD.  Which for some might be very handy since microSD are TINY! As I said it had two cables where I expected only the one for the car nice.  Also surprised that the plug for the car has a little slidable piece and hides a USB port!  So if you did have something plugged in there already and it happens to be USB you can use this for a pass through.  The cable as you might expect is very long not sure I even need half of it but I'm sure someone who wants to really hide their cam has plenty of cord to work with. The camera itself looks just the part like a really mini DSLR almost.  The lens is pretty big and extends out of the camera but not so much as to make it bulky.  I appreciate the addition of the 1.5inch LCD on the back which makes getting into the settings easy.  Some cameras that I had looked at needed to set up on the PC or via phone app I don't like that.  I prefer settings to be "on device" should I need to adjust adress or otherwise need them quickly. I do recommend at least an 8GB microSD card as setting the video's to 1 minute loops has each one come in just about 110MB which is over 100 videos. However if you wanted to have a longer loop say five minutes that would be 500MB for each and will only give you about sixteen videos before it starts to loop. I would say keep it to 1 minue or three at most if you are using 8GB. Smaller cards I wouldn't go over one or even recommend to use it as you will be loppint over video quickly and if you "protect" some you might be unable to record more until you save those to another source. The video is clear and would record any accident you would have in front of your car.  This should be more then enough for any insurace claims or court case to prove your side of the story.  At night license plates are hard or impossible to read but I won't dock a star from the camera because I feel this is not important.  Given most people don't have a dash cam any kind of recorded footage is a big bonus. Finals notes : The timestamp on the bottom gives you date and time as well as your license plate # (I left that blank for this review as my videos are public) and speed if you have the GPS attachment/upgrade. (I do not at this time have that). In the video I have the settings to default 0 exposure 1080P/30 and audio off. In the picture I did not yet choose where I want to have the cam and I was moving and adjusting it for this review that is why you see the USB cord hanging down from my rear mirror. I did not do anything with it as of writing this review.
4,|—-This review is incomplete. I will come back and edit it when I get more experience from the camera—-|I purchased this for a friend because we always see something wild when we’re together. I purchased this camera for its price and many positive reviews. As always I took them with a grain of salt. I expected it to be neither excellent nor well not bad.The packaging was nice though just a tad awkward. After getting the second box opened (first was the one it shipped in) I was met by a quick start guide some kinda sweepstakes-type thing (share video get chance to win) and a full manual. I read the quick start guide but I’m more of a learn-it-by-doing-type person so I retained the absolute bare minimum I needed to know which was it needed to be charged for 2-3 hours before use. So I decided to do the next logical thing: I started using it. I’m kidding. I plugged it into a phone charger for a couple hours like it said. I hadn’t put a memory card into it yet so it didn’t record anything.The display seemed decent at the time (I left all of the protective film on everything) but after I got it set up later it actually looked pretty good. It’s also at this point that I decide to set it up. It was awkward navigating the menus. Well it was fine most of the time but the instructions didn’t exactly make it clear how to apply changes you make. Turns out it’s automatic. This confusion actually allowed me to almost exactly sync the time to what my phone said (you can modify the seconds too but I didn’t feel like it especially if I could get close).I was going to use it in my friend’s Jeep but I was too busy trying to find stuff that I forgot to insert a uSD card into the camera before leaving. Another friend tried to mount the camera anyway (I was in the back). He tried to take it back down but the suction cup resisted. He finally got it down dropping it. He handed the camera back and called it a GoPro. To be fair that’s what this camera looks like lol.Skip a couple of days and I was able to put the camera into another car. I actually remembered to insert the uSD this time. We drove for about 10 minutes and parked and waited for someone else. Once he came out it was decided to take his vehicle instead of ours so I was unable to capture any more footage. What footage I do have ins’t really enough to tell much about picture quality. We didn’t even get close enough to another vehicle for me to be able to read the plates with my own eyes.Speaking of footage the files stored on the card are in MOV format. This is a Windows file so you will need a Windows machine to watch it. I tried an Android tablet. It saw the files and even gave thumbnails but refused to play. Windows 10 played it no problem. In the camera settings I enabled GPS speed logging on the video even though I don’t have the GPS mount. I just wanted to know how it reacted and as expected it reported 000 MPH the whole time. The image seemed fairly crisp for the price. The stamps placed in the videos aren’t as up-to-par but can be overlooked. The audio wasn’t bad either.The camera mount will accept a USB mini B cable while the camera itself can take a micro B cable. It draws power from either. Included with the camera were two cables. One plugs into a standard 12 V port in a car and has a little tab that rotates open to reveal a single USB port. The other is meant for data transfer between the camera and a PC. I haven’t tried but I would imagine the data cable can also be used to supply power.I’m going to go ahead and rate this as a 7/10. As I said before I haven’t really had a good chance to test this camera yet and I will come back and edit this when I do. If you need yourself a cheap dash cam I will go ahead and recommend this. I also plan to put up a comparison video at some point comparing this camera to a whole ‘ other make and model (Viofo A119) because I can.
5,This camera is perfect for what we needed. We have a new driver and I want him to have some sort of witness if there was an accident. Our area has had soooo many hit and runs lately and I've been told that many people who don't run change their story to try to say it wasn't their fault. Although this won't catch anyone hitting him from behind it will clearly catch people cutting off weaving and running lights/stop signs.
4,Affordable quality dashcam. The videos are alright. Will record sound with the ability to disable.  Wide angle viewing.  My only wish is that it would rotate 360 degrees so I can position camera to drivers or passenger window to record law enforcement or other subjects on the sides of vehicle.
4,I love all the reviews but I think I got a lemon. I did a test drive for over an hour and only 2 files were saved. I couldn't read the files keep saying "file error". When I try to manually record the timer stays on 00.00.00 and doesn't change implying it's unable to record. I have tried multiple SD cards and formatted them both on the device and on my computer but it still doesn't work.UPDATE!!! I fix my "FILE ERROR" problem by just clicking on DEFAULT SETTINGS in the SETTINGS menu.
5,The media could not be loaded.                                                                                 Bought 1 camera back in December for my car.Easy installation/setup. I wanted to wait a bit and see if the camera was going to be able to handle the Arizona desert heat and it was doing so well I decided to get a 2nd one for another vehicle.I was able to get one of the cameras working with a 128GB SandDisk microSD and the other one has a 256GB Samsung microSD. No issues so far. I used a computer to format both memories.The camera resolution is 1080p so don't expect to catch all the little details. It can be difficult to get a clear license plate while driving at freeway speeds but it's definitely better than nothing. The video quality overall is pretty good. I was a bit impressed.I was more worried about the camera handling the heat and so far we've had a few 115+F (46+C) days and it's doing just fine. Even the suction cup stayed on the windshield.Both cameras are doing great. They are as basic as can be plug and play. To get footage you'd have to take the microSD out and plug it in to a PC. I found the "G-Sensor" feature a bit annoying so I disabled it on one of them.Both cameras were installed on mid size sedans so no issues hiding the cord plenty of length.The camera records videos of 5 minutes at the time and each video is 544MB. So a 1 hour video is around 6.3GB and it's split on 12 five minutes videos. I get a lot recorded on a 256GB microSD.I would totally recommend this for the price. If you're looking for a decent quality camera without spending too much money this is the one.
4,The dashcam is pretty small so it doesn't take up much space. It's also designed very well with the power cord coming out of the suction attachment arm (makes it easy to hardwire if you'd like but also better looking in general). Only had a slight issue with the microsd card slot as the card keeps getting stuck inside. Has formatting and setup options built in that are convenient.0
5,Easy to mount and install.  Necessary with all the aggressive drivers on the road today.
3,This camera I bought back on December 7 2018 lasted about 4 months (it was for my son and he never used it so I started using it 3 or 4 months ago.I had my car in the garage this morning and went out to head to the store and the dashcam was on the dash so I picked it up to put it back up on the windshield and smoke started pouring out of it with the strong smell of burning up electronics.  Not sure what's going on but its toast.  I'm just glad it did it on the windshield and I caught it in time and not on my dash when I wasn't in the vehicle.  Other than frying itself it was a pretty good little dashcam for the price.I'll probably replace it with a different brand.  I have a Rove in my truck I've used for years and its pretty great.
4,I like the camera and the fact it's motion and vibration detected! I just wish I could turn it around to record in case I got pulled over so I could record the police officer
