rating,review
5,Ordered the Victrola Retro Radio/ BT receiver last night at 11:30 P.M. and go t it at 8 P.M. tonight. Great service! Unpacked the unit and was very pleased by its retro looks - simple yet beautiful.  Wanted to buy it in the walnut color but opted for the Espresso since it was on sale - no regrets. Ready to use right out of the box - all you do is connect it and you're set. There are two minor quirks on my unit which are not deal breakers but may or may not be present on other similar units. I was tuning the radio to my favorite FM station (105.9) and did not find it on the 105 section of the dial but on the 107 section - odd. The Bluetooth takes a little longer than expected to sync with my I Phone 13 but no big deal. This aside I was blown away by the sound which is full and rich through all volume levels without distortion in my opinion. Nice crisp clear sound. I listen to mostly classical music but do listen to other genres as well and i am sure the unit will do it all justice. The bass=treble knob was a a great touch - I found that keeping the knob in the middle yielded the best sound balance but admittedly this is my personal taste. There is a wire antenna on the back but I saw no need to unravel it as the reception was perfect as is. So to sum up this is great little unit to have anywhere in your home (so compact and lightweight you can take it from room to room). As mentioned above i was blown away by the sound quality for such a small unit - the price may seem high but it is worth it. If this is what you are looking for do not hesitate -  you will not be disappointed.
5,This radio fits well in the space provided.  The color blends well with my decor. The sound is superb as I listen to my favorite radio stations and programs.
4,I received this retro radio/bluetooth speaker a few days ago and it definitely exceeded my expectations. I was hesitant about buying it after I read a few of the negative reviews on here but I'm so glad I went ahead and bought this. I LOVE LOVE LOVE this radio! The look and feel of this radio is really true to what this type of radio would have looked like decades ago. Between the wood finish the knobs the circular AM/FM dial and the cover...I really appreciate how it looks...VERY CLASSY! Other than the giveaway of the small red and blue LEDs that are at the bottom right of the radio (for AM/FM or bluetooth) one wouldn't be able to distinguish this radio from an actual antique radio IMO unless you examined it up close. With the radio off and LEDs not displayed it would be difficult to assume this radio was not the "real deal" (antique). The only part I really would have preferred would have been the dial to be lighted but it's not a big deal. If Victrola had offered the same model with a lighted dial I would have willingly paid the difference in price for it. There is also a dial for bass and treble (it is just one knob and you turn it one way or the other to add more or less of each). I appreciate this feature too as I prefer more treble than bass when it comes to listening to radio and other music. I was also surprised at the sound quality for this type of radio (tabletop). It's not a Bose of course but definitely sounds good! The Bluetooth connects quickly and sounds good also. Very stable connection. You do have to turn the volume up higher for the bluetooth verses the radio but I kinda expected this was going to be the case with this radio.Regarding the person's post about the FM dial needle not being aligned properly...I have not had that type of issue. I tuned into stations and they were pretty much on spot with the respective stations' frequencies. We have a station at 99.5 FM and the needle was just under "100" so that seems accurate to me. What I couldn't believe was how well this radio received stations especially for a tabletop radio. I am about 25-30 miles south "as the crow flies" from the city. Although we receive most of the bigger 100 kw FM's from the city most of the lower powered stations are difficult if not impossible to receive on most radios here (other than via a car stereo). This radio has sensitivity like none other I have seen with a tabletop radio...well maybe a tabletop that was actually made 30+ years ago. Not only am I able to hear all the 100 kw class C FM stations from the city I am also hearing just about every low-powered FM translator from that area as well...stations we normally only receive on better quality radios car stereos here in our area. Unbelievable reception on it! Granted with a dial you have to fine tune the dial to get some of the lower powered FM's to "lock in" but it's doable and I get a fairly decent signal from those stations just as I do the more powerful FMs.The one negative about this radio is the AM reception; it is definitely lacking but most radio manufacturers are not spending a great deal of $ on the AM section of radios anymore. Most non-music AM formats such as talk sports etc have moved to the FM dial in many areas so AM is an afterthought. Sound-wise and recpetion for the AM section...I would give it a 2 out of 10 rating (10 being the best). I was unable to receive many AM stations on it but then again we are quite a ways from the city. Personally I would have preferred the AM section to work better than it does since I'm a radio nerd and interested in not only FM but AM broadcasting. If you're looking for an AM radio for listening or for DX purposes I wouldn't recommend it. For those who don't DX you can always listen to stations via their online streams on your phone/tablet/mobile device and send it to the radio via bluetooth.I highly recommend this radio if you're into antique radios and/or into FM DXing as I am. Definitely worth the $ I paid for it! If you're thinking about buying it GET IT!
4,This is a fantastic replica that is easy to use. The Bluetooth connects quickly and the radio picks up channels with ease. The frame is plastic meant to look like wood and the speaker has the traditional braided  cloth cover.My only 2 complaints are: 1- the dial glass is accurately plastic which was disappointing. 2- I wish the Volume would go just a bit louder.4 out of 5 stars
4,The look and sound of this radio is pretty great. However there are some big problems that is your choice if you can overlook. The dial isn't accurate if it shows 104 on the dial you are on 106 in reality. Also AM doesn't really work at all. I can get only one station on AM the rest is fuzzy. If you can overlook these it's a great radio.
4,The radio is good for what we bought it for. I would have liked an input auxiliary Jack in back.
4,Got it for the look and it's perfect for that. The sound quality isn't very clear. Readily connects to my phone via Bluetooth.
5,So just like I thought when I plugged this retro radio in and used the manual tuning knob I picked up an interesting message.  A message about time travel from those who came before me.  They had no idea about Bluetooth or “streaming” not even of WiFi.  It was a message from the past that talked about old news stories local car dealership promotions (“dealerships still exist?” I asked myself) and calling to win contests and prizes.  I listened longer to the message being sent over the airwaves and eventually the chatter faded and I was left with soft elevator music.  Not wanting to get brainwashed by the message I tuned some more watching the small needle jump between tiny numbers.  What did this all mean?  The sound faded then picked again where the music coming out of the message box was now from the 1970’s.  I was sure of it.  Isn’t this Captain and Tennille?  I must be traveling in time because no way anyone is still listening to this today.  Now I don’t know much about Bluetooth but I have all my teeth and won’t knock a product feature that I know nothing about.  I did shut the box off after a few mind numbing hours as the effects of time travel began to sink in.  Instantly I was back in my kitchen checking my smartphone like nothing ever happened.  Shhhhh. My crazy secret is safe with you right?
4,Plays very well  and looks nice.  I use it mostly to listen to otr shows via Bluetooth.  The only thing is that the dial is not backlit as advertised.  Otherwise I'm very pleased.
4,Love the look and it connects really easily. I just wish it went a little louder. The sound quality though is good
