rating,review
5,The monitor works fine.  However what I disliked about it being a previously loved product was that it wasn't packaged well for delivery.  Since most delivery carriers don't really care about treating the products they deliver the product should have been packaged better.  When I got the monitor there was nothing to stop the contents (typical cardboard filler that typically comes in a Dell monitor box was missing)  from moving around during transit.  The items were loosely placed in a Dell monitor box which allowed the contents in the box to move freely around and contributed to scratching up the back of the monitor with the base of the stand. The power cord is not the original power cord and only came with a VGA cable (which is pretty much obsolete).  The USB 3.0 hub cable and display port cable was also missing. It would have been nice to know if these items were not going to be included in the description. Other than that the monitor works fine by testing with cables I have for my other monitor but i have to now go buy the needed cables to use the monitor.
5,This was easy to setup. I did purchase a DP cable.  Working from home with multiple monitors is a must!
3,Stand is different. Monitor DELL logo not in same place. No side USB ports.
4,I'm a computer science student in university currently and have been using this for about a year now. Haven't had any problems display is clear and has good color. Makes reading code so much easier. I know it did not come with speakers which I kind of miss. I don't know how to get audio through external speakers if I hook the Nintendo switch up to it but usually if I'm using my laptop audio isn't a problem.
3,Not too bad for a budget monitor. The colors are clear and accurate the menu is very easy to use assembly (if you can even call it that) is a breeze and the way they built the stand to move without too many complicated parts is genius.I will say though I was terrible disappointed to find minor damage to the monitor out of the box. The stand has scuffs and scrapes on it that do not appear to have happened during shipping it looks like they were shipped in an already scuffed state. I wouldn't mind too much if just the stand was scuffed but the monitor has damage as well. The monitor has a nick in it that is large enough to be annoying. There's also a round spot on the screen about the size of a nickel that's much darker than the rest of the screen has several pixel-sized nicks in it and leaves a faint dark shadow left of the dark spot (about 2.5 inches of screen.) While the screen damage may have happened during shipping I feel like more care could have been taken with the packing to prevent this.I may consider attempting to get a replacement if possible. Not a fan of the fact that I spent the money to buy a nice new monitor only for it to arrive with damage.
5,The good: it has a nice design including a thin bezel which is great for a duel-monitor setup.  The mechanical design of the stand is very good.  It goes together in seconds with no tools is sturdy and is highly adjustable including tilt in both directions.  The monitor seems to be pretty intelligent about selecting the correct input signal and it will automatically switch when I plug something new in.  Comes with DP and USB3 cable.  The integrated USB hub is great and adds some real value; it's handy for your mouse/keyboard memory sticks etc.The bad: I'm kind of picky about monitors so take this for what is it.  The viewing angle is good but not amazing.  Way better than the old TN panels but not as good as my wife's VA panel.  There is also strange inverted color ghosting that shows up in very specific situations; sometimes (maybe 1% of the time) when I scroll through a webpage I will see magenta or cyan ghosting on the edges of light gray areas.  I was able to mostly eliminate it with some minor tweaks to brightness and contrast but I feel like I shouldn't have to do that.In summary: The picture doesn't look as good as a $300 VA-panel gaming monitor but its a good choice for the office.
5,I order 4 of these to replace my aging HPL2045ws  One of them was starting to have issues over heating. I think they are almost 10 years old but were high end when I bought them. So 24" to replace 20" similar resolution. These new monitors are slightly better resolution. I almost don't notice it though.  What I do notice is the size difference. So that was a good change. I don't want anything bigger. I already have to turn my head too much to see things.The Quality of these dell are as expected from a well known company. The price was mid range for this size and resolution. Well worth the extra $20-$40 each to know that I was not going to get 2 bad monitors of the 4 I purchased.  For me these are equivalent to a matched set. I need all 4 to be in good condition for a long time to come. Replacing one with a different type/brand would for sure cause me to have to replace all.I am very happy with the purchase.  All 4 arrived same day (2 day prime delivery) and I was able to mount them on my 4 monitor Versa mount stand quick and easy. They are light weight and always cool to the touch. Another upgrade to the old HP LCDs I had. Office stays cooler now.  No issues with Nvidia cards and Windows 10 or 2018 Server.I would recommend these to anyone looking for good monitors for Cad Software development or general office use. Video seems really good on them too but that is not something I really know a lot about.
5,I don't know how relevant this review will be to others but...I am in Software/Operations.  I do a lot of e-mails and powerpoints but also do some coding.  I have a dual-monitor setup for my home office with I guess a VESA mount.  (little square) mounting point.One of my old monitors died and I decided to replace both.A few years ago i had run DVI cables and power cables from the monitors to my docking station about 10 feet away.  I wasn't really looking forward to rerunning everything for new cables etc...I had purchased two DVI to HDMI converters.Just for me the swap out of the monitors was like scary easy.  I always expect some bumps...but this went WAY easier than I had thought.The VESA mounting area was perfect on the monitor and it came with its own screws for them.  The power adapter took the same 3 prong adapter that my old monitors took (so no rerunning power).  The HDMI inputs are downward facing so the cords don't stick out from the back but point downwards so the cables look good.Anyway good monitors with a nice picture and very easy setup.
4,In general Dell monitors are reliable long-lasting and pleasing to work with. I have used a number of Dell monitors before and my experience has always been fantastic.This monitor however is surprisingly not up to Dell's standards. In terms of design is like other Dell monitors very elegant. In terms of quality of display however it is a bit off. I can see the pixels by eye if I look close! Being a H-series monitor (H=FHD Full High Definition) one would expect more of this piece of electronic equipment. It is true that now we are used to watch 4K everywhere even in the screen of a smartphone so this makes the experience with any non-4K FHD a bit less exciting and sharpens up defects in the screen. I don't feel fully confortable working with this monitor for long hours. For someone that does not plan to use a monitor full-time for work and does not use it for graphics-heavy duties like design gaming etc this might be okay for the price actually quite a good buy.Update: After some days of use I am happier with the monitor. Although I still think the quality of display could be a bit better.
3,My monitor was missing the HDMI cable the screen is okI was expecting more pixel density but probably I'd need to buy a WQHD the colors are okthe design is nice although I can't mount in my wall stand if you buy this in offer is ok...
5,I use two display monitors when I work.  My main monitor is in landscape mode and then next to it I put another monitor in portrait mode.  This is great as I can see an entire day's schedule on my calendar or an entire page of text including the footnotes at the bottom without having to scroll down.  Also it is so easy to cut text from one article and then drag it to the other screen and paste it into another document.  As a result the swivel feature of this monitor was a primary criterion.  My only very minor criticism would be the one page of drawings that amount the instructions as to how to put the thing together (the base the upright piece etc.).  One step was particularly cryptic.  However if you already have a Dell monitor you can look at it and guess how this is done.  It was very easy things did fit into place the screwhead turned easily and the base upright did snap easily into the the back of the screen itself.  Then one simply connects the screen to the computer (I used the Display Port dp connector).  The resolution is fine.
5,I was looking to upgrade my home office since I'm working remote more these days so I started researching a lot of different monitors. I originally went with two 25" Acer gaming monitors because I got them for a pretty good deal through BestBuy. Since they were TN panels the viewing angles for programming were terrible for my application.I then started researching again and came across these monitors. I returned my other two and bought two of these. These monitors are terrific for my programming. The viewing angles and color are superb on the IPS panels. I can't recommend these monitors enough for programming. They're connected through the provided DP cables to a Dell docking station. The text that is displayed is very crisp. I'm extremely happy with my purchase.On a side note I'm not sure the response time on these monitors would be suitable for gaming. However I'm not sure that IPS monitors are the best choice for gaming yet. Most IPS panels will have a higher response time than TN panels. For any other use these monitors are a great choice.I didn't use the provided stands that came with these monitors so I can't comment on the stands. I bought a dual monitor VESA mount stand off Amazon to mount these.Update 2019-09-13:Coming up on almost a year of having these monitors. I still thoroughly enjoy them. I still stand by the initial part of my review regarding these monitors. It's funny that I bought these for my home office because my employer actually start upgrading everyone to these monitors too. They seem to be well praised around the office for our use.
4,Was very upset did not include HDMI cable to connect to my Dell laptop!  The monitor is really nice though.
5,I bought this for work only to hook up to my laptop to see better and I don't reget it.  It's not a gaming monitor but it my Justice League wallpaper looks really good
