rating,review
5,Have one that is filled up and needed another.  Glad to see it's louder just can't figure out all the numbers on it sometimes.  Don't like to read manuals coz can't remember
4,a poets tool
3,The recorder has 2 drawbacks.  First if you are someone who is not tech savvy this device is very complicated to use.  Second I was very disappointed when I opened the package and held the recorder in my hands.  The ad makes you think you are buying a solidly built recording device.  Far from it!  The photo makes you believe it has a solid chrome metal casing.  On the contrary!  The reality is it is encased in cheap plastic just a step away from being a toy!  Absolutely NOT worth the price of $50.  Very disappointed.
4,This item is not advertised with a model number and its ICD PX240 for a few dollars more could have gotten a much better recorder. I am learning to be careful in buying from Amazon.
4,Use it to record board meetings with 12 people around a table. 1 mic on unit 2nd external mic picks up everything. High quality recording. Great purchase.
4,A fine unit. My favorite feature is the line in that allows for mixing in a second audio track while recording.It won't take an SD Card larger than 64Gb
3,I use recorders daily to take notes while working. Later I manually input notes taken from recorder into computer. This recorder’s voice quality has much to be desired. The quality was disappointing & sometimes frustrating to listen to.
4,I had forgotten what life was like when you used throw away batteries with no indication of battery level. For me the whole point of this device was that it was light so it could be used while walking. But it uses old fashioned batteries with no battery level indicator so you need to keep buying batteries and carrying them with you with zero indication of when the device will suddenly die and you'll need to replace them. The modern version of this device would have a rechargeable battery so it could start each session fully charged. Instead your audio will randomly die and if you're not watching it you'll just lose the rest. I recommend finding a rechargeable version instead or go back a generation and find rechargeable AAAs.
5,It is very easy to use and to upload to the computer. Really plug and play
5,Recording audio inside helmet on motorcycle.  Works great almost no wind noise at 100+ mph.
5,This is the second and third unit of this recorder I've purchased in the past 10 years and I've never been disappointed with it. I'm a huge Sony fan anyway. I use this unit for as a backup audio recorder when filming projects. My son uses it to record lectures at university. They are durable small fit into a loose pocket and the sound quality is amazing. This is a definite workhorse as well. I love the fact that it has an input jack for a lavalier and an output for ear monitor. It's a simple touch of a button use device that can be used for so many different applications and in a variety of settings. Two thumbs way up for this product!
5,Great gift
5,I had an old Zoom that finally broke. I needed a replacement but didn't want to spend a lot since I don't record as much as I used to. (YouTube videos etc.) I find the sound quality very good comparable to the Zoom. (Can't remember the model) (old).The buttons are very straight forward and easy to use. Comes with a lapel mic so yes you can connect an external mic.
3,I've had many digital recorders however with my last 1 which was px370 i was not able to transfer the folders to my computer any longer... so i purchased the PX 470... the quality of sound is sharp when playing it back  however you cannot move the recorder at all or even touch it qhile recording as it will pick up the swooshing sound of moving or touching it right in with the recording which is NOT A good thing! ... thus the reason i gave 3 stars.  To me it is a down grade compared to the 370. But will do in a pinch.
4,I am a journalist and use this for recording interviews. I've used it twice since it arrived and I'm very pleased. The sound quality is excellent. My only quibble is that the tiny screen is hard but that's a very minor issue. All in all I would definitely  recommend.
4,This recorder so far is great - perfect for what I need it for. Seller did a great job in completing the sale and getting the item to me quickly. So far no issues and everything is working as expected.Pros: Compact little unit that replaces another Sony recorder that I paid 5 times the amount for.Cons: Sound quality is good not superior but for the price it was what I was looking for.Seller did a great job  - everything functions as listed nd I am more than satisfied with this purchase.
3,We used 2 times in 2 months and never worked again 😞
4,Although it works great it is somewhat difficult to get the recording volume correct.  It would be nice to have a visual display of the recording level rather than have to set the level by trial and error.  Got a distorted interview recording because the default level was set too high for use with a lapel microphone.
1,Recorded an hour of vocal audio that sounded fine night of recording while playing back to make sure it was fine. Woke up next day to export and audio was corrupted still had the hour recording but was just a buzzing noise instead of the vocal audio.
4,Music
5,I have just started to use the recorder and find it very helpful to keep track of life particularly my ideas for creative work.  I take numerous photos using my cell phone but need a separate device to record the experience of natural beauty in a way that I can retrieve it when I’m working on a new piece of art.  I also record meetings since my adhd doesn’t help me recall all that I need to remember.The recorder arrived well packaged and has a nice case and the needed cables etc.  This device was well priced and delivered very quickly.
4,It is small and discrete and I use it for taking secretaries minutes.
5,I 'm a journalist and had a similar previous Sony recorder that lasted for about 15 years. This works just as well and is equally easy to use. Highly recommended.
5,This recorder is small but mighty.  It has excellent sound quality on playback and great noise reduction.  Recorded a three hour outdoor meeting with several periods of high winds and it sounded like we were indoors. Very easy to use and to download contents.  Definitely recommend.
4,I would have given this recorder 5 stars except that it is not built like my Sony recorders at work. It feels more like plastic then like metal. It picks up the background noise more than my other recorders as well. It does do the job of recording someone who is quite a ways away. For the price this a good recorder.
5,good for any recording and birthdays and for meetings
5,I like the idea of having a separate mic for the recorder it allows me to put the  recorder in my pocket  and pin the mic to my stole for my homily.  I just wish the  holder for the mic would kiip the mic in place.  It doesn't hold the mic in place rather it slides down and off.  Will have to figure something out to make the holder tighter.  Otherwise I like the combination..Fr. Ed
5,I used to have this recorder for my studies and I found it here! Useful for my need!!
5,I liked the product it was small easy to use and download the files to the computer. I use it to record lectures and songs.
5,Very easy to use. Works just fine. Good enough for what i am Using it for.
2,I would not recommend this unit. I tried it in several situations and could not get a good sound out of it. The addition of the mic was a driving factor but it too was not of good quality.
5,use the product to record songs i will be singing
5,Easy to use basic recorder functions. The microphone clip is a bit cheap though. (The mic itself works fine and is very sensitive)  I think they could have invested in a better clip. Sony kind of dropped the ball on that one. I’ll be looking for a different mic setup but the recorder itself is a great little unit.
5,I purchased this for my niece for her birthday to help her train her signing voice with playback. Great device with quality sound to hone your craft in the beginning stages of training.
