rating,review
5,Top rated XQD card as advertised! Works perfectly in my Nikon D850!
5,I shoot a lot of 4k video at dance competitions. The worse feeling is your add showing it’s full and being just last midpoint at an event. My previous card was a 120g. Not enough. Now I purchased the 240g and it’s definitely worth it for my peace of mind. You can never go back and recreate a moment in time. This was a good buy for me.
5,Me encanto
5,Exactly what I needed for my professional photography business
5,I paired one of these with a Nikon D850 nearly 4 years ago and have run tens of thousands of images through it without  a single problem. I really appreciate the speed when photographing birds in flight using Continuous High shutter setting and 14 bit Raw image output. I just purchased a second one for a long trip where I expect to shoot lots of photos and need the extra capacity a second high speed memory card gives me. I also appreciate the speed of offloading images to my PC.
5,This is the second one I’ve purchased for my camera. The card holds a great amount of pictures and is necessary for the large format files of the D850. The card allows for fast downloads. I haven’t had any issue with these cards.
5,The Sony  XQD card is fast and robust. I don’t worry that the memory card is going to give me a problem. I have bought many of these exact cards and they have never let me down. Yes prices have increased but that is due to inflation.I don’t hesitate for a second in recommending the Sony XQD memory card.
5,It arrived on time. I read reviews and made comparisons. I concluded this was the optimal purchase. I am at best an amateur photographer and I'll get around to reading the camera manual about how to use this card.
5,Purchased this from Focus Camera. The first one was lost in the mail. I informed them what happened and they immediately sent me another one!! Great seller. I would buy from them again in a heart beat!! And the XQD card by Sony is great!
5,These are super fast chips.
5,Lo que buscaba buen almacenamiento y rápida.
5,In Nikon digital camera seems to work ok.
5,Mainly for my Z7II nikon camera this product is at the top of my list of image storage devices.
4,I purchased the Sony 128 GB XQD card and didn't get a chance to use it until about 1 1/2 months later. It works in the camera but I cannot download the pictures to my Mac. The Mac doesn't recognize the card. I have a 64GB Sony XQD card and it recognizes it fine. I've tried it on both my iMac and my wife's iMac. Both 64GB cards are recognized but the 128 GB card is not. I've even downloaded some XQD card reader software from Sony but it still doesn't work. And since it's over a month old I cannot return it. Had I known that I'd have tried it earlier. I've formatted it in the camera (Nikon Z6) and I've taken two different sets of pictures formatting the card in the camera after each set but still no luck. I know it's not the card reader or USB port because the 64GB card is always read and yes I did try different ports directly on the computer. With an upcoming overseas trip I'm very disappointed in this card. Not sure if I need to purchase only 64GB cards from now on. Part two of this review. I changed my  Star rating from a 1 to a 4.  I found that using the cable and plugging my camera into my computer I can view the photos and delete them or save them to my library. So I’m thinking it might be the card reader that is having issues. Since I’m not sure that the card reader is reading the photos I’m hesitant to slam the card if it is indeed the card reader that is the problem.  I Purchased the card reader on Amazon because it had a four star rating.
5,Good service good product
4,The exterior of the XQD card is starting to fall apart after only 18 months of use. I tried contacting Sony no response. These have a 5 year warranty.
5,Performs as expected. Previous XQD card's frame (the section used to click card in place/press and remove) chipped and a piece broke off. I needed a new card quickly. This one arrived quickly intact.
5,Very happy with my cards. Now I have 2 a 120GB and 240GB. Use them a lot and they've been perfect.I will stick with these Sony J- series or the newer 'Tough' series which gets high ratings too.
5,Esta es la segunda tarjeta que compro después de 6 años imagínense la capacidad de trabajo y solo la compré para backup ni siquiera porque la otra que tengo se me haya dañado.
4,Works fine - hate how expensive these are.
5,My card corrupted with photos from a wedding I shot on it.  I lost everything on this card. Fortunately I had other cards.  It is less than six months old.For a $200 card I’m pretty upset.
5,Fast write/transfer speeds!  Perfect companion (well really THE ONLY COMPANION) for my Nikon Z6. Snag an XQD card reader if you don’t already have one.
5,Works well with Nikon Z6ii and can easily be read using device on my PC.
5,This is for my phaseone XF camera. It works perfectly
5,For sports or wildlife photography this card is perfect. Very fast and easy to upload to the computer. You do need a special adapter for the computer but it is worth it.
2,I love these cards and have been using them for years. The last card I bought from here arrived packaged as though it was brand new (which it was supposed to be!) and there were TONS of photos already on the card. So incredibly disappointed and will not be purchasing anymore memory cards through Amazon.
5,I didn't even know XQD cards existed before I upgraded from a D200 to a D500. This plus a large-capacity SD card means I can shoot until the cows come home and well into darkness. It's fast enough that I can rip off as many frames as I want on the high-speed setting without worrying about overrunning the buffer. Makes a perfect camera even more perfect.
4,They XQD  cards are running the same price wise. I do notice I able to download my images quicker . I may have more of a review in a few months. … then my review will be more concise.
5,Nikon D5 with dual QXD slots
