rating,review
5,I have had this headset for quite a few months now. The ear buds easily slide in and out and I never have a problem with them not sticking in my ears. When jogging there can be some pull on the earpieces because the cords attaching the ear pieces to the unit are not quite long enough when the unit bounces on the collerbone. My easy solution - put a rubber band on the part that rests on the back of the neck to make a small bulge. This shortens up the unit so the earbuds don't get pulled out of the ear and it doesn't bounce on my collarbone. When I do that I love this unit both when I am on the phone or driving or when I am jogging.
5,I bought these to replace Bose Soundsport earphones which quit on me after about 1 1/2 yrs.  I WISH I’D BOUGHT THESE BACK THEN!  These are SO much better!  At first I wasn’t sure about them because I couldn’t get the plugs to stay in my ears.  Then I changed them to the small plugs and they now fit almost perfectly and rarely do I have to adjust them.  The sound is awesome.  With my old Bose Soundsport I would have the volume up all the way and it was barely loud and my iPhone was always warning me that the volume was too high.  With these they sound great at only 60% of the volume and NO volume warnings from Apple!These are easy to control.  The buttons work easily (once again the Bose worked hard).  The retractable cords are so small that with my long hair they’re almost un-noticable.I wear these to the gym and they’re going non-stop for 3-4 hours and that only uses 10-20% of the battery!  Awesome!I don’t use these to talk on the phone so I can’t review that feature.I recommend these!!UPDATE:  Disappointingly these began to malfunction after only having them for a few weeks.  While using them they began to activate Siri and then would dial random telephone numbers repeatedly!  I’m talking 30-40 times!  If I turned off cellular service (and Siri) it didn’t help.  How does a phone dial out (and connect) when there’s no cell service??!  When it would dial out it would indicate that the action was being taken by thr “LG” headset so I know it was the headset causing the problem.  I am exchanging them and hoping for better results with the new ones.
4,This was my 2nd pair and just like last time the sound randomly went completely out on one side. I didn't keep using this pair after it happened but with my original pair the sound volume eventually started fading out as well. Neither pair lasted a whole year. You can get a lesser known name brand with the same sound quality and retractable buds for less money and they last longer.
5,I loved my first set so after years of wear and tear they broke. This new set is fine except the original had an additional speaker that didn’t need the headphones to be heard. I really miss that feature and wish I could have found that set.
4,I have purchased these and other Bluetooth around the neck earbuds. These are good but I purchased a cheap pair for temporary use and they sounded better than the LG's. With regards to everything else they get 5 stars.
5,These headphones definitely are my favorite comfortable and retractable. They last me the whole day which is my main reason for the purchase as my workplace i listen to music the whole 8-12 hr shifts. These replaced the older version and the only reason i had to replace those was because i snagged them on a cage so one side quit working my own fault lg are my favorite affordable headphones
4,nice..works great.. shipped on time
5,Have as a well received gift
5,It has an amazing sound!
4,Works as expected
5,One of the best quality Bluetooth Ear-buds on the market
5,Awesome Headphones
4,I used to have the 810 and still have an old 730 (the best audio quality unbeaten since it was made) which I just keep as a backup.  Call audio quality on the 830 is good but Bluetooth connectivity is very temperamental -- having the phone (Samsung Galaxy S20 which is no slouch) in my pants pocket already causes some connectivity disruption.  There is a difference in these newer models with more controls and information through a phone app but putting all the button controls on the left side of the neckband is a money-saver for the manufacturer and a disadvantage for us.  I like a button to have one function only not two where you have to remember to press-and-hold instead of just press etc.  Luckily I don't use the audio functions much so I don't use the fast-forward/reverse but I've read from other users that it's a nuisance.  I much preferred the button layout on the 810 where call controls and volume were on the left side playback controls on the right.  Also there are just too many beep-boops when you hang up a phone call -- (1) If you hang up from your phone screen you get three descending tones plus a final beep.  (2) If you hang up by pressing the headset call button you get three descending tones two more tones (which I guess lets you know you pressed the button) plus a final beep -- just the first set of descending tones would suffice.  In summary:  good but not great.
5,Great headphones
4,My old HBS-760 headset died after many years of good use while running. Decided to buy the 830 and wasnt dissapointed. Great sound and also cool stuff like the LG Tone and Talk app to configure the headset and it can vibrate and make sounds to nofify me of incoming calls or texts while im running and listening to music. Saw a lot of people complain about the poor\low sound quality from the microphone when talking on calls but everybody i talk to tells me i sound crystal clear (using with a Samsung Galaxy S8 phone).  Other people complained about the missing button that was on the 820 for jogging to previous or next song but the volume button on the 830 does almost the exact same thing except you cant go back to the previous song only rewind the currently playing song. Someone complained about it not working well in MS Teams meetings but i havent had a change to test that yet.  Overall a definite upgrade for me and the only reason i didnt give it 5 stars was due to the really lame user guide that came with the phone. Even the user guide that is available via the Tone and Talk app is poor and there is no download for a digital version of the 830 owners manual from the LG website. That needs to be fixed. Write a user guide that clearly explains what you can or cant do with your headset. Really surprising to see how vicious some people can be in thier reviews....over small things like a button being removed from the previous version. People say things like "what were you thinking and I will never buy LG again".....think these people have some anger issues man.
4,These are overall good. I mainly bought them because they’re Bluetooth compatible while I jog and read it has a flexible neck band. I like that you can pull the headphone and it pops back in on its own. The battery life is good I like that I don’t have to charge often. I’ve had these for at least a month or so and only charged them twice. (I exercise 3-5 times a week). I’ve had similar ones by the same company before and while I can’t remember the specific model… loved them and just wish it had a flexible band on the neck. The base was great and they lasted a while until I put them on the bathroom floor next to my tub after an exhausting workout. Needless to say they got wet and buzzed until death. So never do that if you buy these. For these I appreciate the flexibility of the neck band. I was looking for something I didn’t have to be too cautious about and wouldn’t hurt my neck if I were to lay in bed with them on. That said I will name some things that I don’t like; the earbuds don’t stay in if you get really sweaty like I do. I also can’t figure out how to skip a song with them or answer a call… so I use my Apple Watch. There are minor inconveniences like that I don’t appreciate when I jog. Sound quality is pretty average in my opinion. Overall I wouldn’t say there’s anything that special about it. It does what I need: play music via Bluetooth strong battery life and I’m confident that they’ll last a long time.
3,My old headset another LG was dying and I thought I'd try to upgrade it. This was a disappointment in so many ways. The buttons were small and harder to use. The light that showed it was on was nearly impossible to see. The headset seemed to turn itself on and off without my input. People found me difficult to hear and I couldn't hear much of anything. This headset seemed to have about half the volume of the other one. And the earbuds were too large I could barely get them in my ears. These may be protective features for people who still have their hearing but I don't have my hearing and  need all the volume of the previous set. I'd say that adults are largely aware enough not to blast sound needlessly. Anyway these did't work and went back.
5,These are great for work I leave them on all day and instead of having to pull my phone out I can just click a button and answer phone calls. Very convenient. The first pair I got the right one stopped working after about 2 weeks. But I gave them another try and this pair has been great.
3,If you’re hard on the retractable part the inner mechanism can break. Had it for a little less than two months and one side stopped staying out when I pulled out the earbud. Sound and calling is amazing sound wise but not worth the amount I spent
3,This headset is great. I really like it ergonomically wise and the sound quality. I was sceptical to buy these due to the bad reviews. And it was hard to believe that the newer model is worse since I've used hbs 750 and 800 for years. But then I saw almost copy pasted bad reviews on other models that I used and liked so I had no doubts getting this one.Ergonomically these are very comfortable and clean design with retractible wires no hanging wires when not it use just lightly pull it down and it's back in place.Sound quality is great for the money and it's on the same level as previous models. Has good low end as well.Call quality is clean. People say they can hear me clearly.My only real complaint is a range it's noticeably shorter I would say 1/3 times shorter then hbs-800. For me it's good enough I could freely walk arout the house on one floor.Not a complaint but the wires seem to be fragile because they are thin so i pull them carefully. If they ever brake I will update the review.Overall I like these a lot and preffer them over previous models.update 4/2/2022The earbuds did not last. One of them simply stopped working unfortunately. Otherwise the headphones are very nice. They most likely won't last you a few years like older models did.
3,So I really LOVED these but after a little over a year I am not getting any sound out of the right ear bud. That's really disappointing because I would've purchased something cheaper if they weren't going to last. I thought if I invested a little more up front I'd get a little more bang for my buck but unfortunately that has not been the case. Outside of that they charge quickly and hold a charge pretty well.
5,Husband loves them  :)
5,I saw a Blueshirt in Best Buy wearing a hot pink pair back in 2015 when I bought my first Samsung Galaxy Phone. The color got my attention. I bought the last pair. I have small ears and most earplugs hurt but these are great. Lightweight and easy to use. Sound quality is great. I got a black pair when the pink ones were getting worn but I still use them at home.  My new puppy chewed my black pair so this is a replacement. I'll make sure I keep this pair away from the puppy! The pink pair is still working after over 7 years so you can't beat the value!
3,One speaker stopped work quickly
3,Overall I have enjoyed these headphones and am surprised they have held up to my physical line of work. All the buttons work and feel well they hold a charge for a long time the retractable earbuds are still working. I assume that they will break at some point though. Audio is decent enough for me. I am not an audiophile by any means.My only issue which is kind of a big one with headphones is mostly everyone I try to talk to through them has trouble hearing me or say I'm cutting out and I end up switching to my phone. So they are strictly used for music and audiobooks.
3,bad clarity
5,My fiance loves this headset. He has tried several different ones and he likes these the best! He is a mechanic and when he is laid over in a car he doesn't have to worry if they fall out of his ear they are secure around his neck.
5,I lost my first one (pretty sure a hippie in Palm Springs stole it LOL) and had to get another. The music quality is good. Im no audiophile so it works fine for me. I generally listen to audiobooks and its perfect for that. music is fine on it also not sure why every bashes this thing.
5,The microphone went out after 2 months of use
5,The quality is worth the price.
5,These replaced a set I have owned for years...sound is great and the retractable earbuds are a bonus ( just be easy on them)
5,This is a great blue tooth headset I have used these kind for years and this is a little different than the older ones but seams to be really great so far.One thing that I have noticed for years with this headset is that I can make sales really good because when you have good communication where you can hear them good and they can hear you good then I can get them to buy my services.I have been using it for u tube videos and the sound quality is great alsoThe loop It's great because it dosen't get lost and with hands free calling I can be on the phone talking to people while looking up stuff instantly on the net in my phone.I have used this blue tooth LG LOOP for years and the 800 models are better than the bigger models and with the retractable ears buds are best in this modle.LG WARRANTIES this product for like a year and that's great but if you buy the extended warranty with it you might get to use the product for like 10 dollars for the cost of the extra warranty because after they go bad in a year plus the warranty company will just send you back a check for the money you paid because they don't want to keep warranting it for 2 more years if you don't mind dealing with warranty paperwork.THIS IS A REALLY GREAT PRODUCT SO FAR
4,These pretty much have fallen in line with every other style of LG tone I've had up to date. They all sound good but need to be louder. I have had 4 different sets up to date and you can't go wrong with these. Better than Dre beats imo. Good mics. Only gripe is that I wish they were just a bit louder.
4,I like the ease of these
4,I have had several of these now and this one is great. The only dislikes I have is the range and the slide switch to turn up and down the volume or to change the songs your listening to is on the inside and not good if you want to go forward or back a couple. Over all a good product.
5,No cancela el sonido externo muy bien. Eso es un punto negativo. Si vas A enviar notas de voz tienes que pegarte el micrófono a a la boca y no funciona muy bien como manos libres
4,This is my 2nd pair i ran over the last pair with my truck after about a year of daily use. They are not truck proof However they are high quality. I spend 4-6 hours a day on phone calls while my hands are busy with tools so hands free is a must. these have great sound quality and great mic pickup. They read off my caller ID too so i can answer or diamiss calls without looking at my phone. I will buy again***Update! 2022 now and I've bought another pair and now those have died. Apparently the mic on these is good for about a year. The ear buds sound quality is still fine however on calls my voice doesn't transmit clearly anymore. Same happened on this pair the next pair (June 2021) and now my current pair (April 2022). Idk if it's the mic orother electrical components.
5,I am disappointed that they don't drop in volume when I am listening at night. And I am concerned that the cord that attaches to the ear piece may become loosened by movement wearing them laying down or getting caught in my hair. But sound quality when the volume is normal or high is great. I can mow my lawn and Still hear audio books clearly.
5,I love them. I’ve had 3 over the years and if I needed a new pair today I would buy LG . Not good for talking on the phone but for listening to books are music you can’t go wrong. Reason not really good for talking on the phone is the mic is to far away from your mouth.  Phone Might work out better in a quiet environment.
4,Lg makes the best headphones but they do not last too long. Between my husband and I we buy a new pair about once a yearThey do not work with Siri as they once did and that is very disappointing so I we are still searching for a good replacement for these.These are sleek and lightweight and you hardly even know you have them around your neck and in your ears.
4,I've had these for a couple months now and with moderately use they are at 10% battery remaining by evening.. my other Lg's i had for several years and never once did i run the battery out in 1 day!
2,The sound quality was great!! Very flimsy!One side stop working in less than a year. I purchased the additional warranty. When I tried to use the warranty I was told that they only cover package & delivery damage! Be careful how you word how they damage occurs!! I was told that I caused the damage and they don't cover if the user was being careless!! TOTAL SCAM!!I'm was very careful with my around the neck headset because I used them for my job. I'm usually on the phone approximately 10 hours a day and the wireless earbuds was too painful!!!I threw away money on this WORTHLESS WARRANTY !! DO NOT BUY EITHER ITEMS-HEADSET AND WARRANTY!!
4,Amazon delivery speed was super quick.Headphone is of superb quality.However wire is very very thin and I feel it ahould be handled with care especially while pulling from magnet jack.I hope this headphone lasts long. I am skeptical due to wire.
5,Well since I accidentally left a previous version of this headset in a decorative box I had and sent it to the thrift store I HAD to buy the newest version LG SB830.It has great sound quality and rockin' base for those of you who like bump in your music - I listen almost exclusively to R&B and Rap... perfect!The headset is very lightweight - I forget it's dangling around my neck I LOVE the retractable earbuds and because they are attached I won't lose them: BONUS!FYI there's a downloadable app for the headset but it doesn't really have squat except for an equalizer (if that isn't enough you can use the sound settings on your phone for more sound tweaks).It was super-simple to pair with my phone: as long as you have the headset turned on a pop-up should show immediately on your phone so you can connect. There's also a user's manual so can you see visually how the buttons work (in case they're not intuitive to you).I'm biased..I LOVE this headset! It also rated higher than other LG Bluetooth headsets..for good reason! Also Amazon had the best price: I paid $65-ish. At Best buy they were on sale for $76. Happy camper here!!!
5,I bought these for my husband about 5 years ago from T-mobile and the old ones are STILL working despite our evil cat eating one of the wires 3 years ago. We’ve gone through multiple other pairs that could never survive him(he’s a trade worker and extremely forgetful with his own property so the others always got broke somehow) and we’d always go back to this pair we had on the back burner. Sound quality is still great in the remaining earbud! We’ll be keeping the old pair /just in case/ but we thought a new pair would be a nice use for tax money. Absolutely worth the price they’ll last you for sure!
5,Ive had loads of different headsets. I work in the weather outside freezing temps rain hot weather sweat. Never had any issues. The ear buds get ripped out of my ear by curtain strips after 3 yrs of 5day work weeks getting used all night daily i get about 2-2.5yr life span from these and i put them under extreme conditions at McLane Foodservice. Getting soaked in water or sweat no issues same with the tiny cord breaking no issues and they get pulled on hard when getting caught on stuff. Battery life is typically 12-14hrs for mine. Im on my 3rd one now after 6yrs of using these headsets. Me and my wife bought 2 pairs of samsung ear bud pros and they lasted 4months before her speaker quit and one of my mics died and put ear piercing sounds into who ever i was talking to. Had a sony pair around the neck and it died at work after 2 months. These are superior!
3,I bought LG headphones before and this one is not a good item.
2,The earbud retraction lock mechanism has failed after 10 months of use. The right earbud immediately retracts when pulled out. Further the small sticker on the device that has the serial number came off within a few months of "normal wear". The sticker usually always comes off on my headsets after a year or so due to body oils but this seemed particularly fast on this model.The lack of a serial number makes it risky to try to warranty the device. The language when filling out the warranty form states that they "may" refuse warranty if serial is missing and then it states that devices deemed to not be under warranty will be charged a repair fee of $40+ and they will charge shipping too... but you don't get to find out their decision until after you ship them the device... So I didn't bother. At this point I would rather try a different brand.I was able to get 2-3 years of use out of their older models like the HBS-750 without the retractable earbuds and much heavier and sweaty use....  It's almost as if they knew the spring mechanism on the 830 would be a weak link and put weaker glue on the label to save money on warranties...
