rating,review
5,Using this to power two Klipsch AW-650 outdoor speakers and a 12" Velodyne subwoofer outdoors.So far it's been mounted outside in South Florida weather for 3 months and it's been flawless. I have it mounted inside a cheap Home Depot tupperware-style container mounted to my fence so there is no loss of Bluetooth connectivity even when I'm inside the house 50ft away and it is also waterproof so it protects the amp and power supply (see pics). I considered other types of enclosures but they impeded the Bluetooth range too much this works perfectly and subtracted no measurable amount of range from the Bletooth signal.I drilled-out the bottom of the tupperware for the power supply and cables - easy peasy and looks just like a service box for cable or DSL mounted to the fence. No water can get inside since everything runs out of the bottom including all of the speaker wire and power supply cable (the brick stays inside the box).For those who know these Klipsch speakers they're basically the best outdoor speakers you can get and this thing can CRANK them so loud and clear there's no chance your neighbors would allow it without calling the cops lol. I LOVE this little bluetooth amp is is AMAZING! I can't imagine anything for the size and outdoors which would be more value-packed than this. This tiny little thing is driving some SERIOUS equipment without issue whatsoever even when it's 110degrees outside. BUY IT!
5,Music is a huge and daily part of our lives. Because we don’t like to overdrive the living-room system just to also “light up” the kitchen area with sound I’ve kept a small (homebrew) 18+18W amplifier and Minimus 77 speakers on top of our fridge for years. It was linked to the living-room system via a stereo audio isolation transformer and a Bluetooth receiver with an audio switch. Unsightly but it worked well and sounded nice. With a recent remodeling of the kitchen and living-room areas a better-looking solution was required. With a 12x12 soffit running in an “L” shape above all of the kitchen cabinets in-wall speakers were the obvious choice.  We ordered a set of Dayton Audio ME625W in-wall 2-way units and as I will get into later eventually added a Dayton Audio DCS165 subwoofer and quasi-matching grille all via Amazon. The amplifiers mentioned here were also Amazon purchases.My first choice for a new small amp to power this was the Pyle PFA540BT unit with built-in FM radio and Bluetooth features. That unit was bought as an open box from Amazon.  While plenty loud it had a subtle but definite grating midrange distortion once warmed up that I did not notice until it was outside of the return window. My bad these new parts all sat around while we finished the other renovations. We all agreed it was annoying even my kids. Additionally the switch-mode power supply for that amp was so noisy (RF-wise) that the radio receiver only would pull in one station with a local antenna from only a couple of miles away. The rest of the band was utterly swamped out.  (No FCC cert logo visible on the PSU now we know why).My second amp was a FOSI audio unit the BT30D which is much better. No radio but BT and line in. As a plus it’s a 2.1 system with a dedicated drive channel for a passive sub. It’s rated at 50+50+100w.  It’s plenty loud however be aware it ships with a switching power supply that can deliver only about half of that wattage. (24v x 4A = 96W). Ah marketing.With the amp issue sorted I was still disappointed that the in-walls did not have bass that matched the small mini-77’s that we had listened to for 10 years. Given the larger drivers and volume of trapped air behind the in-walls I was a little surprised. Research on the FOSI website was not able to tell me if the FOSI unit has a fixed High Pass Filter on the L-R outputs or not so I was not sure if it was the speakers or the amp limiting the bass. Everything below about 120Hz was absent.The Pyle amp which has no amplified sub output sounded similar in the bass and a third amp I connected in also played with little bass. Conclusion is that it’s the speakers or the install environment most likely the speakers as the two are separated by a lot of insulation preventing any phase cancelling behind the wall.As a result the stout little 6-1/2" sub driver was ordered and installed with a ¾” split-baffle as support in the corner of the soffit for best loading.  Once set up and adjusted we now have a system with some decent extension into the 50-100 Hz range and more than enough volume to fill the kitchen area while providing a nice stereo listening field for most of the room. I wish we had the space for a larger sub driver but with the framing behind the 12x12 soffit an 8” or 10” just wasn’t going to fit.  The 6-1/2” sub is respectable but it’s being driven rather hard to make up for it’s lack of piston area. A second identical unit is being considered to double the cone area and increase the efficiency but at lease for the moment it sounds nice at reasonable levels.On balance the FOSI amp has been very good and well-behaved. It runs a little warm but for its size it’s punching well above its weight and the BT implementation sounds quite good. It must have a decent SBC buffer scheme as we don’t experience any buffer under-run drop-outs over long term listening with any of the apple android or Chromebooks attached. Bluetooth range has also been solid throughout the area. This is probably due to the external no-compromise BT antenna. The amp is small enough not to notice on top of the fridge and looks pretty smart. I’d buy it again. I will be posting this same review on the Sub and In-Wall speakers pages as well because it's kind of a system-level review of all the bits and pieces.
5,This finally came after having to order it a second time from this seller without compensation for sending the wrong and unreturnable item in the first place. However all's well that ends well! I finally received it in good condition and set it up in my home office to link to my iFi Zen Can and iFi High Res Zen DAC. I had no problems streaming music through my iPhone but couldn't get any sound from my linked Samsung TV via the audio out/optical port at first.  I contacted Fosi Audio directly and pleased to report that their patience excellent customer service and exemplary responsiveness greatly assisted in rectifying the problem. The solution was to simply use the 35 mm audio out port on the TV and link it to the audio in on my Zen Dac and voila! Thank you Fosi Audio!
4,Bluetooth seems fine but I've not exercised distance. Sound quality is what I'd expect... I'm not doing anything which requires me to analyze fidelity. Based on my initial experience (first 10 minutes or so) I had considered purchasing a second BT30D right away... but... ran the device for about 15 minutes and the output volume suddenly dropped to about 1/2 and it has never recovered (long-duration power-off etc). Contacted Fosi directly and have had nothing but the run-around for two weeks. I had not intended on reviewing until after the warranty return had been completed but because of the terrible support I felt the need to warn others. I'll happily retract this review if Fosi ever steps up and replaces the amp.Original review = 2 (with text above)New review = 4 (see updates below) Sept 2022Fosi eventually sent me a replacement and it works perfectly with the overall output volume back to the expected levels. Scored a 4 just because it took a large number of emails back-and-forth before the problem was resolved. I would consider purchasing another of these but truly hope my problem was a one-off.
5,Just needed a basic power amp for my mini studio set-up. Using it to power a set of Bose 201 speakers. The amp had no issues at all with the task. I have never used a Class-D amp and was a little concerned but the amp is delivering great sound for my needs. Didn't think I needed the Bluetooth feature but I have used it several times with my Samsung S20 FE phone and the connection and sound has been solid. Perfect for my needs!
4,I discovered mini desktop amps & DACs a short time ago and Fosi seems to be one of the main brands putting out a multitude of permutations of these units. The amp I got is the BT30D which I paired with a Q4 DAC. I'm running my desktop and a cable box through this setup to some spare Polk bookshelfs that I've augmented with a Dayton Audio SUB-1000. It's only been about a week but I am thoroughly impressed at the sound quality I'm getting. I'm rediscovering my CD collection while also making good use of a FLAC collection I've accumulated. The resolution and thump is truly awesome. I had been using an all in one set of Logitech powered desktop speakers and SW for audio prior to this. The difference is kind of like going from a transistor radio to a hifi system. Very pleased indeed. In all the cost came to approximately $300 (not including the Polk bookshelfs which I already owned). The only negative I've come across so far is my PC doesn't recognize the DAC after a reboot. I must power the DAC off and back on for the connection to come back to life but this is a minor annoyance. I hope I can get some good use out of this setup to make it worth the expense.
5,I have 2 bookshelf Polk speakers connected to this AND a Polk Subwoofer..all connected to a Alexa hub. THis produces the most beautiful balanced sound you can imagine AND...with bluetooth you can then switch over to your phone and play specific songs you want etc. Its a perfect tiny tucked away power amp for all these purposes. Its a perfect design for a samll to medium size speaker system
4,It worked fine for me for almost a year without any issue.Some areas I like it do better:- Ability to turn off bluetooth. I don't ever use it and rather that it doesn't broadcast everywhere so anyone can connect to it.- Neutra position for treble / bass. This one may be huge for some. I have no idea what's the neutral position for these; currently there is no way for me to listen to the natural sound characteristics from the speakers.Tip for those who want to disable BT: you can buy a "SMA RF Terminator" and put that on the bluetooth antenna port. It will attenuate the bluetooth signal enough that render it not usable from more than a few meters away so your neighbors can't see it.
5,I really liked the ability to use Bluetooth or RCA input. I connected this to my record player and to my two bookshelf audio speakers and a subwoofer. The fact that you can also connect your phone via the Bluetooth and play music is very convenient. I was looking for an audio amplifier and was thinking of an old school large box but when I found this compact unit it was perfect. I have even brought it to a party to attach to a sound system so everyone could connect via Bluetooth and play there tunes.
4,Bought a second one to swap out for my 2.0 Fosi in my kitchen so can add a sub. Both are a pair of Jamo 803s and 10 inch subs and they sound great. Only better if would be 100watts per main speaker just to get a little more volume instead of the 50watts it has beyond that they are the best especialy for the price. I love them.
