rating,review
4,Had a case just like this worked great for 3 years then one day someone stepped on it while the stand was out and broke it so I decided to get a similar one and got this one...Pros - The face cover is great the screen was a little cracked and the face protective cover helped.The rubber siding is good for impactThe plug cover is good goes into the slot keeping it safeThe handle is a nice touch even though I took it off...Cons -The plastic for the stand is not very strong it broke only a week after I got it the stand and the hand guard was what I bought it for I found it to be a little difficult to keep putting the stand down I pressed the area it said and nothing then pressed and pushed down the stand broke off completely meaning now it doesn't have a prop for me to see at my desk and I am back to using a pencil holder to hold it up... I did get an impact as it fell of the arm of the couch an it fell on the corner which is heavily padded but somehow got another crack in 3 places...  So it didn't protect it as much as I thought it would I am sending the pad to the shop to get fixed and I will trash this one and get a book kind they seem to be more protective...Overall - For the price its not too bad and most of these don't come with a faceguard and carrying lanyard... So as I didn't have the best experience I would still say its a good product just didn't work out well for me... It might for you..UPDATE - They did contact me about the issue and sent me another one that has a magnetic stand and a book style rather. than the open face with screen.. Its good enough to work for me the only thing is I would have loved to have the screen protector too as the screen cracked when it fell and that helped with my fingers but I will get it fixed thanks for taking care of this for me.
5,I am a Denver Bronco fan so I really like the orange color. Also I like the rubber stiffness it's much better than the plastic. Great product..Bob
5,Bought this for my daughter to take her IPad to school.  She loves it and the protection for dropping the device is good.  This is the second one she has used and has saved me many in repairs.
5,Very easy to hold and sturdy.  Very strong cover the best.  Thank you so much
4,Trouble with stand staying latched. Fell over a couple of times. Just make sure it is latched. Otherwise extremely durable with many options. Well worth the price. Definitely a first choice if I need another case.
5,Love the fit and look of the case. It’s great having the option of adding a protection screen or use the case with the protection screen included. Great price!!! I’ll check back in a couple of months and add a comment of how it held up. I’ve had it a couple of weeks and so far it’s great!!!
4,Alright went thru 2 of them  the little piece holding the kick stand will break for sure after two or three months depending on usage. Very poorly designed and I don't think there is a way around it everything else is good.
5,The main reason for purchasing was to have the adjustable hand hold leaving the other hand free and I love it. It also comes with 2 front pieces one with screen protector and one without. You decide which one you need. I went with the screen protector and it works great no issues. Glad I got it to protect my iPad which I’m on most of the day and night.
4,This is our second one in two years. These are decent products for the price. Screens become loose and dirty quickly. Overall good product though.
5,It is great that you include the extra case cover the tools and it’s easy to install
5,Great protection for iPad that is frequently used by kids. Has hand-strap shoulder-strap swivel-stand screen protection just as advertised. We used to have to remove old case for charging but no problems with this case.
5,Have 6 on all in that house
4,Nice case and will help protect the tablet well.
4,Ordered this for an older ipad used for work. I always worry about ordering accessories for older products especially online but it fit great
5,This is great for kids and the car so many different ways to hold and even attach it to places in the car and at home. Fun bright colors and durable.
5,This case is perfect for my 9th Generation iPad. The old case I had was tearing in half so I wanted something that would protect it from all angles because let's face it Apple products break very easily. It's already slid off the table and hit the floor good thing is it just bounced but didn't crack. So I'm very happy with this. And the color is a more vibrant purple than I thought it would be. Overall I give this 2 thumbs up.
