rating,review
5,I have to say that i actually love this little computer and its GREAT DEAL!!! so I purchased the (HP EliteDesk 800 G1 SFF High Performance Business Desktop Computer Intel Quad Core i5-4590 upto 3.7GHz 16GB RAM 1TB HDD 256GB SSD (boot) DVD WiFi Windows 10 Professional computer) shipped very fast [ 2-day shipping ordered it sunday night and arrived Tue later morning] it was packaged wonderfully and booted up Fast about 15 sec   the set up process was very simple and easy. Once i got access to my desktop  I opened my *File explorer; to check everything was as advertised on amazon: the CD-ROM disk was actually DVDRW instead of just DVD drive  Very nice! it came with QQfamily mouse and Keyboard but i used my own. Next  i looked for the HDD and SSD and only found that it showed the 256 SSD and no trace of the 1TB HDD but i kind of had a heads up as the first review was written by someone who said they had issue locating their HDD in file explore and disk management but that they just opened it up and seen a wire loose and that fixed the issue. unfortunately that did not help me  I opened my tower up checked the connecting wires but it still wasn't seen in file explore  :( so I went into disk management  and there it was :) it was online it was partitioned but it was not assigned a letter  so i did what YT video said to do an assign it a letter and even formatted it  and i thought i had figured it out  til i restarted my computer after a windows update and then tried to install a game and wanted to install it on the HD instead of the SSD where my OS was and i couldn't find it  so back to disk management i go only to see that the letter i assigned the HD was no longer there SMH  so change drive and letter path 2 more times and to check if it held; i would restart but every time the same thing would happen..  so i just clicked on the HD - deleted the volume and went through the whole process with wizard thinking that would help. NOPE! So  i was frustrated at this point  so i went on YouTube and found a way to *Format a drive using Command prompt/diskpart and followed it step by step and it was so easy- the Video is by Chris Piedra* OMG! when i tell you it worked  i found it in file explore and when i finsihed i got the notification in my task bar asking what setting i wanted for that drive ( which i had not gotten once before) not only that but when i restarted my computer it was still there!!! so if you choose  to buy this lovely computer and can’t find the HD or see the HD just format it using Command prompts and diskpart and i am no computer expert at all
5,Received my box today. I spent about 1 hour open the box connect the cables turn on the power complete Windows 10 set up get Windows update and poke around.Here is what I find: CPU is i5-6600 @3.3GHz Max 3.9 (better than i5-4590 advertised) RAM 16GB  two out of four dimm slots used; 256 SSD boot drive 2TB Toshiba hard drive (better than the 1TB advertised). The 2TB HHD needs to be formated (to NTFS) and assign a drive name. The both drives are there after power cycle no issue. It has a so so built in speaker. No HDMI; VGA is fine with 27" monitor. no built in wifi and it comes with a USB wifi adapter. I connect the RJ45 for networking.  The boot time is about 20s. The SSD is used 35GB out of total 237GB after Windows update.  Windows 10 pro is version 21H2.  As i test the perf with a 4K youtube video the CPU utilization is about 5% memory usage is about 3.6GB.  Well exceeds what our casual use.  The box I am happy with this purchase.  Last this PC doesn't meet Windows 11 requirement. The Windows product key is not labeled on the box and you need to find it via command terminal and save it.  The Windows product key is needed in case the boot drive crashes and you need to reinstall Windows. The noise level is minimal but noticeable as it has a hard drive and a fan.
5,I purchased this as a 'backup' PC to supplement the main one I use. As my needs for this PC were pretty modest - Web browsing email MS office Zoom - I decided to take a chance on a 'renewed' pc to replace an old machine that was no longer reliable. I was pleasantly surprised at the quality of the device that was delivered at such a low price point. I moved over my existing peripherals - monitor speakers camera etc from my old PC and within 10 minutes I was up and running with the 'new' one. I took a quick peak under the covers and the components looked like new....a couple of small chips/scratches on the edge of the case was the only indicator it was not a new machine (other than the fact that this is an older model PC). Hopefully it will prove to be reliable in the longer term but after a couple of days it is a clear winner for me. I am not familiar with the refurbisher SJ Computers but they did a nice job here and I like the various options they provide for support should it be necessary. I will update this review if I experience any problems in the future.
5,This is the second refurbished PC I've purchased on Amazon The first was about 4 years ago I guess and that one was just OK.But this one is a GREAT deal. She'll be using it for browsing the web for stuff for her classes and then printing as well as creating reports. It's WAY fast enough for all this....however. This machine comes with a little WiFi USB dongle and...it was useless. I went and ordered an internal WiFi card and that solved that problem.Everything else was great. It looked like a new PC inside and out. I was a little surprised that I didn't have to enter the Win 10 key anywhere at least not yet. But they supply you with all that info so it's there if we need it.The only issue was that when it tried to update the OS it downloaded but then failed to update so it had to revert back. This happened to computers at work so it's not Amazons fault...it's a Microsoft issue.Anyway I was pleasantly surprised and very happy.
4,Was hoping to love this unit but although it came well packaged and on time I had troubles from the on set. I believe that I had a dvd reader and not a writer. It would read a cd/dvd but would not do anything else. If you put a blank dvd r+ it would do nothing. And the drive would disappear from the desktop. Then I got a clunky sound happening in the hhd. I exchanged this item as will review the replacement as I have my fingers crossed for this one.
4,Works good so far. Have had it 2 weeks now. It comes with a 200w PSU and I put a gt 730 graphics card in it. The gt 730 recommend 300 watt psu so I talk to the techs at SJ COMPUTERS and said it would be fine this card and the other components don't consume very many watts. Im not pushing it to hard either just messing around with some old games.
5,Have been most pleased with the operation of this machine after a week's use. But most importantly was floored by the excellent supplier support. Got the device on a weekend and installed on a Sunday. Minor glitch in setting up so emailed the company expecting maybe a reply in a few days...got a telephone call an hour later and they had me up and running. Later had problem with my printer and a phone call solved everything in minutes. For the price unbelievable service.
4,I received a HP ProDesk and not and Elite desk don’t know if that makes a difference comes with mouse and keyboard seen in pic and I aired it with the sceptre 24 inch monitor with built in speakers.Desktop has both SSD and HDD drive as stated and dvd rewritable drive. This is the 2nd day I hv been using the system and it keeps saying “check input” for monitor. The system is not Wi-Fi connected so I bought a Wi-Fi adapter which solve the problem.Processor is 3.30GHz intel core i5
5,I thought I would give it a try because it's highly rated and for the price a unbeatable deal! I need a basis computer to do my work and didn't want spend a lot. I've purchased a renewed tool before from Amazon. The experience was great.  It's easy set up and runs fast quiet and performs well and looks almost like new.  I am very satisfied with my purchase.
5,This is the 3rd computer I have bought like this (refurbished) same brand same unit and every one of them have been really great.  I have one at home that I've had for a couple of years now one at my office also a couple of years and just bought another one a few months ago for another desk at my office. This thing is well priced super easy to set up runs fast and meets all of my personal and business needs. Comes with a wifi card that you plug right in and works great when connected. This computer is not set up to upgrade to Windows 11 I wish they would cause I would keep buying them every time I needed one. But Windows 10 will be supported until 10/14/25 so I have until then. Great computer at a very reasonable price.
