rating,review
5,This thing is fantastic.  I recently purchased an MSI Rainbow6 Raider series laptop and noticed that after a little while of gaming the internal fans would spin up LOUD.  The MSI Center Hardware Monitor would clock the fan speeds ~6000rpm with CPU/GPU temps both around 80*C.This stand dropped my GPU temps by ~20*C.  No noticeable change in the CPU while gaming but the laptop doesn't feel warm to the touch anymore.PROS:* QUIET - i can only hear it when I'm really listening for it.* Ergonomic - can be used on desktop or on lap and really helps elevate the monitor height to comfortable levels.  Also not a pain to use on lap both sitting 'normally' or cross-legged.  I like that the height settings are done with a single bar underneath and multiple notches in the base to hold it instead of two flimsy legs.* Lights - you can turn them off!!!  You can also change them to different colours and patterns which I don't care about.  I'm just happy I can turn off the lights.* COOL operator - even when gaming the air shooting out of the vents on the sides and rear of my laptop is body temp at warmest.  When not gaming it's not icy but it does make my lap a bit chilly.  Wild.CONS:* It's plastic.  ABS plastic but still plastic.  my least-fave material but something i was willing to live with for the sake of the other features.  The stand bar is metal but everything else is ABS.  That does keep the weight down though.* No on/off toggle switch.  If it's plugged into your laptop it's running.  You can turn down the fan speed (dunno why it's quiet on full spin) but you can't turn if off without unplugging things.* No passthru USB ports.  For the price of this unit that surprised me.  Not a deal-breaker for me but may be bad for others.* Size - can fit up to a 17.3" monitor which is great.  Will NOT fit inside a bag intended for a 15.6" laptop though.
5,My laptop dropped 30 degrees in a matter of minutes! Color scheme is fancy though I have no use for it. Only drawback - It takes 2 USB connections to run the fan and the lights. Very pleased with it.
5,Great for gaming and has many options highly recommend if ur reading comments!
5,Using this on my DELL XPS 15. I've been hearing that some people dont find this effective in cooling their laptop and I want to clear up some things. I live in Seattle and recently we hit 120 degrees and this thing worked great. Just a reminder that plugging this in your laptop will actually heat it up so try to plug it to an outlet or as you can see in my picture I have it plugged into my Anker 26800. If you want to cool your laptop just try not to have so much USB plugged into it - well thats one tip.There aren't a lot of cooling pads with a fan this huge ( 200mm) and I'd rather have that than several small ones.The RGB surround is very unique as well which initially was my reason in picking it.It comes with 2 usb plugs to power it because the manufacturer said older laptops cant power it with just 1 but if your laptop is fairly new it should be fine. But like I said try to power this from an outlet or a portable charger. If you dont like the three headed cable they gave you you can buy a normal two headed 12v dc to usb cable for about $7.I'm about to buy a 2nd one of this for my new XPS 17 and I don't regret it. However if you dont like this one two other models I would have considered are the KLIM Halo (125mm fans) and KLIM Nova.If you work from home and stare at your screen all day the extra lift from Nova and Ultimate have the highest lift. Some of these cooling pads have short 2 inch legs that don't really do anything - and they're flimsy. Look at the legs of KLIM Halo for example.All in all this is a good cooling pad. It's slim enough for travel once its folded (unlike some thicc cooling pads like KLIM Airflow) the RGB surround is an awesome and unique feature. The fan is huge at 200mm. And its good for working too since the legs stand up a good 8 inches so you're not always straining your neck looking down. But you don't have to put it this high. At the lowest laid flat its 2 inches. 3 inches on the lowest lift - which is my default setting.If there's anything I want improved on this I say 1) a normal dc to usb cable 2) a bigger AND faster fan. But really folks I haven't seen a cooling pad with a bigger fan so goodluck.And for those wishing this had extra USB ports - it's good that it doesn't. Because when you plug anything to that port the power of the fan can decrease and in addition heat up the main power source. Both bad conditions if you're thinking of plugging this directly to your laptop.Anyway I don't review products much but I protect the things that enable me to work and make a living. This thing saved my life in 120 degree temperature for several unexpected days. It really stepped up to the challenge and I hope this review helps you out.
4,This is the second Klim laptop pad I have owned. I had my first one for four years. That one had a noisy fan since it came out of the box that could be almost muted depending on the angle I set my laptop at. This pad however is utterly silent. And I don't have to turn the dial up all the way to get adequate airflow. Like one of the other reviewers I also play Final Fantasy 14 on my laptop an HP Envy x360 which is not designated for gaming but runs it just fine. This new pad has a better design overall and keeps my laptop nice and cool while I'm running any combination of FFXIV Chrome Discord and iTunes. The only thing I don't like is that the included USB cord is too long and gets tangled up with my charging cord or stuck under the stand if I lift and move it. But I'll keep buying Klim cooling pads as long as I game on a laptop.
5,nice one
5,I bought this because my laptop gets super hot when running ESO at the graphics settings I prefer. It works fantastic and it's comfortable to use on my lap as well. Love it!
4,The cables for it are very short and easy to break. I can do without the fan it helps my laptop breath by putting my laptop in an elevated position.
5,So there's two reasons why you're buying this: it's pretty and it's functional.And my god is it pretty.  You know how they often doctor up photos to make them brighter than they actually are?  This doesn't it's beautiful.  Whether daytime or night the colors are bold vibrant and make any laptop far more amazing.  I have an HP Omen 15 Studio and this has a lot of space to spare.  What's nice about a 15" laptop is that the entire computer is flushed with the ventilation system but you could easily get a 17" on here and both items will perfectly align in size guaranteed nothing will hang off.I like the stand system.  If I'm playing a video game I don't want a computer overheating and the amount of space below the laptop is extremely useful.  I have a rear vent on my laptop and the hot air just rises straight up and out.  I would be playing both Final Fantasy 14 and 15 on 4k settings and being so hot that it burned my fingers now it doesn't.Which brings me to substance.  My computer went from burning your skin hot to warm and that's a massive difference when it comes to electronics.  I would take a stroll around the open world and my computer's temperature started getting very concerning.  Now I'll occasionally feel the laptop and it won't be anywhere near that.I do concur that it's a little annoying that all the buttons are in the back.  Realistically you're not going to turn the entire machine around you're going to reach your fingers back until it feels like it could be a button or dial.  Fortunately only one dial for fan speed so you know which one you're touching.  There's also a click in the dial when the fan is off so you know which way you're turning it.Also it really is whisper quiet.  I can't tell when the fan is on unless I double-check and click the switch.I did worry about it being one single fan albeit a large one but I'm impressed how cool my laptop has become and I can't argue with the results.  If it was a pretty RGB light with no real strenght this review would be all 1s.Hopes for 2021 Model:  put the buttons on the side maybe try for USB-C because I don't use the 2nd USB port as auxilary power (1 USB 3.0 is perfectly fine to power the entire deal so I do my best to tuck away that ugly 2nd cord hanging there) and throw on two USB-C ports (in and out) right on the machine as a hub.  USB-C really is the future and now that you've got a solid old-school USB there's no reason why you can't sell a USB-C version.
5,It's a good laptop fan for around 2 years. Afterwards it doesn't keep my laptop cool and it disconnects randomly. I recommend if you don't use it for gaming. Anything intense like gaming editing and streaming will make it basically useless. It doesn't reach to the important parts of the laptop either.Get this if you're not using it for anything crazy. It will last you at least two years. Unfortunately it just isn't for my lifestyle. I'm looking to buy a new one now.
