rating,review
5,They sound amazing for what they are and even though they're not silk dome they're definitely not bad.  I would highly recommend for stock speaker replacement in oem vehicles. Bass is decent.
4,The Toyota Tacoma factory speakers are HORRID. When you remove the first one you'll see what I'm talking about. The magnet is about the size/weight of a quarter. These things probably cost about $2 to produce. The Kicker speakers transform your Tacoma's audio if you do at least the front/rears. Tweeters can be done later if you want. Rating BEFORE Kicker's....2/10; Rating after Kicker's....7/10. Much better.
4,Super easy to install and some amazing sound i can hear every note👍
4,Ok so I bought one pair so far and installed them easily after getting the brackets I need to fit my car. The first speaker I installed sounded great! Bass was good and the sound was clear and loud. The second one I installed sounded like it was rattling or distorted or something. First I checked to make sure it was secured tight in the door and it was then I checked the sound when it wasn’t in the door and it sounded the same so it’s definitely the speaker. Ended up taking it out because I couldn’t bare it. Not sure what the return policy is but hopefully they will let me return it.
4,Very good product.  Easily installed it myself except that the speaker wire seemed to be tough to push all the way down.  Sound is very good.  Came with all I needed.  Value was good but I was disappointed seller discounted immediately after I bought two pairs.  I could have saved another $20 if the discount came a day earlier.  If seller had done that it would have been five stars all around.
4,PUT THESE IN THE DOOR OF MY 08 SILVERADO DIDNT BUY ADAPTERS JUST GUTTED THE OLD SPEAKERS AND USED THEM FOR ADAPTER WORKED GREAT .SOUND PRETTY GOOD WITH JUST THE STOCK STEREO
4,I installed these in my 2009 GMC Sierra. Better than stock mids and highs are great but less bass than stock. It’s sounds clearer than stock so that’s good would’ve like a little more kick from these.
3,Speakers sounded great when first installed about a year ago I'm running a small Soundstream nano amp which doesn't put out huge power. Just wanted to be able to hear the music in my Jeep at 65 MPH.They've never been wet never been left outside overnight always garaged or had the top up never been bumped abused or overdriven.Right speaker's voice coil separated and now sounds like hell.
5,Installed in a 2010 ram 1500 for front door speakers these only play a bass tone in rams and it sounds very good for the price
5,I put these on my Honda Beat pp1 JDM car it’s not a direct fit but drilled a couple of hole to mount it behind the door panel and now fit great. The sound is awesome for the price.
4,N/A
