rating,review
5,Love my printer.  No more expensive ink cartridges.  Easy to add the ink.  Can print hundreds of pages before you need ink.  Ink bottles are cheap.  Excellent print quality for black and white printing.I mainly use the printer to print email notices and documents.  So black and white printing is great.Color printing is not great.  But i have not done any follow up to see what adjustments i need to make.When I scanned the print quality was poor.  But I have not spent time looking at settings since I only scanned one time .
4,All name brand ink is over priced ALL including this. This ink is less over priced than most though so that is a good thing. These tanks also last a very long time many times longer than traditional refill types.The ink is good no better than some of the no name refills I have used in the past but no worse either. I need Ink in a hurry so this was it I didn't want to risk getting the wrong tank (has happened when ordering off brand refills before and didn't want to take the risk.
5,I HAVE BEEN USING THE EPSON BRAND INK FOR MY ECO-TANK ET-2720 MACHINE FOR 3 YEARS.THE BOTTLES ARE EASY TO USE WHEN REFILLING THE MACHINE.  THE BOTTLES LAST FOR MANYPAGES OF PRINTING OR COPYING.  BLACK INK IS MOST POPULAR FOR PRINTING WORDS.YELLOW INK HELPS COPY YELLOW HIGHLIGHTER PAGES.YOU CAN BUY INDIVIDUAL COLORS AT SMILE AMAZON.
5,For the first time in my life I don't have to weigh the cost of using my printer. I can print thousands (and thousands) of pages with a single ink refill ---- and the refill runs around $15.  So far paper in the biggest consumable expense. Print quality is great until the jets gets a little clogged which does occasionally happen but is fixable (just run a maintenance cycle). The ink bottles are "keyed" so you can't easily dump the wrong ink color in the wrong slot. It's literally a matter of taking off the lid unending the bottle and lining up the "key" with the correct tank letting the tank fill (it stops automatically when full) and putting the lid back on to store the rest of the ink for next time!
5,Thank God I bought this printer because these ink cartridges are a lifesaver they last for at least 6 months and I do a lot of printing.
5,Easy to use.  Pretty much foolproof.  Does NOT print the number of pages advertised.  However for school or light business use you cannot go wrong with this product or the associated printer.
5,I love my ecotank printer and I love that this ink was so cheap. It lasts for a while! I print alot! Definitely worth the money
5,Big props to Epson for finally making personal printer ink affordable. Seriously thank you! I love your printers and your ink. I don't print enough so I have to clean the heads often but it's still working great after a couple years.
5,Good product but still having issues with other color working
5,So easy to refill using these inks. Great value for the money.
5,Good value price & quality
5,Very satisfied! Will order again!
5,I get thousands of prints off of one fill.  It’s been months and I still have 90% of the ink that came with the Epson printer.And it’s inexpensive to replace ink.  I believe all colors are around $42.  But this gets you > 5-7k pages.  No more cartridges for me.
5,Yes it did install like it should and the printings are how they should be. So good item.
5,Love the cartridge free ink easy to fill printer!
5,I was down to the 2nd of the last line for my black ink. This was perfect price and nearly used almost all of the bottle! Wow! I love my printer and had it for a couple of years before I had to put new ink.I don't use this printer for Sublimation or Eco Solvent. I use it for daily documents or to print on cardstock for banners cake toppers etc or my most favorite printable htv!Yes I make shirts with this ink but you have to make sure to use printable htv! Do research!Very satisfied with my purchase.
5,This ink was just what i ordered. since it was HP ink it worked with out a skip.
5,So easy to install and refill. Quality is perfect - like fresh out of the box again
5,👨
5,The Epson eco-tank design is the absolute best printer I have ever owned. It makes ink cartridges obsolete! This design prints hundreds of pages before the ink tank levels start to go down. I will never again buy a printer that uses cartridges! Thank you Epson!
5,I really like these printers and the ink. It seems to last forever. We print color reports daily (about 30-50 pages a day) and this is the best value for the money.
5,This product has worked great and will last a long time
5,Buena inversión super fácil de instalar.
5,Easy to install happy with print jobs
5,Affordable and works! What more can you ask for
5,The price for the Printer and ink is reasonable the durability of the ink incredible and to top it all of the quality of the printing is just amazing.
5,Filled my printer. That’s all I needed from this.
5,Great price for a lot of printing.
5,If you're looking at this item you probably already own an Eco-tank printer so you already know that they can print even color pages at less than the cost of monochrome laser printer pages. You can't go wrong with these. The keyed bottle top makes sure you don't put it into the wrong well it also prevents spills and the volume of ink should last you a long time.While I am beyond my warranty period with Epson I still buy these official / authentic refill packs. They do a fantastic job at a fantastic price point so why would I want to risk anything else?
